uf_sigla,PERIODO,BENEF,POP
DF,2022,928767,2648532
MT,2022,632531,3115336
PE,2022,1377172,8931028
RJ,2022,5372342,16231365
AP,2022,62154,698602
PA,2022,846371,7822205
PB,2022,442484,3815171
RN,2022,573238,3228198
MS,2022,613589,2505088
AL,2022,384838,3165472
BA,2022,1619618,14175341
CE,2022,1304751,8606005
ES,2022,1194921,3578067
SP,2022,17677542,41901219
TO,2022,112269,1840636
PI,2022,364611,3160748
MG,2022,5400596,19855332
RS,2022,2589121,10880256
MA,2022,474879,6714314
RO,2022,153961,1590011
AM,2022,579918,3590985
GO,2022,1255361,6154996
RR,2022,30910,469524
PR,2022,2958145,10577755
SC,2022,1581854,6383286
SE,2022,326993,2110867
AC,2022,42572,758786
