"","uf_sigla","cod_regsaud","regiao_saude","COBERTURA"
"1","AL",27004,"4ª Região de Saúde",2.53638461593421
"2","AM",13005,"Baixo Amazonas",0.424753701846499
"3","AM",13004,"Médio Amazonas",1.76530652319051
"4","AP",16002,"Área Norte",2.10161948324886
"5","AP",16003,"Área Sudoeste",4.3514885629968
"6","BA",29015,"Jequié",3.93612838839101
"7","BA",29010,"Irecê",1.57001785372053
"8","BA",29017,"Paulo Afonso",4.4003854352206
"9","BA",29005,"Cruz das Almas",3.25965758570242
"10","CE",23020,"20ª Região Crato",6.08093895923604
"11","CE",23021,"21ª Região Juazeiro do Norte",12.6438486545284
"12","DF",53001,"Distrito Federal",35.0672372468975
"13","ES",32005,"Central Norte",21.1682822840043
"14","GO",52013,"São Patrício I",7.92574786654884
"15","GO",52016,"Sudoeste II",23.9545225957224
"16","MA",21013,"Rosário",1.1865787931207
"17","MA",21018,"Viana",0.472409364888993
"18","MA",21016,"São Luís",22.6215148360648
"19","MG",31058,"Unaí",14.0326959510928
"20","MG",31001,"Alfenas / Machado",16.2655168816718
"21","MG",31011,"Três Pontas",21.9325267374159
"22","MG",31020,"Guanhães",9.17504283578343
"23","MG",31083,"Bocaiúva",6.13054844433608
"24","MG",31049,"Brasília de Minas/São Francisco",1.35159318879354
"25","MG",31044,"Leopoldina / Cataguases",15.6898991282122
"26","MG",31070,"Araxá",26.4169650876599
"27","MG",31046,"Santos Dumont",25.689730459291
"28","MG",31078,"Congonhas",36.7643633037971
"29","PA",15006,"Metropolitana I",25.3801631870766
"30","PB",25004,"4ª Região",1.35809773866095
"31","PB",25012,"12ª Região",2.06431845795352
"32","PR",41021,"21ª RS Telêmaco Borba",18.1843118878082
"33","RN",24002,"2ª Região de Saúde - Mossoró",16.6975087373421
"34","RS",43011,"Região 11 - Sete Povos das Missões",9.53573126287435
"35","RS",43017,"Região 17 - Planalto",19.8515650042912
"36","RS",43027,"Região 27 - Jacuí Centro",6.50103540380749
"37","RS",43012,"Região 12 - Portal das Missões",11.9092114548035
"38","RS",43004,"Região 04 - Belas Praias",9.60918727915194
"39","SC",42004,"Alto Vale do Itajaí",8.50120118912238
"40","SC",42005,"Foz do Rio Itajaí",27.8691464377718
"41","SC",42003,"Xanxerê",13.8781076261408
"42","SE",28005,"Nossa Senhora da Glória",1.87418431884349
"43","SP",35133,"Vale das Cachoeiras",22.3008233793343
"44","SP",35111,"Alta Paulista",14.7621073865696
"45","SP",35173,"Litoral Norte",18.3584361204658
"46","SP",35021,"Central do DRS II",32.097196686283
"47","SP",35011,"Alto do Tietê",37.6674595021033
"48","SP",35012,"Franco da Rocha",31.371173817148
"49","SP",35074,"Circuito das Águas",32.8980303405919
"50","SP",35132,"Aquífero Guarani",46.8646245728833
"51","TO",17006,"Capim Dourado",18.10304130587
"52","AC",12003,"Juruá e Tarauacá/Envira",0.93698507258953
"53","AL",27007,"7ª Região de Saúde",5.1680822111582
"54","AM",13009,"Alto Solimões",0.322703277144659
"55","AM",13002,"Rio Negro e Solimões",0.515155607864323
"56","BA",29003,"Brumado",2.64095969586681
"57","BA",29018,"Porto Seguro",9.91906005965795
"58","BA",29011,"Itaberaba",1.75405684269768
"59","BA",29022,"Santo Antônio de Jesus",3.44828378229393
"60","BA",29008,"Ibotirama",0.748602089197204
"61","CE",23010,"10ª Região Limoeiro do Norte",6.64187229526345
"62","CE",23005,"5ª Região Canindé",1.53033661346757
"63","GO",52018,"São Patrício II",11.3754961162537
"64","TO",17002,"Bico do Papagaio",1.78013540754781
"65","MA",21009,"Itapecuru Mirim",0.932080802850276
"66","MA",21004,"Barra do Corda",0.849482953221318
"67","MA",21003,"Balsas",4.07586668978152
"68","MG",31061,"Viçosa",22.4594052180259
"69","MG",31064,"Araçuaí",2.86092295862404
"70","MG",31053,"Januária",3.87922505441528
"71","MG",31051,"Francisco Sá",3.4848421258796
"72","MG",31026,"Diamantina",8.22674250736271
"73","MG",31084,"Montes Claros",22.817711756172
"74","MG",31057,"Patos de Minas",25.7216245150838
"75","MG",31007,"Pouso Alegre",27.8565190839087
"76","MG",31009,"São Sebastião do Paraíso",17.8603642743063
"77","MG",31004,"Lavras",22.9038083017378
"78","MG",31027,"Turmalina/Minas Novas/Capelinha",5.34165335296233
"79","MG",31071,"Frutal / Iturama",31.0446395901939
"80","MG",31019,"Curvelo",14.082958294129
"81","MG",31034,"Caratinga",10.2829672880324
"82","MG",31031,"Itaúna",30.4863203515527
"83","MG",31081,"Santa Maria do Suaçuí",2.13146283516235
"84","MT",51005,"Garças Araguaia",14.3307007478999
"85","PA",15008,"Metropolitana III",3.35141143735087
"86","PA",15011,"Tocantins",4.38309956059112
"87","PB",25007,"7ª Região",1.19713887903028
"88","PB",25001,"1ª Região Mata Atlântica",24.0656702127397
"89","PE",26010,"Recife",28.08788122294
"90","PE",26007,"Ouricuri",1.52467446546176
"91","PE",26005,"Goiana",7.08582440493808
"92","PR",41002,"2ª RS Metropolitana",42.4238652330857
"93","PR",41017,"17ª RS Londrina",31.4111707741401
