"","uf_sigla","cod_regsaud","regiao_saude","total","total_materno","perc_fc"
"1","AC",12001,"Alto Acre",41861,16283,0.388977807505793
"2","AC",12002,"Baixo Acre e Purus",307993,73446,0.238466458653281
"3","AC",12003,"Juruá e Tarauacá/Envira",120855,40744,0.337131273013115
"4","AL",27001,"1ª Região de Saúde",853123,213925,0.250755166605519
"5","AL",27002,"2ª Região de Saúde",219089,53678,0.245005454404374
"6","AL",27003,"3ª Região de Saúde",283026,79499,0.280889388254083
"7","AL",27004,"4ª Região de Saúde",181201,40423,0.223083757815906
"8","AL",27005,"5ª Região de Saúde",407357,110480,0.271211738106869
"9","AL",27006,"6ª Região de Saúde",311584,89429,0.287014095717367
"10","AL",27007,"7ª Região de Saúde",583661,145858,0.249901912240153
"11","AL",27008,"8ª Região de Saúde",218623,48123,0.220118651742955
"12","AL",27009,"9ª Região de Saúde",353364,89228,0.252510159495591
"13","AL",27010,"10ª Região de Saúde",147589,47266,0.320254219487902
"14","AM",13001,"Manaus, Entorno e Alto Rio Negro",1390845,601783,0.432674381401234
"15","AM",13002,"Rio Negro e Solimões",210821,75283,0.357094407103657
"16","AM",13003,"Rio Madeira",137251,67680,0.493111161303014
"17","AM",13004,"Médio Amazonas",226466,88055,0.388822163150318
"18","AM",13005,"Baixo Amazonas",169002,61318,0.362824108590431
"19","AM",13006,"Regional Purus",100987,33359,0.330329646390129
"20","AM",13007,"Regional Juruá",85037,27471,0.323047614567776
"21","AM",13008,"Triângulo",102798,46686,0.454152804529271
"22","AM",13009,"Alto Solimões",130947,52843,0.40354494566504
"23","AP",16001,"Área Central",142573,49489,0.347113408569645
"24","AP",16002,"Área Norte",30950,11688,0.377641357027464
"25","AP",16003,"Área Sudoeste",117590,36194,0.307798282166851
"26","BA",29001,"Alagoinhas",268699,80109,0.298136576615469
"27","BA",29002,"Barreiras",272011,94484,0.347353599670602
"28","BA",29003,"Brumado",351419,131649,0.3746211787069
"29","BA",29004,"Camaçari",266841,99629,0.373364662851661
"30","BA",29005,"Cruz das Almas",219064,74006,0.337828214585692
"31","BA",29006,"Feira de Santana",659273,187699,0.284706032250676
"32","BA",29007,"Guanambi",365888,148677,0.406345657687598
"33","BA",29008,"Ibotirama",119053,34434,0.289232526689794
"34","BA",29009,"Ilhéus",160117,41885,0.261589962340039
"35","BA",29010,"Irecê",354468,102986,0.290536804450613
"36","BA",29011,"Itaberaba",214510,76279,0.355596475688779
"37","BA",29012,"Itabuna",424924,111025,0.261282017490186
"38","BA",29013,"Itapetinga",150051,44296,0.295206296525848
"39","BA",29014,"Jacobina",272061,93323,0.343022336902386
"40","BA",29015,"Jequié",454530,127435,0.280366532462104
"41","BA",29016,"Juazeiro",285178,107282,0.376193114475871
"42","BA",29017,"Paulo Afonso",201134,62118,0.308838883530383
"43","BA",29018,"Porto Seguro",285792,87400,0.305816817825551
"44","BA",29019,"Ribeira do Pombal",271697,67248,0.247511014107627
"45","BA",29020,"Salvador",792562,244317,0.308262318910066
"46","BA",29021,"Santa Maria da Vitória",240232,66696,0.277631622764661
"47","BA",29022,"Santo Antônio de Jesus",471440,124448,0.263974206685899
"48","BA",29023,"Seabra",130194,37186,0.285619921040908
"49","BA",29024,"Senhor do Bonfim",177429,68589,0.386571530020459
"50","BA",29025,"Serrinha",387475,120993,0.312260145815859
"51","BA",29026,"Teixeira de Freitas",344895,82956,0.24052537728874
"52","BA",29027,"Valença",184939,57264,0.30963723173587
"53","BA",29028,"Vitória da Conquista",455058,163149,0.358523528868847
"54","CE",23001,"1ª Região Fortaleza",1656298,1106749,0.668206445941491
"55","CE",23002,"2ª Região Caucaia",423389,102756,0.242698794725418
"56","CE",23003,"3ª Região Maracanaú",549282,107251,0.195256716950492
"57","CE",23004,"4ª Região Baturité",140116,30381,0.216827485797482
"58","CE",23005,"5ª Região Canindé",149028,39771,0.266869313149207
"59","CE",23006,"6ª Região Itapipoca",244710,60516,0.247296800294226
"60","CE",23007,"7ª Região Aracati",120017,29080,0.242299007640584
"61","CE",23008,"8ª Região Quixadá",299152,65359,0.218480906027705
"62","CE",23009,"9ª Região Russas",247907,47299,0.190793321689182
"63","CE",23010,"10ª Região Limoeiro do Norte",262792,52958,0.201520594234223
"64","CE",23011,"11ª Região Sobral",749126,171512,0.228949469114675
"65","CE",23012,"12ª Região Acaraú",278424,76098,0.273316955434876
"66","CE",23013,"13ª Região Tianguá",327051,89455,0.273520032043932
"67","CE",23014,"14ª Região Tauá",118072,25421,0.215300833389796
"68","CE",23015,"15ª Região Crateús",351479,73475,0.209045206114732
"69","CE",23016,"16ª Região Camocim",149817,32040,0.213860910310579
"70","CE",23017,"17ª Região Icó",187106,40564,0.216796895877203
"71","CE",23018,"18ª Região Iguatú",357627,80701,0.225656899507028
"72","CE",23019,"19ª Região Brejo Santo",285254,70528,0.24724631381155
"73","CE",23020,"20ª Região Crato",395276,128675,0.325532033313432
"74","CE",23021,"21ª Região Juazeiro do Norte",470224,105053,0.223410544761646
"75","CE",23022,"22ª Região Cascavel",329677,80494,0.244160193158758
"76","DF",53001,"Distrito Federal",1072399,614936,0.573420900243286
"77","ES",32002,"Metropolitana",1063161,247862,0.233136843808228
"78","ES",32004,"Sul",483250,80833,0.167269529229177
