"","uf_sigla","ano","mes","competen","qtd"
"1","CE","2005","03",2005-03-01,12476
"2","CE","2021","04",2021-04-01,10594
"3","CE","2013","07",2013-07-01,11181
"4","CE","2016","01",2016-01-01,10518
"5","CE","2003","09",2003-09-01,11606
"6","CE","2001","06",2001-06-01,12563
"7","CE","2004","02",2004-02-01,10786
"8","CE","2018","03",2018-03-01,11353
"9","CE","2017","07",2017-07-01,11225
"10","CE","2000","12",2000-12-01,10331
"11","CE","2012","10",2012-10-01,10404
"12","CE","2022","10",2022-10-01,8914
"13","CE","2017","06",2017-06-01,11193
"14","CE","2020","08",2020-08-01,10032
"15","CE","2013","04",2013-04-01,10915
"16","CE","2003","10",2003-10-01,11066
"17","CE","2014","05",2014-05-01,11279
"18","CE","2019","10",2019-10-01,10714
"19","CE","2011","10",2011-10-01,10676
"20","CE","2023","07",2023-07-01,9229
"21","CE","2000","03",2000-03-01,12304
"22","CE","2014","01",2014-01-01,9768
"23","CE","2020","10",2020-10-01,9425
"24","CE","2006","02",2006-02-01,9796
"25","CE","2009","06",2009-06-01,10885
"26","CE","2002","01",2002-01-01,12462
"27","CE","2009","07",2009-07-01,10661
"28","CE","2012","04",2012-04-01,10875
"29","CE","2014","12",2014-12-01,10703
"30","CE","2002","07",2002-07-01,12136
"31","CE","2023","11",2023-11-01,8568
"32","CE","2007","09",2007-09-01,11319
"33","CE","2010","12",2010-12-01,9533
"34","CE","2018","02",2018-02-01,9874
"35","CE","2021","08",2021-08-01,9671
"36","CE","2023","01",2023-01-01,9633
"37","CE","2001","01",2001-01-01,12393
"38","CE","2000","04",2000-04-01,12788
"39","CE","2018","06",2018-06-01,11107
"40","CE","2011","04",2011-04-01,11029
"41","CE","2013","02",2013-02-01,9362
"42","CE","2013","05",2013-05-01,11561
"43","CE","2007","10",2007-10-01,10892
"44","CE","2016","09",2016-09-01,9966
"45","CE","2000","02",2000-02-01,11245
"46","CE","2007","12",2007-12-01,11058
"47","CE","2023","06",2023-06-01,9569
