"","uf_sigla","ano","mes","competen","qtd"
"1","MG","2010","04",2010-04-01,22277
"2","AL","2000","10",2000-10-01,5393
"3","PA","2002","07",2002-07-01,11722
"4","BA","2004","02",2004-02-01,19079
"5","PA","2019","04",2019-04-01,11627
"6","RJ","2021","05",2021-05-01,16878
"7","RJ","2004","05",2004-05-01,20852
"8","MG","2011","03",2011-03-01,25010
"9","TO","2000","06",2000-06-01,2265
"10","SP","2004","09",2004-09-01,50214
"11","AL","2011","09",2011-09-01,4489
"12","MG","2003","04",2003-04-01,25701
"13","MT","2004","09",2004-09-01,4129
"14","PR","2004","11",2004-11-01,12055
"15","PR","2018","01",2018-01-01,13734
"16","BA","2008","11",2008-11-01,16803
"17","MA","2017","06",2017-06-01,9580
"18","RS","2024","06",2024-06-01,9126
"19","PA","2006","09",2006-09-01,13030
"20","AL","2006","09",2006-09-01,4663
"21","RN","2000","05",2000-05-01,5092
"22","RS","2020","05",2020-05-01,11668
"23","RO","2012","03",2012-03-01,2290
"24","BA","2020","08",2020-08-01,15226
"25","PA","2001","10",2001-10-01,12003
"26","MT","2010","09",2010-09-01,4112
"27","RR","2012","07",2012-07-01,861
"28","AP","2005","01",2005-01-01,1116
"29","RN","2010","04",2010-04-01,4214
"30","MA","2011","08",2011-08-01,10271
"31","PB","2003","05",2003-05-01,5932
"32","MT","2013","02",2013-02-01,4017
"33","AM","2012","03",2012-03-01,6373
"34","MA","2023","10",2023-10-01,8421
"35","SE","2019","01",2019-01-01,2681
"36","GO","2007","05",2007-05-01,7671
"37","SE","2022","03",2022-03-01,2829
"38","AL","2004","02",2004-02-01,4517
"39","TO","2010","09",2010-09-01,2168
"40","AM","2003","06",2003-06-01,5796
"41","TO","2005","03",2005-03-01,2332
"42","AP","2015","07",2015-07-01,1289
"43","AP","2012","07",2012-07-01,1235
"44","TO","2017","10",2017-10-01,2165
"45","RO","2020","01",2020-01-01,2191
"46","RO","2006","12",2006-12-01,2097
"47","AM","2000","01",2000-01-01,5671
"48","AP","2021","06",2021-06-01,1178
"49","DF","2016","09",2016-09-01,3494
"50","AM","2004","08",2004-08-01,5896
"51","RO","2003","02",2003-02-01,2013
"52","SE","2012","04",2012-04-01,3046
"53","GO","2011","07",2011-07-01,7378
"54","RJ","2009","04",2009-04-01,19839
"55","RR","2009","09",2009-09-01,862
"56","RR","2002","11",2002-11-01,830
"57","RO","2004","03",2004-03-01,2511
"58","AC","2023","12",2023-12-01,1136
"59","DF","2008","06",2008-06-01,3539
"60","AC","2003","10",2003-10-01,1211
"61","GO","2020","12",2020-12-01,7471
"62","MA","2021","03",2021-03-01,9154
"63","SP","2020","10",2020-10-01,42105
"64","PI","2016","05",2016-05-01,4311
"65","TO","2006","02",2006-02-01,1775
"66","RS","2002","09",2002-09-01,12936
"67","RS","2013","03",2013-03-01,12664
"68","MG","2022","07",2022-07-01,19294
"69","MG","2000","02",2000-02-01,25333
"70","GO","2000","08",2000-08-01,7857
"71","CE","2005","03",2005-03-01,12476
"72","MT","2024","02",2024-02-01,4440
"73","PB","2021","02",2021-02-01,4335
"74","SE","2015","10",2015-10-01,2823
"75","MT","2009","08",2009-08-01,3783
"76","BA","2018","09",2018-09-01,16017
"77","PB","2015","12",2015-12-01,4732
"78","MA","2013","12",2013-12-01,9107
"79","RJ","2005","01",2005-01-01,18430
"80","SP","2004","10",2004-10-01,47990
"81","CE","2021","04",2021-04-01,10594
"82","PR","2014","01",2014-01-01,14099
"83","MT","2020","04",2020-04-01,5099
"84","MS","2019","10",2019-10-01,3257
"85","SE","2010","02",2010-02-01,2622
"86","PI","2015","12",2015-12-01,3877
"87","RJ","2011","03",2011-03-01,21657
"88","MA","2019","10",2019-10-01,9818
"89","BA","2014","04",2014-04-01,17746
"90","CE","2013","07",2013-07-01,11181
"91","AL","2017","09",2017-09-01,4073
"92","PA","2003","02",2003-02-01,10717
"93","SP","2017","01",2017-01-01,47838
"94","RS","2013","10",2013-10-01,11380
"95","RO","2014","02",2014-02-01,2032
"96","PI","2006","08",2006-08-01,4602
"97","GO","2000","10",2000-10-01,7826
"98","PB","2005","06",2005-06-01,5766
"99","AL","2019","03",2019-03-01,4654
"100","PI","2005","05",2005-05-01,5164
"101","RN","2011","05",2011-05-01,4674
"102","SE","2009","12",2009-12-01,2567
"103","PA","2014","01",2014-01-01,11226
"104","GO","2022","12",2022-12-01,7724
"105","SC","2016","01",2016-01-01,8381
"106","CE","2016","01",2016-01-01,10518
"107","RJ","2010","08",2010-08-01,16756
"108","ES","2015","02",2015-02-01,4522
"109","CE","2003","09",2003-09-01,11606
"110","RR","2020","05",2020-05-01,1147
"111","ES","2012","08",2012-08-01,4226
"112","RJ","2015","06",2015-06-01,19883
"113","RJ","2022","10",2022-10-01,13346
"114","SE","2023","01",2023-01-01,2497
"115","MS","2004","01",2004-01-01,3658
"116","SE","2005","09",2005-09-01,3095
"117","AC","2023","10",2023-10-01,1221
"118","ES","2005","04",2005-04-01,4795
"119","ES","2002","02",2002-02-01,4575
"120","AP","2020","05",2020-05-01,1219
"121","DF","2008","09",2008-09-01,3737
"122","MS","2011","05",2011-05-01,3935
"123","TO","2002","10",2002-10-01,2136
"124","DF","2004","12",2004-12-01,3667
"125","ES","2024","02",2024-02-01,4169
"126","ES","2009","12",2009-12-01,4124
"127","MS","2010","05",2010-05-01,3541
"128","DF","2023","12",2023-12-01,2807
"129","SE","2012","06",2012-06-01,2888
"130","SC","2004","02",2004-02-01,7022
"131","MG","2013","06",2013-06-01,21585
"132","MT","2005","02",2005-02-01,4166
"133","BA","2000","10",2000-10-01,18923
"134","SC","2020","11",2020-11-01,7570
"135","MT","2009","06",2009-06-01,4014
"136","MA","2015","02",2015-02-01,8605
"137","PI","2006","12",2006-12-01,4375
"138","PR","2016","06",2016-06-01,12993
"139","MG","2017","12",2017-12-01,21096
"140","MG","2003","08",2003-08-01,22878
"141","SP","2011","07",2011-07-01,51436
"142","RS","2008","10",2008-10-01,10843
"143","PB","2012","07",2012-07-01,4829
"144","RN","2003","03",2003-03-01,4803
"145","RS","2017","10",2017-10-01,10594
"146","MA","2004","01",2004-01-01,10295
"147","SE","2021","12",2021-12-01,2475
"148","AP","2015","08",2015-08-01,1301
"149","MG","2017","04",2017-04-01,22729
"150","SP","2005","12",2005-12-01,47893
"151","PI","2020","12",2020-12-01,3610
"152","MG","2005","04",2005-04-01,24580
"153","SP","2012","08",2012-08-01,50290
"154","PI","2010","07",2010-07-01,4215
"155","SP","2010","12",2010-12-01,49378
"156","RN","2006","03",2006-03-01,4545
"157","PA","2012","12",2012-12-01,11797
"158","RS","2002","02",2002-02-01,13094
"159","SC","2020","12",2020-12-01,7950
"160","SP","2015","06",2015-06-01,53257
"161","PR","2000","06",2000-06-01,14919
"162","GO","2010","05",2010-05-01,7470
"163","BA","2013","07",2013-07-01,17326
"164","MT","2022","08",2022-08-01,4894
"165","AP","2005","06",2005-06-01,1088
"166","MA","2011","04",2011-04-01,10118
"167","RS","2016","07",2016-07-01,11967
"168","RN","2016","08",2016-08-01,3783
"169","SE","2022","10",2022-10-01,2027
"170","AM","2022","10",2022-10-01,5760
"171","TO","2000","11",2000-11-01,1793
"172","RJ","2017","02",2017-02-01,17444
"173","MT","2016","05",2016-05-01,4893
"174","GO","2013","12",2013-12-01,7721
"175","SE","2017","07",2017-07-01,2906
"176","PB","2004","07",2004-07-01,5311
"177","RJ","2022","02",2022-02-01,15288
"178","AM","2011","03",2011-03-01,6502
"179","GO","2014","12",2014-12-01,8286
"180","DF","2020","06",2020-06-01,3247
"181","RN","2022","09",2022-09-01,3053
"182","PI","2023","06",2023-06-01,3527
"183","MT","2021","03",2021-03-01,5194
"184","AM","2022","05",2022-05-01,6179
"185","PB","2010","11",2010-11-01,4494
"186","RO","2021","07",2021-07-01,2127
