"","ANO","MES","COMPETEN","regiao","uf_sigla","cod_regsaud","regiao_saude_pad","CBO_recod","categoria_profissional","HORAS","FTE40"
"1","2023","09","202309","Região Nordeste","AL","27010","10ª REGIAO DE SAUDE","225","Médicos","2954","73"
"2","2023","09","202309","Região Nordeste","AL","27003","3ª REGIAO DE SAUDE","225","Médicos","4114","102"
"3","2023","10","202310","Região Nordeste","MA","21003","BALSAS","2235","Enfermeiros","4013","100"
"4","2023","04","202304","Região Sul","PR","41016","16ª RS APUCARANA","2235","Enfermeiros","8280","207"
"5","2023","04","202304","Região Sul","PR","41019","19ª RS JACAREZINHO","225","Médicos","5641","141"
"6","2023","01","202301","Região Centro-Oeste","GO","52018","SAO PATRICIO II","2235","Enfermeiros","4169","104"
"7","2023","06","202306","Região Centro-Oeste","GO","52001","CENTRAL","225","Médicos","25034","625"
"8","2023","09","202309","Região Sudeste","MG","31006","POCOS DE CALDAS","225","Médicos","4075","101"
"9","2023","09","202309","Região Sudeste","MG","31010","TRES CORACOES","225","Médicos","2579","64"
"10","2023","09","202309","Região Sudeste","MG","31026","DIAMANTINA","2235","Enfermeiros","3887","97"
"11","2023","03","202303","Região Sul","RS","43012","REGIAO 12","2235","Enfermeiros","3174","79"
"12","2023","06","202306","Região Sul","SC","42014","EXTREMO SUL CATARINENSE","225","Médicos","5165","129"
"13","2023","06","202306","Região Sul","SC","42015","CARBONIFERA","2235","Enfermeiros","8601","215"
"14","2023","08","202308","Região Nordeste","BA","29006","FEIRA DE SANTANA","2235","Enfermeiros","18378","459"
"15","2023","10","202310","Região Sudeste","MG","31072","UBERABA","225","Médicos","6645","166"
"16","2023","10","202310","Região Sudeste","MG","31051","FRANCISCO SA","225","Médicos","1849","46"
"17","2023","10","202310","Região Sudeste","MG","31018","CONTAGEM","225","Médicos","12220","305"
"18","2023","05","202305","Região Centro-Oeste","MT","51005","GARCAS ARAGUAIA","225","Médicos","2468","61"
"19","2023","10","202310","Região Nordeste","PB","25009","9ª REGIAO","2235","Enfermeiros","4904","122"
"20","2023","10","202310","Região Nordeste","PI","22003","COCAIS","225","Médicos","8273","206"
"21","2023","05","202305","Região Nordeste","RN","24002","2ª REGIAO DE SAUDE - MOSSORO","2235","Enfermeiros","7446","186"
"22","2023","06","202306","Região Nordeste","BA","29012","ITABUNA","225","Médicos","9049","226"
"23","2023","06","202306","Região Nordeste","MA","21015","SAO JOAO DOS PATOS","2235","Enfermeiros","5396","134"
"24","2023","11","202311","Região Centro-Oeste","MT","51016","VALE DOS ARINOS","2235","Enfermeiros","1190","29"
"25","2023","02","202302","Região Sul","RS","43013","REGIAO 13","225","Médicos","5334","133"
"26","2023","11","202311","Região Sudeste","SP","35091","ADAMANTINA","2235","Enfermeiros","4240","106"
"27","2023","11","202311","Região Sudeste","SP","35011","ALTO DO TIETE","225","Médicos","31881","797"
"28","2023","02","202302","Região Norte","AM","13002","RIO NEGRO E SOLIMOES","2235","Enfermeiros","6520","163"
"29","2023","03","202303","Região Nordeste","MA","21004","BARRA DO CORDA","225","Médicos","4006","100"
"30","2023","01","202301","Região Sudeste","MG","31058","UNAI","2235","Enfermeiros","5232","130"
"31","2023","08","202308","Região Sudeste","MG","31089","CAMPO BELO","225","Médicos","1824","45"
"32","2023","08","202308","Região Sudeste","MG","31019","CURVELO","225","Médicos","3871","96"
"33","2023","08","202308","Região Sudeste","MG","31047","SAO JOAO NEPOMUCENO / BICAS","225","Médicos","1959","48"
"34","2023","08","202308","Região Sudeste","MG","31011","TRES PONTAS","225","Médicos","2640","66"
"35","2023","08","202308","Região Sudeste","MG","31051","FRANCISCO SA","225","Médicos","1804","45"
"36","2023","08","202308","Região Sudeste","MG","31088","OLIVEIRA/SANTO ANTONIO DO AMPARO","225","Médicos","1889","47"
"37","2023","08","202308","Região Sudeste","MG","31084","MONTES CLAROS","225","Médicos","9172","229"
"38","2023","12","202312","Região Sudeste","MG","31002","GUAXUPE","2235","Enfermeiros","2704","67"
"39","2023","09","202309","Região Norte","PA","15008","METROPOLITANA III","225","Médicos","13600","340"
"40","2023","09","202309","Região Norte","PA","15004","LAGO DE TUCURUI","2235","Enfermeiros","6858","171"
"41","2023","08","202308","Região Nordeste","SE","28002","ESTANCIA","225","Médicos","4845","121"
"42","2023","11","202311","Região Nordeste","CE","23012","12ª REGIAO ACARAU","225","Médicos","4227","105"
"43","2023","05","202305","Região Nordeste","MA","21019","ZE DOCA","225","Médicos","5662","141"
"44","2023","04","202304","Região Sudeste","MG","31072","UBERABA","225","Médicos","6662","166"
"45","2023","04","202304","Região Sudeste","MG","31007","POUSO ALEGRE","2235","Enfermeiros","11687","292"
"46","2023","05","202305","Região Sudeste","MG","31001","ALFENAS / MACHADO","225","Médicos","6789","169"
"47","2023","05","202305","Região Sudeste","MG","31035","CORONEL FABRICIANO/TIMOTEO","2235","Enfermeiros","4170","104"
"48","2023","07","202307","Região Norte","PA","15006","METROPOLITANA I","225","Médicos","27466","686"
"49","2023","11","202311","Região Nordeste","PB","25002","2ª REGIAO","225","Médicos","5842","146"
"50","2023","11","202311","Região Nordeste","PB","25015","15ª REGIAO","2235","Enfermeiros","3990","99"
"51","2023","09","202309","Região Sul","RS","43009","REGIAO 09","2235","Enfermeiros","7178","179"
"52","2023","09","202309","Região Sul","RS","43016","REGIAO 16","225","Médicos","7359","183"
"53","2023","03","202303","Região Sudeste","SP","35063","POLO CUESTA","2235","Enfermeiros","5884","147"
"54","2023","03","202303","Região Sudeste","SP","35153","JALES","2235","Enfermeiros","2990","74"
"55","2023","03","202303","Região Sudeste","SP","35121","VALE DO RIBEIRA","225","Médicos","6338","158"
"56","2023","01","202301","Região Nordeste","PE","26012","SERRA TALHADA","225","Médicos","3936","98"
"57","2023","09","202309","Região Sul","PR","41021","21ª RS TELEMACO BORBA","225","Médicos","4260","106"
"58","2023","06","202306","Região Centro-Oeste","MT","51006","MEDIO ARAGUAIA","2235","Enfermeiros","3832","95"
"59","2023","12","202312","Região Nordeste","PB","25008","8ª REGIAO","2235","Enfermeiros","2284","57"
"60","2023","10","202310","Região Norte","AC","12001","ALTO ACRE","2235","Enfermeiros","2370","59"
"61","2023","10","202310","Região Sul","SC","42003","XANXERE","225","Médicos","4977","124"
"62","2023","11","202311","Região Nordeste","SE","28001","ARACAJU","225","Médicos","12326","308"
"63","2023","04","202304","Região Sudeste","SP","35072","REGIAO METROPOLITANA DE CAMPINAS","225","Médicos","42863","1071"
"64","2023","02","202302","Região Norte","TO","17002","BICO DO PAPAGAIO","225","Médicos","4792","119"
"65","2023","07","202307","Região Nordeste","AL","27003","3ª REGIAO DE SAUDE","2235","Enfermeiros","4738","118"
"66","2023","12","202312","Região Norte","AM","13002","RIO NEGRO E SOLIMOES","225","Médicos","4742","118"
"67","2023","05","202305","Região Nordeste","BA","29016","JUAZEIRO","225","Médicos","8274","206"
"68","2023","12","202312","Região Nordeste","BA","29010","IRECE","225","Médicos","6779","169"
"69","2023","10","202310","Região Centro-Oeste","GO","52005","ESTRADA DE FERRO","2235","Enfermeiros","4399","109"
"70","2023","10","202310","Região Centro-Oeste","GO","52016","SUDOESTE II","225","Médicos","4571","114"
"71","2023","04","202304","Região Sul","RS","43029","REGIAO 29","2235","Enfermeiros","5032","125"
"72","2023","04","202304","Região Sul","RS","43016","REGIAO 16","225","Médicos","6858","171"
"73","2023","08","202308","Região Sul","SC","42008","MEIO OESTE","225","Médicos","5091","127"
"74","2023","09","202309","Região Nordeste","SE","28002","ESTANCIA","225","Médicos","4809","120"
"75","2023","06","202306","Região Sudeste","SP","35114","EXTREMO OESTE PAULISTA","2235","Enfermeiros","2040","51"
"76","2023","08","202308","Região Norte","PA","15007","METROPOLITANA II","225","Médicos","4944","123"
"77","2023","10","202310","Região Sudeste","SP","35021","CENTRAL DO DRS II","2235","Enfermeiros","4998","124"
"78","2023","10","202310","Região Sudeste","SP","35041","BAIXADA SANTISTA","2235","Enfermeiros","21706","542"
"79","2023","11","202311","Região Nordeste","BA","29008","IBOTIRAMA","225","Médicos","3128","78"
"80","2023","03","202303","Região Centro-Oeste","GO","52004","ENTORNO SUL","2235","Enfermeiros","14915","372"
"81","2023","12","202312","Região Nordeste","PE","26002","ARCOVERDE","2235","Enfermeiros","7540","188"
"82","2023","12","202312","Região Sudeste","RJ","33002","BAIXADA LITORANEA","225","Médicos","11054","276"
"83","2023","09","202309","Região Sudeste","SP","35014","ROTA DOS BANDEIRANTES","2235","Enfermeiros","17441","436"
"84","2023","08","202308","Região Nordeste","AL","27009","9ª REGIAO DE SAUDE","225","Médicos","4368","109"
"85","2023","12","202312","Região Centro-Oeste","MS","50003","DOURADOS","225","Médicos","13995","349"
"86","2023","02","202302","Região Sudeste","SP","35064","JAU","2235","Enfermeiros","3818","95"
"87","2023","02","202302","Região Sudeste","SP","35154","FERNANDOPOLIS","225","Médicos","2890","72"
"88","2023","04","202304","Região Nordeste","BA","29014","JACOBINA","2235","Enfermeiros","7156","178"
"89","2023","01","202301","Região Nordeste","CE","23004","4ª REGIAO BATURITE","225","Médicos","2620","65"
"90","2023","08","202308","Região Nordeste","MA","21007","CODO","2235","Enfermeiros","5502","137"
"91","2023","11","202311","Região Sudeste","MG","31040","RESPLENDOR","225","Médicos","2237","55"
"92","2023","02","202302","Região Centro-Oeste","MT","51012","SUDOESTE MATOGROSSENSE","2235","Enfermeiros","2643","66"
"93","2023","12","202312","Região Centro-Oeste","MT","51006","MEDIO ARAGUAIA","2235","Enfermeiros","3948","98"
"94","2023","02","202302","Região Norte","PA","15004","LAGO DE TUCURUI","225","Médicos","4074","101"
"95","2023","06","202306","Região Sudeste","RJ","33005","METROPOLITANA I","225","Médicos","118224","2955"
"96","2023","02","202302","Região Nordeste","SE","28006","NOSSA SENHORA DO SOCORRO","225","Médicos","7152","178"
"97","2023","01","202301","Região Sudeste","SP","35133","VALE DAS CACHOEIRAS","225","Médicos","4875","121"
"98","2023","01","202301","Região Sudeste","SP","35157","VOTUPORANGA","2235","Enfermeiros","6370","159"
"99","2023","06","202306","Região Nordeste","CE","23020","20ª REGIAO CRATO","2235","Enfermeiros","5988","149"
"100","2023","06","202306","Região Nordeste","CE","23002","2ª REGIAO CAUCAIA","225","Médicos","10283","257"
"101","2023","07","202307","Região Sudeste","MG","31091","CASSIA","2235","Enfermeiros","1134","28"
"102","2023","07","202307","Região Sudeste","MG","31067","PADRE PARAISO","225","Médicos","1239","30"
"103","2023","08","202308","Região Nordeste","CE","23014","14ª REGIAO TAUA","2235","Enfermeiros","3130","78"
"104","2023","11","202311","Região Norte","RO","11006","CONE SUL","225","Médicos","2842","71"
"105","2023","12","202312","Região Norte","TO","17004","CERRADO TOCANTINS ARAGUAIA","225","Médicos","3702","92"
"106","2023","10","202310","Região Nordeste","AL","27003","3ª REGIAO DE SAUDE","2235","Enfermeiros","5009","125"
"107","2023","04","202304","Região Norte","AM","13004","MEDIO AMAZONAS","2235","Enfermeiros","3835","95"
"108","2023","09","202309","Região Sudeste","MG","31037","IPATINGA","225","Médicos","8456","211"
"109","2023","09","202309","Região Sudeste","MG","31001","ALFENAS / MACHADO","225","Médicos","7446","186"
"110","2023","09","202309","Região Sudeste","MG","31087","LAGOA DA PRATA/STO ANT DO MONTE","225","Médicos","2093","52"
"111","2023","09","202309","Região Sudeste","MG","31088","OLIVEIRA/SANTO ANTONIO DO AMPARO","2235","Enfermeiros","1730","43"
"112","2023","03","202303","Região Centro-Oeste","MT","51007","MEDIO NORTE MATOGROSSENSE","2235","Enfermeiros","3696","92"
"113","2023","07","202307","Região Centro-Oeste","MT","51002","BAIXADA CUIABANA","225","Médicos","12181","304"
"114","2023","08","202308","Região Nordeste","PE","26010","RECIFE","225","Médicos","47988","1199"
"115","2023","09","202309","Região Norte","TO","17008","AMOR PERFEITO","225","Médicos","2380","59"
"116","2023","06","202306","Região Sudeste","ES","32004","SUL","2235","Enfermeiros","14896","372"
"117","2023","10","202310","Região Sudeste","MG","31001","ALFENAS / MACHADO","2235","Enfermeiros","5300","132"
"118","2023","10","202310","Região Sudeste","MG","31092","PASSOS","225","Médicos","4434","110"
"119","2023","06","202306","Região Sul","PR","41004","4ª RS IRATI","225","Médicos","3901","97"
"120","2023","08","202308","Região Nordeste","RN","24008","8ª REGIAO DE SAUDE - ACU","225","Médicos","2874","71"
"121","2023","05","202305","Região Sudeste","SP","35013","MANANCIAIS","225","Médicos","12838","320"
"122","2023","06","202306","Região Nordeste","BA","29019","RIBEIRA DO POMBAL","2235","Enfermeiros","6084","152"
"123","2023","07","202307","Região Nordeste","BA","29024","SENHOR DO BONFIM","2235","Enfermeiros","5294","132"
"124","2023","07","202307","Região Nordeste","BA","29018","PORTO SEGURO","225","Médicos","5624","140"
"125","2023","05","202305","Região Centro-Oeste","GO","52017","SUL","225","Médicos","3804","95"
"126","2023","01","202301","Região Nordeste","PB","25016","16ª REGIAO","225","Médicos","10070","251"
"127","2023","02","202302","Região Sul","RS","43006","REGIAO 06 - VALE DO PARANHANA E COSTA SERR","2235","Enfermeiros","3303","82"
"128","2023","05","202305","Região Sul","SC","42013","SERRA CATARINENSE","225","Médicos","6324","158"
"129","2023","11","202311","Região Sudeste","SP","35133","VALE DAS CACHOEIRAS","225","Médicos","3879","96"
"130","2023","11","202311","Região Sudeste","SP","35095","TUPA","2235","Enfermeiros","2434","60"
"131","2023","11","202311","Região Sudeste","SP","35173","LITORAL NORTE","2235","Enfermeiros","6401","160"
"132","2023","12","202312","Região Sudeste","SP","35174","VALE DO PARAIBA/REGIAO SERRANA","2235","Enfermeiros","7732","193"
"133","2023","12","202312","Região Sudeste","SP","35034","CORACAO DO DRS III","2235","Enfermeiros","3790","94"
"134","2023","08","202308","Região Norte","AM","13001","MANAUS, ENTORNO E ALTO RIO NEGRO","2235","Enfermeiros","35414","885"
"135","2023","08","202308","Região Norte","AM","13007","REGIONAL JURUA","225","Médicos","1970","49"
"136","2023","01","202301","Região Sudeste","MG","31024","SETE LAGOAS","2235","Enfermeiros","9471","236"
"137","2023","01","202301","Região Sudeste","MG","31049","BRASILIA DE MINAS/SAO FRANCISCO","225","Médicos","5153","128"
"138","2023","01","202301","Região Sudeste","MG","31025","VESPASIANO","2235","Enfermeiros","5734","143"
"139","2023","08","202308","Região Sudeste","MG","31035","CORONEL FABRICIANO/TIMOTEO","2235","Enfermeiros","4242","106"
"140","2023","08","202308","Região Sudeste","MG","31073","ITUIUTABA","225","Médicos","3126","78"
"141","2023","12","202312","Região Sudeste","MG","31097","JUIZ DE FORA","225","Médicos","9625","240"
