"","ano","mes","competen","regiao","uf_sigla","cod_regsaud","regiao_saude_pad","cbo_recod","categoria_profissional","horas","fte40"
"1",2019,8,"201908","Região Norte","AP","16002","AREA NORTE","225","Médicos","800",20
"2",2017,7,"201707","Região Nordeste","BA","29025","SERRINHA","225","Médicos","8325",208
"3",2015,7,"201507","Região Nordeste","CE","23019","19ª REGIAO BREJO SANTO","225","Médicos","4170",104
"4",2015,10,"201510","Região Nordeste","CE","23002","2ª REGIAO CAUCAIA","225","Médicos","7641",191
"5",2017,4,"201704","Região Nordeste","CE","23017","17ª REGIAO ICO","225","Médicos","2300",57
"6",2015,5,"201505","Região Centro-Oeste","GO","52016","SUDOESTE II","225","Médicos","3064",76
"7",2016,9,"201609","Região Sudeste","MG","31015","SAO JOAO DEL REI","225","Médicos","4214",105
"8",2016,9,"201609","Região Sudeste","MG","31067","PADRE PARAISO","225","Médicos","1097",27
"9",2017,5,"201705","Região Sudeste","MG","31071","FRUTAL / ITURAMA","225","Médicos","2703",67
"10",2018,1,"201801","Região Sudeste","MG","31087","LAGOA DA PRATA/STO ANT DO MONTE","225","Médicos","1773",44
"11",2018,1,"201801","Região Sudeste","MG","31034","CARATINGA","225","Médicos","4012",100
"12",2018,1,"201801","Região Sudeste","MG","31065","ITAOBIM","225","Médicos","1503",37
"13",2018,8,"201808","Região Sudeste","MG","31001","ALFENAS / MACHADO","225","Médicos","5052",126
"14",2019,1,"201901","Região Sudeste","MG","31052","JANAUBA/MONTE AZUL","225","Médicos","6082",152
"15",2019,1,"201901","Região Sudeste","MG","31038","MANTENA","225","Médicos","1454",36
"16",2019,8,"201908","Região Sudeste","MG","31044","LEOPOLDINA / CATAGUASES","225","Médicos","2532",63
"17",2019,8,"201908","Região Sudeste","MG","31012","VARGINHA","225","Médicos","2489",62
"18",2014,11,"201411","Região Nordeste","PB","25003","3ª REGIAO","225","Médicos","3335",83
"19",2016,7,"201607","Região Nordeste","PE","26012","SERRA TALHADA","225","Médicos","3469",86
"20",2014,10,"201410","Região Sul","PR","41003","3ª RS PONTA GROSSA","225","Médicos","8847",221
"21",2016,3,"201603","Região Sul","RS","43023","REGIAO 23","225","Médicos","6747",168
"22",2019,3,"201903","Região Sul","RS","43014","REGIAO 14","225","Médicos","3657",91
"23",2019,3,"201903","Região Sul","RS","43011","REGIAO 11","225","Médicos","4431",110
"24",2015,6,"201506","Região Nordeste","AL","27002","2ª REGIAO DE SAUDE","225","Médicos","3255",81
"25",2018,6,"201806","Região Nordeste","AL","27001","1ª REGIAO DE SAUDE","225","Médicos","14432",360
"26",2014,7,"201407","Região Nordeste","BA","29022","SANTO ANTONIO DE JESUS","225","Médicos","6304",157
"27",2017,12,"201712","Região Nordeste","MA","21016","SAO LUIS","225","Médicos","11933",298
"28",2019,4,"201904","Região Sudeste","MG","31008","SAO LOURENCO","225","Médicos","5139",128
"29",2019,4,"201904","Região Sudeste","MG","31092","PASSOS","225","Médicos","2639",65
"30",2016,1,"201601","Região Nordeste","PB","25008","8ª REGIAO","225","Médicos","1720",43
"31",2019,10,"201910","Região Nordeste","PB","25011","11ª REGIAO","225","Médicos","1616",40
"32",2018,9,"201809","Região Nordeste","PI","22006","SERRA DA CAPIVARA","225","Médicos","2820",70
"33",2018,1,"201801","Região Sul","PR","41005","5ª RS GUARAPUAVA","225","Médicos","7808",195
"34",2016,11,"201611","Região Sudeste","RJ","33008","NORTE","225","Médicos","10260",256
"35",2017,12,"201712","Região Sul","RS","43010","REGIAO 10","225","Médicos","27847",696
"36",2018,6,"201806","Região Sul","RS","43030","REGIAO 30","225","Médicos","2400",60
"37",2018,6,"201806","Região Sul","RS","43006","REGIAO 06 - VALE DO PARANHANA E COSTA SERR","225","Médicos","3330",83
"38",2019,5,"201905","Região Nordeste","SE","28004","LAGARTO","225","Médicos","2993",74
"39",2014,10,"201410","Região Sudeste","SP","35156","JOSE BONIFACIO","225","Médicos","2123",53
"40",2017,9,"201709","Região Sudeste","SP","35142","MANTIQUEIRA","225","Médicos","4443",111
"41",2019,10,"201910","Região Sudeste","SP","35016","SAO PAULO","225","Médicos","131155",3278
"42",2015,7,"201507","Região Nordeste","BA","29002","BARREIRAS","225","Médicos","5381",134
"43",2017,9,"201709","Região Nordeste","BA","29001","ALAGOINHAS","225","Médicos","6722",168
"44",2015,3,"201503","Região Nordeste","MA","21004","BARRA DO CORDA","225","Médicos","2700",67
"45",2018,4,"201804","Região Sudeste","MG","31008","SAO LOURENCO","225","Médicos","5470",136
"46",2019,12,"201912","Região Sudeste","MG","31089","CAMPO BELO","225","Médicos","1635",40
"47",2017,9,"201709","Região Centro-Oeste","MS","50003","DOURADOS","225","Médicos","11605",290
"48",2019,2,"201902","Região Nordeste","PI","22007","TABULEIROS DO ALTO PARNAIBA","225","Médicos","840",21
"49",2017,9,"201709","Região Sul","PR","41008","8ª RS FRANCISCO BELTRAO","225","Médicos","7210",180
"50",2017,12,"201712","Região Sul","PR","41004","4ª RS IRATI","225","Médicos","2555",63
"51",2016,12,"201612","Região Nordeste","AL","27002","2ª REGIAO DE SAUDE","225","Médicos","3124",78
"52",2016,7,"201607","Região Nordeste","CE","23018","18ª REGIAO IGUATU","225","Médicos","5118",127
"53",2017,9,"201709","Região Centro-Oeste","GO","52006","NORDESTE I","225","Médicos","792",19
"54",2016,7,"201607","Região Sudeste","MG","31074","PATROCINIO / MONTE CARMELO","225","Médicos","2757",68
"55",2016,7,"201607","Região Sudeste","MG","31017","BETIM","225","Médicos","11009",275
"56",2018,6,"201806","Região Sudeste","MG","31062","AGUAS FORMOSAS","225","Médicos","1138",28
"57",2018,9,"201809","Região Sudeste","MG","31031","ITAUNA","225","Médicos","1602",40
"58",2019,7,"201907","Região Sudeste","MG","31067","PADRE PARAISO","225","Médicos","967",24
"59",2016,9,"201609","Região Nordeste","PI","22001","CARNAUBAIS","225","Médicos","3128",78
"60",2016,9,"201609","Região Nordeste","PI","22008","VALE DO CANINDE","225","Médicos","1954",48
"61",2019,5,"201905","Região Nordeste","PI","22001","CARNAUBAIS","225","Médicos","3170",79
"62",2015,9,"201509","Região Sul","PR","41012","12ª RS UMUARAMA","225","Médicos","4789",119
"63",2015,10,"201510","Região Sul","PR","41022","22ª RS IVAIPORA","225","Médicos","2521",63
"64",2018,12,"201812","Região Nordeste","RN","24003","3ª REGIAO DE SAUDE - JOAO CAMARA","225","Médicos","5687",142
"65",2014,4,"201404","Região Sul","RS","43011","REGIAO 11","225","Médicos","4071",101
"66",2014,9,"201409","Região Sul","RS","43004","REGIAO 04","225","Médicos","1996",49
"67",2016,12,"201612","Região Sul","RS","43028","REGIAO 28","225","Médicos","5571",139
"68",2015,8,"201508","Região Sudeste","SP","35061","VALE DO JURUMIRIM","225","Médicos","5382",134
"69",2018,12,"201812","Região Sudeste","SP","35101","ARARAS","225","Médicos","3566",89
"70",2018,12,"201812","Região Sudeste","SP","35092","ASSIS","225","Médicos","3417",85
"71",2019,4,"201904","Região Norte","AP","16002","AREA NORTE","225","Médicos","820",20
"72",2014,2,"201402","Região Nordeste","BA","29021","SANTA MARIA DA VITORIA","225","Médicos","4017",100
"73",2014,2,"201402","Região Nordeste","BA","29014","JACOBINA","225","Médicos","5182",129
"74",2014,11,"201411","Região Nordeste","BA","29013","ITAPETINGA","225","Médicos","3257",81
"75",2019,7,"201907","Região Nordeste","BA","29007","GUANAMBI","225","Médicos","6659",166
