"","competen","regiao","cod_regsaud","cbo_recod","categoria_profissional","horas","fte40","ano","mes"
"1","201407","Região Norte",13002,"225","Médicos","3790",94,2014,7
"2","201805","Região Norte",16003,"225","Médicos","3206",80,2018,5
"3","201707","Região Nordeste",29010,"225","Médicos","5681",142,2017,7
"4","201707","Região Nordeste",29018,"225","Médicos","5634",140,2017,7
"5","201604","Região Centro-Oeste",52004,"225","Médicos","7240",181,2016,4
"6","201705","Região Sudeste",31046,"225","Médicos","824",20,2017,5
"7","201801","Região Sudeste",31064,"225","Médicos","1737",43,2018,1
"8","201801","Região Sudeste",31004,"225","Médicos","3192",79,2018,1
"9","201901","Região Sudeste",31088,"225","Médicos","1686",42,2019,1
"10","201908","Região Sudeste",31098,"225","Médicos","1534",38,2019,8
"11","201907","Região Nordeste",26010,"225","Médicos","43144",1078,2019,7
"12","201907","Região Nordeste",26001,"225","Médicos","3224",80,2019,7
"13","201411","Região Sudeste",35071,"225","Médicos","5877",146,2014,11
"14","201609","Região Sudeste",35161,"225","Médicos","7219",180,2016,9
"15","201712","Região Sudeste",35095,"225","Médicos","1927",48,2017,12
"16","201901","Região Sudeste",35081,"225","Médicos","4333",108,2019,1
"17","201402","Região Nordeste",29001,"225","Médicos","6374",159,2014,2
"18","201501","Região Centro-Oeste",52015,"225","Médicos","4409",110,2015,1
"19","201604","Região Sudeste",31075,"225","Médicos","8420",210,2016,4
"20","201610","Região Sudeste",31021,"225","Médicos","3840",96,2016,10
"21","201802","Região Sudeste",31007,"225","Médicos","9774",244,2018,2
"22","201806","Região Centro-Oeste",50003,"225","Médicos","11379",284,2018,6
"23","201412","Região Centro-Oeste",51002,"225","Médicos","8211",205,2014,12
"24","201512","Região Centro-Oeste",51010,"225","Médicos","1199",29,2015,12
"25","201701","Região Nordeste",25016,"225","Médicos","8520",213,2017,1
"26","201509","Região Nordeste",26007,"225","Médicos","4844",121,2015,9
"27","201510","Região Nordeste",26012,"225","Médicos","3433",85,2015,10
"28","201705","Região Nordeste",26012,"225","Médicos","3324",83,2017,5
"29","201910","Região Nordeste",26010,"225","Médicos","42951",1073,2019,10
"30","201912","Região Nordeste",26001,"225","Médicos","3208",80,2019,12
"31","201511","Região Nordeste",22005,"225","Médicos","4506",112,2015,11
"32","201411","Região Sul",41011,"225","Médicos","5524",138,2014,11
"33","201502","Região Sudeste",35161,"225","Médicos","6304",157,2015,2
"34","201801","Região Sudeste",35072,"225","Médicos","39378",984,2018,1
"35","201812","Região Norte",12001,"225","Médicos","980",24,2018,12
"36","201507","Região Nordeste",29004,"225","Médicos","7512",187,2015,7
"37","201906","Região Nordeste",21018,"225","Médicos","4172",104,2019,6
"38","201611","Região Sudeste",31035,"225","Médicos","3627",90,2016,11
"39","201804","Região Sudeste",31089,"225","Médicos","1614",40,2018,4
"40","201804","Região Sudeste",31087,"225","Médicos","1822",45,2018,4
"41","201402","Região Nordeste",26002,"225","Médicos","4820",120,2014,2
"42","201812","Região Nordeste",26003,"225","Médicos","15896",397,2018,12
"43","201812","Região Nordeste",26005,"225","Médicos","4284",107,2018,12
"44","201705","Região Nordeste",22004,"225","Médicos","19695",492,2017,5
"45","201405","Região Sul",41008,"225","Médicos","6720",168,2014,5
"46","201501","Região Sul",41020,"225","Médicos","6020",150,2015,1
"47","201709","Região Sul",41018,"225","Médicos","3832",95,2017,9
"48","201412","Região Nordeste",24008,"225","Médicos","2617",65,2014,12
"49","201504","Região Norte",11006,"225","Médicos","2350",58,2015,4
"50","201504","Região Norte",11002,"225","Médicos","2300",57,2015,4
"51","201402","Região Sul",43025,"225","Médicos","4940",123,2014,2
"52","201509","Região Sul",43016,"225","Médicos","4575",114,2015,9
"53","201806","Região Sul",42007,"225","Médicos","19102",477,2018,6
"54","201806","Região Sul",42001,"225","Médicos","4986",124,2018,6
"55","201707","Região Sudeste",35012,"225","Médicos","5901",147,2017,7
"56","201411","Região Nordeste",27001,"225","Médicos","14504",362,2014,11
"57","201905","Região Nordeste",27001,"225","Médicos","13048",326,2019,5
"58","201910","Região Norte",13003,"225","Médicos","2194",54,2019,10
"59","201807","Região Centro-Oeste",52010,"225","Médicos","2058",51,2018,7
"60","201710","Região Nordeste",21018,"225","Médicos","4200",105,2017,10
"61","201505","Região Sudeste",31095,"225","Médicos","1000",25,2015,5
"62","201505","Região Sudeste",31090,"225","Médicos","1837",45,2015,5
"63","201505","Região Sudeste",31071,"225","Médicos","3045",76,2015,5
"64","201510","Região Sudeste",31015,"225","Médicos","4289",107,2015,10
"65","201407","Região Nordeste",26009,"225","Médicos","5424",135,2014,7
"66","201801","Região Nordeste",22008,"225","Médicos","2034",50,2018,1
"67","201402","Região Sul",41014,"225","Médicos","4734",118,2014,2
"68","201611","Região Sudeste",33001,"225","Médicos","8584",214,2016,11
"69","201403","Região Nordeste",24006,"225","Médicos","4537",113,2014,3
"70","201407","Região Sul",43005,"225","Médicos","3090",77,2014,7
"71","201505","Região Sul",43001,"225","Médicos","7633",190,2015,5
"72","201806","Região Sul",43012,"225","Médicos","2651",66,2018,6
"73","201404","Região Sul",42003,"225","Médicos","4471",111,2014,4
"74","201509","Região Nordeste",28003,"225","Médicos","3812",95,2015,9
"75","201905","Região Nordeste",28002,"225","Médicos","3431",85,2019,5
