"","competen","regiao","cod_regsaud","cbo_recod","categoria_profissional","horas","fte40","ano","mes"
"1","201909","Região Nordeste",27001,"225","Médicos","12819",320,2019,9
"2","201901","Região Sudeste",31007,"225","Médicos","9796",244,2019,1
"3","201901","Região Sudeste",31078,"225","Médicos","2266",56,2019,1
"4","201908","Região Sudeste",31045,"225","Médicos","2978",74,2019,8
"5","201902","Região Nordeste",22003,"225","Médicos","6959",173,2019,2
"6","201902","Região Sudeste",31036,"225","Médicos","7054",176,2019,2
"7","201907","Região Sudeste",31045,"225","Médicos","3063",76,2019,7
"8","201908","Região Centro-Oeste",51004,"225","Médicos","1466",36,2019,8
"9","201903","Região Norte",15001,"225","Médicos","5676",141,2019,3
"10","201905","Região Nordeste",22007,"225","Médicos","940",23,2019,5
"11","201905","Região Nordeste",22008,"225","Médicos","1866",46,2019,5
"12","201910","Região Sudeste",35034,"225","Médicos","4518",112,2019,10
"13","201909","Região Nordeste",29010,"225","Médicos","6180",154,2019,9
"14","201912","Região Nordeste",26009,"225","Médicos","6624",165,2019,12
"15","201905","Região Norte",12001,"225","Médicos","1040",26,2019,5
"16","201904","Região Nordeste",23001,"225","Médicos","20717",517,2019,4
"17","201903","Região Sudeste",31089,"225","Médicos","1519",37,2019,3
"18","201905","Região Sudeste",31061,"225","Médicos","2673",66,2019,5
"19","201906","Região Sul",43010,"225","Médicos","26443",661,2019,6
"20","201905","Região Sudeste",35083,"225","Médicos","2608",65,2019,5
"21","201905","Região Sudeste",35034,"225","Médicos","4771",119,2019,5
"22","201910","Região Centro-Oeste",52008,"225","Médicos","2213",55,2019,10
"23","201911","Região Nordeste",21017,"225","Médicos","3186",79,2019,11
"24","201904","Região Sudeste",35023,"225","Médicos","3975",99,2019,4
"25","201909","Região Sudeste",31097,"225","Médicos","7408",185,2019,9
"26","201909","Região Sudeste",31093,"225","Médicos","1226",30,2019,9
"27","201911","Região Sul",42003,"225","Médicos","4052",101,2019,11
"28","201907","Região Sul",41016,"225","Médicos","6310",157,2019,7
"29","201903","Região Sudeste",35031,"225","Médicos","4761",119,2019,3
"30","201903","Região Sudeste",35033,"225","Médicos","2676",66,2019,3
"31","201909","Região Nordeste",23019,"225","Médicos","3828",95,2019,9
"32","201910","Região Sudeste",31080,"225","Médicos","1202",30,2019,10
"33","201905","Região Norte",11001,"225","Médicos","2175",54,2019,5
"34","201907","Região Sudeste",35157,"225","Médicos","3985",99,2019,7
"35","201907","Região Sudeste",35111,"225","Médicos","2674",66,2019,7
"36","201912","Região Sudeste",35082,"225","Médicos","2860",71,2019,12
"37","201912","Região Centro-Oeste",50001,"225","Médicos","21343",533,2019,12
"38","201901","Região Sudeste",35064,"225","Médicos","3900",97,2019,1
"39","201912","Região Sudeste",31090,"225","Médicos","1742",43,2019,12
"40","201902","Região Nordeste",22011,"225","Médicos","4341",108,2019,2
"41","201905","Região Sul",43018,"225","Médicos","2959",73,2019,5
"42","201910","Região Nordeste",23015,"225","Médicos","4744",118,2019,10
"43","201904","Região Sudeste",31062,"225","Médicos","1224",30,2019,4
"44","201904","Região Sudeste",31086,"225","Médicos","4052",101,2019,4
"45","201906","Região Sudeste",31025,"225","Médicos","7169",179,2019,6
