"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,314.887590850987,314.335130739529,313.718680234056,28001,"SE","ARACAJU","Região Nordeste"
"2",2025-03-01,315.689453739095,314.582691572773,313.350029454978,28001,"SE","ARACAJU","Região Nordeste"
"3",2025-04-01,316.577230508073,314.913878632553,313.064753237123,28001,"SE","ARACAJU","Região Nordeste"
"4",2025-05-01,317.43636931676,315.214497732348,312.749061922044,28001,"SE","ARACAJU","Região Nordeste"
"5",2025-06-01,318.324146085738,315.54148024317,312.459510689864,28001,"SE","ARACAJU","Região Nordeste"
"6",2025-07-01,319.183284894425,315.838007300555,312.139793469432,28001,"SE","ARACAJU","Região Nordeste"
"7",2025-08-01,320.071061663403,316.160810672884,311.846046249309,28001,"SE","ARACAJU","Região Nordeste"
"8",2025-09-01,320.95883843238,316.481509150065,311.55017858878,28001,"SE","ARACAJU","Região Nordeste"
"9",2025-10-01,321.817977241068,316.77192020298,311.224515009954,28001,"SE","ARACAJU","Região Nordeste"
"10",2025-11-01,322.705754010045,317.088477507371,310.924568531907,28001,"SE","ARACAJU","Região Nordeste"
"11",2025-12-01,323.564892818733,317.374858863848,310.595070219143,28001,"SE","ARACAJU","Região Nordeste"
"12",2026-01-01,324.45266958771,317.687300090453,310.291121623757,28001,"SE","ARACAJU","Região Nordeste"
"13",2026-02-01,325.340446356687,317.997668051341,309.985149612477,28001,"SE","ARACAJU","Região Nordeste"
"14",2026-03-01,326.142309244796,318.222141545218,309.595618319416,28001,"SE","ARACAJU","Região Nordeste"
"15",2026-04-01,327.030086013773,318.528528971202,309.285959739113,28001,"SE","ARACAJU","Região Nordeste"
"16",2026-05-01,327.889224822461,318.805017223393,308.947350337794,28001,"SE","ARACAJU","Região Nordeste"
"17",2026-06-01,328.777001591439,319.107350505404,308.633876295772,28001,"SE","ARACAJU","Região Nordeste"
"18",2026-07-01,329.636140400126,319.37989466416,308.291688655458,28001,"SE","ARACAJU","Região Nordeste"
"19",2026-08-01,330.523917169104,319.678198462879,307.974472706027,28001,"SE","ARACAJU","Região Nordeste"
"20",2026-09-01,331.411693938081,319.974472431387,307.655363582338,28001,"SE","ARACAJU","Região Nordeste"
"21",2026-10-01,332.270832746769,320.241121637756,307.307893271848,28001,"SE","ARACAJU","Região Nordeste"
"22",2026-11-01,333.158609515746,320.533402968571,306.985151290897,28001,"SE","ARACAJU","Região Nordeste"
"23",2026-12-01,334.017748324434,320.796168580034,306.634280558489,28001,"SE","ARACAJU","Região Nordeste"
"24",2027-01-01,334.905525093411,321.084481626879,306.307977087181,28001,"SE","ARACAJU","Região Nordeste"
"25",2027-02-01,335.793301862388,321.370795540902,305.979870749347,28001,"SE","ARACAJU","Região Nordeste"
"26",2027-03-01,336.595164750497,321.573036875911,305.571984024956,28001,"SE","ARACAJU","Região Nordeste"
"27",2027-04-01,337.482941519474,321.855514896971,305.240615021486,28001,"SE","ARACAJU","Região Nordeste"
"28",2027-05-01,338.342080328162,322.108747930521,304.881689593149,28001,"SE","ARACAJU","Região Nordeste"
"29",2027-06-01,339.229857097139,322.387317768311,304.54693270827,28001,"SE","ARACAJU","Região Nordeste"
"30",2027-07-01,340.088995905827,322.636750266627,304.184845298031,28001,"SE","ARACAJU","Região Nordeste"
"31",2027-08-01,340.976772674804,322.911435852265,303.846768941111,28001,"SE","ARACAJU","Região Nordeste"
"32",2027-09-01,341.864549443782,323.184164457363,303.507010876544,28001,"SE","ARACAJU","Região Nordeste"
"33",2027-10-01,342.72368825247,323.427916495961,303.140257876115,28001,"SE","ARACAJU","Região Nordeste"
"34",2027-11-01,343.611465021447,323.696796604608,302.797281755013,28001,"SE","ARACAJU","Região Nordeste"
"35",2027-12-01,344.470603830135,323.936806808995,302.427532036987,28001,"SE","ARACAJU","Região Nordeste"
"36",2028-01-01,345.358380599112,324.201862053634,302.081404212429,28001,"SE","ARACAJU","Região Nordeste"
"37",2028-02-01,346.246157368089,324.464990108199,301.733678672673,28001,"SE","ARACAJU","Região Nordeste"
"38",2028-03-01,347.076658216487,324.672618199181,301.334644651148,28001,"SE","ARACAJU","Região Nordeste"
"39",2028-04-01,347.964434985465,324.932003700311,300.983958069965,28001,"SE","ARACAJU","Região Nordeste"
"40",2028-05-01,348.823573794153,325.162784200855,300.607043233207,28001,"SE","ARACAJU","Região Nordeste"
"41",2028-06-01,349.71135056313,325.418403319864,300.253366978129,28001,"SE","ARACAJU","Região Nordeste"
"42",2028-07-01,350.570489371818,325.645522735872,299.873677577752,28001,"SE","ARACAJU","Região Nordeste"
"43",2028-08-01,351.458266140795,325.897398693438,299.517075217136,28001,"SE","ARACAJU","Região Nordeste"
"44",2028-09-01,352.346042909772,326.147388446502,299.158988099763,28001,"SE","ARACAJU","Região Nordeste"
"45",2028-10-01,353.20518171846,326.36903575914,298.775207397921,28001,"SE","ARACAJU","Região Nordeste"
"46",2028-11-01,354.092958487437,326.615317045134,298.414288407058,28001,"SE","ARACAJU","Região Nordeste"
"47",2028-12-01,354.952097296125,326.833360223973,298.027886597611,28001,"SE","ARACAJU","Região Nordeste"
"48",2029-01-01,355.839874065102,327.075955972977,297.664197369255,28001,"SE","ARACAJU","Região Nordeste"
"49",2029-02-01,356.72765083408,327.316694424782,297.299101434336,28001,"SE","ARACAJU","Região Nordeste"
"50",2029-03-01,357.529513722188,327.476889075836,296.86127886603,28001,"SE","ARACAJU","Região Nordeste"
"51",2029-04-01,358.417290491166,327.71406829293,296.493680596856,28001,"SE","ARACAJU","Região Nordeste"
"52",2029-05-01,359.276429299853,327.923268441515,296.101118469053,28001,"SE","ARACAJU","Região Nordeste"
"53",2029-06-01,360.164206068831,328.15681870196,295.730899772118,28001,"SE","ARACAJU","Região Nordeste"
"54",2029-07-01,361.023344877519,328.362492892537,295.335922051513,28001,"SE","ARACAJU","Região Nordeste"
