"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,293.583964564019,293.068880977057,292.494136247152,41010,"PR","10ª RS CASCAVEL","Região Sul"
"2",2025-03-01,294.174589481527,293.143255358466,291.994601616072,41010,"PR","10ª RS CASCAVEL","Região Sul"
"3",2025-04-01,294.828495640196,293.279415403463,291.55732421671,41010,"PR","10ª RS CASCAVEL","Região Sul"
"4",2025-05-01,295.461308051812,293.393249227719,291.098487316857,41010,"PR","10ª RS CASCAVEL","Região Sul"
"5",2025-06-01,296.115214210481,293.526690210087,290.659744407547,41010,"PR","10ª RS CASCAVEL","Região Sul"
"6",2025-07-01,296.748026622097,293.637887177255,290.199619234198,41010,"PR","10ª RS CASCAVEL","Região Sul"
"7",2025-08-01,297.401932780766,293.768626488737,289.759456548799,41010,"PR","10ª RS CASCAVEL","Região Sul"
"8",2025-09-01,298.055838939436,293.898003180911,289.318562793134,41010,"PR","10ª RS CASCAVEL","Região Sul"
"9",2025-10-01,298.688651351051,294.005258632384,288.856550067973,41010,"PR","10ª RS CASCAVEL","Região Sul"
"10",2025-11-01,299.342557509721,294.131959639509,288.414304301653,41010,"PR","10ª RS CASCAVEL","Região Sul"
"11",2025-12-01,299.975369921336,294.236620858463,287.95111321588,41010,"PR","10ª RS CASCAVEL","Região Sul"
"12",2026-01-01,300.629276080006,294.360663351503,287.507559689183,41010,"PR","10ª RS CASCAVEL","Região Sul"
"13",2026-02-01,301.283182238675,294.483364880945,287.063331251433,41010,"PR","10ª RS CASCAVEL","Região Sul"
"14",2026-03-01,301.873807156183,294.542985275626,286.558368331188,41010,"PR","10ª RS CASCAVEL","Região Sul"
"15",2026-04-01,302.527713314852,294.663126166144,286.11304635844,41010,"PR","10ª RS CASCAVEL","Região Sul"
"16",2026-05-01,303.160525726468,294.761429498061,285.647206616559,41010,"PR","10ª RS CASCAVEL","Região Sul"
"17",2026-06-01,303.814431885137,294.878954230038,285.200684151958,41010,"PR","10ª RS CASCAVEL","Região Sul"
"18",2026-07-01,304.447244296753,294.974721813766,284.733812672413,41010,"PR","10ª RS CASCAVEL","Região Sul"
"19",2026-08-01,305.101150455422,295.089647254303,284.286131963749,41010,"PR","10ª RS CASCAVEL","Região Sul"
"20",2026-09-01,305.755056614092,295.203261450399,283.837851320122,41010,"PR","10ª RS CASCAVEL","Região Sul"
"21",2026-10-01,306.387869025707,295.295238591623,283.369472354797,41010,"PR","10ª RS CASCAVEL","Região Sul"
"22",2026-11-01,307.041775184377,295.406278698338,282.920096060572,41010,"PR","10ª RS CASCAVEL","Região Sul"
"23",2026-12-01,307.674587595992,295.495761423934,282.450786782714,41010,"PR","10ª RS CASCAVEL","Região Sul"
"24",2027-01-01,308.328493754662,295.604244093612,282.0003556943,41010,"PR","10ª RS CASCAVEL","Região Sul"
"25",2027-02-01,308.982399913331,295.711436522274,281.549376550842,41010,"PR","10ª RS CASCAVEL","Região Sul"
"26",2027-03-01,309.573024830839,295.756885882502,281.040410869499,41010,"PR","10ª RS CASCAVEL","Região Sul"
"27",2027-04-01,310.226930989509,295.861616468617,280.588579633444,41010,"PR","10ª RS CASCAVEL","Região Sul"
"28",2027-05-01,310.859743401124,295.944987486692,280.117222494771,41010,"PR","10ª RS CASCAVEL","Região Sul"
"29",2027-06-01,311.513649559794,296.04720170914,279.664435442155,41010,"PR","10ª RS CASCAVEL","Região Sul"
"30",2027-07-01,312.146461971409,296.128135017836,279.192283161649,41010,"PR","10ª RS CASCAVEL","Região Sul"
"31",2027-08-01,312.800368130079,296.227849233393,278.738579271378,41010,"PR","10ª RS CASCAVEL","Região Sul"
"32",2027-09-01,313.454274288748,296.326302029328,278.284396526756,41010,"PR","10ª RS CASCAVEL","Região Sul"
"33",2027-10-01,314.087086700364,296.403591382198,277.811087244623,41010,"PR","10ª RS CASCAVEL","Região Sul"
"34",2027-11-01,314.740992859033,296.499568610913,277.356045406228,41010,"PR","10ª RS CASCAVEL","Região Sul"
"35",2027-12-01,315.373805270649,296.574460330303,276.882034451184,41010,"PR","10ª RS CASCAVEL","Região Sul"
