"cod_regsaude",".index",".value",".model_id",".model_desc",".key","tipo",".conf_lo",".conf_hi"
23010,2005-04-01,271,0,"Dados Históricos","actual","histórico",NA,NA
23010,2017-04-01,219,0,"Dados Históricos","actual","histórico",NA,NA
23010,2007-04-01,277,0,"Dados Históricos","actual","histórico",NA,NA
23010,2018-02-01,208,0,"Dados Históricos","actual","histórico",NA,NA
23010,2015-12-01,249,0,"Dados Históricos","actual","histórico",NA,NA
23010,2023-02-01,187,0,"Dados Históricos","actual","histórico",NA,NA
23010,2020-10-01,220,0,"Dados Históricos","actual","histórico",NA,NA
23010,2013-09-01,244,0,"Dados Históricos","actual","histórico",NA,NA
23010,2019-10-01,206,0,"Dados Históricos","actual","histórico",NA,NA
23010,2015-03-01,278,0,"Dados Históricos","actual","histórico",NA,NA
23010,2005-11-01,217,0,"Dados Históricos","actual","histórico",NA,NA
23010,2001-05-01,340,0,"Dados Históricos","actual","histórico",NA,NA
23010,2012-10-01,213,0,"Dados Históricos","actual","histórico",NA,NA
23010,2007-07-01,243,0,"Dados Históricos","actual","histórico",NA,NA
23010,2004-07-01,268,0,"Dados Históricos","actual","histórico",NA,NA
23010,2023-10-01,199,0,"Dados Históricos","actual","histórico",NA,NA
23010,2003-08-01,271,0,"Dados Históricos","actual","histórico",NA,NA
23010,2020-02-01,217,0,"Dados Históricos","actual","histórico",NA,NA
23010,2002-02-01,297,0,"Dados Históricos","actual","histórico",NA,NA
23010,2003-05-01,328,0,"Dados Históricos","actual","histórico",NA,NA
23010,2011-02-01,236,0,"Dados Históricos","actual","histórico",NA,NA
23010,2019-09-01,244,0,"Dados Históricos","actual","histórico",NA,NA
23010,2001-09-01,283,0,"Dados Históricos","actual","histórico",NA,NA
23010,2011-11-01,224,0,"Dados Históricos","actual","histórico",NA,NA
23010,2004-10-01,252,0,"Dados Históricos","actual","histórico",NA,NA
23010,2008-04-01,254,0,"Dados Históricos","actual","histórico",NA,NA
23010,2009-12-01,216,0,"Dados Históricos","actual","histórico",NA,NA
23010,2014-07-01,271,0,"Dados Históricos","actual","histórico",NA,NA
23010,2023-01-01,189,0,"Dados Históricos","actual","histórico",NA,NA
23010,2011-12-01,235,0,"Dados Históricos","actual","histórico",NA,NA
23010,2005-09-01,272,0,"Dados Históricos","actual","histórico",NA,NA
23010,2000-12-01,287,0,"Dados Históricos","actual","histórico",NA,NA
23010,2003-09-01,277,0,"Dados Históricos","actual","histórico",NA,NA
23010,2014-11-01,238,0,"Dados Históricos","actual","histórico",NA,NA
23010,2012-05-01,245,0,"Dados Históricos","actual","histórico",NA,NA
23010,2002-11-01,270,0,"Dados Históricos","actual","histórico",NA,NA
23010,2002-10-01,276,0,"Dados Históricos","actual","histórico",NA,NA
23010,2023-09-01,200,0,"Dados Históricos","actual","histórico",NA,NA
23010,2016-05-01,224,0,"Dados Históricos","actual","histórico",NA,NA
23010,2015-09-01,273,0,"Dados Históricos","actual","histórico",NA,NA
