"","regiao","necessidade","oferta","perc","absoluto","perc_medio","cenario"
"1","Centro-Oeste",3414.88990752851,1046.85317102678,30.655546719643,-2368.03673650174,30.66,"Cenário 1"
"2","Nordeste",10556.1307497986,3497.07401320343,33.1283696279544,-7059.05673659514,33.13,"Cenário 1"
"3","Norte",4165.69829980847,1236.17611039578,29.6751233869388,-2929.52218941269,29.68,"Cenário 1"
"4","Sudeste",15273.6771950367,4900.87918253968,32.0870941552454,-10372.798012497,32.09,"Cenário 1"
"5","Sul",5035.03578088929,2670.82155153463,53.0447382652544,-2364.21422935466,53.04,"Cenário 1"
"6","Centro-Oeste",2397.72732264658,977.931847493679,40.7857823638699,-1419.7954751529,40.79,"Cenário 2"
"7","Nordeste",8686.49610133401,3266.83831620805,37.6082401706984,-5419.65778512596,37.61,"Cenário 2"
"8","Norte",3508.16994455563,1154.79039556348,32.9171737348589,-2353.37954899215,32.92,"Cenário 2"
"9","Sudeste",8232.56412056306,4578.22163219272,55.6111263167374,-3654.34248837033,55.61,"Cenário 2"
"10","Sul",3345.89526295367,2494.98356264843,74.5684896438129,-850.911700305234,74.57,"Cenário 2"
"11","Centro-Oeste",2025.47916668061,1016.41018981853,50.1812216357792,-1009.06897686208,50.18,"Cenário 3"
"12","Nordeste",7487.70480009689,3395.37746070278,45.3460379562352,-4092.32733939411,45.35,"Cenário 3"
"13","Norte",2992.60941344822,1200.22752931448,40.1063875533134,-1792.38188413374,40.11,"Cenário 3"
"14","Sudeste",6907.32616387148,4758.35931730241,68.8885858929152,-2148.96684656907,68.89,"Cenário 3"
"15","Sul",2636.80444298624,2593.15280814801,98.3445251332788,-43.6516348382265,98.34,"Cenário 3"
"16","Centro-Oeste",898.532811793859,1037.2999146817,115.443743519037,138.767102887839,115.44,"Cenário 4"
"17","Nordeste",3181.32264661819,3465.16080375776,108.922017307528,283.838157139576,108.92,"Cenário 4"
"18","Norte",1277.66584726669,1224.89515180758,95.8697576857049,-52.7706954591054,95.87,"Cenário 4"
"19","Sudeste",3060.63440666095,4856.15528386616,158.66499028102,1795.52087720521,158.66,"Cenário 4"
"20","Sul",1243.20055246936,2646.44846499305,212.873816677159,1403.24791252369,212.87,"Cenário 4"
