"","uf_sigla","cod_regsaude","regiao_saude","necessidade_media","oferta_media","perc","total","cenario"
"1","AC",12001,"Alto Acre",19.8678448275862,5.08912631486746,25.6148885751377,-14.7787185127187,"Cenário 1"
"2","AC",12002,"Baixo Acre e Purus",134.958754789272,21.2334509225859,15.7332890005842,-113.725303866686,"Cenário 1"
"3","AC",12003,"Juruá e Tarauacá/Envira",73.3854310344828,14.4123619213107,19.6392686097851,-58.9730691131721,"Cenário 1"
"4","AL",27001,"1ª Região de Saúde",268.331053639847,40.8835402886415,15.2362314141677,-227.447513351205,"Cenário 1"
"5","AL",27002,"2ª Região de Saúde",36.7355172413793,10.3412718879846,28.1506091775838,-26.3942453533947,"Cenário 1"
"6","AL",27003,"3ª Região de Saúde",49.190162835249,12.9326155841984,26.2910607299943,-36.2575472510506,"Cenário 1"
"7","AL",27004,"4ª Região de Saúde",27.3344444444444,6.99925290147405,25.6059819166971,-20.3351915429704,"Cenário 1"
"8","AL",27005,"5ª Região de Saúde",42.7726724137931,12.7469516910228,29.8016255980121,-30.0257207227703,"Cenário 1"
"9","AL",27006,"6ª Região de Saúde",43.1453256704981,10.464055573029,24.2530457480916,-32.6812700974691,"Cenário 1"
"10","AL",27007,"7ª Região de Saúde",110.983122605364,26.9061058845231,24.2434212093639,-84.0770167208408,"Cenário 1"
"11","AL",27008,"8ª Região de Saúde",34.6697413793103,7.28225872849609,21.0046525840019,-27.3874826508142,"Cenário 1"
"12","AL",27009,"9ª Região de Saúde",54.8192911877395,11.7732861864819,21.4765385166364,-43.0460050012575,"Cenário 1"
"13","AL",27010,"10ª Região de Saúde",35.2411015325671,9.10055740378121,25.8237030286105,-26.1405441287858,"Cenário 1"
"14","AM",13001,"Manaus, Entorno e Alto Rio Negro",637.47,113.288575530223,17.7715932561882,-524.181424469777,"Cenário 1"
"15","AM",13002,"Rio Negro e Solimões",81.2427394636015,15.8311853815955,19.4862771567275,-65.4115540820061,"Cenário 1"
"16","AM",13003,"Rio Madeira",48.6201436781609,13.1496309680804,27.0456439929997,-35.4705127100805,"Cenário 1"
"17","AM",13004,"Médio Amazonas",45.6856130268199,14.3216163427034,31.3481978107546,-31.3639966841165,"Cenário 1"
"18","AM",13005,"Baixo Amazonas",71.3434578544061,14.0443165366879,19.6855001972974,-57.2991413177182,"Cenário 1"
"19","AM",13006,"Regional Purus",36.4377490421456,7.90038404283059,21.6818663350819,-28.537364999315,"Cenário 1"
"20","AM",13007,"Regional Juruá",38.5666858237548,6.20520626315603,16.0895501664651,-32.3614795605988,"Cenário 1"
"21","AM",13008,"Triângulo",48.1786206896552,10.6158218058717,22.0342999735381,-37.5627988837835,"Cenário 1"
"22","AM",13009,"Alto Solimões",95.2766475095785,22.6489600754504,23.7717852878623,-72.6276874341282,"Cenário 1"
"23","AP",16001,"Área Central",144.349281609195,27.6099790399772,19.1272022501138,-116.739302569218,"Cenário 1"
"24","AP",16002,"Área Norte",19.6079022988506,3.82361873990307,19.5003967361017,-15.7842835589475,"Cenário 1"
"25","AP",16003,"Área Sudoeste",54.2839463601533,12.1067324318961,22.302601862386,-42.1772139282571,"Cenário 1"
"26","BA",29001,"Alagoinhas",92.5968965517241,23.602478982058,25.4894924786963,-68.9944175696662,"Cenário 1"
"27","BA",29002,"Barreiras",109.497710727969,26.9633231744305,24.6245542442589,-82.5343875535389,"Cenário 1"
"28","BA",29003,"Brumado",69.5209099616858,29.0019229182258,41.716834451979,-40.51898704346,"Cenário 1"
"29","BA",29004,"Camaçari",122.933323754789,37.8653995575393,30.8015747081467,-85.06792419725,"Cenário 1"
"30","BA",29005,"Cruz das Almas",42.1167432950192,15.638631100196,37.1316248045358,-26.4781121948232,"Cenário 1"
"31","BA",29006,"Feira de Santana",214.840823754789,53.1095377660948,24.7204124606746,-161.731285988694,"Cenário 1"
"32","BA",29007,"Guanambi",78.4355938697318,33.642034242719,42.8912851716183,-44.7935596270128,"Cenário 1"
"33","BA",29008,"Ibotirama",40.4639463601533,8.73723257708753,21.5926358228161,-31.7267137830657,"Cenário 1"
"34","BA",29009,"Ilhéus",59.2602777777778,14.2784521110605,24.0944738136459,-44.9818256667173,"Cenário 1"
"35","BA",29010,"Irecê",85.1140134099617,21.7055204324979,25.5017000877995,-63.4084929774638,"Cenário 1"
"36","BA",29011,"Itaberaba",47.9974137931034,17.7057411853371,36.8889483538823,-30.2916726077663,"Cenário 1"
"37","BA",29012,"Itabuna",88.728122605364,26.9773683058617,30.404529605398,-61.7507542995023,"Cenário 1"
"38","BA",29013,"Itapetinga",41.1678831417625,12.1895599940465,29.6093922344063,-28.978323147716,"Cenário 1"
"39","BA",29014,"Jacobina",74.0955363984674,23.1968855330239,31.3067246160103,-50.8986508654436,"Cenário 1"
"40","BA",29015,"Jequié",96.0784770114943,26.9619148717723,28.0623878629412,-69.1165621397219,"Cenário 1"
"41","BA",29016,"Juazeiro",131.940680076628,33.1676929262893,25.1383370974185,-98.7729871503391,"Cenário 1"
"42","BA",29017,"Paulo Afonso",52.0920785440613,11.3498289697416,21.7880132391751,-40.7422495743197,"Cenário 1"
"43","BA",29018,"Porto Seguro",92.0283237547893,20.6044081009965,22.389202867475,-71.4239156537928,"Cenário 1"
"44","BA",29019,"Ribeira do Pombal",52.166561302682,13.2212133369157,25.3442301097888,-38.9453479657662,"Cenário 1"
"45","BA",29020,"Salvador",565.26474137931,99.9797454331647,17.6872424749513,-465.284995946146,"Cenário 1"
"46","BA",29021,"Santa Maria da Vitória",61.8357567049808,16.7388732558527,27.0698931294947,-45.0968834491282,"Cenário 1"
"47","BA",29022,"Santo Antônio de Jesus",77.3383620689655,22.5148000452515,29.1120725121825,-54.8235620237141,"Cenário 1"
"48","BA",29023,"Seabra",34.3118103448276,9.8657881059547,28.7533301414448,-24.4460222388729,"Cenário 1"
"49","BA",29024,"Senhor do Bonfim",61.0186302681992,19.6507194427067,32.2044584683965,-41.3679108254926,"Cenário 1"
