"","uf_sigla","necessidade","oferta","perc","absoluto","perc_medio","cenario","categoria"
"1","AC",117.388720154465,65.0022410009615,55.3734983356399,-52.3864791535032,55.37,"Cenário 1","Enfermeiros"
"2","AL",374.850242438373,186.295227214665,49.6985745568226,-188.555015223708,49.7,"Cenário 1","Enfermeiros"
"3","AM",577.813065046246,397.284017707705,68.7564961300949,-180.529047338541,68.76,"Cenário 1","Enfermeiros"
"4","AP",107.024269712964,86.9814054934994,81.2725989411385,-20.0428642194644,81.27,"Cenário 1","Enfermeiros"
"5","BA",1387.44887478316,923.370813518898,66.551700051882,-464.078061264259,66.55,"Cenário 1","Enfermeiros"
"6","CE",906.721367285095,630.519452160373,69.5383912754008,-276.201915124721,69.54,"Cenário 1","Enfermeiros"
"7","DF",288.240349100571,365.458433991451,126.789477993568,77.21808489088,126.79,"Cenário 1","Enfermeiros"
"8","ES",419.631969619737,183.05928892707,43.6237708706882,-236.572680692667,43.62,"Cenário 1","Enfermeiros"
"9","GO",735.127661337838,357.258144867153,48.5981093701452,-377.869516470685,48.6,"Cenário 1","Enfermeiros"
"10","MA",794.085484051552,551.591655776255,69.462503326713,-242.493828275297,69.46,"Cenário 1","Enfermeiros"
"11","MG",1890.56004479669,1183.77268079968,62.6149211212693,-706.787363997007,62.61,"Cenário 1","Enfermeiros"
"12","MS",324.852375822765,168.544080475602,51.8832839220352,-156.308295347163,51.88,"Cenário 1","Enfermeiros"
"13","MT",470.275415164818,323.145602043338,68.7141176474396,-147.12981312148,68.71,"Cenário 1","Enfermeiros"
"14","PA",1028.40096841832,635.652802817494,61.8098214935688,-392.748165600822,61.81,"Cenário 1","Enfermeiros"
"15","PB",418.983811730108,291.928165813754,69.6752852116877,-127.055645916355,69.68,"Cenário 1","Enfermeiros"
"16","PE",943.947744348754,574.229626063093,60.8327769731856,-369.71811828566,60.83,"Cenário 1","Enfermeiros"
"17","PI",342.687504270408,287.65499878579,83.9409068615488,-55.0325054846189,83.94,"Cenário 1","Enfermeiros"
"18","PR",1127.04889150968,961.287781848871,85.2924650465896,-165.761109660811,85.29,"Cenário 1","Enfermeiros"
"19","RJ",1433.84518106044,777.344140860239,54.213952184526,-656.501040200204,54.21,"Cenário 1","Enfermeiros"
"20","RN",322.13875108521,195.501768580709,60.6886839668028,-126.636982504501,60.69,"Cenário 1","Enfermeiros"
"21","RO",195.665355597792,176.393633158934,90.1506721105637,-19.2717224388581,90.15,"Cenário 1","Enfermeiros"
"22","RR",106.423844724454,111.90138172175,105.146907642247,5.47753699729637,105.15,"Cenário 1","Enfermeiros"
"23","RS",976.951149351271,829.629951168222,84.9203106746048,-147.321198183049,84.92,"Cenário 1","Enfermeiros"
"24","SC",780.860082824174,553.74112224333,70.9142565260332,-227.118960580844,70.91,"Cenário 1","Enfermeiros"
"25","SE",234.08929281811,141.169146155778,60.3056826975288,-92.9201466623314,60.31,"Cenário 1","Enfermeiros"
"26","SP",4084.0781675934,2208.5413844535,54.0768637088774,-1875.5367831399,54.08,"Cenário 1","Enfermeiros"
"27","TO",186.319068381284,205.716594357411,110.410918294434,19.3975259761268,110.41,"Cenário 1","Enfermeiros"
"28","AC",108.432773361814,60.7227101112478,56.0003292626581,-47.7100632505665,56,"Cenário 2","Enfermeiros"
"29","AL",320.541187207974,174.030170392093,54.2926080445251,-146.511016815881,54.29,"Cenário 2","Enfermeiros"
"30","AM",477.571577704296,371.128162161978,77.7115262901542,-106.443415542318,77.71,"Cenário 2","Enfermeiros"
"31","AP",94.9594669879447,81.2548396719516,85.5679188703397,-13.7046273159932,85.57,"Cenário 2","Enfermeiros"
