"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,267.213659056694,267.836822896811,266.490850452338,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"2",2025-03-01,268.170242514052,269.422490324983,266.721412404721,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"3",2025-04-01,269.229317056128,271.117306715393,267.050438749952,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"4",2025-05-01,270.254227903298,272.784079220471,267.341937946476,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"5",2025-06-01,271.313302445373,274.491715242772,267.663610277263,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"6",2025-07-01,272.338213292543,276.171187866071,267.947973289485,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"7",2025-08-01,273.397287834619,277.891726289621,268.262361464338,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"8",2025-09-01,274.456362376694,279.618787597528,268.573088250929,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"9",2025-10-01,275.481273223864,281.317505383462,268.846830229657,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"10",2025-11-01,276.540347765939,283.057594361856,269.150376881362,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"11",2025-12-01,277.565258613109,284.769219039443,269.41715342236,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"12",2026-01-01,278.624333155185,286.522419697492,269.713588453008,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"13",2026-02-01,279.68340769726,288.282248820578,270.006448471422,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"14",2026-03-01,280.639991154619,289.942839260049,270.197073368769,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"15",2026-04-01,281.699065696694,291.715742580101,270.483101731524,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
"16",2026-05-01,282.723976543864,293.459877128659,270.732890954596,23002,"CE","2ª REGIAO CAUCAIA","Região Nordeste"
