"","ds","cenario_base","cenario_aumento","cenario_reducao","cod_regsaud","uf","regiao_saude","regiao"
"1",2025-02-01,125.124243229069,125.416043072601,124.785784184952,35162,"SP","ITAPEVA","Região Sudeste"
"2",2025-03-01,125.207993532623,125.792664800928,124.531538496977,35162,"SP","ITAPEVA","Região Sudeste"
"3",2025-04-01,125.300717082987,126.179397238394,124.286655846322,35162,"SP","ITAPEVA","Região Sudeste"
"4",2025-05-01,125.39044955108,126.56423024054,124.039227963385,35162,"SP","ITAPEVA","Região Sudeste"
"5",2025-06-01,125.483173101443,126.953198049166,123.795180106002,35162,"SP","ITAPEVA","Região Sudeste"
"6",2025-07-01,125.572905569537,127.340258554463,123.548602087971,35162,"SP","ITAPEVA","Região Sudeste"
"7",2025-08-01,125.6656291199,127.731474178064,123.305387151458,35162,"SP","ITAPEVA","Região Sudeste"
"8",2025-09-01,125.758352670264,128.123821941712,123.062584002499,35162,"SP","ITAPEVA","Região Sudeste"
"9",2025-10-01,125.848085138357,128.514250548125,122.817273145188,35162,"SP","ITAPEVA","Região Sudeste"
"10",2025-11-01,125.94080868872,128.908864935646,122.575300122218,35162,"SP","ITAPEVA","Região Sudeste"
"11",2025-12-01,126.030541156814,129.301552217563,122.330834242037,35162,"SP","ITAPEVA","Região Sudeste"
"12",2026-01-01,126.123264707177,129.698445842203,122.089689462388,35162,"SP","ITAPEVA","Região Sudeste"
"13",2026-02-01,126.215988257541,130.096487423311,121.848954181143,35162,"SP","ITAPEVA","Região Sudeste"
"14",2026-03-01,126.299738561095,130.486409458408,121.599988604784,35162,"SP","ITAPEVA","Região Sudeste"
"15",2026-04-01,126.392462111458,130.886734928223,121.360094336274,35162,"SP","ITAPEVA","Região Sudeste"
"16",2026-05-01,126.482194579551,131.285113254339,121.117743926083,35162,"SP","ITAPEVA","Região Sudeste"
"17",2026-06-01,126.574918129915,131.68774974384,120.878673114297,35162,"SP","ITAPEVA","Região Sudeste"
"18",2026-07-01,126.664650598008,132.088431027248,120.637160708902,35162,"SP","ITAPEVA","Região Sudeste"
"19",2026-08-01,126.757374148372,132.493391390348,120.398911458328,35162,"SP","ITAPEVA","Região Sudeste"
"20",2026-09-01,126.850097698735,132.899522177767,120.161068433941,35162,"SP","ITAPEVA","Região Sudeste"
"21",2026-10-01,126.939830166828,133.303685612386,119.920805488283,35162,"SP","ITAPEVA","Região Sudeste"
"22",2026-11-01,127.032553717192,133.712159702012,119.683781195965,35162,"SP","ITAPEVA","Região Sudeste"
"23",2026-12-01,127.122286185285,134.11865829414,119.444351317564,35162,"SP","ITAPEVA","Região Sudeste"
"24",2027-01-01,127.215009735649,134.529488714793,119.208143852981,35162,"SP","ITAPEVA","Região Sudeste"
"25",2027-02-01,127.307733286012,134.941505897065,118.972340296301,35162,"SP","ITAPEVA","Região Sudeste"
"26",2027-03-01,127.391483589566,135.345179649768,118.728577144799,35162,"SP","ITAPEVA","Região Sudeste"
"27",2027-04-01,127.484207139929,135.759558034063,118.493602654904,35162,"SP","ITAPEVA","Região Sudeste"
"28",2027-05-01,127.573939608023,136.171940387796,118.256258018736,35162,"SP","ITAPEVA","Região Sudeste"
"29",2027-06-01,127.666663158386,136.588707932877,118.022095520304,35162,"SP","ITAPEVA","Região Sudeste"
"30",2027-07-01,127.75639562648,137.003471185915,117.785576918183,35162,"SP","ITAPEVA","Região Sudeste"
"31",2027-08-01,127.849119176843,137.422641169045,117.552224495985,35162,"SP","ITAPEVA","Região Sudeste"
"32",2027-09-01,127.941842727206,137.843021121515,117.319272673153,35162,"SP","ITAPEVA","Região Sudeste"
"33",2027-10-01,128.0315751953,138.261384335361,117.083985665933,35162,"SP","ITAPEVA","Região Sudeste"
"34",2027-11-01,128.124298745663,138.684186794215,116.85184106098,35162,"SP","ITAPEVA","Região Sudeste"
"35",2027-12-01,128.214031213757,139.104964168674,116.61737510869,35162,"SP","ITAPEVA","Região Sudeste"
"36",2028-01-01,128.30675476412,139.530202591731,116.386035798929,35162,"SP","ITAPEVA","Região Sudeste"
"37",2028-02-01,128.399478314483,139.956667859131,116.155094745318,35162,"SP","ITAPEVA","Região Sudeste"
"38",2028-03-01,128.486219700307,140.37782755681,115.919154428973,35162,"SP","ITAPEVA","Região Sudeste"
"39",2028-04-01,128.57894325067,140.806741508554,115.689023100627,35162,"SP","ITAPEVA","Região Sudeste"
"40",2028-05-01,128.668675718764,141.233609353682,115.456604652822,35162,"SP","ITAPEVA","Região Sudeste"
"41",2028-06-01,128.761399269127,141.664993215998,115.227273781231,35162,"SP","ITAPEVA","Região Sudeste"
"42",2028-07-01,128.851131737221,142.094322506406,114.995669344622,35162,"SP","ITAPEVA","Região Sudeste"
"43",2028-08-01,128.943855287584,142.528189993744,114.767136997828,35162,"SP","ITAPEVA","Região Sudeste"
"44",2028-09-01,129.036578837947,142.963308314849,114.538999587526,35162,"SP","ITAPEVA","Região Sudeste"
"45",2028-10-01,129.126311306041,143.396359310474,114.308608804314,35162,"SP","ITAPEVA","Região Sudeste"
"46",2028-11-01,129.219034856404,143.833981985573,114.081267035685,35162,"SP","ITAPEVA","Região Sudeste"
"47",2028-12-01,129.308767324498,144.269528783577,113.851685250154,35162,"SP","ITAPEVA","Região Sudeste"
"48",2029-01-01,129.401490874861,144.709669713507,113.62513718507,35162,"SP","ITAPEVA","Região Sudeste"
"49",2029-02-01,129.494214425224,145.151078907475,113.398981692037,35162,"SP","ITAPEVA","Região Sudeste"
"50",2029-03-01,129.577964728778,145.583678248015,113.165381626011,35162,"SP","ITAPEVA","Região Sudeste"
"51",2029-04-01,129.670688279142,146.027611033303,112.940031076328,35162,"SP","ITAPEVA","Região Sudeste"
"52",2029-05-01,129.760420747235,146.469446382545,112.712473528469,35162,"SP","ITAPEVA","Região Sudeste"
"53",2029-06-01,129.853144297598,146.915932449801,112.487911769941,35162,"SP","ITAPEVA","Região Sudeste"
"54",2029-07-01,129.942876765692,147.360312406906,112.261156096502,35162,"SP","ITAPEVA","Região Sudeste"
"55",2029-08-01,130.035600316055,147.809365921714,112.037381183678,35162,"SP","ITAPEVA","Região Sudeste"
"56",2029-09-01,130.128323866419,148.259712460757,111.813995478044,35162,"SP","ITAPEVA","Região Sudeste"
"57",2029-10-01,130.218056334512,148.707939821554,111.588435347683,35162,"SP","ITAPEVA","Região Sudeste"
"58",2029-11-01,130.310779884875,149.160875218827,111.365833584676,35162,"SP","ITAPEVA","Região Sudeste"
"59",2029-12-01,130.400512352969,149.611682675344,111.141070288625,35162,"SP","ITAPEVA","Região Sudeste"
"60",2030-01-01,130.493235903332,150.067221288831,110.919250517832,35162,"SP","ITAPEVA","Região Sudeste"
"61",2030-02-01,130.585959453696,150.524070929799,110.697817572572,35162,"SP","ITAPEVA","Região Sudeste"
