ds,cenario_base,cenario_aumento,cenario_reducao,cod_regsaud,uf,regiao_saude,regiao,arquivo_origem
2025-02-01,99.182413140064,99.4137145400847,98.9141263246689,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2025-03-01,99.7829221361699,100.248868486674,99.2438298765938,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2025-04-01,100.447771381859,101.152168494843,99.6348455372261,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2025-05-01,101.091173877686,102.037488913618,100.001804017716,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2025-06-01,101.756023123375,102.94808648036,100.387206492181,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2025-07-01,102.399425619202,103.840627681877,100.748691228283,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2025-08-01,103.064274864891,104.758571263946,101.128529755533,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2025-09-01,103.72912411058,105.680231535477,101.505576196866,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2025-10-01,104.372526606407,106.583719727559,101.858912632478,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2025-11-01,105.037375852096,107.51279936894,102.230468449215,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2025-12-01,105.680778347924,108.423629340323,102.57845169897,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-01-01,106.345627593612,109.360177545581,102.944565213495,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-02-01,107.010476839301,110.300504290152,103.307947505733,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-03-01,107.610985835407,111.178149059663,103.606664593413,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-04-01,108.275835081095,112.125915490862,103.964788249737,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-05-01,108.919237576923,113.055236655219,104.299679249863,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-06-01,109.584086822612,114.010595579384,104.652479379551,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-07-01,110.227489318439,114.947430489926,104.982181537368,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-08-01,110.892338564128,115.910432148667,105.329705209587,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-09-01,111.557187809817,116.877300249552,105.674580642022,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-10-01,112.200590305644,117.825525652359,105.996558747798,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-11-01,112.865439551333,118.800112542202,106.336227813863,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2026-12-01,113.508842047161,119.755977151777,106.653132302622,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2027-01-01,114.173691292849,120.738333835173,106.987641192232,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2027-02-01,114.838540538538,121.724621083911,107.319560025366,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2027-03-01,115.439049534644,122.646494550634,107.588935398181,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2027-04-01,116.103898780332,123.640522524869,107.91587097264,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2027-05-01,116.74730127616,124.615627601216,108.220370281929,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
2027-06-01,117.412150521849,125.617553859802,108.542259203112,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Enfermeiros.csv
