ds,cenario_base,cenario_aumento,cenario_reducao,cod_regsaud,uf,regiao_saude,regiao,arquivo_origem
2025-02-01,90.1865202647004,90.396842515791,89.9425671933104,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2025-03-01,90.8636014235213,91.2878981124798,90.3726971369363,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2025-04-01,91.6132269922159,92.2556712367895,90.8717992939445,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2025-05-01,92.3386710909526,93.20305390005,91.3436191854533,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2025-06-01,93.0882966596472,94.1788183212256,91.8360778255564,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2025-07-01,93.8137407583839,95.1341051634635,92.3014122733925,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2025-08-01,94.5633663270785,96.117914411374,92.7872846136815,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2025-09-01,95.3129918957731,97.1057949081535,93.2698530367801,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2025-10-01,96.0384359945098,98.0730665236535,93.7255327564717,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2025-11-01,96.7880615632044,99.0690728870279,94.2016000840566,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2025-12-01,97.5135056619411,100.04438232616,94.6509345115662,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-01-01,98.2631312306357,101.048568904327,95.1205569044193,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-02-01,99.0127567993302,102.056895069487,95.586946100463,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-03-01,99.6898379581512,102.994425505935,95.9802712011165,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-04-01,100.439463526846,104.010897638645,96.4404250465012,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-05-01,101.164907625582,105.006450901166,96.874231324273,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-06-01,101.914533194277,106.031240160655,97.3280783080804,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-07-01,102.639977293014,107.035021194143,97.7557304062076,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-08-01,103.389602861708,108.068183091382,98.2033252447144,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-09-01,104.139228430403,109.105581701889,98.6477833371685,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-10-01,104.86467252914,110.121837411464,99.0662740010945,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-11-01,105.614298097834,111.167692696415,99.5045614279886,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2026-12-01,106.339742196571,112.192314776036,99.9170319154998,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2027-01-01,107.089367765266,113.246683093359,100.349202379609,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2027-02-01,107.83899333396,114.305358985659,100.778303728923,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2027-03-01,108.516074492781,115.291283084767,101.136738177702,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2027-04-01,109.265700061476,116.358437499215,101.559924459374,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2027-05-01,109.991144160212,117.404131061482,101.957665990022,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2027-06-01,110.740769728907,118.479940483743,102.374867327129,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2027-07-01,111.466213827644,119.534197403213,102.766771387007,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2027-08-01,112.215839396338,120.618719394661,103.178040096447,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
2027-09-01,112.965464965033,121.707649673124,103.586331917541,11001,RO,VALE DO JAMARI,Região Norte,projecao_11001_Médicos.csv
