"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2017-06-01,4489,NA,NA
"2",NA,"ACTUAL","actual",2016-01-01,3875,NA,NA
"3",NA,"ACTUAL","actual",2013-02-01,4075,NA,NA
"4",NA,"ACTUAL","actual",2020-12-01,3781,NA,NA
"5",NA,"ACTUAL","actual",2023-01-01,4005,NA,NA
"6",NA,"ACTUAL","actual",2001-10-01,5710,NA,NA
"7",NA,"ACTUAL","actual",2012-01-01,4217,NA,NA
"8",NA,"ACTUAL","actual",2004-11-01,4493,NA,NA
"9",NA,"ACTUAL","actual",2016-05-01,4636,NA,NA
"10",NA,"ACTUAL","actual",2023-04-01,4136,NA,NA
"11",NA,"ACTUAL","actual",2015-07-01,4434,NA,NA
"12",NA,"ACTUAL","actual",2017-11-01,4128,NA,NA
"13",NA,"ACTUAL","actual",2017-09-01,4073,NA,NA
"14",NA,"ACTUAL","actual",2019-03-01,4654,NA,NA
"15",NA,"ACTUAL","actual",2013-11-01,4093,NA,NA
"16",NA,"ACTUAL","actual",2019-05-01,4596,NA,NA
"17",NA,"ACTUAL","actual",2016-12-01,3600,NA,NA
"18",NA,"ACTUAL","actual",2018-04-01,4765,NA,NA
"19",NA,"ACTUAL","actual",2012-06-01,4449,NA,NA
"20",NA,"ACTUAL","actual",2000-02-01,4974,NA,NA
"21",NA,"ACTUAL","actual",2015-06-01,4489,NA,NA
"22",NA,"ACTUAL","actual",2015-04-01,4563,NA,NA
"23",NA,"ACTUAL","actual",2015-12-01,4088,NA,NA
"24",NA,"ACTUAL","actual",2024-01-01,3622,NA,NA
"25",NA,"ACTUAL","actual",2020-08-01,3939,NA,NA
"26",NA,"ACTUAL","actual",2006-04-01,4914,NA,NA
"27",NA,"ACTUAL","actual",2001-08-01,5599,NA,NA
"28",NA,"ACTUAL","actual",2017-10-01,4310,NA,NA
"29",NA,"ACTUAL","actual",2004-01-01,4781,NA,NA
"30",NA,"ACTUAL","actual",2013-10-01,4216,NA,NA
"31",NA,"ACTUAL","actual",2015-08-01,4190,NA,NA
"32",NA,"ACTUAL","actual",2021-11-01,3759,NA,NA
"33",NA,"ACTUAL","actual",2011-02-01,3942,NA,NA
"34",NA,"ACTUAL","actual",2011-06-01,4885,NA,NA
"35",NA,"ACTUAL","actual",2004-02-01,4517,NA,NA
"36",NA,"ACTUAL","actual",2000-10-01,5393,NA,NA
"37",NA,"ACTUAL","actual",2006-09-01,4663,NA,NA
"38",NA,"ACTUAL","actual",2011-09-01,4489,NA,NA
"39",NA,"ACTUAL","actual",2016-08-01,3912,NA,NA
"40",NA,"ACTUAL","actual",2015-11-01,4059,NA,NA
"41",NA,"ACTUAL","actual",2019-06-01,4100,NA,NA
"42",NA,"ACTUAL","actual",2011-01-01,4135,NA,NA
"43",NA,"ACTUAL","actual",2012-07-01,4526,NA,NA
"44",NA,"ACTUAL","actual",2017-12-01,4013,NA,NA
"45",NA,"ACTUAL","actual",2006-03-01,5137,NA,NA
"46",NA,"ACTUAL","actual",2008-09-01,4926,NA,NA
"47",NA,"ACTUAL","actual",2022-07-01,3837,NA,NA
"48",NA,"ACTUAL","actual",2014-02-01,3975,NA,NA
"49",NA,"ACTUAL","actual",2009-03-01,5203,NA,NA
"50",NA,"ACTUAL","actual",2024-05-01,4227,NA,NA
"51",NA,"ACTUAL","actual",2022-05-01,4220,NA,NA
"52",NA,"ACTUAL","actual",2016-09-01,3788,NA,NA
"53",NA,"ACTUAL","actual",2000-11-01,5115,NA,NA
"54",NA,"ACTUAL","actual",2004-08-01,4862,NA,NA
"55",NA,"ACTUAL","actual",2014-07-01,4402,NA,NA
"56",NA,"ACTUAL","actual",2011-05-01,5277,NA,NA
"57",NA,"ACTUAL","actual",2018-12-01,3996,NA,NA
"58",NA,"ACTUAL","actual",2007-03-01,5497,NA,NA
"59",NA,"ACTUAL","actual",2007-07-01,5079,NA,NA
"60",NA,"ACTUAL","actual",2007-06-01,4964,NA,NA
"61",NA,"ACTUAL","actual",2003-07-01,5411,NA,NA
"62",NA,"ACTUAL","actual",2020-04-01,4269,NA,NA
"63",NA,"ACTUAL","actual",2013-05-01,4827,NA,NA
"64",NA,"ACTUAL","actual",2022-02-01,3567,NA,NA
"65",NA,"ACTUAL","actual",2010-04-01,4782,NA,NA
"66",NA,"ACTUAL","actual",2007-08-01,4777,NA,NA
"67",NA,"ACTUAL","actual",2000-06-01,5634,NA,NA
"68",NA,"ACTUAL","actual",2012-03-01,4775,NA,NA
"69",NA,"ACTUAL","actual",2005-10-01,4893,NA,NA
"70",NA,"ACTUAL","actual",2001-01-01,5429,NA,NA
"71",NA,"ACTUAL","actual",2019-11-01,3380,NA,NA
"72",NA,"ACTUAL","actual",2007-10-01,4789,NA,NA
"73",NA,"ACTUAL","actual",2004-03-01,5401,NA,NA
"74",NA,"ACTUAL","actual",2024-02-01,3654,NA,NA
"75",NA,"ACTUAL","actual",2018-08-01,4440,NA,NA
"76",NA,"ACTUAL","actual",2021-12-01,3887,NA,NA
"77",NA,"ACTUAL","actual",2014-04-01,4447,NA,NA
"78",NA,"ACTUAL","actual",2020-02-01,3598,NA,NA
"79",NA,"ACTUAL","actual",2023-12-01,3578,NA,NA
"80",NA,"ACTUAL","actual",2002-05-01,6058,NA,NA
"81",NA,"ACTUAL","actual",2021-07-01,4136,NA,NA
"82",NA,"ACTUAL","actual",2014-11-01,4087,NA,NA
"83",NA,"ACTUAL","actual",2009-11-01,4261,NA,NA
"84",NA,"ACTUAL","actual",2022-01-01,3839,NA,NA
"85",NA,"ACTUAL","actual",2003-10-01,4742,NA,NA
"86",NA,"ACTUAL","actual",2021-02-01,3596,NA,NA
"87",NA,"ACTUAL","actual",2012-10-01,4321,NA,NA
"88",NA,"ACTUAL","actual",2012-02-01,4276,NA,NA
"89",NA,"ACTUAL","actual",2010-06-01,4633,NA,NA
"90",NA,"ACTUAL","actual",2015-01-01,4174,NA,NA
"91",NA,"ACTUAL","actual",2013-04-01,4532,NA,NA
"92",NA,"ACTUAL","actual",2002-03-01,6001,NA,NA
"93",NA,"ACTUAL","actual",2001-06-01,5806,NA,NA
"94",NA,"ACTUAL","actual",2024-06-01,3790,NA,NA
"95",NA,"ACTUAL","actual",2021-09-01,4015,NA,NA
"96",NA,"ACTUAL","actual",2018-02-01,3950,NA,NA
"97",NA,"ACTUAL","actual",2001-07-01,5886,NA,NA
"98",NA,"ACTUAL","actual",2004-06-01,5148,NA,NA
"99",NA,"ACTUAL","actual",2002-11-01,4829,NA,NA
"100",NA,"ACTUAL","actual",2009-04-01,5073,NA,NA
"101",NA,"ACTUAL","actual",2001-04-01,6065,NA,NA
"102",NA,"ACTUAL","actual",2001-05-01,6410,NA,NA
"103",NA,"ACTUAL","actual",2007-12-01,4326,NA,NA
"104",NA,"ACTUAL","actual",2002-06-01,5566,NA,NA
"105",NA,"ACTUAL","actual",2018-10-01,4356,NA,NA
"106",NA,"ACTUAL","actual",2023-06-01,4087,NA,NA
"107",NA,"ACTUAL","actual",2008-02-01,4379,NA,NA
"108",NA,"ACTUAL","actual",2000-09-01,5120,NA,NA
"109",NA,"ACTUAL","actual",2000-12-01,5107,NA,NA
"110",NA,"ACTUAL","actual",2013-03-01,4693,NA,NA
"111",NA,"ACTUAL","actual",2006-12-01,4234,NA,NA
"112",NA,"ACTUAL","actual",2010-02-01,4123,NA,NA
"113",NA,"ACTUAL","actual",2016-03-01,4379,NA,NA
"114",NA,"ACTUAL","actual",2006-01-01,4633,NA,NA
"115",NA,"ACTUAL","actual",2011-04-01,4870,NA,NA
"116",NA,"ACTUAL","actual",2007-09-01,4515,NA,NA
"117",NA,"ACTUAL","actual",2022-09-01,3395,NA,NA
"118",NA,"ACTUAL","actual",2020-05-01,4525,NA,NA
"119",NA,"ACTUAL","actual",2024-04-01,3976,NA,NA
"120",NA,"ACTUAL","actual",2011-11-01,4146,NA,NA
"121",NA,"ACTUAL","actual",2005-06-01,5326,NA,NA
"122",NA,"ACTUAL","actual",2009-10-01,4497,NA,NA
"123",NA,"ACTUAL","actual",2015-05-01,4805,NA,NA
"124",NA,"ACTUAL","actual",2023-07-01,4009,NA,NA
"125",NA,"ACTUAL","actual",2015-02-01,3876,NA,NA
"126",NA,"ACTUAL","actual",2005-05-01,5803,NA,NA
"127",NA,"ACTUAL","actual",2022-11-01,3763,NA,NA
"128",NA,"ACTUAL","actual",2012-08-01,4086,NA,NA
"129",NA,"ACTUAL","actual",2004-05-01,5720,NA,NA
"130",NA,"ACTUAL","actual",2008-07-01,5032,NA,NA
"131",NA,"ACTUAL","actual",2004-07-01,5183,NA,NA
"132",NA,"ACTUAL","actual",2015-09-01,4378,NA,NA
"133",NA,"ACTUAL","actual",2000-07-01,5832,NA,NA
"134",NA,"ACTUAL","actual",2019-12-01,3732,NA,NA
"135",NA,"ACTUAL","actual",2017-01-01,3709,NA,NA
"136",NA,"ACTUAL","actual",2013-12-01,4014,NA,NA
"137",NA,"ACTUAL","actual",2002-08-01,5166,NA,NA
"138",NA,"ACTUAL","actual",2009-12-01,4319,NA,NA
"139",NA,"ACTUAL","actual",2014-03-01,4522,NA,NA
"140",NA,"ACTUAL","actual",2015-03-01,4898,NA,NA
"141",NA,"ACTUAL","actual",2000-05-01,6384,NA,NA
"142",NA,"ACTUAL","actual",2009-06-01,4790,NA,NA
"143",NA,"ACTUAL","actual",2016-11-01,3459,NA,NA
"144",NA,"ACTUAL","actual",2006-06-01,5027,NA,NA
"145",NA,"ACTUAL","actual",2001-12-01,5116,NA,NA
"146",NA,"ACTUAL","actual",2010-12-01,4046,NA,NA
"147",NA,"ACTUAL","actual",2011-07-01,4632,NA,NA
"148",NA,"ACTUAL","actual",2005-09-01,4992,NA,NA
"149",NA,"ACTUAL","actual",2008-10-01,4877,NA,NA
"150",NA,"ACTUAL","actual",2001-03-01,6117,NA,NA
"151",NA,"ACTUAL","actual",2020-11-01,3700,NA,NA
"152",NA,"ACTUAL","actual",2002-10-01,5044,NA,NA
"153",NA,"ACTUAL","actual",2020-01-01,3803,NA,NA
"154",NA,"ACTUAL","actual",2003-11-01,4616,NA,NA
"155",NA,"ACTUAL","actual",2006-10-01,4818,NA,NA
"156",NA,"ACTUAL","actual",2023-09-01,3807,NA,NA
"157",NA,"ACTUAL","actual",2013-09-01,4434,NA,NA
