"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2020-03-01,1212,NA,NA
"2",NA,"ACTUAL","actual",2019-09-01,1429,NA,NA
"3",NA,"ACTUAL","actual",2007-12-01,1287,NA,NA
"4",NA,"ACTUAL","actual",2021-08-01,1298,NA,NA
"5",NA,"ACTUAL","actual",2008-09-01,1373,NA,NA
"6",NA,"ACTUAL","actual",2022-02-01,1078,NA,NA
"7",NA,"ACTUAL","actual",2022-03-01,1177,NA,NA
"8",NA,"ACTUAL","actual",2018-01-01,1307,NA,NA
"9",NA,"ACTUAL","actual",2004-09-01,1301,NA,NA
"10",NA,"ACTUAL","actual",2016-10-01,1321,NA,NA
"11",NA,"ACTUAL","actual",2009-09-01,1341,NA,NA
"12",NA,"ACTUAL","actual",2001-10-01,1366,NA,NA
"13",NA,"ACTUAL","actual",2018-02-01,1191,NA,NA
"14",NA,"ACTUAL","actual",2020-07-01,1201,NA,NA
"15",NA,"ACTUAL","actual",2008-04-01,1265,NA,NA
"16",NA,"ACTUAL","actual",2012-04-01,1149,NA,NA
"17",NA,"ACTUAL","actual",2022-09-01,1033,NA,NA
"18",NA,"ACTUAL","actual",2020-05-01,1219,NA,NA
"19",NA,"ACTUAL","actual",2001-02-01,1102,NA,NA
"20",NA,"ACTUAL","actual",2014-09-01,1474,NA,NA
"21",NA,"ACTUAL","actual",2023-03-01,1041,NA,NA
"22",NA,"ACTUAL","actual",2002-02-01,1029,NA,NA
"23",NA,"ACTUAL","actual",2023-10-01,1135,NA,NA
"24",NA,"ACTUAL","actual",2015-04-01,1268,NA,NA
"25",NA,"ACTUAL","actual",2009-01-01,1311,NA,NA
"26",NA,"ACTUAL","actual",2010-06-01,1200,NA,NA
"27",NA,"ACTUAL","actual",2014-01-01,1322,NA,NA
"28",NA,"ACTUAL","actual",2016-08-01,1322,NA,NA
"29",NA,"ACTUAL","actual",2010-09-01,1313,NA,NA
"30",NA,"ACTUAL","actual",2018-04-01,1274,NA,NA
"31",NA,"ACTUAL","actual",2006-10-01,1279,NA,NA
"32",NA,"ACTUAL","actual",2000-02-01,1148,NA,NA
"33",NA,"ACTUAL","actual",2005-04-01,1227,NA,NA
"34",NA,"ACTUAL","actual",2007-03-01,1215,NA,NA
"35",NA,"ACTUAL","actual",2020-01-01,1254,NA,NA
"36",NA,"ACTUAL","actual",2005-06-01,1088,NA,NA
"37",NA,"ACTUAL","actual",2015-08-01,1301,NA,NA
"38",NA,"ACTUAL","actual",2014-05-01,1320,NA,NA
"39",NA,"ACTUAL","actual",2021-01-01,1185,NA,NA
"40",NA,"ACTUAL","actual",2011-07-01,1297,NA,NA
"41",NA,"ACTUAL","actual",2003-05-01,1203,NA,NA
"42",NA,"ACTUAL","actual",2008-03-01,1182,NA,NA
"43",NA,"ACTUAL","actual",2017-01-01,1245,NA,NA
"44",NA,"ACTUAL","actual",2018-11-01,1363,NA,NA
"45",NA,"ACTUAL","actual",2015-07-01,1289,NA,NA
"46",NA,"ACTUAL","actual",2012-07-01,1235,NA,NA
"47",NA,"ACTUAL","actual",2021-06-01,1178,NA,NA
"48",NA,"ACTUAL","actual",2005-01-01,1116,NA,NA
"49",NA,"ACTUAL","actual",2007-08-01,1155,NA,NA
"50",NA,"ACTUAL","actual",2003-10-01,1263,NA,NA
"51",NA,"ACTUAL","actual",2003-03-01,1250,NA,NA
"52",NA,"ACTUAL","actual",2001-08-01,1189,NA,NA
"53",NA,"ACTUAL","actual",2010-07-01,1322,NA,NA
"54",NA,"ACTUAL","actual",2012-11-01,1364,NA,NA
"55",NA,"ACTUAL","actual",2024-06-01,993,NA,NA
"56",NA,"ACTUAL","actual",2017-06-01,1231,NA,NA
"57",NA,"ACTUAL","actual",2001-09-01,1301,NA,NA
"58",NA,"ACTUAL","actual",2021-03-01,1294,NA,NA
"59",NA,"ACTUAL","actual",2000-08-01,1216,NA,NA
"60",NA,"ACTUAL","actual",2016-04-01,1221,NA,NA
"61",NA,"ACTUAL","actual",2012-03-01,1207,NA,NA
"62",NA,"ACTUAL","actual",2002-11-01,1235,NA,NA
"63",NA,"ACTUAL","actual",2000-06-01,1089,NA,NA
"64",NA,"ACTUAL","actual",2020-06-01,1194,NA,NA
"65",NA,"ACTUAL","actual",2004-12-01,1192,NA,NA
"66",NA,"ACTUAL","actual",2016-07-01,1344,NA,NA
"67",NA,"ACTUAL","actual",2017-03-01,1280,NA,NA
"68",NA,"ACTUAL","actual",2000-11-01,1151,NA,NA
"69",NA,"ACTUAL","actual",2012-06-01,1104,NA,NA
"70",NA,"ACTUAL","actual",2014-10-01,1444,NA,NA
"71",NA,"ACTUAL","actual",2002-08-01,1185,NA,NA
"72",NA,"ACTUAL","actual",2016-01-01,1306,NA,NA
"73",NA,"ACTUAL","actual",2012-09-01,1281,NA,NA
"74",NA,"ACTUAL","actual",2004-06-01,1090,NA,NA
"75",NA,"ACTUAL","actual",2006-06-01,1123,NA,NA
"76",NA,"ACTUAL","actual",2006-04-01,1176,NA,NA
"77",NA,"ACTUAL","actual",2004-01-01,1158,NA,NA
"78",NA,"ACTUAL","actual",2010-04-01,1286,NA,NA
"79",NA,"ACTUAL","actual",2006-05-01,1237,NA,NA
"80",NA,"ACTUAL","actual",2022-01-01,1135,NA,NA
"81",NA,"ACTUAL","actual",2018-05-01,1252,NA,NA
"82",NA,"ACTUAL","actual",2019-11-01,1255,NA,NA
"83",NA,"ACTUAL","actual",2019-08-01,1324,NA,NA
"84",NA,"ACTUAL","actual",2023-02-01,1054,NA,NA
"85",NA,"ACTUAL","actual",2016-05-01,1217,NA,NA
"86",NA,"ACTUAL","actual",2007-01-01,1293,NA,NA
"87",NA,"ACTUAL","actual",2004-03-01,1099,NA,NA
"88",NA,"ACTUAL","actual",2010-10-01,1334,NA,NA
"89",NA,"ACTUAL","actual",2014-11-01,1463,NA,NA
"90",NA,"ACTUAL","actual",2011-12-01,1221,NA,NA
"91",NA,"ACTUAL","actual",2018-10-01,1397,NA,NA
"92",NA,"ACTUAL","actual",2009-07-01,993,NA,NA
"93",NA,"ACTUAL","actual",2017-10-01,1347,NA,NA
"94",NA,"ACTUAL","actual",2002-07-01,1183,NA,NA
"95",NA,"ACTUAL","actual",2008-06-01,1206,NA,NA
"96",NA,"ACTUAL","actual",2017-08-01,1286,NA,NA
"97",NA,"ACTUAL","actual",2006-11-01,1213,NA,NA
"98",NA,"ACTUAL","actual",2023-11-01,1071,NA,NA
"99",NA,"ACTUAL","actual",2016-06-01,1308,NA,NA
"100",NA,"ACTUAL","actual",2009-10-01,1306,NA,NA
"101",NA,"ACTUAL","actual",2011-04-01,1271,NA,NA
"102",NA,"ACTUAL","actual",2009-03-01,1210,NA,NA
"103",NA,"ACTUAL","actual",2016-09-01,1382,NA,NA
"104",NA,"ACTUAL","actual",2001-04-01,1172,NA,NA
"105",NA,"ACTUAL","actual",2019-02-01,1184,NA,NA
"106",NA,"ACTUAL","actual",2022-05-01,1229,NA,NA
"107",NA,"ACTUAL","actual",2014-03-01,1365,NA,NA
"108",NA,"ACTUAL","actual",2005-02-01,1026,NA,NA
"109",NA,"ACTUAL","actual",2002-05-01,1177,NA,NA
"110",NA,"ACTUAL","actual",2008-12-01,1312,NA,NA
"111",NA,"ACTUAL","actual",2022-11-01,1164,NA,NA
"112",NA,"ACTUAL","actual",2024-05-01,1033,NA,NA
"113",NA,"ACTUAL","actual",2000-12-01,1200,NA,NA
"114",NA,"ACTUAL","actual",2004-10-01,1235,NA,NA
"115",NA,"ACTUAL","actual",2003-04-01,1246,NA,NA
"116",NA,"ACTUAL","actual",2019-06-01,1178,NA,NA
"117",NA,"ACTUAL","actual",2007-07-01,1178,NA,NA
"118",NA,"ACTUAL","actual",2023-08-01,1102,NA,NA
"119",NA,"ACTUAL","actual",2022-10-01,1100,NA,NA
"120",NA,"ACTUAL","actual",2009-02-01,1227,NA,NA
"121",NA,"ACTUAL","actual",2023-07-01,1051,NA,NA
"122",NA,"ACTUAL","actual",2024-01-01,1036,NA,NA
"123",NA,"ACTUAL","actual",2009-04-01,1182,NA,NA
"124",NA,"ACTUAL","actual",2000-07-01,1077,NA,NA
"125",NA,"ACTUAL","actual",2024-04-01,1072,NA,NA
"126",NA,"ACTUAL","actual",2020-11-01,1124,NA,NA
"127",NA,"ACTUAL","actual",2002-01-01,1281,NA,NA
"128",NA,"ACTUAL","actual",2004-11-01,1206,NA,NA
"129",NA,"ACTUAL","actual",2013-10-01,1484,NA,NA
"130",NA,"ACTUAL","actual",2003-01-01,1280,NA,NA
"131",NA,"ACTUAL","actual",2003-11-01,1242,NA,NA
"132",NA,"ACTUAL","actual",2011-03-01,1272,NA,NA
"133",NA,"ACTUAL","actual",2015-09-01,1391,NA,NA
"134",NA,"ACTUAL","actual",2004-07-01,1163,NA,NA
"135",NA,"ACTUAL","actual",2005-12-01,1175,NA,NA
"136",NA,"ACTUAL","actual",2002-10-01,1314,NA,NA
"137",NA,"ACTUAL","actual",2020-09-01,1275,NA,NA
"138",NA,"ACTUAL","actual",2004-08-01,1268,NA,NA
"139",NA,"ACTUAL","actual",2016-12-01,1268,NA,NA
"140",NA,"ACTUAL","actual",2021-09-01,1290,NA,NA
"141",NA,"ACTUAL","actual",2005-05-01,1186,NA,NA
"142",NA,"ACTUAL","actual",2008-02-01,1080,NA,NA
"143",NA,"ACTUAL","actual",2005-08-01,1272,NA,NA
"144",NA,"ACTUAL","actual",2022-06-01,1095,NA,NA
"145",NA,"ACTUAL","actual",2021-12-01,1263,NA,NA
"146",NA,"ACTUAL","actual",2000-01-01,1236,NA,NA
"147",NA,"ACTUAL","actual",2014-12-01,1430,NA,NA
"148",NA,"ACTUAL","actual",2009-06-01,897,NA,NA
"149",NA,"ACTUAL","actual",2014-07-01,1286,NA,NA
