"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2004-05-01,21849,NA,NA
"2",NA,"ACTUAL","actual",2014-08-01,16628,NA,NA
"3",NA,"ACTUAL","actual",2012-11-01,16175,NA,NA
"4",NA,"ACTUAL","actual",2024-06-01,13221,NA,NA
"5",NA,"ACTUAL","actual",2011-10-01,17041,NA,NA
"6",NA,"ACTUAL","actual",2021-11-01,14276,NA,NA
"7",NA,"ACTUAL","actual",2016-07-01,17455,NA,NA
"8",NA,"ACTUAL","actual",2003-09-01,19719,NA,NA
"9",NA,"ACTUAL","actual",2018-05-01,19189,NA,NA
"10",NA,"ACTUAL","actual",2002-12-01,18411,NA,NA
"11",NA,"ACTUAL","actual",2003-01-01,20155,NA,NA
"12",NA,"ACTUAL","actual",2011-03-01,20590,NA,NA
"13",NA,"ACTUAL","actual",2023-11-01,12620,NA,NA
"14",NA,"ACTUAL","actual",2017-01-01,15949,NA,NA
"15",NA,"ACTUAL","actual",2018-08-01,16568,NA,NA
"16",NA,"ACTUAL","actual",2013-04-01,18130,NA,NA
"17",NA,"ACTUAL","actual",2006-12-01,16080,NA,NA
"18",NA,"ACTUAL","actual",2014-05-01,18820,NA,NA
"19",NA,"ACTUAL","actual",2014-04-01,17746,NA,NA
"20",NA,"ACTUAL","actual",2018-09-01,16017,NA,NA
"21",NA,"ACTUAL","actual",2019-12-01,14532,NA,NA
"22",NA,"ACTUAL","actual",2018-02-01,15828,NA,NA
"23",NA,"ACTUAL","actual",2002-11-01,17795,NA,NA
"24",NA,"ACTUAL","actual",2024-01-01,12852,NA,NA
"25",NA,"ACTUAL","actual",2015-12-01,15517,NA,NA
"26",NA,"ACTUAL","actual",2009-02-01,17191,NA,NA
"27",NA,"ACTUAL","actual",2016-09-01,15963,NA,NA
"28",NA,"ACTUAL","actual",2018-10-01,16276,NA,NA
"29",NA,"ACTUAL","actual",2017-12-01,16284,NA,NA
"30",NA,"ACTUAL","actual",2022-01-01,14605,NA,NA
"31",NA,"ACTUAL","actual",2022-07-01,14538,NA,NA
"32",NA,"ACTUAL","actual",2021-10-01,15071,NA,NA
"33",NA,"ACTUAL","actual",2005-03-01,22652,NA,NA
"34",NA,"ACTUAL","actual",2010-07-01,17589,NA,NA
"35",NA,"ACTUAL","actual",2001-06-01,20682,NA,NA
"36",NA,"ACTUAL","actual",2020-04-01,17001,NA,NA
