"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2005-03-01,12476,NA,NA
"2",NA,"ACTUAL","actual",2021-04-01,10594,NA,NA
"3",NA,"ACTUAL","actual",2013-07-01,11181,NA,NA
"4",NA,"ACTUAL","actual",2016-01-01,10518,NA,NA
"5",NA,"ACTUAL","actual",2003-09-01,11606,NA,NA
"6",NA,"ACTUAL","actual",2001-06-01,12563,NA,NA
"7",NA,"ACTUAL","actual",2004-02-01,10786,NA,NA
"8",NA,"ACTUAL","actual",2018-03-01,11353,NA,NA
"9",NA,"ACTUAL","actual",2017-07-01,11225,NA,NA
"10",NA,"ACTUAL","actual",2000-12-01,10331,NA,NA
"11",NA,"ACTUAL","actual",2012-10-01,10404,NA,NA
"12",NA,"ACTUAL","actual",2022-10-01,8914,NA,NA
"13",NA,"ACTUAL","actual",2017-06-01,11193,NA,NA
"14",NA,"ACTUAL","actual",2020-08-01,10032,NA,NA
"15",NA,"ACTUAL","actual",2013-04-01,10915,NA,NA
"16",NA,"ACTUAL","actual",2003-10-01,11066,NA,NA
"17",NA,"ACTUAL","actual",2014-05-01,11279,NA,NA
"18",NA,"ACTUAL","actual",2019-10-01,10714,NA,NA
"19",NA,"ACTUAL","actual",2011-10-01,10676,NA,NA
"20",NA,"ACTUAL","actual",2023-07-01,9229,NA,NA
"21",NA,"ACTUAL","actual",2000-03-01,12304,NA,NA
"22",NA,"ACTUAL","actual",2014-01-01,9768,NA,NA
"23",NA,"ACTUAL","actual",2020-10-01,9425,NA,NA
"24",NA,"ACTUAL","actual",2006-02-01,9796,NA,NA
"25",NA,"ACTUAL","actual",2009-06-01,10885,NA,NA
"26",NA,"ACTUAL","actual",2002-01-01,12462,NA,NA
"27",NA,"ACTUAL","actual",2009-07-01,10661,NA,NA
"28",NA,"ACTUAL","actual",2012-04-01,10875,NA,NA
"29",NA,"ACTUAL","actual",2014-12-01,10703,NA,NA
"30",NA,"ACTUAL","actual",2002-07-01,12136,NA,NA
"31",NA,"ACTUAL","actual",2023-11-01,8568,NA,NA
"32",NA,"ACTUAL","actual",2007-09-01,11319,NA,NA
"33",NA,"ACTUAL","actual",2010-12-01,9533,NA,NA
"34",NA,"ACTUAL","actual",2018-02-01,9874,NA,NA
"35",NA,"ACTUAL","actual",2021-08-01,9671,NA,NA
"36",NA,"ACTUAL","actual",2023-01-01,9633,NA,NA
"37",NA,"ACTUAL","actual",2001-01-01,12393,NA,NA
"38",NA,"ACTUAL","actual",2000-04-01,12788,NA,NA
"39",NA,"ACTUAL","actual",2018-06-01,11107,NA,NA
"40",NA,"ACTUAL","actual",2011-04-01,11029,NA,NA
"41",NA,"ACTUAL","actual",2013-02-01,9362,NA,NA
