"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2016-09-01,3494,NA,NA
"2",NA,"ACTUAL","actual",2008-06-01,3539,NA,NA
"3",NA,"ACTUAL","actual",2008-09-01,3737,NA,NA
"4",NA,"ACTUAL","actual",2004-12-01,3667,NA,NA
"5",NA,"ACTUAL","actual",2023-12-01,2807,NA,NA
"6",NA,"ACTUAL","actual",2020-06-01,3247,NA,NA
"7",NA,"ACTUAL","actual",2003-09-01,3897,NA,NA
"8",NA,"ACTUAL","actual",2011-10-01,3586,NA,NA
"9",NA,"ACTUAL","actual",2009-10-01,3566,NA,NA
"10",NA,"ACTUAL","actual",2019-03-01,3835,NA,NA
"11",NA,"ACTUAL","actual",2003-02-01,3723,NA,NA
"12",NA,"ACTUAL","actual",2011-04-01,3773,NA,NA
"13",NA,"ACTUAL","actual",2010-11-01,3348,NA,NA
"14",NA,"ACTUAL","actual",2009-08-01,3562,NA,NA
"15",NA,"ACTUAL","actual",2004-02-01,3784,NA,NA
"16",NA,"ACTUAL","actual",2023-05-01,3142,NA,NA
"17",NA,"ACTUAL","actual",2001-12-01,3901,NA,NA
"18",NA,"ACTUAL","actual",2019-06-01,3519,NA,NA
"19",NA,"ACTUAL","actual",2012-08-01,3722,NA,NA
"20",NA,"ACTUAL","actual",2011-09-01,3516,NA,NA
"21",NA,"ACTUAL","actual",2008-02-01,3561,NA,NA
"22",NA,"ACTUAL","actual",2020-05-01,3447,NA,NA
"23",NA,"ACTUAL","actual",2018-10-01,3607,NA,NA
"24",NA,"ACTUAL","actual",2017-01-01,3626,NA,NA
"25",NA,"ACTUAL","actual",2015-06-01,3760,NA,NA
"26",NA,"ACTUAL","actual",2013-10-01,3626,NA,NA
"27",NA,"ACTUAL","actual",2008-05-01,3791,NA,NA
"28",NA,"ACTUAL","actual",2005-11-01,3554,NA,NA
"29",NA,"ACTUAL","actual",2014-08-01,3766,NA,NA
"30",NA,"ACTUAL","actual",2001-06-01,3991,NA,NA
"31",NA,"ACTUAL","actual",2014-10-01,3647,NA,NA
"32",NA,"ACTUAL","actual",2022-11-01,2933,NA,NA
"33",NA,"ACTUAL","actual",2002-08-01,3737,NA,NA
"34",NA,"ACTUAL","actual",2018-08-01,3671,NA,NA
"35",NA,"ACTUAL","actual",2000-10-01,3858,NA,NA
"36",NA,"ACTUAL","actual",2012-10-01,3609,NA,NA
"37",NA,"ACTUAL","actual",2002-12-01,3795,NA,NA
"38",NA,"ACTUAL","actual",2016-07-01,3686,NA,NA
"39",NA,"ACTUAL","actual",2011-01-01,3795,NA,NA
"40",NA,"ACTUAL","actual",2011-11-01,3470,NA,NA
"41",NA,"ACTUAL","actual",2024-04-01,2981,NA,NA
"42",NA,"ACTUAL","actual",2016-03-01,3956,NA,NA
"43",NA,"ACTUAL","actual",2002-07-01,3704,NA,NA
"44",NA,"ACTUAL","actual",2007-01-01,3846,NA,NA
"45",NA,"ACTUAL","actual",2010-08-01,3708,NA,NA
"46",NA,"ACTUAL","actual",2005-08-01,3830,NA,NA
"47",NA,"ACTUAL","actual",2003-04-01,3841,NA,NA
"48",NA,"ACTUAL","actual",2004-05-01,3988,NA,NA
"49",NA,"ACTUAL","actual",2015-03-01,4105,NA,NA
"50",NA,"ACTUAL","actual",2017-03-01,4058,NA,NA
"51",NA,"ACTUAL","actual",2008-07-01,3664,NA,NA
"52",NA,"ACTUAL","actual",2023-07-01,2964,NA,NA
"53",NA,"ACTUAL","actual",2015-04-01,3810,NA,NA
"54",NA,"ACTUAL","actual",2015-09-01,3965,NA,NA
"55",NA,"ACTUAL","actual",2007-07-01,3619,NA,NA
"56",NA,"ACTUAL","actual",2016-06-01,3707,NA,NA
"57",NA,"ACTUAL","actual",2016-01-01,3817,NA,NA
"58",NA,"ACTUAL","actual",2003-12-01,3773,NA,NA
"59",NA,"ACTUAL","actual",2017-09-01,3652,NA,NA
"60",NA,"ACTUAL","actual",2001-09-01,3605,NA,NA
"61",NA,"ACTUAL","actual",2022-05-01,3123,NA,NA
"62",NA,"ACTUAL","actual",2015-01-01,3812,NA,NA
"63",NA,"ACTUAL","actual",2006-03-01,4049,NA,NA
"64",NA,"ACTUAL","actual",2020-12-01,2949,NA,NA
"65",NA,"ACTUAL","actual",2000-04-01,4064,NA,NA
"66",NA,"ACTUAL","actual",2011-07-01,3593,NA,NA
"67",NA,"ACTUAL","actual",2019-05-01,3723,NA,NA
"68",NA,"ACTUAL","actual",2001-05-01,4135,NA,NA
"69",NA,"ACTUAL","actual",2016-04-01,3743,NA,NA
"70",NA,"ACTUAL","actual",2018-05-01,3955,NA,NA
"71",NA,"ACTUAL","actual",2024-02-01,2833,NA,NA
"72",NA,"ACTUAL","actual",2011-08-01,3644,NA,NA
"73",NA,"ACTUAL","actual",2000-01-01,4074,NA,NA
"74",NA,"ACTUAL","actual",2013-03-01,3942,NA,NA
"75",NA,"ACTUAL","actual",2001-08-01,3792,NA,NA
"76",NA,"ACTUAL","actual",2011-05-01,3874,NA,NA
"77",NA,"ACTUAL","actual",2014-02-01,3474,NA,NA
"78",NA,"ACTUAL","actual",2001-03-01,4140,NA,NA
"79",NA,"ACTUAL","actual",2014-06-01,3730,NA,NA
"80",NA,"ACTUAL","actual",2006-02-01,3543,NA,NA
"81",NA,"ACTUAL","actual",2010-04-01,3901,NA,NA
"82",NA,"ACTUAL","actual",2023-02-01,2883,NA,NA
"83",NA,"ACTUAL","actual",2006-04-01,4068,NA,NA
"84",NA,"ACTUAL","actual",2017-11-01,3625,NA,NA
"85",NA,"ACTUAL","actual",2010-10-01,3676,NA,NA
"86",NA,"ACTUAL","actual",2019-08-01,3491,NA,NA
"87",NA,"ACTUAL","actual",2022-01-01,3101,NA,NA
"88",NA,"ACTUAL","actual",2003-10-01,3642,NA,NA
"89",NA,"ACTUAL","actual",2014-04-01,3797,NA,NA
"90",NA,"ACTUAL","actual",2020-01-01,3364,NA,NA
"91",NA,"ACTUAL","actual",2024-01-01,2848,NA,NA
"92",NA,"ACTUAL","actual",2018-09-01,3586,NA,NA
"93",NA,"ACTUAL","actual",2008-01-01,3689,NA,NA
