"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2014-05-01,4968,NA,NA
"2",NA,"ACTUAL","actual",2008-03-01,4841,NA,NA
"3",NA,"ACTUAL","actual",2005-05-01,4926,NA,NA
"4",NA,"ACTUAL","actual",2002-06-01,4802,NA,NA
"5",NA,"ACTUAL","actual",2022-11-01,4038,NA,NA
"6",NA,"ACTUAL","actual",2023-08-01,4258,NA,NA
"7",NA,"ACTUAL","actual",2006-04-01,4790,NA,NA
"8",NA,"ACTUAL","actual",2008-05-01,4663,NA,NA
"9",NA,"ACTUAL","actual",2022-08-01,4136,NA,NA
"10",NA,"ACTUAL","actual",2009-01-01,4163,NA,NA
"11",NA,"ACTUAL","actual",2013-11-01,4262,NA,NA
"12",NA,"ACTUAL","actual",2006-05-01,4899,NA,NA
"13",NA,"ACTUAL","actual",2014-06-01,4812,NA,NA
"14",NA,"ACTUAL","actual",2018-05-01,5356,NA,NA
"15",NA,"ACTUAL","actual",2011-02-01,4479,NA,NA
"16",NA,"ACTUAL","actual",2011-06-01,4627,NA,NA
"17",NA,"ACTUAL","actual",2012-01-01,4152,NA,NA
"18",NA,"ACTUAL","actual",2013-01-01,4447,NA,NA
"19",NA,"ACTUAL","actual",2014-02-01,4633,NA,NA
"20",NA,"ACTUAL","actual",2016-04-01,4895,NA,NA
"21",NA,"ACTUAL","actual",2002-08-01,4332,NA,NA
"22",NA,"ACTUAL","actual",2005-04-01,4795,NA,NA
"23",NA,"ACTUAL","actual",2002-02-01,4575,NA,NA
"24",NA,"ACTUAL","actual",2015-02-01,4522,NA,NA
"25",NA,"ACTUAL","actual",2012-08-01,4226,NA,NA
"26",NA,"ACTUAL","actual",2024-02-01,4169,NA,NA
"27",NA,"ACTUAL","actual",2009-12-01,4124,NA,NA
"28",NA,"ACTUAL","actual",2010-08-01,4041,NA,NA
"29",NA,"ACTUAL","actual",2006-12-01,3840,NA,NA
"30",NA,"ACTUAL","actual",2017-08-01,4710,NA,NA
"31",NA,"ACTUAL","actual",2012-07-01,4531,NA,NA
"32",NA,"ACTUAL","actual",2011-11-01,4010,NA,NA
"33",NA,"ACTUAL","actual",2017-02-01,4389,NA,NA
"34",NA,"ACTUAL","actual",2000-07-01,5190,NA,NA
"35",NA,"ACTUAL","actual",2001-04-01,4960,NA,NA
"36",NA,"ACTUAL","actual",2016-03-01,4973,NA,NA
"37",NA,"ACTUAL","actual",2006-02-01,4128,NA,NA
"38",NA,"ACTUAL","actual",2007-02-01,4118,NA,NA
"39",NA,"ACTUAL","actual",2016-09-01,3834,NA,NA
"40",NA,"ACTUAL","actual",2005-12-01,3732,NA,NA
"41",NA,"ACTUAL","actual",2006-03-01,4765,NA,NA
"42",NA,"ACTUAL","actual",2005-03-01,4892,NA,NA
"43",NA,"ACTUAL","actual",2014-08-01,4505,NA,NA
"44",NA,"ACTUAL","actual",2003-06-01,4615,NA,NA
"45",NA,"ACTUAL","actual",2013-03-01,4869,NA,NA
"46",NA,"ACTUAL","actual",2007-05-01,4617,NA,NA
"47",NA,"ACTUAL","actual",2002-11-01,4051,NA,NA
"48",NA,"ACTUAL","actual",2015-07-01,4856,NA,NA
"49",NA,"ACTUAL","actual",2008-11-01,3901,NA,NA
"50",NA,"ACTUAL","actual",2008-10-01,4185,NA,NA
"51",NA,"ACTUAL","actual",2023-04-01,4515,NA,NA
"52",NA,"ACTUAL","actual",2008-08-01,4207,NA,NA
"53",NA,"ACTUAL","actual",2012-12-01,4171,NA,NA
"54",NA,"ACTUAL","actual",2019-03-01,4963,NA,NA
"55",NA,"ACTUAL","actual",2016-10-01,3896,NA,NA
"56",NA,"ACTUAL","actual",2022-05-01,4691,NA,NA
"57",NA,"ACTUAL","actual",2011-01-01,4255,NA,NA
"58",NA,"ACTUAL","actual",2014-09-01,4536,NA,NA
"59",NA,"ACTUAL","actual",2017-05-01,5255,NA,NA
"60",NA,"ACTUAL","actual",2005-10-01,4030,NA,NA
"61",NA,"ACTUAL","actual",2024-06-01,4152,NA,NA
"62",NA,"ACTUAL","actual",2015-01-01,4808,NA,NA
"63",NA,"ACTUAL","actual",2003-11-01,3899,NA,NA
"64",NA,"ACTUAL","actual",2004-10-01,4086,NA,NA
"65",NA,"ACTUAL","actual",2009-08-01,3899,NA,NA
"66",NA,"ACTUAL","actual",2019-05-01,5081,NA,NA
"67",NA,"ACTUAL","actual",2013-04-01,4875,NA,NA
"68",NA,"ACTUAL","actual",2022-07-01,4359,NA,NA
"69",NA,"ACTUAL","actual",2010-05-01,4660,NA,NA
"70",NA,"ACTUAL","actual",2019-09-01,4371,NA,NA
"71",NA,"ACTUAL","actual",2003-03-01,5069,NA,NA
"72",NA,"ACTUAL","actual",2014-10-01,4495,NA,NA
"73",NA,"ACTUAL","actual",2006-08-01,4152,NA,NA
"74",NA,"ACTUAL","actual",2021-05-01,4824,NA,NA
"75",NA,"ACTUAL","actual",2003-05-01,4890,NA,NA
"76",NA,"ACTUAL","actual",2014-12-01,4659,NA,NA
"77",NA,"ACTUAL","actual",2011-12-01,3998,NA,NA
"78",NA,"ACTUAL","actual",2005-06-01,4592,NA,NA
"79",NA,"ACTUAL","actual",2023-09-01,4080,NA,NA
"80",NA,"ACTUAL","actual",2012-10-01,4239,NA,NA
"81",NA,"ACTUAL","actual",2016-05-01,5235,NA,NA
