"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2007-05-01,7671,NA,NA
"2",NA,"ACTUAL","actual",2011-07-01,7378,NA,NA
"3",NA,"ACTUAL","actual",2020-12-01,7471,NA,NA
"4",NA,"ACTUAL","actual",2000-08-01,7857,NA,NA
"5",NA,"ACTUAL","actual",2000-10-01,7826,NA,NA
"6",NA,"ACTUAL","actual",2022-12-01,7724,NA,NA
"7",NA,"ACTUAL","actual",2010-05-01,7470,NA,NA
"8",NA,"ACTUAL","actual",2013-12-01,7721,NA,NA
"9",NA,"ACTUAL","actual",2014-12-01,8286,NA,NA
"10",NA,"ACTUAL","actual",2010-09-01,7364,NA,NA
"11",NA,"ACTUAL","actual",2008-07-01,7122,NA,NA
"12",NA,"ACTUAL","actual",2017-10-01,8101,NA,NA
"13",NA,"ACTUAL","actual",2015-05-01,8823,NA,NA
"14",NA,"ACTUAL","actual",2015-07-01,8319,NA,NA
"15",NA,"ACTUAL","actual",2006-02-01,6786,NA,NA
"16",NA,"ACTUAL","actual",2005-06-01,7762,NA,NA
"17",NA,"ACTUAL","actual",2007-12-01,6802,NA,NA
"18",NA,"ACTUAL","actual",2004-09-01,7530,NA,NA
"19",NA,"ACTUAL","actual",2003-07-01,7838,NA,NA
"20",NA,"ACTUAL","actual",2009-11-01,6900,NA,NA
"21",NA,"ACTUAL","actual",2011-05-01,7883,NA,NA
"22",NA,"ACTUAL","actual",2009-02-01,7073,NA,NA
"23",NA,"ACTUAL","actual",2002-02-01,7638,NA,NA
"24",NA,"ACTUAL","actual",2019-12-01,7521,NA,NA
"25",NA,"ACTUAL","actual",2022-08-01,7331,NA,NA
"26",NA,"ACTUAL","actual",2016-06-01,8150,NA,NA
"27",NA,"ACTUAL","actual",2001-09-01,7909,NA,NA
"28",NA,"ACTUAL","actual",2023-12-01,7084,NA,NA
"29",NA,"ACTUAL","actual",2004-07-01,7627,NA,NA
"30",NA,"ACTUAL","actual",2021-03-01,8494,NA,NA
"31",NA,"ACTUAL","actual",2000-04-01,8140,NA,NA
"32",NA,"ACTUAL","actual",2005-12-01,6544,NA,NA
"33",NA,"ACTUAL","actual",2019-09-01,7714,NA,NA
"34",NA,"ACTUAL","actual",2015-11-01,7923,NA,NA
"35",NA,"ACTUAL","actual",2003-10-01,7388,NA,NA
"36",NA,"ACTUAL","actual",2006-09-01,7376,NA,NA
"37",NA,"ACTUAL","actual",2013-04-01,8357,NA,NA
"38",NA,"ACTUAL","actual",2001-01-01,7660,NA,NA
"39",NA,"ACTUAL","actual",2005-10-01,7509,NA,NA
"40",NA,"ACTUAL","actual",2015-08-01,8299,NA,NA
"41",NA,"ACTUAL","actual",2005-03-01,8386,NA,NA
"42",NA,"ACTUAL","actual",2003-11-01,7188,NA,NA
"43",NA,"ACTUAL","actual",2011-10-01,7112,NA,NA
"44",NA,"ACTUAL","actual",2023-05-01,8249,NA,NA
"45",NA,"ACTUAL","actual",2000-11-01,7195,NA,NA
"46",NA,"ACTUAL","actual",2018-06-01,8160,NA,NA
"47",NA,"ACTUAL","actual",2023-11-01,6933,NA,NA
"48",NA,"ACTUAL","actual",2023-08-01,7705,NA,NA
"49",NA,"ACTUAL","actual",2019-07-01,8063,NA,NA
"50",NA,"ACTUAL","actual",2020-02-01,7392,NA,NA
"51",NA,"ACTUAL","actual",2015-09-01,8511,NA,NA
"52",NA,"ACTUAL","actual",2015-12-01,8386,NA,NA
"53",NA,"ACTUAL","actual",2023-07-01,7625,NA,NA
"54",NA,"ACTUAL","actual",2017-02-01,7509,NA,NA
"55",NA,"ACTUAL","actual",2014-10-01,8285,NA,NA
"56",NA,"ACTUAL","actual",2018-01-01,8123,NA,NA
"57",NA,"ACTUAL","actual",2017-06-01,8348,NA,NA
"58",NA,"ACTUAL","actual",2002-09-01,7907,NA,NA
"59",NA,"ACTUAL","actual",2006-08-01,7218,NA,NA
"60",NA,"ACTUAL","actual",2021-07-01,7466,NA,NA
"61",NA,"ACTUAL","actual",2006-05-01,7900,NA,NA
"62",NA,"ACTUAL","actual",2020-01-01,7834,NA,NA
"63",NA,"ACTUAL","actual",2018-10-01,8014,NA,NA
"64",NA,"ACTUAL","actual",2000-02-01,7851,NA,NA
"65",NA,"ACTUAL","actual",2006-07-01,6980,NA,NA
"66",NA,"ACTUAL","actual",2010-07-01,7276,NA,NA
"67",NA,"ACTUAL","actual",2016-09-01,7659,NA,NA
"68",NA,"ACTUAL","actual",2018-04-01,9033,NA,NA
"69",NA,"ACTUAL","actual",2008-03-01,7671,NA,NA
"70",NA,"ACTUAL","actual",2016-12-01,7198,NA,NA
"71",NA,"ACTUAL","actual",2001-04-01,8156,NA,NA
"72",NA,"ACTUAL","actual",2012-09-01,7464,NA,NA
"73",NA,"ACTUAL","actual",2017-04-01,8369,NA,NA
"74",NA,"ACTUAL","actual",2020-07-01,7833,NA,NA
"75",NA,"ACTUAL","actual",2017-09-01,7957,NA,NA
"76",NA,"ACTUAL","actual",2004-11-01,6839,NA,NA
"77",NA,"ACTUAL","actual",2007-09-01,6636,NA,NA
"78",NA,"ACTUAL","actual",2016-02-01,8101,NA,NA
"79",NA,"ACTUAL","actual",2019-05-01,8624,NA,NA
"80",NA,"ACTUAL","actual",2002-01-01,8115,NA,NA
"81",NA,"ACTUAL","actual",2011-08-01,7380,NA,NA
"82",NA,"ACTUAL","actual",2021-12-01,7449,NA,NA
"83",NA,"ACTUAL","actual",2020-05-01,8177,NA,NA
"84",NA,"ACTUAL","actual",2011-04-01,7804,NA,NA
"85",NA,"ACTUAL","actual",2012-02-01,7548,NA,NA
"86",NA,"ACTUAL","actual",2021-06-01,7361,NA,NA
"87",NA,"ACTUAL","actual",2006-06-01,7270,NA,NA
"88",NA,"ACTUAL","actual",2018-12-01,7734,NA,NA
"89",NA,"ACTUAL","actual",2020-08-01,7387,NA,NA
"90",NA,"ACTUAL","actual",2022-05-01,8091,NA,NA
"91",NA,"ACTUAL","actual",2005-04-01,8119,NA,NA
"92",NA,"ACTUAL","actual",2019-06-01,7815,NA,NA
"93",NA,"ACTUAL","actual",2012-10-01,8007,NA,NA
"94",NA,"ACTUAL","actual",2001-05-01,8392,NA,NA
"95",NA,"ACTUAL","actual",2024-04-01,7939,NA,NA
"96",NA,"ACTUAL","actual",2006-10-01,6965,NA,NA
"97",NA,"ACTUAL","actual",2004-12-01,7181,NA,NA
"98",NA,"ACTUAL","actual",2016-08-01,7587,NA,NA
"99",NA,"ACTUAL","actual",2003-03-01,8457,NA,NA
"100",NA,"ACTUAL","actual",2022-09-01,6915,NA,NA
"101",NA,"ACTUAL","actual",2005-07-01,7704,NA,NA
"102",NA,"ACTUAL","actual",2012-05-01,8190,NA,NA
"103",NA,"ACTUAL","actual",2002-07-01,7687,NA,NA
"104",NA,"ACTUAL","actual",2001-10-01,7822,NA,NA
"105",NA,"ACTUAL","actual",2018-07-01,8140,NA,NA
"106",NA,"ACTUAL","actual",2009-04-01,7929,NA,NA
"107",NA,"ACTUAL","actual",2010-10-01,7170,NA,NA
"108",NA,"ACTUAL","actual",2019-04-01,8357,NA,NA
"109",NA,"ACTUAL","actual",2003-04-01,8361,NA,NA
"110",NA,"ACTUAL","actual",2015-01-01,8203,NA,NA
"111",NA,"ACTUAL","actual",2008-08-01,7080,NA,NA
"112",NA,"ACTUAL","actual",2007-02-01,7153,NA,NA
"113",NA,"ACTUAL","actual",2010-08-01,6988,NA,NA
"114",NA,"ACTUAL","actual",2024-05-01,7834,NA,NA
"115",NA,"ACTUAL","actual",2000-06-01,7672,NA,NA
"116",NA,"ACTUAL","actual",2013-08-01,7658,NA,NA
"117",NA,"ACTUAL","actual",2014-09-01,8359,NA,NA
"118",NA,"ACTUAL","actual",2020-10-01,7374,NA,NA
"119",NA,"ACTUAL","actual",2013-01-01,7796,NA,NA
"120",NA,"ACTUAL","actual",2016-07-01,7925,NA,NA
"121",NA,"ACTUAL","actual",2023-09-01,7494,NA,NA
"122",NA,"ACTUAL","actual",2009-03-01,8018,NA,NA
"123",NA,"ACTUAL","actual",2000-07-01,8049,NA,NA
"124",NA,"ACTUAL","actual",2001-08-01,7557,NA,NA
"125",NA,"ACTUAL","actual",2005-05-01,8316,NA,NA
"126",NA,"ACTUAL","actual",2022-07-01,7290,NA,NA
"127",NA,"ACTUAL","actual",2019-10-01,7678,NA,NA
"128",NA,"ACTUAL","actual",2024-03-01,8124,NA,NA
"129",NA,"ACTUAL","actual",2001-12-01,7332,NA,NA
"130",NA,"ACTUAL","actual",2016-04-01,8516,NA,NA
"131",NA,"ACTUAL","actual",2021-01-01,7542,NA,NA
"132",NA,"ACTUAL","actual",2018-09-01,8114,NA,NA
"133",NA,"ACTUAL","actual",2019-03-01,8728,NA,NA
"134",NA,"ACTUAL","actual",2005-09-01,7956,NA,NA
"135",NA,"ACTUAL","actual",2014-02-01,8011,NA,NA
"136",NA,"ACTUAL","actual",2008-01-01,7150,NA,NA
"137",NA,"ACTUAL","actual",2009-05-01,7437,NA,NA
"138",NA,"ACTUAL","actual",2020-03-01,8553,NA,NA
"139",NA,"ACTUAL","actual",2012-12-01,7552,NA,NA
"140",NA,"ACTUAL","actual",2022-03-01,8166,NA,NA
"141",NA,"ACTUAL","actual",2014-06-01,8245,NA,NA
"142",NA,"ACTUAL","actual",2011-11-01,6942,NA,NA
"143",NA,"ACTUAL","actual",2018-05-01,8980,NA,NA
"144",NA,"ACTUAL","actual",2009-01-01,7257,NA,NA
"145",NA,"ACTUAL","actual",2017-01-01,7570,NA,NA
"146",NA,"ACTUAL","actual",2008-06-01,7080,NA,NA
"147",NA,"ACTUAL","actual",2018-02-01,7551,NA,NA
"148",NA,"ACTUAL","actual",2022-11-01,7372,NA,NA
"149",NA,"ACTUAL","actual",2021-09-01,7524,NA,NA
"150",NA,"ACTUAL","actual",2011-03-01,8530,NA,NA
"151",NA,"ACTUAL","actual",2002-05-01,8207,NA,NA
"152",NA,"ACTUAL","actual",2001-11-01,7218,NA,NA
"153",NA,"ACTUAL","actual",2022-04-01,7882,NA,NA
"154",NA,"ACTUAL","actual",2009-06-01,6949,NA,NA
"155",NA,"ACTUAL","actual",2017-12-01,7807,NA,NA
"156",NA,"ACTUAL","actual",2007-11-01,6319,NA,NA
"157",NA,"ACTUAL","actual",2018-03-01,9010,NA,NA
"158",NA,"ACTUAL","actual",2007-01-01,7225,NA,NA
"159",NA,"ACTUAL","actual",2013-07-01,7914,NA,NA
"160",NA,"ACTUAL","actual",2004-02-01,7426,NA,NA
"161",NA,"ACTUAL","actual",2008-05-01,7685,NA,NA
"162",NA,"ACTUAL","actual",2017-07-01,8187,NA,NA
"163",NA,"ACTUAL","actual",2017-05-01,8700,NA,NA
"164",NA,"ACTUAL","actual",2022-01-01,7589,NA,NA
"165",NA,"ACTUAL","actual",2021-10-01,7447,NA,NA
"166",NA,"ACTUAL","actual",2008-12-01,7378,NA,NA
"167",NA,"ACTUAL","actual",2004-03-01,8494,NA,NA
"168",NA,"ACTUAL","actual",2004-10-01,7191,NA,NA
"169",NA,"ACTUAL","actual",2021-11-01,7290,NA,NA
"170",NA,"ACTUAL","actual",2010-03-01,8243,NA,NA
"171",NA,"ACTUAL","actual",2012-11-01,7491,NA,NA
"172",NA,"ACTUAL","actual",2000-03-01,8478,NA,NA
"173",NA,"ACTUAL","actual",2010-02-01,7026,NA,NA
"174",NA,"ACTUAL","actual",2023-02-01,7383,NA,NA
"175",NA,"ACTUAL","actual",2020-11-01,7062,NA,NA
"176",NA,"ACTUAL","actual",2004-01-01,7620,NA,NA
"177",NA,"ACTUAL","actual",2014-04-01,8539,NA,NA
"178",NA,"ACTUAL","actual",2024-06-01,7172,NA,NA
"179",NA,"ACTUAL","actual",2007-10-01,6674,NA,NA
"180",NA,"ACTUAL","actual",2007-04-01,7678,NA,NA
"181",NA,"ACTUAL","actual",2011-06-01,7536,NA,NA
"182",NA,"ACTUAL","actual",2019-08-01,7796,NA,NA
"183",NA,"ACTUAL","actual",2008-04-01,7631,NA,NA
"184",NA,"ACTUAL","actual",2013-09-01,7842,NA,NA
"185",NA,"ACTUAL","actual",2008-02-01,7155,NA,NA
"186",NA,"ACTUAL","actual",2010-06-01,7118,NA,NA
"187",NA,"ACTUAL","actual",2019-02-01,8037,NA,NA
"188",NA,"ACTUAL","actual",2014-05-01,8808,NA,NA
"189",NA,"ACTUAL","actual",2012-08-01,7767,NA,NA
"190",NA,"ACTUAL","actual",2003-06-01,7646,NA,NA
"191",NA,"ACTUAL","actual",2005-01-01,7443,NA,NA
"192",NA,"ACTUAL","actual",2000-09-01,7860,NA,NA
"193",NA,"ACTUAL","actual",2023-03-01,8491,NA,NA
"194",NA,"ACTUAL","actual",2016-11-01,6919,NA,NA
"195",NA,"ACTUAL","actual",2012-01-01,7541,NA,NA
"196",NA,"ACTUAL","actual",2007-07-01,7144,NA,NA
"197",NA,"ACTUAL","actual",2009-10-01,7301,NA,NA
"198",NA,"ACTUAL","actual",2002-11-01,7293,NA,NA
"199",NA,"ACTUAL","actual",2002-12-01,7594,NA,NA
"200",NA,"ACTUAL","actual",2003-08-01,7422,NA,NA
"201",NA,"ACTUAL","actual",2022-10-01,6816,NA,NA
"202",NA,"ACTUAL","actual",2016-03-01,9083,NA,NA
"203",NA,"ACTUAL","actual",2013-03-01,8269,NA,NA
"204",NA,"ACTUAL","actual",2003-09-01,7624,NA,NA
"205",NA,"ACTUAL","actual",2005-08-01,7459,NA,NA
"206",NA,"ACTUAL","actual",2023-10-01,7242,NA,NA
"207",NA,"ACTUAL","actual",2018-08-01,8341,NA,NA
"208",NA,"ACTUAL","actual",2006-03-01,8136,NA,NA
"209",NA,"ACTUAL","actual",2010-12-01,7115,NA,NA
"210",NA,"ACTUAL","actual",2007-06-01,6946,NA,NA
"211",NA,"ACTUAL","actual",2023-01-01,7931,NA,NA
"212",NA,"ACTUAL","actual",2011-12-01,7020,NA,NA
"213",NA,"ACTUAL","actual",2021-08-01,7363,NA,NA
"214",NA,"ACTUAL","actual",2014-07-01,8463,NA,NA
"215",NA,"ACTUAL","actual",2001-06-01,7483,NA,NA
"216",NA,"ACTUAL","actual",2002-03-01,8550,NA,NA
"217",NA,"ACTUAL","actual",2012-04-01,7876,NA,NA
"218",NA,"ACTUAL","actual",2013-02-01,7451,NA,NA
"219",NA,"ACTUAL","actual",2015-06-01,8248,NA,NA
"220",NA,"ACTUAL","actual",2008-11-01,6942,NA,NA
"221",NA,"ACTUAL","actual",2003-02-01,7519,NA,NA
"222",NA,"ACTUAL","actual",2007-03-01,8190,NA,NA
"223",NA,"ACTUAL","actual",2003-12-01,7107,NA,NA
"224",NA,"ACTUAL","actual",2011-01-01,7759,NA,NA
"225",NA,"ACTUAL","actual",2009-08-01,6903,NA,NA
"226",NA,"ACTUAL","actual",2022-06-01,7444,NA,NA
"227",NA,"ACTUAL","actual",2000-01-01,7960,NA,NA
"228",NA,"ACTUAL","actual",2016-05-01,8801,NA,NA
"229",NA,"ACTUAL","actual",2001-03-01,8330,NA,NA
"230",NA,"ACTUAL","actual",2021-02-01,7240,NA,NA
"231",NA,"ACTUAL","actual",2004-06-01,7619,NA,NA
"232",NA,"ACTUAL","actual",2008-09-01,7361,NA,NA
"233",NA,"ACTUAL","actual",2023-04-01,8032,NA,NA
"234",NA,"ACTUAL","actual",2015-02-01,7816,NA,NA
"235",NA,"ACTUAL","actual",2006-01-01,7116,NA,NA
"236",NA,"ACTUAL","actual",2015-04-01,8925,NA,NA
"237",NA,"ACTUAL","actual",2024-01-01,7527,NA,NA
"238",NA,"ACTUAL","actual",2011-02-01,7311,NA,NA
"239",NA,"ACTUAL","actual",2002-04-01,8348,NA,NA
"240",NA,"ACTUAL","actual",2014-08-01,8055,NA,NA
"241",NA,"ACTUAL","actual",2004-04-01,8184,NA,NA
"242",NA,"ACTUAL","actual",2008-10-01,7192,NA,NA
"243",NA,"ACTUAL","actual",2013-11-01,7546,NA,NA
"244",NA,"ACTUAL","actual",2013-10-01,7954,NA,NA
"245",NA,"ACTUAL","actual",2010-04-01,7677,NA,NA
"246",NA,"ACTUAL","actual",2023-06-01,7633,NA,NA
