"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2002-04-01,9794,NA,NA
"2",NA,"ACTUAL","actual",2019-01-01,9483,NA,NA
"3",NA,"ACTUAL","actual",2008-09-01,11412,NA,NA
"4",NA,"ACTUAL","actual",2004-03-01,10340,NA,NA
"5",NA,"ACTUAL","actual",2012-02-01,8914,NA,NA
"6",NA,"ACTUAL","actual",2013-08-01,10070,NA,NA
"7",NA,"ACTUAL","actual",2015-09-01,10734,NA,NA
"8",NA,"ACTUAL","actual",2000-02-01,7826,NA,NA
"9",NA,"ACTUAL","actual",2021-09-01,9351,NA,NA
"10",NA,"ACTUAL","actual",2020-10-01,8985,NA,NA
"11",NA,"ACTUAL","actual",2013-01-01,9382,NA,NA
"12",NA,"ACTUAL","actual",2022-06-01,8011,NA,NA
"13",NA,"ACTUAL","actual",2017-12-01,9388,NA,NA
"14",NA,"ACTUAL","actual",2003-08-01,11223,NA,NA
"15",NA,"ACTUAL","actual",2016-09-01,9557,NA,NA
"16",NA,"ACTUAL","actual",2008-01-01,10446,NA,NA
"17",NA,"ACTUAL","actual",2003-09-01,10881,NA,NA
"18",NA,"ACTUAL","actual",2019-10-01,9818,NA,NA
"19",NA,"ACTUAL","actual",2013-12-01,9107,NA,NA
"20",NA,"ACTUAL","actual",2021-03-01,9154,NA,NA
"21",NA,"ACTUAL","actual",2002-11-01,9915,NA,NA
"22",NA,"ACTUAL","actual",2020-12-01,8408,NA,NA
"23",NA,"ACTUAL","actual",2023-06-01,7979,NA,NA
"24",NA,"ACTUAL","actual",2023-12-01,7533,NA,NA
"25",NA,"ACTUAL","actual",2002-09-01,10664,NA,NA
"26",NA,"ACTUAL","actual",2019-07-01,9558,NA,NA
"27",NA,"ACTUAL","actual",2014-04-01,9723,NA,NA
"28",NA,"ACTUAL","actual",2018-08-01,9841,NA,NA
"29",NA,"ACTUAL","actual",2010-07-01,10286,NA,NA
"30",NA,"ACTUAL","actual",2022-11-01,8315,NA,NA
"31",NA,"ACTUAL","actual",2001-01-01,8984,NA,NA
"32",NA,"ACTUAL","actual",2017-01-01,8313,NA,NA
"33",NA,"ACTUAL","actual",2016-03-01,9494,NA,NA
"34",NA,"ACTUAL","actual",2012-07-01,9944,NA,NA
"35",NA,"ACTUAL","actual",2006-04-01,10815,NA,NA
"36",NA,"ACTUAL","actual",2005-11-01,9982,NA,NA
"37",NA,"ACTUAL","actual",2000-07-01,9083,NA,NA
"38",NA,"ACTUAL","actual",2013-02-01,8371,NA,NA
"39",NA,"ACTUAL","actual",2023-07-01,8091,NA,NA
"40",NA,"ACTUAL","actual",2004-01-01,10295,NA,NA
"41",NA,"ACTUAL","actual",2011-04-01,10118,NA,NA
"42",NA,"ACTUAL","actual",2015-02-01,8605,NA,NA
"43",NA,"ACTUAL","actual",2016-01-01,9238,NA,NA
"44",NA,"ACTUAL","actual",2000-10-01,8645,NA,NA
"45",NA,"ACTUAL","actual",2001-06-01,9082,NA,NA
"46",NA,"ACTUAL","actual",2007-01-01,11157,NA,NA
"47",NA,"ACTUAL","actual",2004-11-01,9583,NA,NA
"48",NA,"ACTUAL","actual",2018-07-01,9876,NA,NA
"49",NA,"ACTUAL","actual",2006-03-01,10760,NA,NA
"50",NA,"ACTUAL","actual",2021-07-01,9177,NA,NA
"51",NA,"ACTUAL","actual",2023-10-01,8421,NA,NA
"52",NA,"ACTUAL","actual",2017-06-01,9580,NA,NA
"53",NA,"ACTUAL","actual",2011-08-01,10271,NA,NA
"54",NA,"ACTUAL","actual",2008-02-01,9269,NA,NA
"55",NA,"ACTUAL","actual",2003-07-01,11318,NA,NA
"56",NA,"ACTUAL","actual",2000-05-01,8596,NA,NA
"57",NA,"ACTUAL","actual",2003-02-01,9482,NA,NA
"58",NA,"ACTUAL","actual",2012-04-01,9229,NA,NA
"59",NA,"ACTUAL","actual",2010-02-01,8839,NA,NA
"60",NA,"ACTUAL","actual",2014-08-01,10263,NA,NA
"61",NA,"ACTUAL","actual",2018-10-01,10335,NA,NA
"62",NA,"ACTUAL","actual",2008-03-01,10381,NA,NA
"63",NA,"ACTUAL","actual",2001-11-01,8742,NA,NA
