"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2016-10-01,3097,NA,NA
"2",NA,"ACTUAL","actual",2001-01-01,3387,NA,NA
"3",NA,"ACTUAL","actual",2016-02-01,3640,NA,NA
"4",NA,"ACTUAL","actual",2019-12-01,3498,NA,NA
"5",NA,"ACTUAL","actual",2009-10-01,3259,NA,NA
"6",NA,"ACTUAL","actual",2012-09-01,3295,NA,NA
"7",NA,"ACTUAL","actual",2023-01-01,3595,NA,NA
"8",NA,"ACTUAL","actual",2019-04-01,3998,NA,NA
"9",NA,"ACTUAL","actual",2014-01-01,3714,NA,NA
"10",NA,"ACTUAL","actual",2016-12-01,3305,NA,NA
"11",NA,"ACTUAL","actual",2001-11-01,3062,NA,NA
"12",NA,"ACTUAL","actual",2018-11-01,3316,NA,NA
"13",NA,"ACTUAL","actual",2002-10-01,3223,NA,NA
"14",NA,"ACTUAL","actual",2003-09-01,3223,NA,NA
"15",NA,"ACTUAL","actual",2008-07-01,3356,NA,NA
"16",NA,"ACTUAL","actual",2004-01-01,3658,NA,NA
"17",NA,"ACTUAL","actual",2019-10-01,3257,NA,NA
"18",NA,"ACTUAL","actual",2011-05-01,3935,NA,NA
"19",NA,"ACTUAL","actual",2010-05-01,3541,NA,NA
"20",NA,"ACTUAL","actual",2011-01-01,3457,NA,NA
"21",NA,"ACTUAL","actual",2016-03-01,4061,NA,NA
"22",NA,"ACTUAL","actual",2013-10-01,3427,NA,NA
"23",NA,"ACTUAL","actual",2023-07-01,3364,NA,NA
"24",NA,"ACTUAL","actual",2023-11-01,2931,NA,NA
"25",NA,"ACTUAL","actual",2006-01-01,3340,NA,NA
"26",NA,"ACTUAL","actual",2011-02-01,3619,NA,NA
"27",NA,"ACTUAL","actual",2006-08-01,3209,NA,NA
"28",NA,"ACTUAL","actual",2019-05-01,3956,NA,NA
"29",NA,"ACTUAL","actual",2001-03-01,3871,NA,NA
"30",NA,"ACTUAL","actual",2017-09-01,3580,NA,NA
"31",NA,"ACTUAL","actual",2019-11-01,3276,NA,NA
"32",NA,"ACTUAL","actual",2000-08-01,3455,NA,NA
"33",NA,"ACTUAL","actual",2015-05-01,3921,NA,NA
"34",NA,"ACTUAL","actual",2005-08-01,3372,NA,NA
"35",NA,"ACTUAL","actual",2001-12-01,3078,NA,NA
"36",NA,"ACTUAL","actual",2007-09-01,2975,NA,NA
"37",NA,"ACTUAL","actual",2004-10-01,3218,NA,NA
"38",NA,"ACTUAL","actual",2001-09-01,3311,NA,NA
"39",NA,"ACTUAL","actual",2022-12-01,3306,NA,NA
"40",NA,"ACTUAL","actual",2014-08-01,3549,NA,NA
"41",NA,"ACTUAL","actual",2024-01-01,3256,NA,NA
"42",NA,"ACTUAL","actual",2023-05-01,3691,NA,NA
"43",NA,"ACTUAL","actual",2024-03-01,3516,NA,NA
"44",NA,"ACTUAL","actual",2022-11-01,3099,NA,NA
"45",NA,"ACTUAL","actual",2003-07-01,3324,NA,NA
"46",NA,"ACTUAL","actual",2019-07-01,3595,NA,NA
"47",NA,"ACTUAL","actual",2017-10-01,3360,NA,NA
"48",NA,"ACTUAL","actual",2001-07-01,3263,NA,NA
"49",NA,"ACTUAL","actual",2021-03-01,3927,NA,NA
"50",NA,"ACTUAL","actual",2013-03-01,3908,NA,NA
"51",NA,"ACTUAL","actual",2006-04-01,3622,NA,NA
"52",NA,"ACTUAL","actual",2016-04-01,3931,NA,NA
"53",NA,"ACTUAL","actual",2014-05-01,3937,NA,NA
"54",NA,"ACTUAL","actual",2011-09-01,3148,NA,NA
"55",NA,"ACTUAL","actual",2008-09-01,3314,NA,NA
"56",NA,"ACTUAL","actual",2023-02-01,3334,NA,NA
"57",NA,"ACTUAL","actual",2002-09-01,3334,NA,NA
"58",NA,"ACTUAL","actual",2000-03-01,3844,NA,NA
"59",NA,"ACTUAL","actual",2017-07-01,3900,NA,NA
"60",NA,"ACTUAL","actual",2003-04-01,3508,NA,NA
"61",NA,"ACTUAL","actual",2008-04-01,3672,NA,NA
"62",NA,"ACTUAL","actual",2018-03-01,4181,NA,NA
"63",NA,"ACTUAL","actual",2012-02-01,3716,NA,NA
"64",NA,"ACTUAL","actual",2015-04-01,3891,NA,NA
"65",NA,"ACTUAL","actual",2010-10-01,3218,NA,NA
"66",NA,"ACTUAL","actual",2016-08-01,3376,NA,NA
"67",NA,"ACTUAL","actual",2021-12-01,3349,NA,NA
"68",NA,"ACTUAL","actual",2013-05-01,3861,NA,NA
"69",NA,"ACTUAL","actual",2018-09-01,3491,NA,NA
"70",NA,"ACTUAL","actual",2003-01-01,3216,NA,NA
"71",NA,"ACTUAL","actual",2001-10-01,3209,NA,NA
"72",NA,"ACTUAL","actual",2006-03-01,3559,NA,NA
"73",NA,"ACTUAL","actual",2022-03-01,3633,NA,NA
"74",NA,"ACTUAL","actual",2016-01-01,3586,NA,NA
"75",NA,"ACTUAL","actual",2004-06-01,3438,NA,NA
"76",NA,"ACTUAL","actual",2024-05-01,3448,NA,NA
"77",NA,"ACTUAL","actual",2005-04-01,3815,NA,NA
"78",NA,"ACTUAL","actual",2023-10-01,3176,NA,NA
"79",NA,"ACTUAL","actual",2016-06-01,3656,NA,NA
"80",NA,"ACTUAL","actual",2004-04-01,3618,NA,NA
"81",NA,"ACTUAL","actual",2020-11-01,2581,NA,NA
"82",NA,"ACTUAL","actual",2006-05-01,3720,NA,NA
"83",NA,"ACTUAL","actual",2000-02-01,3439,NA,NA
"84",NA,"ACTUAL","actual",2020-08-01,3278,NA,NA
"85",NA,"ACTUAL","actual",2013-02-01,3401,NA,NA
"86",NA,"ACTUAL","actual",2020-09-01,3422,NA,NA
