"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2004-09-01,4129,NA,NA
"2",NA,"ACTUAL","actual",2010-09-01,4112,NA,NA
"3",NA,"ACTUAL","actual",2013-02-01,4017,NA,NA
"4",NA,"ACTUAL","actual",2024-02-01,4440,NA,NA
"5",NA,"ACTUAL","actual",2009-08-01,3783,NA,NA
"6",NA,"ACTUAL","actual",2020-04-01,5099,NA,NA
"7",NA,"ACTUAL","actual",2005-02-01,4166,NA,NA
"8",NA,"ACTUAL","actual",2009-06-01,4014,NA,NA
"9",NA,"ACTUAL","actual",2022-08-01,4894,NA,NA
"10",NA,"ACTUAL","actual",2016-05-01,4893,NA,NA
"11",NA,"ACTUAL","actual",2021-03-01,5194,NA,NA
"12",NA,"ACTUAL","actual",2017-04-01,5167,NA,NA
"13",NA,"ACTUAL","actual",2019-12-01,4548,NA,NA
"14",NA,"ACTUAL","actual",2021-08-01,4798,NA,NA
"15",NA,"ACTUAL","actual",2008-07-01,4021,NA,NA
"16",NA,"ACTUAL","actual",2017-01-01,4264,NA,NA
"17",NA,"ACTUAL","actual",2010-04-01,4432,NA,NA
"18",NA,"ACTUAL","actual",2010-07-01,4134,NA,NA
"19",NA,"ACTUAL","actual",2004-11-01,3874,NA,NA
"20",NA,"ACTUAL","actual",2017-08-01,4742,NA,NA
"21",NA,"ACTUAL","actual",2016-10-01,4066,NA,NA
"22",NA,"ACTUAL","actual",2017-12-01,4475,NA,NA
"23",NA,"ACTUAL","actual",2009-01-01,4249,NA,NA
"24",NA,"ACTUAL","actual",2004-05-01,4707,NA,NA
"25",NA,"ACTUAL","actual",2019-05-01,5287,NA,NA
"26",NA,"ACTUAL","actual",2016-01-01,4644,NA,NA
"27",NA,"ACTUAL","actual",2024-04-01,5156,NA,NA
"28",NA,"ACTUAL","actual",2016-02-01,4340,NA,NA
"29",NA,"ACTUAL","actual",2022-12-01,5099,NA,NA
"30",NA,"ACTUAL","actual",2009-05-01,4218,NA,NA
"31",NA,"ACTUAL","actual",2004-01-01,4165,NA,NA
"32",NA,"ACTUAL","actual",2015-05-01,4973,NA,NA
"33",NA,"ACTUAL","actual",2004-07-01,4207,NA,NA
"34",NA,"ACTUAL","actual",2014-09-01,4663,NA,NA
"35",NA,"ACTUAL","actual",2005-11-01,3818,NA,NA
"36",NA,"ACTUAL","actual",2005-07-01,4388,NA,NA
"37",NA,"ACTUAL","actual",2000-06-01,4133,NA,NA
"38",NA,"ACTUAL","actual",2000-05-01,4542,NA,NA
"39",NA,"ACTUAL","actual",2011-04-01,4743,NA,NA
"40",NA,"ACTUAL","actual",2018-02-01,4430,NA,NA
"41",NA,"ACTUAL","actual",2015-10-01,4502,NA,NA
"42",NA,"ACTUAL","actual",2017-09-01,4731,NA,NA
"43",NA,"ACTUAL","actual",2019-01-01,4987,NA,NA
"44",NA,"ACTUAL","actual",2020-07-01,4808,NA,NA
"45",NA,"ACTUAL","actual",2001-12-01,3791,NA,NA
"46",NA,"ACTUAL","actual",2007-02-01,3884,NA,NA
"47",NA,"ACTUAL","actual",2018-10-01,4841,NA,NA
"48",NA,"ACTUAL","actual",2006-01-01,3886,NA,NA
"49",NA,"ACTUAL","actual",2012-11-01,3952,NA,NA
"50",NA,"ACTUAL","actual",2021-10-01,4722,NA,NA
"51",NA,"ACTUAL","actual",2023-02-01,4784,NA,NA
"52",NA,"ACTUAL","actual",2018-07-01,4994,NA,NA
"53",NA,"ACTUAL","actual",2003-05-01,4312,NA,NA
"54",NA,"ACTUAL","actual",2022-09-01,4252,NA,NA
"55",NA,"ACTUAL","actual",2021-04-01,5037,NA,NA
"56",NA,"ACTUAL","actual",2010-01-01,3957,NA,NA
"57",NA,"ACTUAL","actual",2001-09-01,3942,NA,NA
"58",NA,"ACTUAL","actual",2024-05-01,4941,NA,NA
"59",NA,"ACTUAL","actual",2005-08-01,4435,NA,NA
"60",NA,"ACTUAL","actual",2011-12-01,4147,NA,NA
"61",NA,"ACTUAL","actual",2003-03-01,4563,NA,NA
"62",NA,"ACTUAL","actual",2008-05-01,4484,NA,NA
"63",NA,"ACTUAL","actual",2001-03-01,4111,NA,NA
"64",NA,"ACTUAL","actual",2023-12-01,4553,NA,NA
"65",NA,"ACTUAL","actual",2023-05-01,5241,NA,NA
"66",NA,"ACTUAL","actual",2003-07-01,4071,NA,NA
"67",NA,"ACTUAL","actual",2002-07-01,3970,NA,NA
"68",NA,"ACTUAL","actual",2020-02-01,4519,NA,NA
"69",NA,"ACTUAL","actual",2016-09-01,4101,NA,NA
"70",NA,"ACTUAL","actual",2011-09-01,3973,NA,NA
"71",NA,"ACTUAL","actual",2000-04-01,4235,NA,NA
"72",NA,"ACTUAL","actual",2018-04-01,5483,NA,NA
"73",NA,"ACTUAL","actual",2014-08-01,4663,NA,NA
"74",NA,"ACTUAL","actual",2013-11-01,4216,NA,NA
"75",NA,"ACTUAL","actual",2021-07-01,4731,NA,NA
"76",NA,"ACTUAL","actual",2000-08-01,4254,NA,NA
"77",NA,"ACTUAL","actual",2016-12-01,4161,NA,NA
"78",NA,"ACTUAL","actual",2021-01-01,4712,NA,NA
"79",NA,"ACTUAL","actual",2012-03-01,4605,NA,NA
