"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2003-07-01,12846,NA,NA
"2",NA,"ACTUAL","actual",2004-07-01,12398,NA,NA
"3",NA,"ACTUAL","actual",2005-06-01,12691,NA,NA
"4",NA,"ACTUAL","actual",2006-02-01,10832,NA,NA
"5",NA,"ACTUAL","actual",2005-10-01,11765,NA,NA
"6",NA,"ACTUAL","actual",2018-10-01,12713,NA,NA
"7",NA,"ACTUAL","actual",2011-07-01,11837,NA,NA
"8",NA,"ACTUAL","actual",2002-03-01,11485,NA,NA
"9",NA,"ACTUAL","actual",2023-03-01,10973,NA,NA
"10",NA,"ACTUAL","actual",2002-10-01,11210,NA,NA
"11",NA,"ACTUAL","actual",2019-07-01,11314,NA,NA
"12",NA,"ACTUAL","actual",2021-04-01,11503,NA,NA
"13",NA,"ACTUAL","actual",2002-12-01,10777,NA,NA
"14",NA,"ACTUAL","actual",2016-01-01,11628,NA,NA
"15",NA,"ACTUAL","actual",2020-01-01,11168,NA,NA
"16",NA,"ACTUAL","actual",2024-01-01,10057,NA,NA
"17",NA,"ACTUAL","actual",2007-10-01,12571,NA,NA
"18",NA,"ACTUAL","actual",2003-11-01,11706,NA,NA
"19",NA,"ACTUAL","actual",2014-01-01,11226,NA,NA
"20",NA,"ACTUAL","actual",2003-02-01,10717,NA,NA
"21",NA,"ACTUAL","actual",2011-01-01,11335,NA,NA
"22",NA,"ACTUAL","actual",2021-03-01,11481,NA,NA
"23",NA,"ACTUAL","actual",2003-10-01,11999,NA,NA
"24",NA,"ACTUAL","actual",2006-12-01,12778,NA,NA
"25",NA,"ACTUAL","actual",2006-05-01,13082,NA,NA
"26",NA,"ACTUAL","actual",2004-04-01,12334,NA,NA
"27",NA,"ACTUAL","actual",2011-05-01,12246,NA,NA
"28",NA,"ACTUAL","actual",2017-03-01,11784,NA,NA
"29",NA,"ACTUAL","actual",2011-12-01,11788,NA,NA
"30",NA,"ACTUAL","actual",2018-04-01,11788,NA,NA
"31",NA,"ACTUAL","actual",2012-11-01,11733,NA,NA
"32",NA,"ACTUAL","actual",2013-12-01,11106,NA,NA
"33",NA,"ACTUAL","actual",2016-12-01,11227,NA,NA
"34",NA,"ACTUAL","actual",2018-12-01,11809,NA,NA
"35",NA,"ACTUAL","actual",2017-02-01,9736,NA,NA
"36",NA,"ACTUAL","actual",2023-09-01,10683,NA,NA
"37",NA,"ACTUAL","actual",2018-02-01,10217,NA,NA
"38",NA,"ACTUAL","actual",2016-02-01,10910,NA,NA
"39",NA,"ACTUAL","actual",2014-05-01,12313,NA,NA
"40",NA,"ACTUAL","actual",2012-12-01,11797,NA,NA
"41",NA,"ACTUAL","actual",2012-09-01,11688,NA,NA
"42",NA,"ACTUAL","actual",2022-01-01,11228,NA,NA
"43",NA,"ACTUAL","actual",2016-10-01,11614,NA,NA
"44",NA,"ACTUAL","actual",2017-11-01,11662,NA,NA
"45",NA,"ACTUAL","actual",2013-07-01,11798,NA,NA
"46",NA,"ACTUAL","actual",2017-05-01,12094,NA,NA
"47",NA,"ACTUAL","actual",2013-08-01,11683,NA,NA
"48",NA,"ACTUAL","actual",2019-04-01,11627,NA,NA
"49",NA,"ACTUAL","actual",2006-09-01,13030,NA,NA
"50",NA,"ACTUAL","actual",2002-07-01,11722,NA,NA
"51",NA,"ACTUAL","actual",2001-10-01,12003,NA,NA
"52",NA,"ACTUAL","actual",2014-02-01,10545,NA,NA
"53",NA,"ACTUAL","actual",2013-10-01,12252,NA,NA
"54",NA,"ACTUAL","actual",2008-01-01,12220,NA,NA
"55",NA,"ACTUAL","actual",2015-09-01,12285,NA,NA
"56",NA,"ACTUAL","actual",2008-11-01,12417,NA,NA
"57",NA,"ACTUAL","actual",2017-04-01,11328,NA,NA
"58",NA,"ACTUAL","actual",2016-08-01,11723,NA,NA
"59",NA,"ACTUAL","actual",2011-10-01,12440,NA,NA
"60",NA,"ACTUAL","actual",2014-08-01,12189,NA,NA
"61",NA,"ACTUAL","actual",2005-11-01,11195,NA,NA
"62",NA,"ACTUAL","actual",2004-11-01,11506,NA,NA
"63",NA,"ACTUAL","actual",2017-10-01,12029,NA,NA
"64",NA,"ACTUAL","actual",2004-12-01,10327,NA,NA
"65",NA,"ACTUAL","actual",2010-06-01,11601,NA,NA
"66",NA,"ACTUAL","actual",2024-05-01,9899,NA,NA
"67",NA,"ACTUAL","actual",2005-02-01,10709,NA,NA
"68",NA,"ACTUAL","actual",2019-06-01,10923,NA,NA
"69",NA,"ACTUAL","actual",2004-06-01,12105,NA,NA
"70",NA,"ACTUAL","actual",2000-01-01,9347,NA,NA
"71",NA,"ACTUAL","actual",2022-04-01,10808,NA,NA
"72",NA,"ACTUAL","actual",2015-06-01,11834,NA,NA
"73",NA,"ACTUAL","actual",2004-03-01,12257,NA,NA
"74",NA,"ACTUAL","actual",2019-08-01,11478,NA,NA
"75",NA,"ACTUAL","actual",2004-02-01,10824,NA,NA
"76",NA,"ACTUAL","actual",2013-11-01,11287,NA,NA
"77",NA,"ACTUAL","actual",2017-06-01,11660,NA,NA
"78",NA,"ACTUAL","actual",2019-01-01,11735,NA,NA
"79",NA,"ACTUAL","actual",2010-09-01,12478,NA,NA
"80",NA,"ACTUAL","actual",2007-09-01,12820,NA,NA
"81",NA,"ACTUAL","actual",2015-04-01,12077,NA,NA
"82",NA,"ACTUAL","actual",2009-06-01,11787,NA,NA
"83",NA,"ACTUAL","actual",2005-03-01,12992,NA,NA
"84",NA,"ACTUAL","actual",2015-07-01,11962,NA,NA
"85",NA,"ACTUAL","actual",2010-07-01,11852,NA,NA
"86",NA,"ACTUAL","actual",2008-04-01,12789,NA,NA
"87",NA,"ACTUAL","actual",2018-08-01,12180,NA,NA
"88",NA,"ACTUAL","actual",2015-03-01,11882,NA,NA
"89",NA,"ACTUAL","actual",2019-05-01,11887,NA,NA
"90",NA,"ACTUAL","actual",2022-03-01,10754,NA,NA
"91",NA,"ACTUAL","actual",2010-04-01,11540,NA,NA
"92",NA,"ACTUAL","actual",2016-06-01,11454,NA,NA
"93",NA,"ACTUAL","actual",2019-12-01,11338,NA,NA
"94",NA,"ACTUAL","actual",2021-11-01,11673,NA,NA
"95",NA,"ACTUAL","actual",2023-05-01,10770,NA,NA
"96",NA,"ACTUAL","actual",2020-12-01,11238,NA,NA
"97",NA,"ACTUAL","actual",2017-09-01,12106,NA,NA
"98",NA,"ACTUAL","actual",2014-07-01,12357,NA,NA
"99",NA,"ACTUAL","actual",2023-01-01,11362,NA,NA
"100",NA,"ACTUAL","actual",2019-09-01,12298,NA,NA
"101",NA,"ACTUAL","actual",2007-12-01,12552,NA,NA
"102",NA,"ACTUAL","actual",2021-01-01,10556,NA,NA
"103",NA,"ACTUAL","actual",2004-05-01,12646,NA,NA
"104",NA,"ACTUAL","actual",2006-11-01,12253,NA,NA
"105",NA,"ACTUAL","actual",2015-12-01,11814,NA,NA
"106",NA,"ACTUAL","actual",2021-10-01,11977,NA,NA
"107",NA,"ACTUAL","actual",2004-10-01,11712,NA,NA
"108",NA,"ACTUAL","actual",2000-12-01,9391,NA,NA
"109",NA,"ACTUAL","actual",2022-10-01,10165,NA,NA
"110",NA,"ACTUAL","actual",2012-02-01,10381,NA,NA
"111",NA,"ACTUAL","actual",2011-09-01,12132,NA,NA
"112",NA,"ACTUAL","actual",2011-08-01,12090,NA,NA
"113",NA,"ACTUAL","actual",2022-06-01,10650,NA,NA
"114",NA,"ACTUAL","actual",2022-02-01,10026,NA,NA
"115",NA,"ACTUAL","actual",2020-05-01,11201,NA,NA
"116",NA,"ACTUAL","actual",2024-02-01,9067,NA,NA
"117",NA,"ACTUAL","actual",2001-08-01,10954,NA,NA
"118",NA,"ACTUAL","actual",2019-02-01,10498,NA,NA
"119",NA,"ACTUAL","actual",2002-02-01,10094,NA,NA
"120",NA,"ACTUAL","actual",2016-05-01,11708,NA,NA
"121",NA,"ACTUAL","actual",2013-09-01,12319,NA,NA
"122",NA,"ACTUAL","actual",2013-06-01,11496,NA,NA
"123",NA,"ACTUAL","actual",2002-09-01,11408,NA,NA
"124",NA,"ACTUAL","actual",2000-04-01,10520,NA,NA
"125",NA,"ACTUAL","actual",2009-08-01,11974,NA,NA
"126",NA,"ACTUAL","actual",2007-05-01,12847,NA,NA
"127",NA,"ACTUAL","actual",2023-10-01,10871,NA,NA
"128",NA,"ACTUAL","actual",2001-09-01,11692,NA,NA
"129",NA,"ACTUAL","actual",2001-05-01,12036,NA,NA
"130",NA,"ACTUAL","actual",2000-10-01,11255,NA,NA
"131",NA,"ACTUAL","actual",2005-07-01,12379,NA,NA
"132",NA,"ACTUAL","actual",2020-08-01,11142,NA,NA
"133",NA,"ACTUAL","actual",2015-11-01,11934,NA,NA
"134",NA,"ACTUAL","actual",2009-04-01,12063,NA,NA
"135",NA,"ACTUAL","actual",2012-06-01,10913,NA,NA
"136",NA,"ACTUAL","actual",2005-04-01,13100,NA,NA
"137",NA,"ACTUAL","actual",2008-09-01,13213,NA,NA
"138",NA,"ACTUAL","actual",2020-04-01,11168,NA,NA
"139",NA,"ACTUAL","actual",2005-01-01,12130,NA,NA
"140",NA,"ACTUAL","actual",2018-11-01,12061,NA,NA
"141",NA,"ACTUAL","actual",2001-07-01,11441,NA,NA
"142",NA,"ACTUAL","actual",2007-04-01,12120,NA,NA
"143",NA,"ACTUAL","actual",2017-08-01,11967,NA,NA
"144",NA,"ACTUAL","actual",2006-08-01,12713,NA,NA
"145",NA,"ACTUAL","actual",2010-01-01,12018,NA,NA
"146",NA,"ACTUAL","actual",2022-08-01,10586,NA,NA
"147",NA,"ACTUAL","actual",2008-08-01,12803,NA,NA
"148",NA,"ACTUAL","actual",2013-03-01,11586,NA,NA
"149",NA,"ACTUAL","actual",2013-04-01,11974,NA,NA
"150",NA,"ACTUAL","actual",2014-11-01,11979,NA,NA
"151",NA,"ACTUAL","actual",2014-12-01,12335,NA,NA
"152",NA,"ACTUAL","actual",2003-05-01,12917,NA,NA
"153",NA,"ACTUAL","actual",2003-04-01,12053,NA,NA
"154",NA,"ACTUAL","actual",2015-02-01,10894,NA,NA
"155",NA,"ACTUAL","actual",2008-06-01,12436,NA,NA
"156",NA,"ACTUAL","actual",2009-07-01,11725,NA,NA
"157",NA,"ACTUAL","actual",2010-11-01,11271,NA,NA
"158",NA,"ACTUAL","actual",2002-11-01,11249,NA,NA
"159",NA,"ACTUAL","actual",2016-04-01,11681,NA,NA
"160",NA,"ACTUAL","actual",2020-07-01,11221,NA,NA
"161",NA,"ACTUAL","actual",2008-05-01,12870,NA,NA
"162",NA,"ACTUAL","actual",2010-03-01,12352,NA,NA
"163",NA,"ACTUAL","actual",2014-10-01,12490,NA,NA
"164",NA,"ACTUAL","actual",2003-08-01,12544,NA,NA
"165",NA,"ACTUAL","actual",2014-06-01,11545,NA,NA
"166",NA,"ACTUAL","actual",2007-03-01,12624,NA,NA
"167",NA,"ACTUAL","actual",2022-09-01,9509,NA,NA
"168",NA,"ACTUAL","actual",2003-01-01,11957,NA,NA
"169",NA,"ACTUAL","actual",2016-07-01,11401,NA,NA
"170",NA,"ACTUAL","actual",2020-10-01,11639,NA,NA
"171",NA,"ACTUAL","actual",2014-04-01,12102,NA,NA
"172",NA,"ACTUAL","actual",2018-05-01,12201,NA,NA
"173",NA,"ACTUAL","actual",2018-09-01,12419,NA,NA
"174",NA,"ACTUAL","actual",2006-07-01,12546,NA,NA
"175",NA,"ACTUAL","actual",2008-10-01,13409,NA,NA
"176",NA,"ACTUAL","actual",2017-12-01,11570,NA,NA
"177",NA,"ACTUAL","actual",2022-11-01,11023,NA,NA
"178",NA,"ACTUAL","actual",2008-07-01,12804,NA,NA
"179",NA,"ACTUAL","actual",2003-12-01,10851,NA,NA
"180",NA,"ACTUAL","actual",2000-11-01,9882,NA,NA
"181",NA,"ACTUAL","actual",2018-06-01,11320,NA,NA
"182",NA,"ACTUAL","actual",2021-08-01,11742,NA,NA
"183",NA,"ACTUAL","actual",2018-03-01,11492,NA,NA
"184",NA,"ACTUAL","actual",2013-02-01,10271,NA,NA
"185",NA,"ACTUAL","actual",2020-06-01,10722,NA,NA
"186",NA,"ACTUAL","actual",2018-01-01,11545,NA,NA
"187",NA,"ACTUAL","actual",2010-08-01,11690,NA,NA
"188",NA,"ACTUAL","actual",2010-05-01,11962,NA,NA
"189",NA,"ACTUAL","actual",2011-04-01,11717,NA,NA
"190",NA,"ACTUAL","actual",2010-12-01,10861,NA,NA
"191",NA,"ACTUAL","actual",2011-06-01,11865,NA,NA
"192",NA,"ACTUAL","actual",2002-08-01,11367,NA,NA
"193",NA,"ACTUAL","actual",2008-03-01,12398,NA,NA
"194",NA,"ACTUAL","actual",2001-06-01,11520,NA,NA
"195",NA,"ACTUAL","actual",2003-03-01,12489,NA,NA
"196",NA,"ACTUAL","actual",2002-01-01,11607,NA,NA
"197",NA,"ACTUAL","actual",2000-03-01,10408,NA,NA
"198",NA,"ACTUAL","actual",2003-06-01,12549,NA,NA
"199",NA,"ACTUAL","actual",2009-05-01,11778,NA,NA
"200",NA,"ACTUAL","actual",2021-07-01,11669,NA,NA
"201",NA,"ACTUAL","actual",2001-04-01,11146,NA,NA
"202",NA,"ACTUAL","actual",2014-03-01,11699,NA,NA
"203",NA,"ACTUAL","actual",2010-02-01,10744,NA,NA
"204",NA,"ACTUAL","actual",2012-04-01,11474,NA,NA
"205",NA,"ACTUAL","actual",2024-06-01,9441,NA,NA
"206",NA,"ACTUAL","actual",2000-07-01,10823,NA,NA
"207",NA,"ACTUAL","actual",2007-11-01,12334,NA,NA
"208",NA,"ACTUAL","actual",2019-03-01,11816,NA,NA
"209",NA,"ACTUAL","actual",2010-10-01,12317,NA,NA
"210",NA,"ACTUAL","actual",2006-04-01,12475,NA,NA
"211",NA,"ACTUAL","actual",2006-06-01,12475,NA,NA
"212",NA,"ACTUAL","actual",2005-12-01,10042,NA,NA
"213",NA,"ACTUAL","actual",2015-10-01,12610,NA,NA
"214",NA,"ACTUAL","actual",2023-02-01,9589,NA,NA
"215",NA,"ACTUAL","actual",2013-01-01,11377,NA,NA
"216",NA,"ACTUAL","actual",2012-08-01,11709,NA,NA
"217",NA,"ACTUAL","actual",2007-06-01,12393,NA,NA
"218",NA,"ACTUAL","actual",2000-05-01,11248,NA,NA
"219",NA,"ACTUAL","actual",2006-01-01,12050,NA,NA
"220",NA,"ACTUAL","actual",2009-01-01,12290,NA,NA
"221",NA,"ACTUAL","actual",2023-04-01,10206,NA,NA
"222",NA,"ACTUAL","actual",2020-09-01,11450,NA,NA
"223",NA,"ACTUAL","actual",2003-09-01,12183,NA,NA
"224",NA,"ACTUAL","actual",2001-03-01,11498,NA,NA
"225",NA,"ACTUAL","actual",2020-11-01,10797,NA,NA
"226",NA,"ACTUAL","actual",2005-05-01,13332,NA,NA
"227",NA,"ACTUAL","actual",2017-07-01,11687,NA,NA
"228",NA,"ACTUAL","actual",2011-02-01,10364,NA,NA
"229",NA,"ACTUAL","actual",2007-08-01,12696,NA,NA
"230",NA,"ACTUAL","actual",2021-02-01,9668,NA,NA
"231",NA,"ACTUAL","actual",2008-02-01,11019,NA,NA
"232",NA,"ACTUAL","actual",2018-07-01,12073,NA,NA
"233",NA,"ACTUAL","actual",2020-02-01,10110,NA,NA
"234",NA,"ACTUAL","actual",2004-01-01,11705,NA,NA
"235",NA,"ACTUAL","actual",2000-09-01,11548,NA,NA
"236",NA,"ACTUAL","actual",2014-09-01,12721,NA,NA
"237",NA,"ACTUAL","actual",2015-01-01,12193,NA,NA
"238",NA,"ACTUAL","actual",2019-10-01,12237,NA,NA
"239",NA,"ACTUAL","actual",2023-11-01,10230,NA,NA
"240",NA,"ACTUAL","actual",2002-05-01,12112,NA,NA
"241",NA,"ACTUAL","actual",2021-12-01,11728,NA,NA
"242",NA,"ACTUAL","actual",2023-12-01,10015,NA,NA
"243",NA,"ACTUAL","actual",2012-05-01,11646,NA,NA
"244",NA,"ACTUAL","actual",2020-03-01,11081,NA,NA
"245",NA,"ACTUAL","actual",2021-09-01,12125,NA,NA
"246",NA,"ACTUAL","actual",2004-09-01,12501,NA,NA
"247",NA,"ACTUAL","actual",2006-03-01,12749,NA,NA
"248",NA,"ACTUAL","actual",2016-03-01,11515,NA,NA
"249",NA,"ACTUAL","actual",2023-07-01,10398,NA,NA
"250",NA,"ACTUAL","actual",2019-11-01,11187,NA,NA
"251",NA,"ACTUAL","actual",2002-06-01,11351,NA,NA
"252",NA,"ACTUAL","actual",2009-02-01,10501,NA,NA
"253",NA,"ACTUAL","actual",2000-02-01,9401,NA,NA
"254",NA,"ACTUAL","actual",2017-01-01,11059,NA,NA
"255",NA,"ACTUAL","actual",2006-10-01,13213,NA,NA
"256",NA,"ACTUAL","actual",2000-08-01,11537,NA,NA
"257",NA,"ACTUAL","actual",2024-03-01,9787,NA,NA
"258",NA,"ACTUAL","actual",2001-11-01,11281,NA,NA
"259",NA,"ACTUAL","actual",2013-05-01,12259,NA,NA
"260",NA,"ACTUAL","actual",2015-08-01,12040,NA,NA
"261",NA,"ACTUAL","actual",2021-06-01,11265,NA,NA
"262",NA,"ACTUAL","actual",2009-10-01,12152,NA,NA
"263",NA,"ACTUAL","actual",2016-11-01,11003,NA,NA
"264",NA,"ACTUAL","actual",2012-03-01,11393,NA,NA
"265",NA,"ACTUAL","actual",2016-09-01,11815,NA,NA
"266",NA,"ACTUAL","actual",2023-06-01,10231,NA,NA
"267",NA,"ACTUAL","actual",2001-12-01,10971,NA,NA
"268",NA,"ACTUAL","actual",2009-09-01,12603,NA,NA
"269",NA,"ACTUAL","actual",2021-05-01,11741,NA,NA
"270",NA,"ACTUAL","actual",2022-05-01,11098,NA,NA
"271",NA,"ACTUAL","actual",2007-01-01,13178,NA,NA
"272",NA,"ACTUAL","actual",2002-04-01,11617,NA,NA
"273",NA,"ACTUAL","actual",2007-07-01,12722,NA,NA
"274",NA,"ACTUAL","actual",2007-02-01,11289,NA,NA
"275",NA,"ACTUAL","actual",2001-01-01,10411,NA,NA
"276",NA,"ACTUAL","actual",2015-05-01,12130,NA,NA
"277",NA,"ACTUAL","actual",2000-06-01,10972,NA,NA
"278",NA,"ACTUAL","actual",2005-08-01,12794,NA,NA
"279",NA,"ACTUAL","actual",2024-04-01,9980,NA,NA
"280",NA,"ACTUAL","actual",2005-09-01,12408,NA,NA
"281",NA,"ACTUAL","actual",2011-11-01,12166,NA,NA
"282",NA,"ACTUAL","actual",2009-11-01,11699,NA,NA
"283",NA,"ACTUAL","actual",2022-12-01,11601,NA,NA
"284",NA,"ACTUAL","actual",2012-07-01,11295,NA,NA
"285",NA,"ACTUAL","actual",2001-02-01,9785,NA,NA
"286",NA,"ACTUAL","actual",2008-12-01,12883,NA,NA
"287",NA,"ACTUAL","actual",2004-08-01,12577,NA,NA
"288",NA,"ACTUAL","actual",2011-03-01,11991,NA,NA
"289",NA,"ACTUAL","actual",2022-07-01,10550,NA,NA
"290",NA,"ACTUAL","actual",2023-08-01,10709,NA,NA
"291",NA,"ACTUAL","actual",2009-12-01,12194,NA,NA
"292",NA,"ACTUAL","actual",2009-03-01,12372,NA,NA
"293",NA,"ACTUAL","actual",2012-10-01,12095,NA,NA
"294",NA,"ACTUAL","actual",2012-01-01,11709,NA,NA
"295",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2024-07-01,11225.0108121107,8669.53545440207,13780.4861698194
"296",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2024-08-01,11205.9890723908,8650.51371468213,13761.4644300995
"297",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2024-09-01,11531.3812366965,8975.9058789878,14086.8565944051
"298",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2024-10-01,11428.6481251087,8873.17276740003,13984.1234828174
"299",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2024-11-01,10914.020273951,8358.54491624234,13469.4956316597
"300",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2024-12-01,10742.8822537152,8187.40689600655,13298.3576114239
"301",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-01-01,11019.6216198656,8464.14626215692,13575.0969775743
"302",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-02-01,10081.1898430981,7525.71448538947,12636.6652008068
"303",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-03-01,11098.7003673969,8543.22500968823,13654.1757251056
"304",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-04-01,10925.5353773433,8370.06001963461,13481.010735052
"305",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-05-01,11323.2294250946,8767.75406738588,13878.7047828032
"306",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-06-01,10959.5307688997,8404.05541119102,13515.0061266084
"307",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-07-01,11154.0591416324,8598.58378392375,13709.5344993411
"308",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-08-01,11288.4781001979,8733.00274248923,13843.9534579066
"309",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-09-01,11311.2943676684,8755.81900995968,13866.769725377
"310",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-10-01,11361.5402326261,8806.06487491747,13917.0155903348
"311",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-11-01,10889.5758957331,8334.10053802446,13445.0512534418
"312",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2025-12-01,10847.2084255491,8291.73306784041,13402.6837832578
"313",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-01-01,10851.9650145921,8296.48965688341,13407.4403723008
"314",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-02-01,9971.87957965273,7416.40422194406,12527.3549373614
"315",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-03-01,11034.7685429593,8479.29318525062,13590.243900668
"316",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-04-01,11007.6793876612,8452.20402995254,13563.1547453699
"317",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-05-01,11252.1685090673,8696.69315135866,13807.643866776
"318",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-06-01,10936.1617157086,8380.68635799995,13491.6370734173
"319",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-07-01,11083.4933303081,8528.01797259943,13638.9686880168
"320",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-08-01,11025.3846307927,8469.90927308404,13580.8599885014
"321",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-09-01,11331.0183174039,8775.54295969522,13886.4936751126
"322",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-10-01,11245.6650080568,8690.1896503481,13801.1403657655
"323",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-11-01,10884.4018634005,8328.92650569185,13439.8772211092
"324",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2026-12-01,10702.6402888705,8147.16493116185,13258.1156465792
"325",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2027-01-01,10859.9853549601,8304.50999725141,13415.4607126688
"326",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2027-02-01,9873.37677595512,7317.90141824644,12428.8521336638
"327",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2027-03-01,11092.0333308034,8536.5579730947,13647.5086885121
"328",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2027-04-01,10891.1928315134,8335.71747380474,13446.6681892221
"329",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2027-05-01,11311.6751982326,8756.19984052397,13867.1505559413
"330",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2027-06-01,10790.5171028673,8235.04174515863,13345.992460576
"331",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2027-07-01,11046.4457053417,8490.97034763302,13601.9210630504
"332",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2027-08-01,11022.6961978957,8467.22084018705,13578.1715556044
"333",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2027-09-01,11248.8541289166,8693.37877120788,13804.3294866252
"334",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2027-10-01,11238.6790701814,8683.20371247268,13794.15442789
"335",1,"ENSEMBLE (WEIGHTED): 3 MODELS","prediction",2027-11-01,10718.1303191013,8162.65496139266,13273.60567681
