"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2008-11-01,4650,NA,NA
"2",NA,"ACTUAL","actual",2023-11-01,3965,NA,NA
"3",NA,"ACTUAL","actual",2008-04-01,5282,NA,NA
"4",NA,"ACTUAL","actual",2019-03-01,5157,NA,NA
"5",NA,"ACTUAL","actual",2024-04-01,4338,NA,NA
"6",NA,"ACTUAL","actual",2001-11-01,5271,NA,NA
"7",NA,"ACTUAL","actual",2011-09-01,4854,NA,NA
"8",NA,"ACTUAL","actual",2013-12-01,4411,NA,NA
"9",NA,"ACTUAL","actual",2014-01-01,4531,NA,NA
"10",NA,"ACTUAL","actual",2016-03-01,5425,NA,NA
"11",NA,"ACTUAL","actual",2005-10-01,5144,NA,NA
"12",NA,"ACTUAL","actual",2005-05-01,5996,NA,NA
"13",NA,"ACTUAL","actual",2019-07-01,4979,NA,NA
"14",NA,"ACTUAL","actual",2003-11-01,4769,NA,NA
"15",NA,"ACTUAL","actual",2018-04-01,5331,NA,NA
"16",NA,"ACTUAL","actual",2021-02-01,4335,NA,NA
"17",NA,"ACTUAL","actual",2005-06-01,5766,NA,NA
"18",NA,"ACTUAL","actual",2015-12-01,4732,NA,NA
"19",NA,"ACTUAL","actual",2007-08-01,4899,NA,NA
"20",NA,"ACTUAL","actual",2007-05-01,5421,NA,NA
"21",NA,"ACTUAL","actual",2011-06-01,5319,NA,NA
"22",NA,"ACTUAL","actual",2023-06-01,4543,NA,NA
"23",NA,"ACTUAL","actual",2020-10-01,4577,NA,NA
"24",NA,"ACTUAL","actual",2014-12-01,4537,NA,NA
"25",NA,"ACTUAL","actual",2023-05-01,4696,NA,NA
"26",NA,"ACTUAL","actual",2004-08-01,5083,NA,NA
"27",NA,"ACTUAL","actual",2014-10-01,4794,NA,NA
"28",NA,"ACTUAL","actual",2001-12-01,4733,NA,NA
"29",NA,"ACTUAL","actual",2020-07-01,4970,NA,NA
"30",NA,"ACTUAL","actual",2005-11-01,4952,NA,NA
"31",NA,"ACTUAL","actual",2009-04-01,5321,NA,NA
"32",NA,"ACTUAL","actual",2016-11-01,3706,NA,NA
"33",NA,"ACTUAL","actual",2016-02-01,4628,NA,NA
"34",NA,"ACTUAL","actual",2014-11-01,4489,NA,NA
"35",NA,"ACTUAL","actual",2000-05-01,5522,NA,NA
"36",NA,"ACTUAL","actual",2021-03-01,5090,NA,NA
"37",NA,"ACTUAL","actual",2003-07-01,5559,NA,NA
"38",NA,"ACTUAL","actual",2010-11-01,4494,NA,NA
"39",NA,"ACTUAL","actual",2012-07-01,4829,NA,NA
"40",NA,"ACTUAL","actual",2004-07-01,5311,NA,NA
"41",NA,"ACTUAL","actual",2022-06-01,4318,NA,NA
"42",NA,"ACTUAL","actual",2013-10-01,4664,NA,NA
"43",NA,"ACTUAL","actual",2022-11-01,4161,NA,NA
"44",NA,"ACTUAL","actual",2014-05-01,5181,NA,NA
"45",NA,"ACTUAL","actual",2003-05-01,5932,NA,NA
"46",NA,"ACTUAL","actual",2017-06-01,5091,NA,NA
"47",NA,"ACTUAL","actual",2017-08-01,5117,NA,NA
"48",NA,"ACTUAL","actual",2000-07-01,4865,NA,NA
"49",NA,"ACTUAL","actual",2014-06-01,4727,NA,NA
"50",NA,"ACTUAL","actual",2021-10-01,4536,NA,NA
"51",NA,"ACTUAL","actual",2008-12-01,4980,NA,NA
"52",NA,"ACTUAL","actual",2020-12-01,4366,NA,NA
"53",NA,"ACTUAL","actual",2006-03-01,5496,NA,NA
"54",NA,"ACTUAL","actual",2004-03-01,5852,NA,NA
"55",NA,"ACTUAL","actual",2005-03-01,5860,NA,NA
"56",NA,"ACTUAL","actual",2015-09-01,4916,NA,NA
"57",NA,"ACTUAL","actual",2002-10-01,5048,NA,NA
"58",NA,"ACTUAL","actual",2023-01-01,4367,NA,NA
"59",NA,"ACTUAL","actual",2003-10-01,4906,NA,NA
"60",NA,"ACTUAL","actual",2011-11-01,4552,NA,NA
"61",NA,"ACTUAL","actual",2001-06-01,5835,NA,NA
"62",NA,"ACTUAL","actual",2005-12-01,4768,NA,NA
"63",NA,"ACTUAL","actual",2020-05-01,5106,NA,NA
"64",NA,"ACTUAL","actual",2010-03-01,5533,NA,NA
"65",NA,"ACTUAL","actual",2004-05-01,5688,NA,NA
"66",NA,"ACTUAL","actual",2001-03-01,5653,NA,NA
"67",NA,"ACTUAL","actual",2012-04-01,4829,NA,NA
"68",NA,"ACTUAL","actual",2007-09-01,4908,NA,NA
"69",NA,"ACTUAL","actual",2021-07-01,4754,NA,NA
"70",NA,"ACTUAL","actual",2009-03-01,5818,NA,NA
"71",NA,"ACTUAL","actual",2017-04-01,4841,NA,NA
"72",NA,"ACTUAL","actual",2017-01-01,4153,NA,NA
"73",NA,"ACTUAL","actual",2002-09-01,5087,NA,NA
"74",NA,"ACTUAL","actual",2015-10-01,4948,NA,NA
"75",NA,"ACTUAL","actual",2022-12-01,4451,NA,NA
"76",NA,"ACTUAL","actual",2022-09-01,3966,NA,NA
