"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2008-05-01,13042,NA,NA
"2",NA,"ACTUAL","actual",2010-11-01,10518,NA,NA
"3",NA,"ACTUAL","actual",2012-01-01,11317,NA,NA
"4",NA,"ACTUAL","actual",2020-09-01,10758,NA,NA
"5",NA,"ACTUAL","actual",2008-08-01,12192,NA,NA
"6",NA,"ACTUAL","actual",2022-02-01,9332,NA,NA
"7",NA,"ACTUAL","actual",2003-04-01,13923,NA,NA
"8",NA,"ACTUAL","actual",2010-02-01,10229,NA,NA
"9",NA,"ACTUAL","actual",2016-09-01,9781,NA,NA
"10",NA,"ACTUAL","actual",2005-11-01,11517,NA,NA
"11",NA,"ACTUAL","actual",2006-04-01,12909,NA,NA
"12",NA,"ACTUAL","actual",2004-01-01,11928,NA,NA
"13",NA,"ACTUAL","actual",2000-08-01,13378,NA,NA
"14",NA,"ACTUAL","actual",2001-11-01,13140,NA,NA
"15",NA,"ACTUAL","actual",2004-04-01,13887,NA,NA
"16",NA,"ACTUAL","actual",2024-05-01,10126,NA,NA
"17",NA,"ACTUAL","actual",2005-07-01,13111,NA,NA
"18",NA,"ACTUAL","actual",2021-06-01,11011,NA,NA
"19",NA,"ACTUAL","actual",2023-07-01,9552,NA,NA
"20",NA,"ACTUAL","actual",2005-04-01,13502,NA,NA
"21",NA,"ACTUAL","actual",2023-06-01,9993,NA,NA
"22",NA,"ACTUAL","actual",2019-07-01,11413,NA,NA
"23",NA,"ACTUAL","actual",2019-12-01,9936,NA,NA
"24",NA,"ACTUAL","actual",2021-08-01,10227,NA,NA
"25",NA,"ACTUAL","actual",2018-04-01,12536,NA,NA
"26",NA,"ACTUAL","actual",2021-12-01,10128,NA,NA
"27",NA,"ACTUAL","actual",2006-01-01,11447,NA,NA
"28",NA,"ACTUAL","actual",2000-06-01,14254,NA,NA
"29",NA,"ACTUAL","actual",2013-09-01,11705,NA,NA
"30",NA,"ACTUAL","actual",2001-01-01,13271,NA,NA
"31",NA,"ACTUAL","actual",2000-10-01,13271,NA,NA
"32",NA,"ACTUAL","actual",2010-04-01,12140,NA,NA
"33",NA,"ACTUAL","actual",2005-03-01,13911,NA,NA
"34",NA,"ACTUAL","actual",2000-11-01,12225,NA,NA
"35",NA,"ACTUAL","actual",2001-09-01,13398,NA,NA
"36",NA,"ACTUAL","actual",2000-12-01,12420,NA,NA
