"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2016-04-01,4155,NA,NA
"2",NA,"ACTUAL","actual",2012-11-01,3963,NA,NA
"3",NA,"ACTUAL","actual",2017-02-01,3430,NA,NA
"4",NA,"ACTUAL","actual",2004-07-01,4558,NA,NA
"5",NA,"ACTUAL","actual",2001-05-01,5199,NA,NA
"6",NA,"ACTUAL","actual",2024-05-01,3474,NA,NA
"7",NA,"ACTUAL","actual",2022-09-01,3259,NA,NA
"8",NA,"ACTUAL","actual",2001-07-01,4957,NA,NA
"9",NA,"ACTUAL","actual",2011-03-01,4447,NA,NA
"10",NA,"ACTUAL","actual",2018-09-01,4108,NA,NA
"11",NA,"ACTUAL","actual",2023-04-01,3483,NA,NA
"12",NA,"ACTUAL","actual",2021-09-01,3897,NA,NA
"13",NA,"ACTUAL","actual",2011-04-01,4390,NA,NA
"14",NA,"ACTUAL","actual",2010-05-01,4282,NA,NA
"15",NA,"ACTUAL","actual",2008-10-01,4556,NA,NA
"16",NA,"ACTUAL","actual",2002-10-01,4722,NA,NA
"17",NA,"ACTUAL","actual",2005-05-01,5164,NA,NA
"18",NA,"ACTUAL","actual",2006-08-01,4602,NA,NA
"19",NA,"ACTUAL","actual",2016-05-01,4311,NA,NA
"20",NA,"ACTUAL","actual",2015-12-01,3877,NA,NA
"21",NA,"ACTUAL","actual",2011-09-01,4260,NA,NA
"22",NA,"ACTUAL","actual",2020-09-01,3772,NA,NA
"23",NA,"ACTUAL","actual",2021-11-01,3794,NA,NA
"24",NA,"ACTUAL","actual",2006-11-01,4364,NA,NA
"25",NA,"ACTUAL","actual",2023-12-01,3269,NA,NA
"26",NA,"ACTUAL","actual",2009-08-01,3959,NA,NA
"27",NA,"ACTUAL","actual",2020-04-01,3864,NA,NA
"28",NA,"ACTUAL","actual",2015-11-01,3947,NA,NA
"29",NA,"ACTUAL","actual",2020-08-01,3772,NA,NA
"30",NA,"ACTUAL","actual",2011-11-01,4025,NA,NA
"31",NA,"ACTUAL","actual",2006-05-01,5116,NA,NA
"32",NA,"ACTUAL","actual",2004-06-01,4682,NA,NA
"33",NA,"ACTUAL","actual",2015-05-01,4265,NA,NA
"34",NA,"ACTUAL","actual",2021-07-01,3833,NA,NA
"35",NA,"ACTUAL","actual",2023-06-01,3527,NA,NA
"36",NA,"ACTUAL","actual",2020-12-01,3610,NA,NA
"37",NA,"ACTUAL","actual",2006-12-01,4375,NA,NA
"38",NA,"ACTUAL","actual",2010-07-01,4215,NA,NA
"39",NA,"ACTUAL","actual",2002-06-01,4625,NA,NA
"40",NA,"ACTUAL","actual",2017-01-01,3723,NA,NA
"41",NA,"ACTUAL","actual",2008-03-01,4416,NA,NA
"42",NA,"ACTUAL","actual",2023-09-01,3603,NA,NA
"43",NA,"ACTUAL","actual",2012-07-01,4004,NA,NA
"44",NA,"ACTUAL","actual",2009-05-01,4495,NA,NA
"45",NA,"ACTUAL","actual",2007-02-01,3974,NA,NA
"46",NA,"ACTUAL","actual",2003-08-01,4473,NA,NA
"47",NA,"ACTUAL","actual",2017-06-01,4192,NA,NA
"48",NA,"ACTUAL","actual",2009-12-01,4019,NA,NA
"49",NA,"ACTUAL","actual",2017-10-01,4199,NA,NA
"50",NA,"ACTUAL","actual",2014-11-01,4036,NA,NA
"51",NA,"ACTUAL","actual",2018-02-01,3622,NA,NA
"52",NA,"ACTUAL","actual",2005-12-01,4207,NA,NA
"53",NA,"ACTUAL","actual",2013-06-01,3996,NA,NA
"54",NA,"ACTUAL","actual",2004-10-01,4561,NA,NA
"55",NA,"ACTUAL","actual",2013-10-01,3946,NA,NA
"56",NA,"ACTUAL","actual",2001-06-01,5156,NA,NA
"57",NA,"ACTUAL","actual",2010-12-01,3824,NA,NA
"58",NA,"ACTUAL","actual",2014-10-01,4038,NA,NA
"59",NA,"ACTUAL","actual",2018-05-01,4474,NA,NA
"60",NA,"ACTUAL","actual",2008-08-01,4328,NA,NA
"61",NA,"ACTUAL","actual",2019-07-01,3969,NA,NA
"62",NA,"ACTUAL","actual",2006-10-01,4596,NA,NA
"63",NA,"ACTUAL","actual",2009-04-01,4438,NA,NA
"64",NA,"ACTUAL","actual",2021-10-01,3883,NA,NA
"65",NA,"ACTUAL","actual",2020-03-01,3868,NA,NA
"66",NA,"ACTUAL","actual",2008-09-01,4535,NA,NA
"67",NA,"ACTUAL","actual",2015-04-01,4235,NA,NA
"68",NA,"ACTUAL","actual",2008-01-01,4344,NA,NA
"69",NA,"ACTUAL","actual",2006-02-01,4134,NA,NA
"70",NA,"ACTUAL","actual",2010-06-01,4105,NA,NA
"71",NA,"ACTUAL","actual",2016-03-01,4189,NA,NA
"72",NA,"ACTUAL","actual",2005-09-01,4959,NA,NA
"73",NA,"ACTUAL","actual",2013-09-01,4118,NA,NA
"74",NA,"ACTUAL","actual",2018-07-01,4129,NA,NA
"75",NA,"ACTUAL","actual",2005-11-01,4415,NA,NA
"76",NA,"ACTUAL","actual",2020-10-01,3869,NA,NA
"77",NA,"ACTUAL","actual",2022-07-01,3511,NA,NA
"78",NA,"ACTUAL","actual",2012-08-01,3975,NA,NA
"79",NA,"ACTUAL","actual",2001-09-01,5048,NA,NA
"80",NA,"ACTUAL","actual",2022-03-01,3764,NA,NA
"81",NA,"ACTUAL","actual",2024-04-01,3550,NA,NA
"82",NA,"ACTUAL","actual",2003-06-01,4772,NA,NA
"83",NA,"ACTUAL","actual",2000-03-01,4985,NA,NA
"84",NA,"ACTUAL","actual",2021-01-01,3720,NA,NA
"85",NA,"ACTUAL","actual",2012-01-01,4107,NA,NA
"86",NA,"ACTUAL","actual",2022-08-01,3539,NA,NA
"87",NA,"ACTUAL","actual",2007-08-01,4303,NA,NA
"88",NA,"ACTUAL","actual",2013-01-01,3773,NA,NA
"89",NA,"ACTUAL","actual",2019-08-01,3865,NA,NA
"90",NA,"ACTUAL","actual",2012-10-01,4038,NA,NA
"91",NA,"ACTUAL","actual",2011-08-01,3957,NA,NA
"92",NA,"ACTUAL","actual",2022-05-01,3726,NA,NA
"93",NA,"ACTUAL","actual",2015-06-01,4079,NA,NA
"94",NA,"ACTUAL","actual",2010-08-01,4084,NA,NA
"95",NA,"ACTUAL","actual",2000-11-01,4658,NA,NA
"96",NA,"ACTUAL","actual",2003-07-01,4774,NA,NA
"97",NA,"ACTUAL","actual",2014-04-01,4206,NA,NA
"98",NA,"ACTUAL","actual",2024-06-01,3046,NA,NA
"99",NA,"ACTUAL","actual",2016-06-01,4075,NA,NA
"100",NA,"ACTUAL","actual",2024-02-01,3043,NA,NA
"101",NA,"ACTUAL","actual",2001-02-01,4246,NA,NA
"102",NA,"ACTUAL","actual",2016-08-01,3833,NA,NA
"103",NA,"ACTUAL","actual",2005-06-01,4882,NA,NA
"104",NA,"ACTUAL","actual",2003-03-01,4848,NA,NA
"105",NA,"ACTUAL","actual",2021-05-01,4170,NA,NA
"106",NA,"ACTUAL","actual",2006-03-01,4924,NA,NA
"107",NA,"ACTUAL","actual",2002-08-01,4801,NA,NA
"108",NA,"ACTUAL","actual",2015-01-01,3955,NA,NA
"109",NA,"ACTUAL","actual",2001-01-01,4824,NA,NA
"110",NA,"ACTUAL","actual",2014-01-01,3667,NA,NA
"111",NA,"ACTUAL","actual",2014-07-01,4051,NA,NA
"112",NA,"ACTUAL","actual",2009-07-01,4096,NA,NA
"113",NA,"ACTUAL","actual",2004-04-01,4877,NA,NA
"114",NA,"ACTUAL","actual",2008-11-01,4283,NA,NA
"115",NA,"ACTUAL","actual",2019-02-01,3812,NA,NA
"116",NA,"ACTUAL","actual",2011-07-01,4241,NA,NA
"117",NA,"ACTUAL","actual",2010-01-01,4140,NA,NA
"118",NA,"ACTUAL","actual",2010-03-01,4426,NA,NA
"119",NA,"ACTUAL","actual",2011-02-01,3735,NA,NA
"120",NA,"ACTUAL","actual",2001-08-01,5017,NA,NA
"121",NA,"ACTUAL","actual",2001-10-01,4853,NA,NA
"122",NA,"ACTUAL","actual",2004-08-01,4733,NA,NA
"123",NA,"ACTUAL","actual",2016-07-01,4009,NA,NA
"124",NA,"ACTUAL","actual",2007-01-01,4509,NA,NA
"125",NA,"ACTUAL","actual",2003-12-01,4220,NA,NA
"126",NA,"ACTUAL","actual",2023-01-01,3668,NA,NA
"127",NA,"ACTUAL","actual",2000-12-01,4491,NA,NA
"128",NA,"ACTUAL","actual",2015-10-01,4253,NA,NA
"129",NA,"ACTUAL","actual",2020-05-01,4168,NA,NA
"130",NA,"ACTUAL","actual",2019-05-01,4191,NA,NA
"131",NA,"ACTUAL","actual",2012-04-01,4107,NA,NA
"132",NA,"ACTUAL","actual",2007-07-01,4587,NA,NA
"133",NA,"ACTUAL","actual",2005-03-01,4961,NA,NA
"134",NA,"ACTUAL","actual",2000-08-01,4956,NA,NA
"135",NA,"ACTUAL","actual",2000-06-01,4754,NA,NA
"136",NA,"ACTUAL","actual",2021-08-01,3920,NA,NA
"137",NA,"ACTUAL","actual",2000-04-01,5126,NA,NA
"138",NA,"ACTUAL","actual",2006-04-01,4759,NA,NA
"139",NA,"ACTUAL","actual",2009-10-01,4144,NA,NA
"140",NA,"ACTUAL","actual",2020-01-01,3775,NA,NA
"141",NA,"ACTUAL","actual",2012-03-01,4083,NA,NA
"142",NA,"ACTUAL","actual",2005-10-01,4911,NA,NA
"143",NA,"ACTUAL","actual",2007-06-01,4502,NA,NA
"144",NA,"ACTUAL","actual",2023-08-01,3391,NA,NA
"145",NA,"ACTUAL","actual",2004-09-01,4683,NA,NA
"146",NA,"ACTUAL","actual",2016-12-01,3549,NA,NA
"147",NA,"ACTUAL","actual",2010-11-01,3844,NA,NA
"148",NA,"ACTUAL","actual",2008-05-01,4624,NA,NA
"149",NA,"ACTUAL","actual",2024-03-01,3450,NA,NA
"150",NA,"ACTUAL","actual",2016-09-01,3899,NA,NA
"151",NA,"ACTUAL","actual",2023-03-01,3752,NA,NA
"152",NA,"ACTUAL","actual",2023-07-01,3392,NA,NA
"153",NA,"ACTUAL","actual",2016-01-01,3865,NA,NA
"154",NA,"ACTUAL","actual",2023-11-01,3341,NA,NA
"155",NA,"ACTUAL","actual",2013-05-01,4297,NA,NA
"156",NA,"ACTUAL","actual",2009-09-01,4345,NA,NA
"157",NA,"ACTUAL","actual",2013-07-01,4035,NA,NA
"158",NA,"ACTUAL","actual",2001-11-01,4750,NA,NA
"159",NA,"ACTUAL","actual",2014-06-01,3831,NA,NA
"160",NA,"ACTUAL","actual",2018-11-01,4093,NA,NA
"161",NA,"ACTUAL","actual",2003-10-01,4387,NA,NA
"162",NA,"ACTUAL","actual",2017-05-01,4571,NA,NA
"163",NA,"ACTUAL","actual",2002-04-01,4869,NA,NA
"164",NA,"ACTUAL","actual",2006-06-01,4656,NA,NA
"165",NA,"ACTUAL","actual",2011-01-01,4016,NA,NA
"166",NA,"ACTUAL","actual",2016-10-01,3771,NA,NA
"167",NA,"ACTUAL","actual",2018-08-01,4028,NA,NA
