"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2002-04-01,14623,NA,NA
"2",NA,"ACTUAL","actual",2015-10-01,12238,NA,NA
"3",NA,"ACTUAL","actual",2024-05-01,11855,NA,NA
"4",NA,"ACTUAL","actual",2018-02-01,12413,NA,NA
"5",NA,"ACTUAL","actual",2006-10-01,11968,NA,NA
"6",NA,"ACTUAL","actual",2007-05-01,13130,NA,NA
"7",NA,"ACTUAL","actual",2007-09-01,11527,NA,NA
"8",NA,"ACTUAL","actual",2015-08-01,12869,NA,NA
"9",NA,"ACTUAL","actual",2019-03-01,13842,NA,NA
"10",NA,"ACTUAL","actual",2006-02-01,12574,NA,NA
"11",NA,"ACTUAL","actual",2009-06-01,12245,NA,NA
"12",NA,"ACTUAL","actual",2012-11-01,11632,NA,NA
"13",NA,"ACTUAL","actual",2011-06-01,12825,NA,NA
"14",NA,"ACTUAL","actual",2018-12-01,11961,NA,NA
"15",NA,"ACTUAL","actual",2012-01-01,12912,NA,NA
"16",NA,"ACTUAL","actual",2014-01-01,14099,NA,NA
"17",NA,"ACTUAL","actual",2021-11-01,10888,NA,NA
"18",NA,"ACTUAL","actual",2022-12-01,11633,NA,NA
"19",NA,"ACTUAL","actual",2002-09-01,13918,NA,NA
"20",NA,"ACTUAL","actual",2017-03-01,15032,NA,NA
"21",NA,"ACTUAL","actual",2014-03-01,14016,NA,NA
"22",NA,"ACTUAL","actual",2012-05-01,13474,NA,NA
"23",NA,"ACTUAL","actual",2020-05-01,13094,NA,NA
"24",NA,"ACTUAL","actual",2003-11-01,11808,NA,NA
"25",NA,"ACTUAL","actual",2000-05-01,15875,NA,NA
"26",NA,"ACTUAL","actual",2015-12-01,13347,NA,NA
"27",NA,"ACTUAL","actual",2007-08-01,11763,NA,NA
"28",NA,"ACTUAL","actual",2018-10-01,12335,NA,NA
"29",NA,"ACTUAL","actual",2000-04-01,14992,NA,NA
"30",NA,"ACTUAL","actual",2006-06-01,13156,NA,NA
"31",NA,"ACTUAL","actual",2016-06-01,12993,NA,NA
"32",NA,"ACTUAL","actual",2000-06-01,14919,NA,NA
"33",NA,"ACTUAL","actual",2021-02-01,11978,NA,NA
"34",NA,"ACTUAL","actual",2023-10-01,10619,NA,NA
"35",NA,"ACTUAL","actual",2015-06-01,13375,NA,NA
"36",NA,"ACTUAL","actual",2014-02-01,13142,NA,NA
"37",NA,"ACTUAL","actual",2016-12-01,12035,NA,NA
"38",NA,"ACTUAL","actual",2012-12-01,12510,NA,NA
"39",NA,"ACTUAL","actual",2016-09-01,12489,NA,NA
"40",NA,"ACTUAL","actual",2005-02-01,12486,NA,NA
"41",NA,"ACTUAL","actual",2004-11-01,12055,NA,NA
"42",NA,"ACTUAL","actual",2018-01-01,13734,NA,NA
"43",NA,"ACTUAL","actual",2016-07-01,12667,NA,NA
"44",NA,"ACTUAL","actual",2005-10-01,12658,NA,NA
"45",NA,"ACTUAL","actual",2023-02-01,11126,NA,NA
"46",NA,"ACTUAL","actual",2022-05-01,12828,NA,NA
"47",NA,"ACTUAL","actual",2001-01-01,14840,NA,NA
"48",NA,"ACTUAL","actual",2000-07-01,15307,NA,NA
"49",NA,"ACTUAL","actual",2002-06-01,13372,NA,NA
"50",NA,"ACTUAL","actual",2013-09-01,12303,NA,NA
"51",NA,"ACTUAL","actual",2008-02-01,12262,NA,NA
"52",NA,"ACTUAL","actual",2004-05-01,14368,NA,NA
"53",NA,"ACTUAL","actual",2010-09-01,12130,NA,NA
"54",NA,"ACTUAL","actual",2010-12-01,12767,NA,NA
"55",NA,"ACTUAL","actual",2000-08-01,15431,NA,NA
"56",NA,"ACTUAL","actual",2020-01-01,12711,NA,NA
"57",NA,"ACTUAL","actual",2016-10-01,11473,NA,NA
"58",NA,"ACTUAL","actual",2008-11-01,11261,NA,NA
"59",NA,"ACTUAL","actual",2013-12-01,13035,NA,NA
"60",NA,"ACTUAL","actual",2004-10-01,12781,NA,NA
"61",NA,"ACTUAL","actual",2001-06-01,14049,NA,NA
"62",NA,"ACTUAL","actual",2011-07-01,13122,NA,NA
"63",NA,"ACTUAL","actual",2017-04-01,13848,NA,NA
"64",NA,"ACTUAL","actual",2014-07-01,13985,NA,NA
"65",NA,"ACTUAL","actual",2013-08-01,12611,NA,NA
