"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2007-11-01,1602,NA,NA
"2",NA,"ACTUAL","actual",2010-11-01,2097,NA,NA
"3",NA,"ACTUAL","actual",2021-05-01,2236,NA,NA
"4",NA,"ACTUAL","actual",2012-10-01,2366,NA,NA
"5",NA,"ACTUAL","actual",2014-08-01,2288,NA,NA
"6",NA,"ACTUAL","actual",2013-07-01,2358,NA,NA
"7",NA,"ACTUAL","actual",2000-05-01,2778,NA,NA
"8",NA,"ACTUAL","actual",2022-10-01,1864,NA,NA
"9",NA,"ACTUAL","actual",2011-10-01,2366,NA,NA
"10",NA,"ACTUAL","actual",2016-07-01,2178,NA,NA
"11",NA,"ACTUAL","actual",2023-04-01,2003,NA,NA
"12",NA,"ACTUAL","actual",2017-08-01,2299,NA,NA
"13",NA,"ACTUAL","actual",2006-08-01,1984,NA,NA
"14",NA,"ACTUAL","actual",2000-02-01,2424,NA,NA
"15",NA,"ACTUAL","actual",2021-12-01,2144,NA,NA
"16",NA,"ACTUAL","actual",2005-02-01,2340,NA,NA
"17",NA,"ACTUAL","actual",2011-11-01,2331,NA,NA
"18",NA,"ACTUAL","actual",2005-06-01,2459,NA,NA
"19",NA,"ACTUAL","actual",2012-01-01,2188,NA,NA
"20",NA,"ACTUAL","actual",2001-08-01,2432,NA,NA
"21",NA,"ACTUAL","actual",2019-03-01,2456,NA,NA
"22",NA,"ACTUAL","actual",2014-02-01,2032,NA,NA
"23",NA,"ACTUAL","actual",2021-02-01,2001,NA,NA
"24",NA,"ACTUAL","actual",2018-10-01,2492,NA,NA
"25",NA,"ACTUAL","actual",2022-02-01,1973,NA,NA
"26",NA,"ACTUAL","actual",2022-08-01,2062,NA,NA
"27",NA,"ACTUAL","actual",2024-05-01,1865,NA,NA
"28",NA,"ACTUAL","actual",2020-09-01,2152,NA,NA
"29",NA,"ACTUAL","actual",2023-05-01,2134,NA,NA
"30",NA,"ACTUAL","actual",2017-07-01,2257,NA,NA
"31",NA,"ACTUAL","actual",2022-01-01,2073,NA,NA
"32",NA,"ACTUAL","actual",2004-10-01,2249,NA,NA
"33",NA,"ACTUAL","actual",2001-03-01,2448,NA,NA
"34",NA,"ACTUAL","actual",2000-11-01,2480,NA,NA
"35",NA,"ACTUAL","actual",2000-04-01,2603,NA,NA
"36",NA,"ACTUAL","actual",2014-05-01,2400,NA,NA
"37",NA,"ACTUAL","actual",2021-07-01,2127,NA,NA
"38",NA,"ACTUAL","actual",2023-01-01,2087,NA,NA
"39",NA,"ACTUAL","actual",2009-03-01,2426,NA,NA
"40",NA,"ACTUAL","actual",2013-04-01,2334,NA,NA
