"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2007-01-01,12299,NA,NA
"2",NA,"ACTUAL","actual",2005-07-01,12650,NA,NA
"3",NA,"ACTUAL","actual",2012-01-01,11834,NA,NA
"4",NA,"ACTUAL","actual",2021-01-01,10966,NA,NA
"5",NA,"ACTUAL","actual",2009-07-01,11300,NA,NA
"6",NA,"ACTUAL","actual",2001-01-01,14357,NA,NA
"7",NA,"ACTUAL","actual",2006-01-01,12162,NA,NA
"8",NA,"ACTUAL","actual",2009-09-01,11256,NA,NA
"9",NA,"ACTUAL","actual",2012-12-01,11088,NA,NA
"10",NA,"ACTUAL","actual",2007-04-01,11128,NA,NA
"11",NA,"ACTUAL","actual",2004-06-01,12792,NA,NA
"12",NA,"ACTUAL","actual",2013-01-01,12768,NA,NA
"13",NA,"ACTUAL","actual",2000-02-01,14990,NA,NA
"14",NA,"ACTUAL","actual",2016-11-01,9979,NA,NA
"15",NA,"ACTUAL","actual",2013-10-01,11380,NA,NA
"16",NA,"ACTUAL","actual",2002-09-01,12936,NA,NA
"17",NA,"ACTUAL","actual",2013-03-01,12664,NA,NA
"18",NA,"ACTUAL","actual",2009-01-01,12077,NA,NA
"19",NA,"ACTUAL","actual",2018-01-01,12501,NA,NA
"20",NA,"ACTUAL","actual",2000-08-01,14926,NA,NA
"21",NA,"ACTUAL","actual",2007-07-01,11414,NA,NA
"22",NA,"ACTUAL","actual",2023-10-01,9335,NA,NA
"23",NA,"ACTUAL","actual",2023-04-01,10305,NA,NA
"24",NA,"ACTUAL","actual",2005-05-01,13300,NA,NA
"25",NA,"ACTUAL","actual",2003-06-01,12761,NA,NA
"26",NA,"ACTUAL","actual",2009-12-01,10881,NA,NA
"27",NA,"ACTUAL","actual",2013-05-01,12172,NA,NA
"28",NA,"ACTUAL","actual",2022-02-01,9961,NA,NA
"29",NA,"ACTUAL","actual",2000-11-01,13131,NA,NA
"30",NA,"ACTUAL","actual",2017-10-01,10594,NA,NA
"31",NA,"ACTUAL","actual",2002-02-01,13094,NA,NA
"32",NA,"ACTUAL","actual",2016-07-01,11967,NA,NA
"33",NA,"ACTUAL","actual",2008-10-01,10843,NA,NA
"34",NA,"ACTUAL","actual",2004-07-01,12813,NA,NA
"35",NA,"ACTUAL","actual",2001-06-01,13590,NA,NA
"36",NA,"ACTUAL","actual",2011-01-01,12142,NA,NA
"37",NA,"ACTUAL","actual",2003-05-01,13546,NA,NA
"38",NA,"ACTUAL","actual",2022-04-01,10515,NA,NA
"39",NA,"ACTUAL","actual",2005-01-01,12336,NA,NA
"40",NA,"ACTUAL","actual",2020-05-01,11668,NA,NA
"41",NA,"ACTUAL","actual",2024-06-01,9126,NA,NA
"42",NA,"ACTUAL","actual",2010-03-01,12826,NA,NA
"43",NA,"ACTUAL","actual",2019-01-01,11529,NA,NA
"44",NA,"ACTUAL","actual",2015-01-01,12882,NA,NA
"45",NA,"ACTUAL","actual",2010-02-01,10768,NA,NA
"46",NA,"ACTUAL","actual",2009-03-01,12190,NA,NA
"47",NA,"ACTUAL","actual",2017-02-01,11550,NA,NA
"48",NA,"ACTUAL","actual",2006-09-01,11413,NA,NA
"49",NA,"ACTUAL","actual",2017-12-01,11221,NA,NA
"50",NA,"ACTUAL","actual",2022-12-01,10121,NA,NA
"51",NA,"ACTUAL","actual",2020-02-01,11087,NA,NA
"52",NA,"ACTUAL","actual",2018-09-01,10915,NA,NA
"53",NA,"ACTUAL","actual",2017-04-01,12351,NA,NA
"54",NA,"ACTUAL","actual",2020-12-01,10377,NA,NA
"55",NA,"ACTUAL","actual",2022-06-01,10136,NA,NA
"56",NA,"ACTUAL","actual",2008-01-01,11148,NA,NA
"57",NA,"ACTUAL","actual",2017-01-01,11502,NA,NA
"58",NA,"ACTUAL","actual",2015-10-01,11454,NA,NA
"59",NA,"ACTUAL","actual",2005-03-01,12912,NA,NA
"60",NA,"ACTUAL","actual",2010-01-01,11435,NA,NA
"61",NA,"ACTUAL","actual",2022-10-01,8951,NA,NA
"62",NA,"ACTUAL","actual",2016-04-01,12146,NA,NA
"63",NA,"ACTUAL","actual",2019-10-01,10036,NA,NA
"64",NA,"ACTUAL","actual",2021-05-01,10945,NA,NA
"65",NA,"ACTUAL","actual",2024-01-01,9734,NA,NA
"66",NA,"ACTUAL","actual",2024-05-01,10198,NA,NA
"67",NA,"ACTUAL","actual",2006-03-01,12536,NA,NA
"68",NA,"ACTUAL","actual",2012-05-01,12338,NA,NA
"69",NA,"ACTUAL","actual",2008-08-01,11165,NA,NA
"70",NA,"ACTUAL","actual",2003-02-01,11992,NA,NA
"71",NA,"ACTUAL","actual",2021-08-01,9939,NA,NA
"72",NA,"ACTUAL","actual",2013-08-01,11298,NA,NA
"73",NA,"ACTUAL","actual",2020-04-01,11433,NA,NA
"74",NA,"ACTUAL","actual",2021-12-01,9946,NA,NA
"75",NA,"ACTUAL","actual",2018-11-01,10548,NA,NA
"76",NA,"ACTUAL","actual",2004-01-01,13334,NA,NA
"77",NA,"ACTUAL","actual",2002-08-01,13084,NA,NA
"78",NA,"ACTUAL","actual",2004-09-01,12881,NA,NA
"79",NA,"ACTUAL","actual",2018-06-01,11605,NA,NA
"80",NA,"ACTUAL","actual",2008-02-01,11422,NA,NA
"81",NA,"ACTUAL","actual",2012-11-01,10182,NA,NA
"82",NA,"ACTUAL","actual",2019-04-01,11848,NA,NA
"83",NA,"ACTUAL","actual",2021-11-01,9164,NA,NA
"84",NA,"ACTUAL","actual",2006-11-01,10395,NA,NA
"85",NA,"ACTUAL","actual",2019-06-01,11256,NA,NA
"86",NA,"ACTUAL","actual",2010-10-01,10124,NA,NA
"87",NA,"ACTUAL","actual",2000-01-01,15437,NA,NA
"88",NA,"ACTUAL","actual",2023-07-01,10387,NA,NA
"89",NA,"ACTUAL","actual",2021-09-01,10149,NA,NA
"90",NA,"ACTUAL","actual",2006-07-01,12109,NA,NA
"91",NA,"ACTUAL","actual",2020-06-01,10873,NA,NA
"92",NA,"ACTUAL","actual",2004-11-01,11536,NA,NA
"93",NA,"ACTUAL","actual",2013-06-01,11371,NA,NA
"94",NA,"ACTUAL","actual",2016-05-01,12431,NA,NA
"95",NA,"ACTUAL","actual",2003-08-01,12462,NA,NA
"96",NA,"ACTUAL","actual",2016-10-01,10429,NA,NA
"97",NA,"ACTUAL","actual",2018-12-01,11228,NA,NA
"98",NA,"ACTUAL","actual",2012-04-01,11872,NA,NA
"99",NA,"ACTUAL","actual",2023-05-01,11396,NA,NA
"100",NA,"ACTUAL","actual",2014-03-01,13085,NA,NA
"101",NA,"ACTUAL","actual",2000-07-01,14902,NA,NA
"102",NA,"ACTUAL","actual",2018-03-01,12745,NA,NA
"103",NA,"ACTUAL","actual",2020-09-01,10633,NA,NA
"104",NA,"ACTUAL","actual",2017-07-01,12075,NA,NA
"105",NA,"ACTUAL","actual",2023-03-01,11269,NA,NA
"106",NA,"ACTUAL","actual",2010-09-01,10606,NA,NA
"107",NA,"ACTUAL","actual",2016-12-01,11072,NA,NA
"108",NA,"ACTUAL","actual",2002-04-01,13422,NA,NA
"109",NA,"ACTUAL","actual",2006-05-01,12802,NA,NA
"110",NA,"ACTUAL","actual",2010-04-01,11551,NA,NA
"111",NA,"ACTUAL","actual",2005-06-01,12379,NA,NA
"112",NA,"ACTUAL","actual",2009-04-01,11052,NA,NA
"113",NA,"ACTUAL","actual",2011-02-01,11875,NA,NA
"114",NA,"ACTUAL","actual",2011-05-01,12328,NA,NA
"115",NA,"ACTUAL","actual",2007-05-01,11697,NA,NA
"116",NA,"ACTUAL","actual",2022-01-01,10127,NA,NA
"117",NA,"ACTUAL","actual",2006-10-01,11089,NA,NA
"118",NA,"ACTUAL","actual",2003-01-01,12547,NA,NA
"119",NA,"ACTUAL","actual",2020-03-01,11795,NA,NA
"120",NA,"ACTUAL","actual",2019-03-01,12302,NA,NA
"121",NA,"ACTUAL","actual",2010-08-01,10670,NA,NA
"122",NA,"ACTUAL","actual",2015-07-01,12282,NA,NA
"123",NA,"ACTUAL","actual",2015-11-01,11205,NA,NA
"124",NA,"ACTUAL","actual",2011-08-01,11298,NA,NA
"125",NA,"ACTUAL","actual",2010-07-01,11411,NA,NA
"126",NA,"ACTUAL","actual",2002-05-01,13289,NA,NA
"127",NA,"ACTUAL","actual",2011-12-01,10918,NA,NA
"128",NA,"ACTUAL","actual",2014-08-01,11828,NA,NA
"129",NA,"ACTUAL","actual",2003-10-01,12445,NA,NA
"130",NA,"ACTUAL","actual",2002-06-01,12246,NA,NA
"131",NA,"ACTUAL","actual",2001-11-01,11344,NA,NA
"132",NA,"ACTUAL","actual",2003-04-01,12517,NA,NA
"133",NA,"ACTUAL","actual",2005-12-01,11904,NA,NA
"134",NA,"ACTUAL","actual",2007-12-01,10206,NA,NA
"135",NA,"ACTUAL","actual",2016-09-01,11050,NA,NA
"136",NA,"ACTUAL","actual",2019-05-01,12439,NA,NA
"137",NA,"ACTUAL","actual",2001-05-01,14630,NA,NA
"138",NA,"ACTUAL","actual",2014-07-01,12149,NA,NA
"139",NA,"ACTUAL","actual",2020-10-01,10130,NA,NA
"140",NA,"ACTUAL","actual",2000-05-01,15288,NA,NA
"141",NA,"ACTUAL","actual",2008-03-01,12100,NA,NA
"142",NA,"ACTUAL","actual",2002-11-01,11846,NA,NA
"143",NA,"ACTUAL","actual",2001-03-01,14598,NA,NA
"144",NA,"ACTUAL","actual",2020-01-01,11637,NA,NA
"145",NA,"ACTUAL","actual",2018-02-01,11282,NA,NA
"146",NA,"ACTUAL","actual",2014-09-01,11811,NA,NA
"147",NA,"ACTUAL","actual",2011-09-01,10883,NA,NA
"148",NA,"ACTUAL","actual",2010-11-01,9514,NA,NA
"149",NA,"ACTUAL","actual",2009-10-01,10981,NA,NA
"150",NA,"ACTUAL","actual",2008-06-01,11039,NA,NA
"151",NA,"ACTUAL","actual",2019-12-01,10868,NA,NA
"152",NA,"ACTUAL","actual",2024-04-01,9985,NA,NA
"153",NA,"ACTUAL","actual",2017-08-01,11666,NA,NA
"154",NA,"ACTUAL","actual",2008-12-01,11071,NA,NA
"155",NA,"ACTUAL","actual",2018-04-01,12223,NA,NA
"156",NA,"ACTUAL","actual",2007-10-01,10294,NA,NA
"157",NA,"ACTUAL","actual",2005-08-01,12349,NA,NA
"158",NA,"ACTUAL","actual",2012-02-01,11659,NA,NA
"159",NA,"ACTUAL","actual",2004-12-01,12275,NA,NA
"160",NA,"ACTUAL","actual",2014-04-01,12539,NA,NA
"161",NA,"ACTUAL","actual",2001-07-01,13974,NA,NA
"162",NA,"ACTUAL","actual",2003-03-01,12853,NA,NA
"163",NA,"ACTUAL","actual",2016-02-01,12371,NA,NA
"164",NA,"ACTUAL","actual",2008-09-01,11284,NA,NA
"165",NA,"ACTUAL","actual",2002-07-01,13090,NA,NA
"166",NA,"ACTUAL","actual",2016-06-01,12145,NA,NA
"167",NA,"ACTUAL","actual",2008-07-01,11201,NA,NA
"168",NA,"ACTUAL","actual",2004-05-01,13317,NA,NA
"169",NA,"ACTUAL","actual",2009-06-01,11017,NA,NA
"170",NA,"ACTUAL","actual",2000-06-01,14704,NA,NA
"171",NA,"ACTUAL","actual",2007-06-01,11562,NA,NA
"172",NA,"ACTUAL","actual",2012-07-01,11771,NA,NA
"173",NA,"ACTUAL","actual",2013-12-01,11797,NA,NA
"174",NA,"ACTUAL","actual",2002-03-01,13930,NA,NA
"175",NA,"ACTUAL","actual",2012-08-01,11673,NA,NA
"176",NA,"ACTUAL","actual",2014-06-01,11804,NA,NA
"177",NA,"ACTUAL","actual",2021-03-01,11457,NA,NA
"178",NA,"ACTUAL","actual",2002-01-01,13670,NA,NA
"179",NA,"ACTUAL","actual",2015-06-01,12295,NA,NA
"180",NA,"ACTUAL","actual",2023-06-01,10538,NA,NA
"181",NA,"ACTUAL","actual",2023-12-01,8993,NA,NA
"182",NA,"ACTUAL","actual",2011-07-01,11773,NA,NA
"183",NA,"ACTUAL","actual",2022-07-01,10096,NA,NA
"184",NA,"ACTUAL","actual",2009-05-01,11205,NA,NA
"185",NA,"ACTUAL","actual",2007-11-01,9652,NA,NA
"186",NA,"ACTUAL","actual",2021-07-01,10294,NA,NA
"187",NA,"ACTUAL","actual",2023-08-01,10083,NA,NA
"188",NA,"ACTUAL","actual",2011-04-01,12104,NA,NA
"189",NA,"ACTUAL","actual",2022-05-01,10888,NA,NA
"190",NA,"ACTUAL","actual",2000-12-01,14092,NA,NA
"191",NA,"ACTUAL","actual",2006-04-01,12078,NA,NA
"192",NA,"ACTUAL","actual",2001-09-01,12990,NA,NA
"193",NA,"ACTUAL","actual",2020-11-01,9822,NA,NA
"194",NA,"ACTUAL","actual",2020-07-01,10821,NA,NA
"195",NA,"ACTUAL","actual",2004-03-01,13657,NA,NA
"196",NA,"ACTUAL","actual",2001-04-01,13890,NA,NA
"197",NA,"ACTUAL","actual",2017-03-01,13851,NA,NA
"198",NA,"ACTUAL","actual",2017-11-01,10365,NA,NA
"199",NA,"ACTUAL","actual",2019-02-01,11029,NA,NA
"200",NA,"ACTUAL","actual",2002-10-01,12864,NA,NA
"201",NA,"ACTUAL","actual",2006-06-01,12423,NA,NA
