"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2016-01-01,8381,NA,NA
"2",NA,"ACTUAL","actual",2004-02-01,7022,NA,NA
"3",NA,"ACTUAL","actual",2020-11-01,7570,NA,NA
"4",NA,"ACTUAL","actual",2020-12-01,7950,NA,NA
"5",NA,"ACTUAL","actual",2006-12-01,6527,NA,NA
"6",NA,"ACTUAL","actual",2004-06-01,7305,NA,NA
"7",NA,"ACTUAL","actual",2011-09-01,6950,NA,NA
"8",NA,"ACTUAL","actual",2008-12-01,7146,NA,NA
"9",NA,"ACTUAL","actual",2017-03-01,9412,NA,NA
"10",NA,"ACTUAL","actual",2023-01-01,8610,NA,NA
"11",NA,"ACTUAL","actual",2017-01-01,7471,NA,NA
"12",NA,"ACTUAL","actual",2020-07-01,8334,NA,NA
"13",NA,"ACTUAL","actual",2013-04-01,8064,NA,NA
"14",NA,"ACTUAL","actual",2012-11-01,6487,NA,NA
"15",NA,"ACTUAL","actual",2016-09-01,7530,NA,NA
"16",NA,"ACTUAL","actual",2018-07-01,8463,NA,NA
"17",NA,"ACTUAL","actual",2020-08-01,7853,NA,NA
"18",NA,"ACTUAL","actual",2019-12-01,7907,NA,NA
"19",NA,"ACTUAL","actual",2021-11-01,7495,NA,NA
"20",NA,"ACTUAL","actual",2005-11-01,6400,NA,NA
"21",NA,"ACTUAL","actual",2022-05-01,8883,NA,NA
"22",NA,"ACTUAL","actual",2018-06-01,8112,NA,NA
"23",NA,"ACTUAL","actual",2004-10-01,6662,NA,NA
"24",NA,"ACTUAL","actual",2008-03-01,7621,NA,NA
"25",NA,"ACTUAL","actual",2021-12-01,7759,NA,NA
"26",NA,"ACTUAL","actual",2009-08-01,6912,NA,NA
"27",NA,"ACTUAL","actual",2012-07-01,7460,NA,NA
"28",NA,"ACTUAL","actual",2011-05-01,8045,NA,NA
"29",NA,"ACTUAL","actual",2023-03-01,8930,NA,NA
"30",NA,"ACTUAL","actual",2008-07-01,7054,NA,NA
"31",NA,"ACTUAL","actual",2004-01-01,7391,NA,NA
"32",NA,"ACTUAL","actual",2001-06-01,7561,NA,NA
"33",NA,"ACTUAL","actual",2002-08-01,7120,NA,NA
"34",NA,"ACTUAL","actual",2023-07-01,8256,NA,NA
"35",NA,"ACTUAL","actual",2005-01-01,6682,NA,NA
"36",NA,"ACTUAL","actual",2002-01-01,7473,NA,NA
"37",NA,"ACTUAL","actual",2004-11-01,6234,NA,NA
"38",NA,"ACTUAL","actual",2016-06-01,8106,NA,NA
"39",NA,"ACTUAL","actual",2006-03-01,7556,NA,NA
"40",NA,"ACTUAL","actual",2004-12-01,6455,NA,NA
"41",NA,"ACTUAL","actual",2020-05-01,8676,NA,NA
"42",NA,"ACTUAL","actual",2000-11-01,7094,NA,NA
"43",NA,"ACTUAL","actual",2006-04-01,7509,NA,NA
"44",NA,"ACTUAL","actual",2014-03-01,8215,NA,NA
"45",NA,"ACTUAL","actual",2013-02-01,7319,NA,NA
"46",NA,"ACTUAL","actual",2001-11-01,6416,NA,NA
"47",NA,"ACTUAL","actual",2002-07-01,7303,NA,NA
"48",NA,"ACTUAL","actual",2001-04-01,7600,NA,NA
"49",NA,"ACTUAL","actual",2004-07-01,7096,NA,NA
"50",NA,"ACTUAL","actual",2020-09-01,8116,NA,NA
"51",NA,"ACTUAL","actual",2011-11-01,6213,NA,NA
"52",NA,"ACTUAL","actual",2010-11-01,5937,NA,NA
"53",NA,"ACTUAL","actual",2014-11-01,6665,NA,NA
"54",NA,"ACTUAL","actual",2011-10-01,6227,NA,NA
"55",NA,"ACTUAL","actual",2004-04-01,7372,NA,NA
"56",NA,"ACTUAL","actual",2001-02-01,7109,NA,NA
"57",NA,"ACTUAL","actual",2006-05-01,7566,NA,NA
"58",NA,"ACTUAL","actual",2022-02-01,8098,NA,NA
"59",NA,"ACTUAL","actual",2011-02-01,7299,NA,NA
"60",NA,"ACTUAL","actual",2016-04-01,8493,NA,NA
"61",NA,"ACTUAL","actual",2018-12-01,8050,NA,NA
"62",NA,"ACTUAL","actual",2008-10-01,6849,NA,NA
"63",NA,"ACTUAL","actual",2008-09-01,7159,NA,NA
"64",NA,"ACTUAL","actual",2007-01-01,7256,NA,NA
"65",NA,"ACTUAL","actual",2013-06-01,7391,NA,NA
"66",NA,"ACTUAL","actual",2007-05-01,7192,NA,NA
"67",NA,"ACTUAL","actual",2010-06-01,7422,NA,NA
"68",NA,"ACTUAL","actual",2024-05-01,8427,NA,NA
"69",NA,"ACTUAL","actual",2019-03-01,8876,NA,NA
"70",NA,"ACTUAL","actual",2013-07-01,7535,NA,NA
"71",NA,"ACTUAL","actual",2004-03-01,7743,NA,NA
"72",NA,"ACTUAL","actual",2016-12-01,7217,NA,NA
"73",NA,"ACTUAL","actual",2015-05-01,8672,NA,NA
"74",NA,"ACTUAL","actual",2004-09-01,7200,NA,NA
"75",NA,"ACTUAL","actual",2018-11-01,7854,NA,NA
"76",NA,"ACTUAL","actual",2005-04-01,7506,NA,NA
"77",NA,"ACTUAL","actual",2012-08-01,7405,NA,NA
"78",NA,"ACTUAL","actual",2003-02-01,6865,NA,NA
"79",NA,"ACTUAL","actual",2012-12-01,6929,NA,NA
"80",NA,"ACTUAL","actual",2016-07-01,8186,NA,NA
"81",NA,"ACTUAL","actual",2009-06-01,6833,NA,NA
"82",NA,"ACTUAL","actual",2002-11-01,6315,NA,NA
"83",NA,"ACTUAL","actual",2006-11-01,6178,NA,NA
"84",NA,"ACTUAL","actual",2003-04-01,7131,NA,NA
"85",NA,"ACTUAL","actual",2007-09-01,6450,NA,NA
"86",NA,"ACTUAL","actual",2019-11-01,7157,NA,NA
"87",NA,"ACTUAL","actual",2019-06-01,8207,NA,NA
"88",NA,"ACTUAL","actual",2002-03-01,7873,NA,NA
"89",NA,"ACTUAL","actual",2000-02-01,8016,NA,NA
"90",NA,"ACTUAL","actual",2003-06-01,7024,NA,NA
"91",NA,"ACTUAL","actual",2007-04-01,6946,NA,NA
"92",NA,"ACTUAL","actual",2022-12-01,8073,NA,NA
"93",NA,"ACTUAL","actual",2010-09-01,6695,NA,NA
"94",NA,"ACTUAL","actual",2012-10-01,7013,NA,NA
"95",NA,"ACTUAL","actual",2013-09-01,7158,NA,NA
"96",NA,"ACTUAL","actual",2015-12-01,7855,NA,NA
"97",NA,"ACTUAL","actual",2008-06-01,7114,NA,NA
