"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2019-01-01,2681,NA,NA
"2",NA,"ACTUAL","actual",2022-03-01,2829,NA,NA
"3",NA,"ACTUAL","actual",2012-04-01,3046,NA,NA
"4",NA,"ACTUAL","actual",2015-10-01,2823,NA,NA
"5",NA,"ACTUAL","actual",2010-02-01,2622,NA,NA
"6",NA,"ACTUAL","actual",2009-12-01,2567,NA,NA
"7",NA,"ACTUAL","actual",2023-01-01,2497,NA,NA
"8",NA,"ACTUAL","actual",2005-09-01,3095,NA,NA
"9",NA,"ACTUAL","actual",2012-06-01,2888,NA,NA
"10",NA,"ACTUAL","actual",2021-12-01,2475,NA,NA
"11",NA,"ACTUAL","actual",2022-10-01,2027,NA,NA
"12",NA,"ACTUAL","actual",2017-07-01,2906,NA,NA
"13",NA,"ACTUAL","actual",2017-06-01,2903,NA,NA
"14",NA,"ACTUAL","actual",2018-02-01,2636,NA,NA
"15",NA,"ACTUAL","actual",2004-10-01,2880,NA,NA
"16",NA,"ACTUAL","actual",2014-08-01,2956,NA,NA
"17",NA,"ACTUAL","actual",2020-06-01,2753,NA,NA
"18",NA,"ACTUAL","actual",2001-04-01,3405,NA,NA
"19",NA,"ACTUAL","actual",2003-07-01,3210,NA,NA
"20",NA,"ACTUAL","actual",2021-06-01,2642,NA,NA
"21",NA,"ACTUAL","actual",2020-07-01,2841,NA,NA
"22",NA,"ACTUAL","actual",2019-04-01,2901,NA,NA
"23",NA,"ACTUAL","actual",2000-02-01,3189,NA,NA
"24",NA,"ACTUAL","actual",2001-01-01,3295,NA,NA
"25",NA,"ACTUAL","actual",2009-09-01,2775,NA,NA
"26",NA,"ACTUAL","actual",2010-09-01,2819,NA,NA
"27",NA,"ACTUAL","actual",2008-12-01,2714,NA,NA
"28",NA,"ACTUAL","actual",2021-07-01,2678,NA,NA
"29",NA,"ACTUAL","actual",2002-10-01,2853,NA,NA
"30",NA,"ACTUAL","actual",2014-04-01,2999,NA,NA
"31",NA,"ACTUAL","actual",2012-02-01,2830,NA,NA
"32",NA,"ACTUAL","actual",2001-06-01,3564,NA,NA
"33",NA,"ACTUAL","actual",2024-04-01,2508,NA,NA
"34",NA,"ACTUAL","actual",2011-04-01,3084,NA,NA
"35",NA,"ACTUAL","actual",2009-07-01,2945,NA,NA
"36",NA,"ACTUAL","actual",2013-01-01,2878,NA,NA
"37",NA,"ACTUAL","actual",2022-05-01,2727,NA,NA
"38",NA,"ACTUAL","actual",2006-03-01,3442,NA,NA
"39",NA,"ACTUAL","actual",2002-03-01,3466,NA,NA
"40",NA,"ACTUAL","actual",2018-07-01,2878,NA,NA
"41",NA,"ACTUAL","actual",2018-03-01,3184,NA,NA
"42",NA,"ACTUAL","actual",2011-02-01,2544,NA,NA
"43",NA,"ACTUAL","actual",2019-12-01,2477,NA,NA
"44",NA,"ACTUAL","actual",2011-12-01,2628,NA,NA
"45",NA,"ACTUAL","actual",2013-03-01,2938,NA,NA
"46",NA,"ACTUAL","actual",2007-12-01,2762,NA,NA
"47",NA,"ACTUAL","actual",2022-07-01,2402,NA,NA
"48",NA,"ACTUAL","actual",2020-04-01,2947,NA,NA
"49",NA,"ACTUAL","actual",2020-09-01,2565,NA,NA
"50",NA,"ACTUAL","actual",2006-08-01,3159,NA,NA
"51",NA,"ACTUAL","actual",2014-07-01,3013,NA,NA
"52",NA,"ACTUAL","actual",2005-06-01,3356,NA,NA
"53",NA,"ACTUAL","actual",2004-08-01,2981,NA,NA
"54",NA,"ACTUAL","actual",2005-10-01,2993,NA,NA
"55",NA,"ACTUAL","actual",2023-08-01,2323,NA,NA
"56",NA,"ACTUAL","actual",2004-05-01,3450,NA,NA
"57",NA,"ACTUAL","actual",2024-06-01,2191,NA,NA
"58",NA,"ACTUAL","actual",2017-12-01,2788,NA,NA
"59",NA,"ACTUAL","actual",2006-07-01,3109,NA,NA
"60",NA,"ACTUAL","actual",2011-11-01,2738,NA,NA
"61",NA,"ACTUAL","actual",2008-06-01,3225,NA,NA
"62",NA,"ACTUAL","actual",2005-08-01,3052,NA,NA
"63",NA,"ACTUAL","actual",2017-11-01,2676,NA,NA
"64",NA,"ACTUAL","actual",2002-07-01,3102,NA,NA
"65",NA,"ACTUAL","actual",2014-05-01,3223,NA,NA
"66",NA,"ACTUAL","actual",2003-03-01,3431,NA,NA
"67",NA,"ACTUAL","actual",2015-04-01,3187,NA,NA
"68",NA,"ACTUAL","actual",2000-04-01,3643,NA,NA
"69",NA,"ACTUAL","actual",2022-11-01,2155,NA,NA
"70",NA,"ACTUAL","actual",2023-04-01,2547,NA,NA
"71",NA,"ACTUAL","actual",2014-06-01,2993,NA,NA
"72",NA,"ACTUAL","actual",2013-08-01,2842,NA,NA
"73",NA,"ACTUAL","actual",2006-04-01,3401,NA,NA
"74",NA,"ACTUAL","actual",2010-03-01,3269,NA,NA
"75",NA,"ACTUAL","actual",2018-04-01,3244,NA,NA
"76",NA,"ACTUAL","actual",2019-10-01,2639,NA,NA
"77",NA,"ACTUAL","actual",2021-03-01,2816,NA,NA
"78",NA,"ACTUAL","actual",2014-02-01,2655,NA,NA
"79",NA,"ACTUAL","actual",2024-02-01,2166,NA,NA
"80",NA,"ACTUAL","actual",2006-02-01,2726,NA,NA
"81",NA,"ACTUAL","actual",2008-05-01,3459,NA,NA
"82",NA,"ACTUAL","actual",2002-11-01,2762,NA,NA
"83",NA,"ACTUAL","actual",2014-09-01,2807,NA,NA
"84",NA,"ACTUAL","actual",2002-01-01,3214,NA,NA
"85",NA,"ACTUAL","actual",2008-11-01,2809,NA,NA
"86",NA,"ACTUAL","actual",2004-06-01,3167,NA,NA
"87",NA,"ACTUAL","actual",2003-04-01,3300,NA,NA
"88",NA,"ACTUAL","actual",2005-02-01,2867,NA,NA
"89",NA,"ACTUAL","actual",2014-03-01,2990,NA,NA
"90",NA,"ACTUAL","actual",2001-10-01,3158,NA,NA
"91",NA,"ACTUAL","actual",2011-08-01,2871,NA,NA
"92",NA,"ACTUAL","actual",2018-11-01,2585,NA,NA
"93",NA,"ACTUAL","actual",2012-03-01,3177,NA,NA
"94",NA,"ACTUAL","actual",2019-11-01,2451,NA,NA
"95",NA,"ACTUAL","actual",2015-01-01,2778,NA,NA
"96",NA,"ACTUAL","actual",2018-10-01,2594,NA,NA
"97",NA,"ACTUAL","actual",2021-05-01,3015,NA,NA
"98",NA,"ACTUAL","actual",2023-10-01,2214,NA,NA
"99",NA,"ACTUAL","actual",2016-05-01,3188,NA,NA
"100",NA,"ACTUAL","actual",2006-10-01,3041,NA,NA
"101",NA,"ACTUAL","actual",2004-11-01,2603,NA,NA
"102",NA,"ACTUAL","actual",2015-09-01,2921,NA,NA
"103",NA,"ACTUAL","actual",2011-09-01,2788,NA,NA
"104",NA,"ACTUAL","actual",2012-10-01,2749,NA,NA
"105",NA,"ACTUAL","actual",2017-09-01,2678,NA,NA
"106",NA,"ACTUAL","actual",2006-06-01,3239,NA,NA
"107",NA,"ACTUAL","actual",2002-04-01,3380,NA,NA
"108",NA,"ACTUAL","actual",2001-07-01,3477,NA,NA
"109",NA,"ACTUAL","actual",2023-11-01,2147,NA,NA
"110",NA,"ACTUAL","actual",2009-03-01,3531,NA,NA
"111",NA,"ACTUAL","actual",2009-11-01,2566,NA,NA
"112",NA,"ACTUAL","actual",2018-05-01,3331,NA,NA
"113",NA,"ACTUAL","actual",2019-05-01,2954,NA,NA
"114",NA,"ACTUAL","actual",2011-06-01,3267,NA,NA
"115",NA,"ACTUAL","actual",2016-04-01,3058,NA,NA
"116",NA,"ACTUAL","actual",2015-06-01,3039,NA,NA
"117",NA,"ACTUAL","actual",2020-08-01,2572,NA,NA
"118",NA,"ACTUAL","actual",2009-10-01,2752,NA,NA
"119",NA,"ACTUAL","actual",2022-01-01,2528,NA,NA
"120",NA,"ACTUAL","actual",2002-08-01,2865,NA,NA
"121",NA,"ACTUAL","actual",2001-11-01,2939,NA,NA
"122",NA,"ACTUAL","actual",2012-07-01,2894,NA,NA
"123",NA,"ACTUAL","actual",2021-10-01,2580,NA,NA
"124",NA,"ACTUAL","actual",2001-05-01,3732,NA,NA
"125",NA,"ACTUAL","actual",2012-08-01,2719,NA,NA
"126",NA,"ACTUAL","actual",2022-02-01,2273,NA,NA
"127",NA,"ACTUAL","actual",2003-12-01,2706,NA,NA
"128",NA,"ACTUAL","actual",2024-05-01,2590,NA,NA
"129",NA,"ACTUAL","actual",2023-05-01,2788,NA,NA
"130",NA,"ACTUAL","actual",2002-06-01,3231,NA,NA
"131",NA,"ACTUAL","actual",2004-03-01,3388,NA,NA
"132",NA,"ACTUAL","actual",2007-04-01,3317,NA,NA
"133",NA,"ACTUAL","actual",2014-01-01,2733,NA,NA
