"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2000-05-01,61367,NA,NA
"2",NA,"ACTUAL","actual",2008-11-01,44946,NA,NA
"3",NA,"ACTUAL","actual",2019-08-01,47479,NA,NA
"4",NA,"ACTUAL","actual",2006-06-01,51898,NA,NA
"5",NA,"ACTUAL","actual",2010-02-01,50720,NA,NA
"6",NA,"ACTUAL","actual",2007-04-01,52178,NA,NA
"7",NA,"ACTUAL","actual",2018-08-01,49575,NA,NA
"8",NA,"ACTUAL","actual",2017-08-01,50106,NA,NA
"9",NA,"ACTUAL","actual",2002-02-01,51236,NA,NA
"10",NA,"ACTUAL","actual",2001-10-01,49190,NA,NA
"11",NA,"ACTUAL","actual",2021-04-01,45807,NA,NA
"12",NA,"ACTUAL","actual",2015-04-01,56082,NA,NA
"13",NA,"ACTUAL","actual",2008-08-01,48097,NA,NA
"14",NA,"ACTUAL","actual",2015-09-01,51662,NA,NA
"15",NA,"ACTUAL","actual",2001-06-01,53644,NA,NA
"16",NA,"ACTUAL","actual",2014-07-01,53840,NA,NA
"17",NA,"ACTUAL","actual",2020-10-01,42105,NA,NA
"18",NA,"ACTUAL","actual",2017-01-01,47838,NA,NA
"19",NA,"ACTUAL","actual",2004-10-01,47990,NA,NA
"20",NA,"ACTUAL","actual",2006-01-01,48436,NA,NA
"21",NA,"ACTUAL","actual",2011-04-01,53825,NA,NA
"22",NA,"ACTUAL","actual",2014-09-01,50727,NA,NA
"23",NA,"ACTUAL","actual",2023-08-01,41386,NA,NA
"24",NA,"ACTUAL","actual",2009-04-01,53622,NA,NA
"25",NA,"ACTUAL","actual",2018-01-01,52853,NA,NA
"26",NA,"ACTUAL","actual",2021-07-01,43567,NA,NA
"27",NA,"ACTUAL","actual",2016-04-01,54769,NA,NA
"28",NA,"ACTUAL","actual",2012-01-01,50870,NA,NA
"29",NA,"ACTUAL","actual",2013-03-01,54852,NA,NA
"30",NA,"ACTUAL","actual",2024-06-01,38619,NA,NA
"31",NA,"ACTUAL","actual",2001-07-01,51529,NA,NA
"32",NA,"ACTUAL","actual",2010-11-01,44866,NA,NA
"33",NA,"ACTUAL","actual",2021-12-01,41880,NA,NA
"34",NA,"ACTUAL","actual",2024-03-01,43442,NA,NA
"35",NA,"ACTUAL","actual",2016-09-01,46895,NA,NA
"36",NA,"ACTUAL","actual",2019-05-01,53531,NA,NA
"37",NA,"ACTUAL","actual",2005-06-01,52362,NA,NA
"38",NA,"ACTUAL","actual",2017-04-01,53716,NA,NA
"39",NA,"ACTUAL","actual",2013-12-01,49530,NA,NA
"40",NA,"ACTUAL","actual",2012-08-01,50290,NA,NA
"41",NA,"ACTUAL","actual",2015-06-01,53257,NA,NA
"42",NA,"ACTUAL","actual",2011-07-01,51436,NA,NA
"43",NA,"ACTUAL","actual",2010-12-01,49378,NA,NA
"44",NA,"ACTUAL","actual",2005-12-01,47893,NA,NA
"45",NA,"ACTUAL","actual",2000-12-01,52414,NA,NA
"46",NA,"ACTUAL","actual",2004-07-01,51042,NA,NA
"47",NA,"ACTUAL","actual",2016-01-01,53053,NA,NA
"48",NA,"ACTUAL","actual",2011-12-01,48259,NA,NA
"49",NA,"ACTUAL","actual",2008-05-01,54564,NA,NA
"50",NA,"ACTUAL","actual",2004-09-01,50214,NA,NA
"51",NA,"ACTUAL","actual",2023-06-01,43560,NA,NA
"52",NA,"ACTUAL","actual",2017-02-01,49030,NA,NA
"53",NA,"ACTUAL","actual",2006-04-01,54487,NA,NA
"54",NA,"ACTUAL","actual",2016-05-01,55419,NA,NA
"55",NA,"ACTUAL","actual",2008-10-01,47996,NA,NA
"56",NA,"ACTUAL","actual",2016-08-01,47718,NA,NA
"57",NA,"ACTUAL","actual",2003-08-01,49150,NA,NA
"58",NA,"ACTUAL","actual",2014-11-01,46371,NA,NA
"59",NA,"ACTUAL","actual",2017-06-01,53646,NA,NA
"60",NA,"ACTUAL","actual",2010-03-01,57467,NA,NA
"61",NA,"ACTUAL","actual",2010-09-01,47592,NA,NA
"62",NA,"ACTUAL","actual",2011-06-01,51583,NA,NA
"63",NA,"ACTUAL","actual",2007-05-01,53746,NA,NA
"64",NA,"ACTUAL","actual",2009-01-01,50975,NA,NA
"65",NA,"ACTUAL","actual",2019-07-01,48860,NA,NA
"66",NA,"ACTUAL","actual",2009-05-01,49878,NA,NA
"67",NA,"ACTUAL","actual",2008-06-01,50426,NA,NA
"68",NA,"ACTUAL","actual",2008-09-01,49218,NA,NA
"69",NA,"ACTUAL","actual",2007-12-01,46398,NA,NA
"70",NA,"ACTUAL","actual",2020-01-01,47864,NA,NA
"71",NA,"ACTUAL","actual",2005-07-01,51284,NA,NA
"72",NA,"ACTUAL","actual",2023-03-01,47774,NA,NA
"73",NA,"ACTUAL","actual",2012-02-01,52068,NA,NA
"74",NA,"ACTUAL","actual",2008-07-01,50139,NA,NA
"75",NA,"ACTUAL","actual",2018-10-01,46894,NA,NA
"76",NA,"ACTUAL","actual",2008-03-01,54832,NA,NA
"77",NA,"ACTUAL","actual",2007-02-01,49619,NA,NA
"78",NA,"ACTUAL","actual",2014-06-01,52497,NA,NA
