"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2000-06-01,2265,NA,NA
"2",NA,"ACTUAL","actual",2010-09-01,2168,NA,NA
"3",NA,"ACTUAL","actual",2005-03-01,2332,NA,NA
"4",NA,"ACTUAL","actual",2017-10-01,2165,NA,NA
"5",NA,"ACTUAL","actual",2006-02-01,1775,NA,NA
"6",NA,"ACTUAL","actual",2002-10-01,2136,NA,NA
"7",NA,"ACTUAL","actual",2000-11-01,1793,NA,NA
"8",NA,"ACTUAL","actual",2023-09-01,1977,NA,NA
"9",NA,"ACTUAL","actual",2004-01-01,1998,NA,NA
"10",NA,"ACTUAL","actual",2023-06-01,1939,NA,NA
"11",NA,"ACTUAL","actual",2006-01-01,1857,NA,NA
"12",NA,"ACTUAL","actual",2021-01-01,1821,NA,NA
"13",NA,"ACTUAL","actual",2016-11-01,1809,NA,NA
"14",NA,"ACTUAL","actual",2019-05-01,2185,NA,NA
"15",NA,"ACTUAL","actual",2012-12-01,1914,NA,NA
"16",NA,"ACTUAL","actual",2023-04-01,2043,NA,NA
"17",NA,"ACTUAL","actual",2024-03-01,1941,NA,NA
"18",NA,"ACTUAL","actual",2000-08-01,2338,NA,NA
"19",NA,"ACTUAL","actual",2023-08-01,2000,NA,NA
"20",NA,"ACTUAL","actual",2015-02-01,1834,NA,NA
"21",NA,"ACTUAL","actual",2008-07-01,2166,NA,NA
"22",NA,"ACTUAL","actual",2012-07-01,2053,NA,NA
"23",NA,"ACTUAL","actual",2020-02-01,1778,NA,NA
"24",NA,"ACTUAL","actual",2013-05-01,2206,NA,NA
"25",NA,"ACTUAL","actual",2017-06-01,2144,NA,NA
"26",NA,"ACTUAL","actual",2018-01-01,1977,NA,NA
"27",NA,"ACTUAL","actual",2003-09-01,2280,NA,NA
"28",NA,"ACTUAL","actual",2019-02-01,1850,NA,NA
"29",NA,"ACTUAL","actual",2004-08-01,2228,NA,NA
"30",NA,"ACTUAL","actual",2009-08-01,1888,NA,NA
"31",NA,"ACTUAL","actual",2005-10-01,2169,NA,NA
"32",NA,"ACTUAL","actual",2010-07-01,2114,NA,NA
"33",NA,"ACTUAL","actual",2001-01-01,1973,NA,NA
"34",NA,"ACTUAL","actual",2000-10-01,2188,NA,NA
"35",NA,"ACTUAL","actual",2015-05-01,2250,NA,NA
"36",NA,"ACTUAL","actual",2016-08-01,2001,NA,NA
"37",NA,"ACTUAL","actual",2013-06-01,2130,NA,NA
"38",NA,"ACTUAL","actual",2012-11-01,2011,NA,NA
"39",NA,"ACTUAL","actual",2005-11-01,1963,NA,NA
"40",NA,"ACTUAL","actual",2022-08-01,1926,NA,NA
"41",NA,"ACTUAL","actual",2016-12-01,1764,NA,NA
"42",NA,"ACTUAL","actual",2020-07-01,2041,NA,NA
"43",NA,"ACTUAL","actual",2019-03-01,2144,NA,NA
"44",NA,"ACTUAL","actual",2005-12-01,1906,NA,NA
"45",NA,"ACTUAL","actual",2003-03-01,2256,NA,NA
"46",NA,"ACTUAL","actual",2002-11-01,2106,NA,NA
"47",NA,"ACTUAL","actual",2013-01-01,1867,NA,NA
"48",NA,"ACTUAL","actual",2024-06-01,1748,NA,NA
"49",NA,"ACTUAL","actual",2022-06-01,1874,NA,NA
"50",NA,"ACTUAL","actual",2005-07-01,2248,NA,NA
"51",NA,"ACTUAL","actual",2001-08-01,2256,NA,NA
"52",NA,"ACTUAL","actual",2001-05-01,2370,NA,NA
"53",NA,"ACTUAL","actual",2018-08-01,2167,NA,NA
"54",NA,"ACTUAL","actual",2007-06-01,2168,NA,NA
"55",NA,"ACTUAL","actual",2001-12-01,2215,NA,NA
"56",NA,"ACTUAL","actual",2023-11-01,1741,NA,NA
"57",NA,"ACTUAL","actual",2018-12-01,1989,NA,NA
"58",NA,"ACTUAL","actual",2021-09-01,2061,NA,NA
"59",NA,"ACTUAL","actual",2008-03-01,2215,NA,NA
"60",NA,"ACTUAL","actual",2004-04-01,2323,NA,NA
"61",NA,"ACTUAL","actual",2019-10-01,1961,NA,NA
"62",NA,"ACTUAL","actual",2007-05-01,2302,NA,NA
"63",NA,"ACTUAL","actual",2001-02-01,1877,NA,NA
"64",NA,"ACTUAL","actual",2006-05-01,2564,NA,NA
"65",NA,"ACTUAL","actual",2002-03-01,2342,NA,NA
"66",NA,"ACTUAL","actual",2002-02-01,1924,NA,NA
"67",NA,"ACTUAL","actual",2008-09-01,2278,NA,NA
"68",NA,"ACTUAL","actual",2000-02-01,2045,NA,NA
"69",NA,"ACTUAL","actual",2016-09-01,1964,NA,NA
"70",NA,"ACTUAL","actual",2022-04-01,1913,NA,NA
"71",NA,"ACTUAL","actual",2022-10-01,1727,NA,NA
"72",NA,"ACTUAL","actual",2015-08-01,2111,NA,NA
"73",NA,"ACTUAL","actual",2014-10-01,2116,NA,NA
"74",NA,"ACTUAL","actual",2024-02-01,1644,NA,NA
"75",NA,"ACTUAL","actual",2018-10-01,2238,NA,NA
"76",NA,"ACTUAL","actual",2006-03-01,2250,NA,NA
"77",NA,"ACTUAL","actual",2000-01-01,2116,NA,NA
"78",NA,"ACTUAL","actual",2004-03-01,2333,NA,NA
"79",NA,"ACTUAL","actual",2007-07-01,2094,NA,NA
"80",NA,"ACTUAL","actual",2004-02-01,1963,NA,NA
"81",NA,"ACTUAL","actual",2015-04-01,2197,NA,NA
"82",NA,"ACTUAL","actual",2002-07-01,2248,NA,NA
"83",NA,"ACTUAL","actual",2006-08-01,2128,NA,NA
"84",NA,"ACTUAL","actual",2014-08-01,2165,NA,NA
"85",NA,"ACTUAL","actual",2019-06-01,2041,NA,NA
"86",NA,"ACTUAL","actual",2014-09-01,2195,NA,NA
"87",NA,"ACTUAL","actual",2010-04-01,2251,NA,NA
"88",NA,"ACTUAL","actual",2004-09-01,2150,NA,NA
"89",NA,"ACTUAL","actual",2008-10-01,2156,NA,NA
"90",NA,"ACTUAL","actual",2010-01-01,1958,NA,NA
"91",NA,"ACTUAL","actual",2011-08-01,2139,NA,NA
"92",NA,"ACTUAL","actual",2011-07-01,1960,NA,NA
"93",NA,"ACTUAL","actual",2006-07-01,2285,NA,NA
"94",NA,"ACTUAL","actual",2015-10-01,2071,NA,NA
"95",NA,"ACTUAL","actual",2012-09-01,2007,NA,NA
"96",NA,"ACTUAL","actual",2021-08-01,1942,NA,NA
"97",NA,"ACTUAL","actual",2018-03-01,2232,NA,NA
"98",NA,"ACTUAL","actual",2002-01-01,2172,NA,NA
"99",NA,"ACTUAL","actual",2020-06-01,2089,NA,NA
"100",NA,"ACTUAL","actual",2009-11-01,2011,NA,NA
"101",NA,"ACTUAL","actual",2007-12-01,1851,NA,NA
"102",NA,"ACTUAL","actual",2001-03-01,2361,NA,NA
