"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,478.843835847528,479.233375362912,478.434652811368,"AC","Região Norte"
"2",2025-04-01,479.74484476641,480.525707225609,478.925289142744,"AC","Região Norte"
"3",2025-05-01,480.616788881458,481.790688770094,479.385747238773,"AC","Região Norte"
"4",2025-06-01,481.51779780034,483.086569932559,479.874034259975,"AC","Região Norte"
"5",2025-07-01,482.389741915387,484.355057435913,480.332195891093,"AC","Região Norte"
"6",2025-08-01,483.29075083427,485.654496028513,480.818140197004,"AC","Região Norte"
"7",2025-09-01,484.191759753152,486.955728270331,481.302903258714,"AC","Região Norte"
"8",2025-10-01,485.063703868199,488.229501722638,481.757620035436,"AC","Região Norte"
"9",2025-11-01,485.964712787082,489.534303641484,482.240050265901,"AC","Região Norte"
"10",2025-12-01,486.836656902129,490.811603258157,482.69248682572,"AC","Região Norte"
"11",2026-01-01,487.737665821011,492.119983027153,483.172590780659,"AC","Região Norte"
"12",2026-02-01,488.638674739894,493.430166719833,483.651521749318,"AC","Região Norte"
"13",2026-03-01,489.452489247271,494.654035354844,484.043050648664,"AC","Região Norte"
"14",2026-04-01,490.353498166154,495.967761417948,484.519714291266,"AC","Região Norte"
"15",2026-05-01,491.225442281201,497.253876066385,484.966515365102,"AC","Região Norte"
"16",2026-06-01,492.126451200083,498.571200429206,485.440868990404,"AC","Região Norte"
"17",2026-07-01,492.998395315131,499.860869623016,485.885412339766,"AC","Região Norte"
"18",2026-08-01,493.899404234013,501.181800518751,486.357462449178,"AC","Região Norte"
"19",2026-09-01,494.800413152895,502.504549770213,486.828351005197,"AC","Região Norte"
"20",2026-10-01,495.672357267943,503.799578100968,487.26950756342,"AC","Região Norte"
"21",2026-11-01,496.573366186825,505.125946287058,487.738102347555,"AC","Região Norte"
"22",2026-12-01,497.445310301873,506.4245496247,488.177017198212,"AC","Região Norte"
"23",2027-01-01,498.346319220755,507.754545021885,488.643324673222,"AC","Região Norte"
"24",2027-02-01,499.247328139637,509.086369179015,489.108478735914,"AC","Região Norte"
"25",2027-03-01,500.061142647015,510.331039043645,489.487130369603,"AC","Região Norte"
"26",2027-04-01,500.962151565897,511.666454619109,489.950055431993,"AC","Região Norte"
"27",2027-05-01,501.834095680945,512.973995192765,490.383430292248,"AC","Região Norte"
