"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,364.434652573045,364.731120204713,364.123234807046,"AC","Região Norte"
"2",2025-04-01,365.616696726172,366.211797134325,364.992108003276,"AC","Região Norte"
"3",2025-05-01,366.760610422746,367.656418163324,365.821197579142,"AC","Região Norte"
"4",2025-06-01,367.942654575873,369.141401923095,366.686603972344,"AC","Região Norte"
"5",2025-07-01,369.086568272447,370.590272638471,367.512296402249,"AC","Região Norte"
"6",2025-08-01,370.268612425574,372.079573325797,368.374245301543,"AC","Região Norte"
"7",2025-09-01,371.450656578701,373.571051855548,369.234452729698,"AC","Região Norte"
"8",2025-10-01,372.594570275276,375.02633146818,370.055050465529,"AC","Região Norte"
"9",2025-11-01,373.776614428402,376.522142137196,370.91181435049,"AC","Região Norte"
"10",2025-12-01,374.920528124977,377.981696518815,371.729037895844,"AC","Região Norte"
"11",2026-01-01,376.102572278104,379.481849478264,372.582367492548,"AC","Região Norte"
"12",2026-02-01,377.284616431231,380.984193045274,373.433967269793,"AC","Região Norte"
"13",2026-03-01,378.3522692147,382.373122753011,374.170712446834,"AC","Região Norte"
"14",2026-04-01,379.534313367827,383.879761205571,375.018956251844,"AC","Região Norte"
"15",2026-05-01,380.678227064402,385.349999508967,375.827832527259,"AC","Região Norte"
"16",2026-06-01,381.860271217528,386.861005647796,376.672665004512,"AC","Região Norte"
"17",2026-07-01,383.004184914103,388.33555394849,377.478198881134,"AC","Região Norte"
"18",2026-08-01,384.18622906723,389.850938000309,378.319629210415,"AC","Região Norte"
"19",2026-09-01,385.368273220357,391.368530588679,379.159345858539,"AC","Região Norte"
"20",2026-10-01,386.512186916931,392.849578646911,379.959867087093,"AC","Região Norte"
"21",2026-11-01,387.694231070058,394.371564554709,380.796195344199,"AC","Região Norte"
"22",2026-12-01,388.838144766633,395.856948014742,381.593396809528,"AC","Região Norte"
"23",2027-01-01,390.02018891976,397.383337523113,382.426345801918,"AC","Região Norte"
"24",2027-02-01,391.202233072886,398.911948496389,383.257592603189,"AC","Região Norte"
"25",2027-03-01,392.269885856356,400.326042881351,383.975167000282,"AC","Região Norte"
"26",2027-04-01,393.451930009483,401.859009631223,384.803112002391,"AC","Região Norte"
"27",2027-05-01,394.595843706057,403.355228699025,385.592101216385,"AC","Região Norte"
"28",2027-06-01,395.777887859184,404.892624770644,386.416689594751,"AC","Região Norte"
"29",2027-07-01,396.921801555759,406.393214920834,387.202390393466,"AC","Região Norte"
"30",2027-08-01,398.103845708885,407.935050671813,388.023631200206,"AC","Região Norte"
"31",2027-09-01,399.285889862012,409.47912604602,388.843185729913,"AC","Região Norte"
"32",2027-10-01,400.429803558587,410.986307979708,389.623954782507,"AC","Região Norte"
"33",2027-11-01,401.611847711714,412.534838636796,390.440175306286,"AC","Região Norte"
"34",2027-12-01,402.755761408288,414.04641738317,391.217678263392,"AC","Região Norte"
"35",2028-01-01,403.937805561415,415.599413735834,392.030573780571,"AC","Região Norte"
"36",2028-02-01,405.119849714542,417.154662805273,392.841794351197,"AC","Região Norte"
"37",2028-03-01,406.225632954564,418.633576967132,393.577455778894,"AC","Região Norte"
"38",2028-04-01,407.407677107691,420.193275452009,394.38539639837,"AC","Região Norte"
"39",2028-05-01,408.551590804265,421.715875432249,395.154788694334,"AC","Região Norte"
"40",2028-06-01,409.733634957392,423.280065715182,395.959426686713,"AC","Região Norte"
"41",2028-07-01,410.877548653967,424.807098698527,396.725583851028,"AC","Região Norte"
"42",2028-08-01,412.059592807094,426.37579126969,397.526928142323,"AC","Região Norte"
"43",2028-09-01,413.24163696022,427.94675497415,398.326613206715,"AC","Região Norte"
"44",2028-10-01,414.385550656795,429.48047302502,399.087918478253,"AC","Região Norte"
"45",2028-11-01,415.567594809922,431.055954820824,399.884323218333,"AC","Região Norte"
"46",2028-12-01,416.711508506496,432.594131935053,400.642415366094,"AC","Região Norte"
"47",2029-01-01,417.893552659623,434.174142368123,401.435548655764,"AC","Região Norte"
"48",2029-02-01,419.07559681275,435.756437195332,402.227033891403,"AC","Região Norte"
"49",2029-03-01,420.14324959622,437.221977734786,402.90717476452,"AC","Região Norte"
"50",2029-04-01,421.325293749346,438.808752526211,403.695464341738,"AC","Região Norte"
"51",2029-05-01,422.469207445921,440.358074617405,404.445608773905,"AC","Região Norte"
"52",2029-06-01,423.651251599048,441.949404430019,405.230648914741,"AC","Região Norte"
"53",2029-07-01,424.795165295622,443.50322218652,405.97761070045,"AC","Região Norte"
"54",2029-08-01,425.977209448749,445.099117644576,406.759410206531,"AC","Região Norte"
"55",2029-09-01,427.159253601876,446.697316122265,407.539577132726,"AC","Região Norte"
"56",2029-10-01,428.30316729845,448.257913346908,408.281765682896,"AC","Região Norte"
"57",2029-11-01,429.485211451577,449.860693475032,409.058705164763,"AC","Região Norte"
"58",2029-12-01,430.629125148152,451.425812758972,409.7977327687,"AC","Região Norte"
"59",2030-01-01,431.811169301279,453.033185218207,410.57145355643,"AC","Região Norte"
"60",2030-02-01,432.993213454406,454.642874127127,411.343552781685,"AC","Região Norte"
"61",2030-03-01,434.060866237875,456.134673542464,412.005453712184,"AC","Região Norte"
"62",2030-04-01,435.242910391002,457.748905679275,412.774409212136,"AC","Região Norte"
"63",2030-05-01,436.386824087576,459.325327541075,413.505618531101,"AC","Região Norte"
"64",2030-06-01,437.568868240703,460.944178730211,414.271377043657,"AC","Região Norte"
"65",2030-07-01,438.712781937278,462.525159722178,414.999455466999,"AC","Região Norte"
"66",2030-08-01,439.894826090405,464.148640723592,415.76202567101,"AC","Região Norte"
"67",2030-09-01,441.076870243532,465.774457037941,416.522989571059,"AC","Região Norte"
"68",2030-10-01,442.220783940106,467.362313107219,417.246372315922,"AC","Região Norte"
"69",2030-11-01,443.402828093233,468.992775443157,418.004160913918,"AC","Região Norte"
"70",2030-12-01,444.546741789807,470.585217374367,418.72443415972,"AC","Região Norte"
"71",2031-01-01,445.728785942934,472.220336548952,419.479056083745,"AC","Região Norte"
