"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1621.74789536222,1623.06718746111,1620.3620746039,"AL","Região Nordeste"
"2",2025-04-01,1627.15274289195,1629.80119759901,1624.37305240534,"AL","Região Nordeste"
"3",2025-05-01,1632.38324050138,1636.370314088,1628.20208871399,"AL","Região Nordeste"
"4",2025-06-01,1637.78808803112,1643.12395790492,1632.19714963123,"AL","Região Nordeste"
"5",2025-07-01,1643.01858564054,1649.71244673727,1636.01058761533,"AL","Região Nordeste"
"6",2025-08-01,1648.42343317028,1656.48577030689,1639.98977432508,"AL","Região Nordeste"
"7",2025-09-01,1653.82828070002,1663.26902232479,1643.96096579193,"AL","Região Nordeste"
"8",2025-10-01,1659.05877830944,1669.88672663638,1647.75101118353,"AL","Região Nordeste"
"9",2025-11-01,1664.46362583918,1676.68972781725,1651.70639239834,"AL","Região Nordeste"
"10",2025-12-01,1669.6941234486,1683.32691892032,1655.48094470569,"AL","Região Nordeste"
"11",2026-01-01,1675.09897097834,1690.14971558333,1659.42055809698,"AL","Região Nordeste"
"12",2026-02-01,1680.50381850808,1696.98249894189,1663.35222966053,"AL","Região Nordeste"
"13",2026-03-01,1685.38561627687,1703.29667237465,1666.75870108793,"AL","Região Nordeste"
"14",2026-04-01,1690.79046380661,1710.14903431326,1670.67496309037,"AL","Região Nordeste"
"15",2026-05-01,1696.02096141603,1716.8349282511,1674.41118648992,"AL","Região Nordeste"
"16",2026-06-01,1701.42580894577,1723.70720155101,1678.31178593067,"AL","Região Nordeste"
"17",2026-07-01,1706.65630655519,1730.41274302116,1682.03266199837,"AL","Região Nordeste"
"18",2026-08-01,1712.06115408493,1737.30497434645,1685.91764096162,"AL","Região Nordeste"
"19",2026-09-01,1717.46600161467,1744.20727417693,1689.79475208158,"AL","Região Nordeste"
"20",2026-10-01,1722.69649922409,1750.94244570907,1693.49261170195,"AL","Região Nordeste"
"21",2026-11-01,1728.10134675383,1757.86477386416,1697.35416541221,"AL","Região Nordeste"
"22",2026-12-01,1733.33184436326,1764.61970884623,1701.0367814754,"AL","Região Nordeste"
"23",2027-01-01,1738.73669189299,1771.56211223847,1704.88281961515,"AL","Região Nordeste"
"24",2027-02-01,1744.14153942273,1778.51464312828,1708.72104258626,"AL","Região Nordeste"
"25",2027-03-01,1749.02333719153,1784.9435216177,1712.03947129256,"AL","Região Nordeste"
"26",2027-04-01,1754.42818472127,1791.91590892488,1715.86253306516,"AL","Região Nordeste"
"27",2027-05-01,1759.65868233069,1798.72023885898,1719.50743923442,"AL","Região Nordeste"
"28",2027-06-01,1765.06352986043,1805.71281876768,1723.3150892345,"AL","Região Nordeste"
"29",2027-07-01,1770.29402746985,1812.53707495722,1726.94489556606,"AL","Região Nordeste"
"30",2027-08-01,1775.69887499959,1819.54989472907,1730.73717529296,"AL","Região Nordeste"
"31",2027-09-01,1781.10372252933,1826.57292485509,1734.52171280847,"AL","Região Nordeste"
"32",2027-10-01,1786.33422013875,1833.42723101084,1738.12887359658,"AL","Região Nordeste"
"33",2027-11-01,1791.73906766849,1840.47057219897,1741.89810303049,"AL","Região Nordeste"
"34",2027-12-01,1796.96956527791,1847.34492201506,1745.49026630891,"AL","Região Nordeste"
"35",2028-01-01,1802.37441280765,1854.40862177838,1749.24422891873,"AL","Região Nordeste"
"36",2028-02-01,1807.77926033739,1861.48259164241,1752.99050126086,"AL","Região Nordeste"
"37",2028-03-01,1812.8354080265,1868.2074929518,1756.3912509597,"AL","Região Nordeste"
"38",2028-04-01,1818.24025555623,1875.30174680267,1760.12246265421,"AL","Região Nordeste"
"39",2028-05-01,1823.47075316566,1882.22633886347,1763.67738218571,"AL","Região Nordeste"
"40",2028-06-01,1828.8756006954,1889.34107039502,1767.39342965576,"AL","Região Nordeste"
"41",2028-07-01,1834.10609830482,1896.2858712495,1770.93349363684,"AL","Região Nordeste"
"42",2028-08-01,1839.51094583456,1903.42112832851,1774.63441780405,"AL","Região Nordeste"
"43",2028-09-01,1844.9157933643,1910.56673954375,1778.32772376981,"AL","Região Nordeste"
"44",2028-10-01,1850.14629097372,1917.5420160125,1781.84550830659,"AL","Região Nordeste"
"45",2028-11-01,1855.55113850346,1924.70822488534,1785.52375229558,"AL","Região Nordeste"
"46",2028-12-01,1860.78163611288,1931.70382905897,1789.02678218093,"AL","Região Nordeste"
"47",2029-01-01,1866.18648364262,1938.89068371072,1792.69000487604,"AL","Região Nordeste"
"48",2029-02-01,1871.59133117236,1946.08795300897,1796.34566059137,"AL","Região Nordeste"
"49",2029-03-01,1876.47312894115,1952.7513375267,1799.49216756385,"AL","Região Nordeste"
"50",2029-04-01,1881.87797647089,1959.96902989882,1803.13314870165,"AL","Região Nordeste"
"51",2029-05-01,1887.10847408031,1967.01544063793,1806.59968151527,"AL","Região Nordeste"
"52",2029-06-01,1892.51332161005,1974.25389917889,1810.22574228495,"AL","Região Nordeste"
"53",2029-07-01,1897.74381921948,1981.32080463455,1813.67766017795,"AL","Região Nordeste"
"54",2029-08-01,1903.14866674921,1988.58007782325,1817.28884093127,"AL","Região Nordeste"
"55",2029-09-01,1908.55351427895,1995.84985064779,1820.89252564656,"AL","Região Nordeste"
