"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1521.7146512276,1522.95256627091,1520.41431116985,"AL","Região Nordeste"
"2",2025-04-01,1526.52473281107,1529.00939912879,1523.91694672835,"AL","Região Nordeste"
"3",2025-05-01,1531.17965047249,1534.91953568407,1527.25771941272,"AL","Região Nordeste"
"4",2025-06-01,1535.98973205597,1540.99394560328,1530.74630402182,"AL","Região Nordeste"
"5",2025-07-01,1540.64464971739,1546.92142672696,1534.0733091634,"AL","Região Nordeste"
"6",2025-08-01,1545.45473130086,1553.01345488025,1537.54788060813,"AL","Região Nordeste"
"7",2025-09-01,1550.26481288434,1559.11437103932,1541.01539365613,"AL","Região Nordeste"
"8",2025-10-01,1554.91973054576,1565.06800902451,1544.32175147331,"AL","Região Nordeste"
"9",2025-11-01,1559.72981212923,1571.18660544409,1547.77530798203,"AL","Região Nordeste"
"10",2025-12-01,1564.38472979066,1577.15769027534,1551.06799142826,"AL","Região Nordeste"
"11",2026-01-01,1569.19481137413,1583.29400834736,1554.50762896267,"AL","Região Nordeste"
"12",2026-02-01,1574.0048929576,1589.43926647502,1557.94025539433,"AL","Região Nordeste"
"13",2026-03-01,1578.34948277493,1595.12303646784,1560.90553305196,"AL","Região Nordeste"
"14",2026-04-01,1583.1595643584,1601.28582346973,1564.32455905617,"AL","Região Nordeste"
"15",2026-05-01,1587.81448201983,1607.300513573,1567.58341509232,"AL","Região Nordeste"
"16",2026-06-01,1592.6245636033,1613.48112578063,1570.9886153157,"AL","Região Nordeste"
"17",2026-07-01,1597.27948126473,1619.51340637859,1574.23392601525,"AL","Região Nordeste"
"18",2026-08-01,1602.0895628482,1625.71188549181,1577.62533771751,"AL","Região Nordeste"
"19",2026-09-01,1606.89964443167,1631.91937776644,1581.0098038212,"AL","Região Nordeste"
"20",2026-10-01,1611.5545620931,1637.97818571978,1584.23480020331,"AL","Região Nordeste"
"21",2026-11-01,1616.36464367657,1644.20360772006,1587.60553362398,"AL","Região Nordeste"
"22",2026-12-01,1621.01956133799,1650.28010975769,1590.81707654196,"AL","Região Nordeste"
"23",2027-01-01,1625.82964292146,1656.52350340526,1594.17411432209,"AL","Região Nordeste"
"24",2027-02-01,1630.63972450494,1662.77596292934,1597.52425314109,"AL","Região Nordeste"
"25",2027-03-01,1634.98431432227,1668.56244724682,1600.41185359975,"AL","Região Nordeste"
"26",2027-04-01,1639.79439590574,1674.83268393582,1603.74861186575,"AL","Região Nordeste"
"27",2027-05-01,1644.44931356716,1680.95340976765,1606.92687537416,"AL","Região Nordeste"
"28",2027-06-01,1649.25939515064,1687.24172298321,1610.2500298953,"AL","Região Nordeste"
"29",2027-07-01,1653.91431281206,1693.38028839128,1613.41496717165,"AL","Região Nordeste"
"30",2027-08-01,1658.72439439553,1699.68672036672,1616.72455468911,"AL","Região Nordeste"
"31",2027-09-01,1663.53447597901,1706.0022922591,1620.02730783891,"AL","Região Nordeste"
"32",2027-10-01,1668.18939364043,1712.16776026732,1623.17225915808,"AL","Região Nordeste"
"33",2027-11-01,1672.9994752239,1718.50151454286,1626.46150036547,"AL","Região Nordeste"
"34",2027-12-01,1677.65439288533,1724.68492704475,1629.5932160425,"AL","Região Nordeste"
"35",2028-01-01,1682.4644744688,1731.03690616126,1632.86898183425,"AL","Região Nordeste"
"36",2028-02-01,1687.27455605227,1737.39807858306,1636.13795924772,"AL","Região Nordeste"
"37",2028-03-01,1691.77430979165,1743.44864842242,1639.09949196723,"AL","Região Nordeste"
"38",2028-04-01,1696.58439137512,1749.82797956511,1642.3551771679,"AL","Região Nordeste"
"39",2028-05-01,1701.23930903655,1756.05637250797,1645.45402542051,"AL","Região Nordeste"
"40",2028-06-01,1706.04939062002,1762.45403492462,1648.69632603964,"AL","Região Nordeste"
"41",2028-07-01,1710.70430828144,1768.70051993067,1651.78206432252,"AL","Região Nordeste"
"42",2028-08-01,1715.51438986491,1775.11655639485,1655.01101658908,"AL","Região Nordeste"
