"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,2166.5720077811,2168.33451435794,2164.72062232757,"AM","Região Norte"
"2",2025-04-01,2173.6671423868,2177.20513782084,2169.9538328016,"AM","Região Norte"
"3",2025-05-01,2180.53340168264,2185.85932448979,2174.94822970606,"AM","Região Norte"
"4",2025-06-01,2187.62853628834,2194.75577166583,2180.16060043168,"AM","Região Norte"
"5",2025-07-01,2194.49479558418,2203.43543902396,2185.13457572531,"AM","Região Norte"
"6",2025-08-01,2201.58993018988,2212.3577704769,2190.32616263197,"AM","Região Norte"
"7",2025-09-01,2208.68506479557,2221.29316037029,2195.50728127267,"AM","Região Norte"
"8",2025-10-01,2215.55132409141,2230.01125496703,2200.45063039938,"AM","Região Norte"
"9",2025-11-01,2222.64645869711,2238.97262037669,2205.61104903729,"AM","Região Norte"
"10",2025-12-01,2229.51271799295,2247.71634610612,2210.53411447185,"AM","Região Norte"
"11",2026-01-01,2236.60785259865,2256.70374791839,2215.67388871097,"AM","Região Norte"
"12",2026-02-01,2243.70298720434,2265.70428473627,2220.80326468738,"AM","Região Norte"
"13",2026-03-01,2250.11149588046,2274.02404909068,2225.24321909285,"AM","Região Norte"
"14",2026-04-01,2257.20663048616,2283.05033769869,2230.35242083441,"AM","Região Norte"
"15",2026-05-01,2264.072889782,2291.85812304983,2235.22530671696,"AM","Região Norte"
"16",2026-06-01,2271.16802438769,2300.91060038353,2240.31400200785,"AM","Região Norte"
"17",2026-07-01,2278.03428368353,2309.74422816371,2245.16679520666,"AM","Região Norte"
"18",2026-08-01,2285.12941828923,2318.82295556268,2250.23503919946,"AM","Região Norte"
"19",2026-09-01,2292.22455289493,2327.91492550506,2255.29298188892,"AM","Região Norte"
"20",2026-10-01,2299.09081219077,2336.7875254972,2260.11564186178,"AM","Região Norte"
"21",2026-11-01,2306.18594679647,2345.90583791239,2265.1532159055,"AM","Região Norte"
"22",2026-12-01,2313.0522060923,2354.80443270811,2269.95591919169,"AM","Região Norte"
"23",2027-01-01,2320.147340698,2363.9491492622,2274.97317942103,"AM","Região Norte"
"24",2027-02-01,2327.2424753037,2373.107185904,2279.98020737935,"AM","Região Norte"
"25",2027-03-01,2333.65098397982,2381.57783089398,2284.30490996739,"AM","Região Norte"
"26",2027-04-01,2340.74611858551,2390.76198454595,2289.29208916961,"AM","Região Norte"
"27",2027-05-01,2347.61237788135,2399.72554876269,2294.04542411547,"AM","Região Norte"
"28",2027-06-01,2354.70751248705,2408.93626082833,2299.01242553215,"AM","Região Norte"
"29",2027-07-01,2361.57377178289,2417.9260338582,2303.74599213441,"AM","Região Norte"
"30",2027-08-01,2368.66890638859,2427.16336646232,2308.69287015131,"AM","Região Norte"
"31",2027-09-01,2375.76404099428,2436.41412806773,2313.62961150979,"AM","Região Norte"
"32",2027-10-01,2382.63030029012,2445.44342527579,2318.33353095519,"AM","Região Norte"
"33",2027-11-01,2389.72543489582,2454.72090100952,2323.25023041744,"AM","Região Norte"
"34",2027-12-01,2396.59169419166,2463.7765613597,2327.93451561956,"AM","Região Norte"
"35",2028-01-01,2403.68682879736,2473.080813677,2332.83122725426,"AM","Região Norte"
"36",2028-02-01,2410.78196340306,2482.39857353091,2337.7178703045,"AM","Região Norte"
"37",2028-03-01,2417.41934738903,2491.25812437398,2342.15096023364,"AM","Região Norte"
"38",2028-04-01,2424.51448199473,2500.60256302167,2347.01788597451,"AM","Região Norte"
"39",2028-05-01,2431.38074129057,2509.72430630848,2351.65341338849,"AM","Região Norte"
"40",2028-06-01,2438.47587589627,2519.09567810217,2356.50048575991,"AM","Região Norte"
"41",2028-07-01,2445.3421351921,2528.24400159931,2361.11656496625,"AM","Região Norte"
"42",2028-08-01,2452.4372697978,2537.64236945903,2365.9438375965,"AM","Região Norte"
"43",2028-09-01,2459.5324044035,2547.05435531795,2370.76113608688,"AM","Região Norte"
"44",2028-10-01,2466.39866369934,2556.2427625069,2375.34804790659,"AM","Região Norte"
"45",2028-11-01,2473.49379830504,2565.68183921907,2380.14562702457,"AM","Região Norte"
"46",2028-12-01,2480.36005760088,2574.89698292674,2384.71322286341,"AM","Região Norte"
"47",2029-01-01,2487.45519220657,2584.36321374664,2389.49113592428,"AM","Região Norte"
"48",2029-02-01,2494.55032681227,2593.84314210466,2394.25914197255,"AM","Região Norte"
"49",2029-03-01,2500.95883548839,2602.62224690367,2398.35879685655,"AM","Região Norte"
"50",2029-04-01,2508.05397009409,2612.12903714282,2403.10759185899,"AM","Região Norte"
"51",2029-05-01,2514.92022938992,2621.41100584774,2407.62740873515,"AM","Região Norte"
"52",2029-06-01,2522.01536399562,2630.94510844525,2412.35666994354,"AM","Região Norte"
