"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1566.55040898977,1567.82479792716,1565.21175574906,"AM","Região Norte"
"2",2025-04-01,1574.06378749566,1576.62583132677,1571.3747897021,"AM","Região Norte"
"3",2025-05-01,1581.33479895298,1585.19718742407,1577.28440156035,"AM","Região Norte"
"4",2025-06-01,1588.84817745887,1594.02460241037,1583.42430586532,"AM","Região Norte"
"5",2025-07-01,1596.11918891619,1602.62197606529,1589.31123176848,"AM","Região Norte"
"6",2025-08-01,1603.63256742209,1611.47583520247,1595.42806746501,"AM","Região Norte"
"7",2025-09-01,1611.14594592798,1620.34303898341,1601.53328867881,"AM","Região Norte"
"8",2025-10-01,1618.4169573853,1628.97965438864,1607.38619566305,"AM","Região Norte"
"9",2025-11-01,1625.93033589119,1637.87339657888,1613.46843973949,"AM","Região Norte"
"10",2025-12-01,1633.20134734851,1646.53618492137,1619.29881134084,"AM","Região Norte"
"11",2026-01-01,1640.7147258544,1655.45652842029,1625.35813896721,"AM","Região Norte"
"12",2026-02-01,1648.2281043603,1664.39029567141,1631.40592849755,"AM","Região Norte"
"13",2026-03-01,1655.01438172046,1672.60267436241,1636.72313001695,"AM","Região Norte"
"14",2026-04-01,1662.52776022635,1681.56273916345,1642.74850367891,"AM","Região Norte"
"15",2026-05-01,1669.79877168367,1690.29093365909,1648.52310561062,"AM","Região Norte"
"16",2026-06-01,1677.31215018956,1699.27775711959,1654.52571340276,"AM","Região Norte"
"17",2026-07-01,1684.58316164688,1708.03234277232,1660.27798852006,"AM","Região Norte"
"18",2026-08-01,1692.09654015277,1717.04598826263,1666.25789064085,"AM","Região Norte"
"19",2026-09-01,1699.60991865867,1726.07316861042,1672.22636048406,"AM","Região Norte"
"20",2026-10-01,1706.88093011599,1734.86755888664,1677.94515488265,"AM","Região Norte"
"21",2026-11-01,1714.39430862188,1743.92165673655,1683.89100926547,"AM","Região Norte"
"22",2026-12-01,1721.6653200792,1752.74259555581,1689.58762534082,"AM","Região Norte"
"23",2027-01-01,1729.17869858509,1761.82367461749,1695.51092411388,"AM","Região Norte"
"24",2027-02-01,1736.69207709099,1770.91836866261,1701.42286594492,"AM","Região Norte"
"25",2027-03-01,1743.47835445115,1779.28466000651,1706.61173964524,"AM","Região Norte"
"26",2027-04-01,1750.99173295704,1788.40602881683,1712.50162101401,"AM","Região Norte"
"27",2027-05-01,1758.26274441436,1797.29331339468,1718.14335331483,"AM","Região Norte"
"28",2027-06-01,1765.77612292025,1806.44182279554,1724.01082757576,"AM","Região Norte"
"29",2027-07-01,1773.04713437757,1815.35587695515,1729.63058723505,"AM","Região Norte"
"30",2027-08-01,1780.56051288346,1824.53159113287,1735.47571375627,"AM","Região Norte"
"31",2027-09-01,1788.07389138936,1833.72103282901,1741.30958769567,"AM","Região Norte"
"32",2027-10-01,1795.34490284668,1842.6754617509,1746.89639739414,"AM","Região Norte"
"33",2027-11-01,1802.85828135257,1851.89220492486,1752.70801256084,"AM","Região Norte"
"34",2027-12-01,1810.12929280989,1860.87356284518,1758.27299605469,"AM","Região Norte"
"35",2028-01-01,1817.64267131578,1870.11767202667,1764.06241147348,"AM","Região Norte"
"36",2028-02-01,1825.15604982168,1879.37558988247,1769.84064860832,"AM","Região Norte"
"37",2028-03-01,1832.18469423041,1888.14779272163,1775.1380808431,"AM","Região Norte"
"38",2028-04-01,1839.69807273631,1897.43297061504,1780.89440734235,"AM","Região Norte"
"39",2028-05-01,1846.96908419363,1906.48182939074,1786.40518019464,"AM","Região Norte"
"40",2028-06-01,1854.48246269952,1915.79453505381,1792.13945373907,"AM","Região Norte"
"41",2028-07-01,1861.75347415684,1924.87054705084,1797.62860356138,"AM","Região Norte"
"42",2028-08-01,1869.26685266273,1934.21084549632,1803.34088269888,"AM","Região Norte"
"43",2028-09-01,1876.78023116863,1943.56506676398,1809.04208664404,"AM","Região Norte"
"44",2028-10-01,1884.05124262594,1952.68203151354,1814.49881042956,"AM","Região Norte"
"45",2028-11-01,1891.56462113184,1962.06394350893,1820.17810770597,"AM","Região Norte"
"46",2028-12-01,1898.83563258915,1971.20822295323,1825.61335286919,"AM","Região Norte"
"47",2029-01-01,1906.34901109505,1980.61789103664,1831.2708016858,"AM","Região Norte"
"48",2029-02-01,1913.86238960094,1990.0415641412,1836.91724858287,"AM","Região Norte"
"49",2029-03-01,1920.6486669611,1998.72260118295,1841.85543588823,"AM","Região Norte"
"50",2029-04-01,1928.162045467,2008.17371848346,1847.48051877938,"AM","Região Norte"
"51",2029-05-01,1935.43305692432,2017.38626029252,1852.86261614486,"AM","Região Norte"
"52",2029-06-01,1942.94643543021,2026.86529719139,1858.46599499987,"AM","Região Norte"
"53",2029-07-01,1950.21744688753,2036.10538047689,1863.82681376032,"AM","Região Norte"
"54",2029-08-01,1957.73082539342,2045.61240282278,1869.40854631797,"AM","Região Norte"
"55",2029-09-01,1965.24420389932,2055.13354563743,1874.97937845481,"AM","Região Norte"
"56",2029-10-01,1972.51521535663,2064.41516661647,1880.30828733285,"AM","Região Norte"
"57",2029-11-01,1980.02859386253,2073.96439408209,1885.85755969837,"AM","Região Norte"
"58",2029-12-01,1987.29960531984,2083.2737200914,1891.16533237742,"AM","Região Norte"
"59",2030-01-01,1994.81298382574,2092.85109840843,1896.69310237582,"AM","Região Norte"
"60",2030-02-01,2002.32636233163,2102.44268044822,1902.21004421505,"AM","Região Norte"
"61",2030-03-01,2009.11263969179,2111.28440570736,1907.02601653444,"AM","Região Norte"
"62",2030-04-01,2016.62601819769,2120.90382394757,1912.52193520068,"AM","Região Norte"
"63",2030-05-01,2023.89702965501,2130.28238879443,1917.7774096195,"AM","Região Norte"
"64",2030-06-01,2031.4104081609,2139.93012349919,1923.25196834319,"AM","Região Norte"
"65",2030-07-01,2038.68141961822,2149.33662308103,1928.48650380377,"AM","Região Norte"
"66",2030-08-01,2046.19479812411,2159.01274094505,1933.93975952499,"AM","Região Norte"
"67",2030-09-01,2053.70817663,2168.70317946183,1939.38228718309,"AM","Região Norte"
"68",2030-10-01,2060.97918808732,2178.15180921209,1944.58542175738,"AM","Região Norte"
"69",2030-11-01,2068.49256659322,2187.87073136599,1950.00673174251,"AM","Região Norte"
"70",2030-12-01,2075.76357805053,2197.34746151074,1955.18906778881,"AM","Região Norte"
"71",2031-01-01,2083.27695655643,2207.09493435253,1960.58921671079,"AM","Região Norte"
