"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,630.259796693309,630.772513110208,629.7212252471,"AP","Região Norte"
"2",2025-04-01,634.856866538768,635.890198943385,633.772330621663,"AP","Região Norte"
"3",2025-05-01,639.305643808568,640.867139040181,637.6681399008,"AP","Região Norte"
"4",2025-06-01,643.902713654027,646.000531507604,641.704614624082,"AP","Região Norte"
"5",2025-07-01,648.351490923826,650.992955153163,645.58606513513,"AP","Região Norte"
"6",2025-08-01,652.948560769286,656.142091826816,649.607947372157,"AP","Região Norte"
"7",2025-09-01,657.545630614745,661.299175331314,653.622484614989,"AP","Região Norte"
"8",2025-10-01,661.994407884545,666.314954772343,657.482404632532,"AP","Região Norte"
"9",2025-11-01,666.591477730004,671.48783909106,661.482406579961,"AP","Região Norte"
"10",2025-12-01,671.040254999804,676.519195376506,665.328061997469,"AP","Região Norte"
"11",2026-01-01,675.637324845263,681.707918283637,669.313566595447,"AP","Região Norte"
"12",2026-02-01,680.234394690723,686.904635535606,673.29177395449,"AP","Região Norte"
"13",2026-03-01,684.386586809202,691.65975114057,676.822732706124,"AP","Região Norte"
"14",2026-04-01,688.983656654662,696.872120057308,680.786750216173,"AP","Região Norte"
"15",2026-05-01,693.432433924461,701.942399314282,684.597095703723,"AP","Região Norte"
"16",2026-06-01,698.02950376992,707.170701312454,688.546710026858,"AP","Região Norte"
"17",2026-07-01,702.47828103972,712.256688436768,692.342921369015,"AP","Região Norte"
"18",2026-08-01,707.075350885179,717.500961574672,696.278170147255,"AP","Região Norte"
"19",2026-09-01,711.672420730639,722.753295787208,700.206187849555,"AP","Região Norte"
"20",2026-10-01,716.121198000438,727.862976685534,703.981205304078,"AP","Região Norte"
"21",2026-11-01,720.718267845898,733.13133937808,707.894913868825,"AP","Região Norte"
"22",2026-12-01,725.167045115697,738.256822649573,711.655890051899,"AP","Região Norte"
"23",2027-01-01,729.764114961157,743.5412520851,715.55532690484,"AP","Região Norte"
"24",2027-02-01,734.361184806616,748.833790723132,719.447579783553,"AP","Região Norte"
"25",2027-03-01,738.513376925096,753.68043395416,722.89718752613,"AP","Região Norte"
"26",2027-04-01,743.110446770555,758.988850756517,726.775472856124,"AP","Região Norte"
"27",2027-05-01,747.559224040355,764.153821152462,730.501693261971,"AP","Região Norte"
"28",2027-06-01,752.156293885814,769.478400414178,734.365799750346,"AP","Região Norte"
"29",2027-07-01,756.605071155614,774.659305906487,738.078107544108,"AP","Região Norte"
"30",2027-08-01,761.202141001073,780.000086178104,741.928072316574,"AP","Região Norte"
"31",2027-09-01,765.799210846533,785.349043244526,745.770918371111,"AP","Região Norte"
"32",2027-10-01,770.247988116332,790.553984871941,749.462364254928,"AP","Região Norte"
"33",2027-11-01,774.845057961792,795.919201029744,753.291124227427,"AP","Região Norte"
"34",2027-12-01,779.293835231591,801.140173484284,756.968749095599,"AP","Região Norte"
"35",2028-01-01,783.890905077051,806.521687491175,760.783459898268,"AP","Região Norte"
"36",2028-02-01,788.48797492251,811.911427042094,764.591098439534,"AP","Região Norte"
"37",2028-03-01,792.788459616649,817.003757772966,768.104323297809,"AP","Região Norte"
"38",2028-04-01,797.385529462109,822.409729245608,771.898090757164,"AP","Região Norte"
"39",2028-05-01,801.834306731908,827.670884720801,775.541383698382,"AP","Região Norte"
"40",2028-06-01,806.431376577368,833.093251199524,779.321193792051,"AP","Região Norte"
