"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,398.35470652035,398.678768119795,398.01430329057,"AP","Região Norte"
"2",2025-04-01,400.593599184748,401.245630168325,399.909258872188,"AP","Região Norte"
"3",2025-05-01,402.760269505133,403.744005917296,401.728647898793,"AP","Região Norte"
"4",2025-06-01,404.999162169531,406.318638629355,403.616611286275,"AP","Região Norte"
"5",2025-07-01,407.165832489917,408.824676491953,405.429140419016,"AP","Região Norte"
"6",2025-08-01,409.404725154315,411.407098363223,407.310129971982,"AP","Região Norte"
"7",2025-09-01,411.643617818713,413.99345128248,409.187608779369,"AP","Região Norte"
"8",2025-10-01,413.810288139098,416.511046228991,410.989851374735,"AP","Região Norte"
"9",2025-11-01,416.049180803496,419.105216173348,412.860383860155,"AP","Região Norte"
"10",2025-12-01,418.215851123881,421.630519164772,414.655811855811,"AP","Região Norte"
"11",2026-01-01,420.454743788279,424.232524729198,416.519416273159,"AP","Região Norte"
"12",2026-02-01,422.693636452677,426.838484729602,418.37953291952,"AP","Região Norte"
"13",2026-03-01,424.715862085037,429.229434265761,420.02189397112,"AP","Região Norte"
"14",2026-04-01,426.954754749435,431.843139147085,421.875231970706,"AP","Região Norte"
"15",2026-05-01,429.12142506982,434.3877037968,423.65379370046,"AP","Região Norte"
"16",2026-06-01,431.360317734218,437.009290815043,425.500248926347,"AP","Região Norte"
"17",2026-07-01,433.526988054603,439.561628016053,427.272058799868,"AP","Região Norte"
"18",2026-08-01,435.765880719001,442.191115905679,429.111649359283,"AP","Região Norte"
"19",2026-09-01,438.004773383399,444.824591078539,430.947783975991,"AP","Região Norte"
"20",2026-10-01,440.171443703784,447.388651754461,432.70946921311,"AP","Região Norte"
"21",2026-11-01,442.410336368182,450.030056024142,434.538766297784,"AP","Região Norte"
"22",2026-12-01,444.577006688567,452.601935776873,436.293744348356,"AP","Região Norte"
"23",2027-01-01,446.815899352965,455.251287978331,438.116221903853,"AP","Região Norte"
"24",2027-02-01,449.054792017363,457.904651152418,439.935266175833,"AP","Região Norte"
"25",2027-03-01,451.077017649723,460.340913287848,441.538796188566,"AP","Região Norte"
"26",2027-04-01,453.315910314121,463.002132851447,443.351168730742,"AP","Região Norte"
"27",2027-05-01,455.482580634506,465.593552011945,445.089547028153,"AP","Região Norte"
"28",2027-06-01,457.721473298904,468.262766624845,446.895144711885,"AP","Região Norte"
"29",2027-07-01,459.888143619289,470.862070203424,448.626877699958,"AP","Região Norte"
"30",2027-08-01,462.127036283687,473.539298841777,450.425718383317,"AP","Região Norte"
"31",2027-09-01,464.365928948085,476.220571723491,452.221157173886,"AP","Região Norte"
"32",2027-10-01,466.53259926847,478.831767319917,453.942925193252,"AP","Região Norte"
"33",2027-11-01,468.771491932868,481.521082816441,455.731633744628,"AP","Região Norte"
"34",2027-12-01,470.938162253253,484.140209957928,457.446800507904,"AP","Região Norte"
"35",2028-01-01,473.177054917651,486.837587147127,459.22879657513,"AP","Região Norte"
