"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,6131.24860913091,6136.23638057768,6126.00931662358,"BA","Região Nordeste"
"2",2025-04-01,6136.83001703496,6146.81870212677,6126.34637430944,"BA","Região Nordeste"
"3",2025-05-01,6142.23137952276,6157.23369508727,6126.49879842671,"BA","Região Nordeste"
"4",2025-06-01,6147.81278742681,6167.84219738647,6126.82591932116,"BA","Região Nordeste"
"5",2025-07-01,6153.2141499146,6178.28310602865,6126.96873005862,"BA","Região Nordeste"
"6",2025-08-01,6158.79555781866,6188.91784626922,6127.28594712837,"BA","Região Nordeste"
"7",2025-09-01,6164.37696572271,6199.56580055535,6127.59814808924,"BA","Região Nordeste"
"8",2025-10-01,6169.77832821051,6210.04576285476,6127.72652301468,"BA","Região Nordeste"
"9",2025-11-01,6175.35973611456,6220.72004120802,6128.02886957489,"BA","Região Nordeste"
"10",2025-12-01,6180.76109860235,6231.22606145602,6128.14771209762,"BA","Região Nordeste"
"11",2026-01-01,6186.34250650641,6241.92672136033,6128.44023701491,"BA","Região Nordeste"
"12",2026-02-01,6191.92391441046,6252.64066752479,6128.72778716243,"BA","Região Nordeste"
"13",2026-03-01,6196.96518606574,6262.82203805951,6128.47620417643,"BA","Região Nordeste"
"14",2026-04-01,6202.54659396979,6273.56215629432,6128.75428609707,"BA","Região Nordeste"
"15",2026-05-01,6207.94795645758,6284.13334910251,6128.84966631614,"BA","Região Nordeste"
"16",2026-06-01,6213.52936436164,6294.89999275084,6129.11800773491,"BA","Região Nordeste"
"17",2026-07-01,6218.93072684943,6305.49744337645,6129.20396748183,"BA","Região Nordeste"
"18",2026-08-01,6224.51213475348,6316.29067033349,6129.46260086689,"BA","Região Nordeste"
"19",2026-09-01,6230.09354265754,6327.09728500581,6129.71631663308,"BA","Região Nordeste"
"20",2026-10-01,6235.49490514533,6337.7343045273,6129.7881297866,"BA","Região Nordeste"
"21",2026-11-01,6241.07631304939,6348.56758969378,6130.03218619611,"BA","Região Nordeste"
"22",2026-12-01,6246.47767553718,6359.23101105321,6130.09465862378,"BA","Região Nordeste"
"23",2027-01-01,6252.05908344123,6370.09102490515,6130.32908793863,"BA","Região Nordeste"
"24",2027-02-01,6257.64049134529,6380.96449957473,6130.55864035009,"BA","Região Nordeste"
"25",2027-03-01,6262.68176300056,6391.30022059682,6130.25460919102,"BA","Região Nordeste"
"26",2027-04-01,6268.26317090462,6402.20021263306,6130.47488407526,"BA","Região Nordeste"
"27",2027-05-01,6273.66453339241,6412.92966717737,6130.51436892354,"BA","Região Nordeste"
"28",2027-06-01,6279.24594129646,6423.85653353256,6130.72509662378,"BA","Região Nordeste"
"29",2027-07-01,6284.64730378426,6434.61259224798,6130.75535097125,"BA","Região Nordeste"
"30",2027-08-01,6290.22871168831,6445.56639152957,6130.95656346386,"BA","Região Nordeste"
"31",2027-09-01,6295.81011959236,6456.5337543315,6131.15295533971,"BA","Região Nordeste"
