"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,5950.79314192003,5955.63411282353,5945.70805274673,"BA","Região Nordeste"
"2",2025-04-01,5968.72512377925,5978.4401909223,5958.52865727279,"BA","Região Nordeste"
"3",2025-05-01,5986.07865461076,6000.69956929494,5970.7460397902,"BA","Região Nordeste"
"4",2025-06-01,6004.01063646999,6023.5715428603,5983.5146676288,"BA","Região Nordeste"
"5",2025-07-01,6021.3641673015,6045.89595026551,5995.68112965217,"BA","Região Nordeste"
"6",2025-08-01,6039.29614916072,6068.83397338878,6008.39792097358,"BA","Região Nordeste"
"7",2025-09-01,6057.22813101995,6091.80531561318,6021.08860061259,"BA","Região Nordeste"
"8",2025-10-01,6074.58166185146,6114.22778964528,6033.17869547221,"BA","Região Nordeste"
"9",2025-11-01,6092.51364371068,6137.26541356282,6045.81774865615,"BA","Região Nordeste"
"10",2025-12-01,6109.86717454219,6159.75329941989,6057.85726863927,"BA","Região Nordeste"
"11",2026-01-01,6127.79915640141,6182.85735994137,6070.44483472094,"BA","Região Nordeste"
"12",2026-02-01,6145.73113826064,6205.99493435807,6083.00646457048,"BA","Região Nordeste"
"13",2026-03-01,6161.92776703672,6227.41226674999,6093.826019396,"BA","Região Nordeste"
"14",2026-04-01,6179.85974889594,6250.61555999799,6106.33734865406,"BA","Região Nordeste"
"15",2026-05-01,6197.21327972745,6273.26693390303,6118.25176498757,"BA","Região Nordeste"
"16",2026-06-01,6215.14526158667,6296.53705131026,6130.71195285045,"BA","Região Nordeste"
"17",2026-07-01,6232.49879241818,6319.2543746743,6142.576272942,"BA","Região Nordeste"
"18",2026-08-01,6250.43077427741,6342.59147230296,6154.98545762866,"BA","Região Nordeste"
"19",2026-09-01,6268.36275613663,6365.96235742327,6167.36894908256,"BA","Região Nordeste"
"20",2026-10-01,6285.71628696814,6388.77913404621,6179.15813727469,"BA","Região Nordeste"
"21",2026-11-01,6303.64826882737,6412.21723449066,6191.49083269115,"BA","Região Nordeste"
"22",2026-12-01,6321.00179965888,6435.10034827061,6203.23026543242,"BA","Região Nordeste"
"23",2027-01-01,6338.9337815181,6458.60582093075,6215.51230222351,"BA","Região Nordeste"
"24",2027-02-01,6356.86576337733,6482.14527836392,6227.76881879329,"BA","Região Nordeste"
"25",2027-03-01,6373.0623921534,6503.94776779011,6238.30119150776,"BA","Região Nordeste"
"26",2027-04-01,6390.99437401263,6527.55387332204,6250.5082230771,"BA","Região Nordeste"
"27",2027-05-01,6408.34790484414,6550.60279009636,6262.12458485796,"BA","Região Nordeste"
"28",2027-06-01,6426.27988670336,6574.27666035724,6274.28129868832,"BA","Região Nordeste"
"29",2027-07-01,6443.63341753487,6597.39245881523,6285.84837695853,"BA","Região Nordeste"
"30",2027-08-01,6461.5653993941,6621.13425186195,6297.95490934276,"BA","Região Nordeste"
"31",2027-09-01,6479.49738125332,6644.91030677293,6310.03616112225,"BA","Região Nordeste"
"32",2027-10-01,6496.85091208483,6668.12696288647,6321.52932549755,"BA","Região Nordeste"
"33",2027-11-01,6514.78289394406,6691.97117868936,6333.56060008416,"BA","Região Nordeste"
"34",2027-12-01,6532.13642477556,6715.25510914957,6345.00481697601,"BA","Região Nordeste"
"35",2028-01-01,6550.06840663479,6739.16764474065,6356.98624986616,"BA","Região Nordeste"
"36",2028-02-01,6568.00038849402,6763.11464199473,6368.94257275573,"BA","Região Nordeste"
"37",2028-03-01,6584.77546829781,6785.90390214803,6379.75293887424,"BA","Região Nordeste"
"38",2028-04-01,6602.70745015703,6809.91897361694,6391.66010203663,"BA","Região Nordeste"
"39",2028-05-01,6620.06098098854,6833.37153703553,6402.98277369679,"BA","Região Nordeste"
"40",2028-06-01,6637.99296284777,6857.4553266131,6414.84043210892,"BA","Região Nordeste"
"41",2028-07-01,6655.34649367927,6880.97571667113,6426.11462243573,"BA","Região Nordeste"
"42",2028-08-01,6673.2784755385,6905.12838443435,6437.9229104879,"BA","Região Nordeste"
"43",2028-09-01,6691.21045739773,6929.31579488468,6449.70632522482,"BA","Região Nordeste"
"44",2028-10-01,6708.56398822923,6952.9384661619,6460.90780384857,"BA","Região Nordeste"
"45",2028-11-01,6726.49597008846,6977.19499594553,6472.64204962847,"BA","Região Nordeste"
"46",2028-12-01,6743.84950091997,7000.88589155351,6483.7953782404,"BA","Região Nordeste"
"47",2029-01-01,6761.78148277919,7025.21170159697,6495.48058866743,"BA","Região Nordeste"
"48",2029-02-01,6779.71346463842,7049.57245667562,6507.14109400549,"BA","Região Nordeste"
"49",2029-03-01,6795.91009341449,7072.16230275288,6517.11276647382,"BA","Região Nordeste"
"50",2029-04-01,6813.84207527372,7096.59160112105,6528.72538472695,"BA","Região Nordeste"
"51",2029-05-01,6831.19560610523,7120.45302100376,6539.75962477341,"BA","Região Nordeste"
"52",2029-06-01,6849.12758796445,7144.95200224473,6551.32353910158,"BA","Região Nordeste"
"53",2029-07-01,6866.48111879596,7168.8822050261,6562.3100879422,"BA","Região Nordeste"
"54",2029-08-01,6884.41310065519,7193.45103126005,6573.82543085918,"BA","Região Nordeste"
"55",2029-09-01,6902.34508251441,7218.05508673958,6585.31630166637,"BA","Região Nordeste"
