"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,4340.58767205578,4344.11874062486,4336.87854037358,"CE","Região Nordeste"
"2",2025-04-01,4350.92364212879,4358.00547525747,4343.49089120306,"CE","Região Nordeste"
"3",2025-05-01,4360.92619381234,4371.57769598975,4349.75621001349,"CE","Região Nordeste"
"4",2025-06-01,4371.26216388534,4385.50361933445,4356.33992964355,"CE","Região Nordeste"
"5",2025-07-01,4381.2647155689,4399.11453034905,4362.57722490812,"CE","Região Nordeste"
"6",2025-08-01,4391.6006856419,4413.07973318792,4369.13239186389,"CE","Região Nordeste"
"7",2025-09-01,4401.9366557149,4427.06474615827,4375.67317014371,"CE","Região Nordeste"
"8",2025-10-01,4411.93920739846,4440.73399778436,4381.86843366627,"CE","Região Nordeste"
"9",2025-11-01,4422.27517747146,4454.75842700334,4388.3807769554,"CE","Região Nordeste"
"10",2025-12-01,4432.27772915501,4468.46659447283,4394.54821048569,"CE","Região Nordeste"
"11",2026-01-01,4442.61369922801,4482.53053120283,4401.03219684777,"CE","Região Nordeste"
"12",2026-02-01,4452.94966930102,4496.6143928084,4407.50189283928,"CE","Região Nordeste"
"13",2026-03-01,4462.28538420567,4509.70731724515,4412.96811782002,"CE","Região Nordeste"
"14",2026-04-01,4472.62135427867,4523.83027560263,4419.41013740625,"CE","Região Nordeste"
"15",2026-05-01,4482.62390596222,4537.63571739341,4425.50875474065,"CE","Região Nordeste"
"16",2026-06-01,4492.95987603523,4551.79841159239,4431.92261103398,"CE","Região Nordeste"
"17",2026-07-01,4502.96242771878,4565.64308603987,4437.99366637707,"CE","Região Nordeste"
"18",2026-08-01,4513.29839779178,4579.84560801766,4444.37943680108,"CE","Região Nordeste"
"19",2026-09-01,4523.63436786479,4594.06821603955,4450.75105298578,"CE","Região Nordeste"
"20",2026-10-01,4533.63691954834,4607.97204815025,4456.7807683201,"CE","Região Nordeste"
"21",2026-11-01,4543.97288962134,4622.23462244483,4463.12441466872,"CE","Região Nordeste"
"22",2026-12-01,4553.97544130489,4636.17791564913,4469.12675884114,"CE","Região Nordeste"
"23",2027-01-01,4564.3114113779,4650.48054863984,4475.44251232173,"CE","Região Nordeste"
"24",2027-02-01,4574.6473814509,4664.80338387659,4481.74420849151,"CE","Região Nordeste"
"25",2027-03-01,4583.98309635555,4678.125647073,4487.05276242931,"CE","Região Nordeste"
"26",2027-04-01,4594.31906642855,4692.48812661899,4493.32723885995,"CE","Região Nordeste"
"27",2027-05-01,4604.3216181121,4706.53005828648,4499.26190486284,"CE","Região Nordeste"
"28",2027-06-01,4614.65758818511,4720.9328277653,4505.50867933843,"CE","Região Nordeste"
"29",2027-07-01,4624.66013986866,4735.01454138049,4511.41623840225,"CE","Região Nordeste"
