"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,3942.96726923765,3946.17487356343,3939.59791330588,"CE","Região Nordeste"
"2",2025-04-01,3959.42174110893,3965.86634146576,3952.65779900556,"CE","Região Nordeste"
"3",2025-05-01,3975.345423565,3985.05515002062,3965.16305816771,"CE","Região Nordeste"
"4",2025-06-01,3991.79989543628,4004.80507294366,3978.17303645303,"CE","Região Nordeste"
"5",2025-07-01,4007.72357789236,4024.05153983934,3990.6293592603,"CE","Região Nordeste"
"6",2025-08-01,4024.17804976363,4043.86005590483,4003.58956253329,"CE","Região Nordeste"
"7",2025-09-01,4040.63252163491,4063.69813738388,4016.5247022294,"CE","Região Nordeste"
"8",2025-10-01,4056.55620409098,4083.03156562579,4028.90764004447,"CE","Região Nordeste"
"9",2025-11-01,4073.01067596226,4102.92844833592,4041.79320314181,"CE","Região Nordeste"
"10",2025-12-01,4088.93435841833,4122.31987797115,4054.12753117491,"CE","Região Nordeste"
"11",2026-01-01,4105.38883028961,4142.27570077273,4066.96364930928,"CE","Região Nordeste"
"12",2026-02-01,4121.84330216089,4162.26126362369,4079.77486956701,"CE","Região Nordeste"
"13",2026-03-01,4136.70540578656,4180.66731092414,4090.98645576642,"CE","Região Nordeste"
"14",2026-04-01,4153.15987765783,4200.71115029515,4103.74932544454,"CE","Região Nordeste"
"15",2026-05-01,4169.08356011391,4220.24753091788,4115.96336913055,"CE","Região Nordeste"
"16",2026-06-01,4185.53803198519,4240.35065776321,4128.67712045251,"CE","Região Nordeste"
"17",2026-07-01,4201.46171444126,4259.94552157918,4140.84300669199,"CE","Região Nordeste"
"18",2026-08-01,4217.91618631254,4280.10807579695,4153.50777023069,"CE","Região Nordeste"
"19",2026-09-01,4234.37065818381,4300.30061533793,4166.14786542515,"CE","Região Nordeste"
"20",2026-10-01,4250.29434063989,4319.98368321718,4178.24153394065,"CE","Região Nordeste"
"21",2026-11-01,4266.74881251116,4340.23586089396,4190.83283702519,"CE","Região Nordeste"
"22",2026-12-01,4282.67249496724,4359.97775943996,4202.87867014204,"CE","Região Nordeste"
"23",2027-01-01,4299.12696683852,4380.28971589823,4215.42131093318,"CE","Região Nordeste"
"24",2027-02-01,4315.58143870979,4400.63183455762,4227.93944679442,"CE","Região Nordeste"
"25",2027-03-01,4330.44354233546,4419.37907988959,4238.87441352672,"CE","Região Nordeste"
"26",2027-04-01,4346.89801420674,4439.78030788907,4251.34496959629,"CE","Região Nordeste"
"27",2027-05-01,4362.82169666281,4459.66923194809,4263.27243958963,"CE","Região Nordeste"
"28",2027-06-01,4379.27616853409,4480.13059058057,4275.69465545334,"CE","Região Nordeste"
"29",2027-07-01,4395.19985099017,4500.07883331787,4287.57473610663,"CE","Região Nordeste"
"30",2027-08-01,4411.65432286144,4520.60046427941,4299.94874053179,"CE","Região Nordeste"
"31",2027-09-01,4428.10879473272,4541.1525058661,4312.29846638849,"CE","Região Nordeste"
"32",2027-10-01,4444.03247718879,4561.19021139373,4324.10748040353,"CE","Região Nordeste"
"33",2027-11-01,4460.48694906007,4581.80273878001,4336.40918779005,"CE","Região Nordeste"
"34",2027-12-01,4476.41063151615,4601.90011493415,4348.17113004624,"CE","Região Nordeste"
"35",2028-01-01,4492.86510338742,4622.57327057273,4360.42494698328,"CE","Região Nordeste"
"36",2028-02-01,4509.3195752587,4643.27701598359,4372.65464650971,"CE","Região Nordeste"
"37",2028-03-01,4524.71246829957,4662.91738306896,4383.8317352159,"CE","Região Nordeste"
"38",2028-04-01,4541.16694017085,4683.68152635567,4396.01417559208,"CE","Região Nordeste"
"39",2028-05-01,4557.09062262692,4703.92847464379,4407.65921018725,"CE","Região Nordeste"
"40",2028-06-01,4573.5450944982,4724.75360328145,4419.79407849115,"CE","Região Nordeste"
"41",2028-07-01,4589.46877695427,4745.0607172196,4431.3924819403,"CE","Região Nordeste"
"42",2028-08-01,4605.92324882555,4765.94697472518,4443.47990515562,"CE","Região Nordeste"
"43",2028-09-01,4622.37772069683,4786.86407397867,4455.54343456582,"CE","Região Nordeste"
"44",2028-10-01,4638.3014031529,4807.26192672823,4467.07190761141,"CE","Região Nordeste"
"45",2028-11-01,4654.75587502418,4828.24037106197,4479.08818222936,"CE","Região Nordeste"
"46",2028-12-01,4670.67955748025,4848.6987459418,4490.57033729789,"CE","Região Nordeste"
"47",2029-01-01,4687.13402935153,4869.73867963857,4502.53948337029,"CE","Região Nordeste"
"48",2029-02-01,4703.58850122281,4890.80963652863,4514.4848945664,"CE","Região Nordeste"
"49",2029-03-01,4718.45060484848,4910.25455550794,4524.87956022737,"CE","Região Nordeste"
"50",2029-04-01,4734.90507671975,4931.38632042701,4536.77890199869,"CE","Região Nordeste"
"51",2029-05-01,4750.82875917583,4951.9959522623,4548.14645853545,"CE","Região Nordeste"
"52",2029-06-01,4767.2832310471,4973.18956749948,4559.99898498098,"CE","Região Nordeste"
