"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1488.00375888446,1489.21425011298,1486.73222555711,"DF","Região Centro-Oeste"
"2",2025-04-01,1498.09086093655,1500.52924652117,1495.53164888198,"DF","Região Centro-Oeste"
"3",2025-05-01,1507.85257259986,1511.53548174495,1503.99039102227,"DF","Região Centro-Oeste"
"4",2025-06-01,1517.93967465195,1522.88508159404,1512.75786433245,"DF","Região Centro-Oeste"
"5",2025-07-01,1527.70138631526,1533.92543086756,1521.1852529057,"DF","Região Centro-Oeste"
"6",2025-08-01,1537.78848836735,1545.30971682634,1529.92085968288,"DF","Região Centro-Oeste"
"7",2025-09-01,1547.87559041944,1556.71150989607,1538.64042612369,"DF","Região Centro-Oeste"
"8",2025-10-01,1557.63730208275,1567.80331695791,1547.02080066106,"DF","Região Centro-Oeste"
"9",2025-11-01,1567.72440413484,1579.23992068979,1555.70862566785,"DF","Região Centro-Oeste"
"10",2025-12-01,1577.48611579815,1590.36604708265,1564.05785261304,"DF","Região Centro-Oeste"
"11",2026-01-01,1587.57321785024,1601.83754459007,1572.7140191879,"DF","Região Centro-Oeste"
"12",2026-02-01,1597.66031990232,1613.32665375024,1581.35424988736,"DF","Região Centro-Oeste"
"13",2026-03-01,1606.77125078808,1623.84685042013,1589.01318312249,"DF","Região Centro-Oeste"
"14",2026-04-01,1616.85835284017,1635.37044354138,1597.62242973153,"DF","Região Centro-Oeste"
"15",2026-05-01,1626.62006450348,1646.58232726205,1605.89455798918,"DF","Região Centro-Oeste"
"16",2026-06-01,1636.70716655557,1658.14102207021,1614.47235213238,"DF","Região Centro-Oeste"
"17",2026-07-01,1646.46887821888,1669.38751341705,1622.71361813785,"DF","Região Centro-Oeste"
"18",2026-08-01,1656.55598027097,1680.98139365023,1631.26004215195,"DF","Região Centro-Oeste"
"19",2026-09-01,1666.64308232306,1692.59303235787,1639.79067501473,"DF","Região Centro-Oeste"
"20",2026-10-01,1676.40479398637,1703.8917251547,1647.98566324151,"DF","Região Centro-Oeste"
"21",2026-11-01,1686.49189603846,1715.53867544997,1656.48504935896,"DF","Região Centro-Oeste"
"22",2026-12-01,1696.25360770177,1726.87218381523,1664.64937847548,"DF","Região Centro-Oeste"
"23",2027-01-01,1706.34070975386,1738.55452988626,1673.1175997109,"DF","Região Centro-Oeste"
"24",2027-02-01,1716.42781180594,1750.25474032336,1681.57013282524,"DF","Região Centro-Oeste"
"25",2027-03-01,1725.5387426917,1760.9766173924,1689.05146884797,"DF","Região Centro-Oeste"
"26",2027-04-01,1735.62584474379,1772.71181016264,1697.47350410275,"DF","Região Centro-Oeste"
"27",2027-05-01,1745.3875564071,1784.13231718541,1705.56194660095,"DF","Região Centro-Oeste"
"28",2027-06-01,1755.47465845919,1795.90311633272,1713.95302011068,"DF","Região Centro-Oeste"
"29",2027-07-01,1765.2363701225,1807.35873095772,1722.01108490862,"DF","Região Centro-Oeste"
"30",2027-08-01,1775.32347217459,1819.16522130255,1730.37127787979,"DF","Região Centro-Oeste"
"31",2027-09-01,1785.41057422668,1830.98972473161,1738.71592546908,"DF","Região Centro-Oeste"
"32",2027-10-01,1795.17228588999,1842.49829410481,1746.72843861402,"DF","Região Centro-Oeste"
"33",2027-11-01,1805.25938794208,1854.35861652376,1755.04232735529,"DF","Região Centro-Oeste"
"34",2027-12-01,1815.02109960539,1865.90250413487,1763.02466314533,"DF","Região Centro-Oeste"
"35",2028-01-01,1825.10820165748,1877.79873081967,1771.30787377766,"DF","Região Centro-Oeste"
"36",2028-02-01,1835.19530370956,1889.71307784651,1779.57564064597,"DF","Região Centro-Oeste"
"37",2028-03-01,1844.6316249841,1900.97490829723,1787.19746592587,"DF","Região Centro-Oeste"
"38",2028-04-01,1854.71872703619,1912.92501527778,1795.43494507172,"DF","Região Centro-Oeste"
"39",2028-05-01,1864.4804386995,1924.557431987,1803.34232043658,"DF","Região Centro-Oeste"
"40",2028-06-01,1874.56754075159,1936.54365700143,1811.54932227789,"DF","Região Centro-Oeste"
"41",2028-07-01,1884.3292524149,1948.21168821099,1819.42679827818,"DF","Região Centro-Oeste"
"42",2028-08-01,1894.41635446699,1960.23411717597,1827.60340290487,"DF","Região Centro-Oeste"
"43",2028-09-01,1904.50345651907,1972.27481734336,1835.76470477671,"DF","Região Centro-Oeste"
"44",2028-10-01,1914.26516818239,1983.99656702125,1843.59734593657,"DF","Região Centro-Oeste"
"45",2028-11-01,1924.35227023447,1996.07360058224,1851.72837061164,"DF","Região Centro-Oeste"
"46",2028-12-01,1934.11398189778,2007.83117812422,1859.53130998969,"DF","Região Centro-Oeste"
"47",2029-01-01,1944.20108394987,2019.94463145655,1867.63213709652,"DF","Região Centro-Oeste"
"48",2029-02-01,1954.28818600196,2032.07646463282,1875.71776167107,"DF","Região Centro-Oeste"
"49",2029-03-01,1963.39911688772,2043.21084723696,1882.852079334,"DF","Região Centro-Oeste"
"50",2029-04-01,1973.48621893981,2055.37867939121,1890.90815896016,"DF","Região Centro-Oeste"
"51",2029-05-01,1983.24793060312,2067.22578786085,1898.63758708389,"DF","Região Centro-Oeste"
"52",2029-06-01,1993.33503265521,2079.43025586813,1906.66366672708,"DF","Região Centro-Oeste"
"53",2029-07-01,2003.09674431852,2091.31349185284,1914.36366676714,"DF","Região Centro-Oeste"
"54",2029-08-01,2013.18384637061,2103.55468273868,1922.35982541583,"DF","Região Centro-Oeste"
"55",2029-09-01,2023.27094842269,2115.81440605036,1930.34092037633,"DF","Região Centro-Oeste"
"56",2029-10-01,2033.03266008601,2127.75213343505,1937.99679182039,"DF","Região Centro-Oeste"
"57",2029-11-01,2043.11976213809,2140.048710738,1945.94808415417,"DF","Região Centro-Oeste"
"58",2029-12-01,2052.8814738014,2152.02278176101,1953.5747223722,"DF","Região Centro-Oeste"
"59",2030-01-01,2062.96857585349,2164.35630054743,1961.49629061227,"DF","Região Centro-Oeste"
"60",2030-02-01,2073.05567790558,2176.70846180087,1969.4028940103,"DF","Região Centro-Oeste"
"61",2030-03-01,2082.16660879134,2188.05347414474,1976.36798220208,"DF","Região Centro-Oeste"
"62",2030-04-01,2092.25371084343,2200.44215236407,1984.24550704215,"DF","Região Centro-Oeste"
"63",2030-05-01,2102.01542250674,2212.50704454252,1991.79979657481,"DF","Região Centro-Oeste"
"64",2030-06-01,2112.10252455883,2224.93288311641,1999.6477921849,"DF","Região Centro-Oeste"
"65",2030-07-01,2121.86423622214,2237.03442246124,2007.17311840935,"DF","Região Centro-Oeste"
"66",2030-08-01,2131.95133827423,2249.49750953756,2014.99166269064,"DF","Região Centro-Oeste"
"67",2030-09-01,2142.03844032631,2261.97939362933,2022.79537906449,"DF","Região Centro-Oeste"
"68",2030-10-01,2151.80015198963,2274.13620729898,2030.27727319149,"DF","Região Centro-Oeste"
"69",2030-11-01,2161.88725404171,2286.65547269585,2038.05165497543,"DF","Região Centro-Oeste"
"70",2030-12-01,2171.64896570502,2298.84915244822,2045.50477796174,"DF","Região Centro-Oeste"
"71",2031-01-01,2181.73606775711,2311.4058877704,2053.24990260734,"DF","Região Centro-Oeste"
