"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,864.816892768871,865.520421410332,864.077886906387,"DF","Região Centro-Oeste"
"2",2025-04-01,869.302009704219,870.716939562225,867.816967481276,"DF","Região Centro-Oeste"
"3",2025-05-01,873.642445448104,875.776305090849,871.404716230057,"DF","Região Centro-Oeste"
"4",2025-06-01,878.127562383452,880.988478542094,875.129886954986,"DF","Região Centro-Oeste"
"5",2025-07-01,882.467998127337,886.063281986816,878.703990804328,"DF","Região Centro-Oeste"
"6",2025-08-01,886.953115062685,891.291147933434,882.415288292208,"DF","Região Centro-Oeste"
"7",2025-09-01,891.438231998033,896.526933238029,886.119601364561,"DF","Região Centro-Oeste"
"8",2025-10-01,895.778667741918,901.625021863603,889.673244170666,"DF","Região Centro-Oeste"
"9",2025-11-01,900.263784677266,906.876555703176,893.36373887202,"DF","Região Centro-Oeste"
"10",2025-12-01,904.604220421151,911.99017461879,896.903827100077,"DF","Região Centro-Oeste"
"11",2026-01-01,909.089337356499,917.257494388847,900.580539832258,"DF","Região Centro-Oeste"
"12",2026-02-01,913.574454291847,922.532780550298,904.250313966154,"DF","Região Centro-Oeste"
"13",2026-03-01,917.625527652806,927.377386303913,907.483912159162,"DF","Região Centro-Oeste"
"14",2026-04-01,922.110644588154,932.66827683787,911.140203407701,"DF","Região Centro-Oeste"
"15",2026-05-01,926.451080332039,937.820705176911,914.64674549097,"DF","Região Centro-Oeste"
"16",2026-06-01,930.936197267387,943.127475190104,918.289345094292,"DF","Região Centro-Oeste"
"17",2026-07-01,935.276633011272,948.295563551,921.782457713575,"DF","Região Centro-Oeste"
"18",2026-08-01,939.76174994662,953.61825071921,925.411401780673,"DF","Região Centro-Oeste"
"19",2026-09-01,944.246866881968,958.948970335315,929.033470721713,"DF","Região Centro-Oeste"
"20",2026-10-01,948.587302625853,964.140678509747,932.50644514266,"DF","Região Centro-Oeste"
"21",2026-11-01,953.072419561201,969.487372042872,936.114912658612,"DF","Região Centro-Oeste"
"22",2026-12-01,957.412855305086,974.694833807041,939.574546690224,"DF","Região Centro-Oeste"
"23",2027-01-01,961.897972240434,980.057539134874,943.169448681705,"DF","Região Centro-Oeste"
"24",2027-02-01,966.383089175782,985.428324549584,946.757520734646,"DF","Região Centro-Oeste"
"25",2027-03-01,970.434162536741,990.364241999119,949.913906364134,"DF","Região Centro-Oeste"
"26",2027-04-01,974.919279472089,995.750856043828,953.488708729797,"DF","Região Centro-Oeste"
"27",2027-05-01,979.259715215974,1000.99768582691,956.91532804883,"DF","Região Centro-Oeste"
"28",2027-06-01,983.744832151322,1006.40040642195,960.476653968874,"DF","Região Centro-Oeste"
"29",2027-07-01,988.085267895207,1011.66312120408,963.890056283158,"DF","Região Centro-Oeste"
"30",2027-08-01,992.570384830555,1017.08198651083,967.437941369131,"DF","Região Centro-Oeste"
"31",2027-09-01,997.055501765903,1022.50899881178,970.979059115197,"DF","Região Centro-Oeste"
"32",2027-10-01,1001.39593750979,1027.79567236386,974.372641617358,"DF","Região Centro-Oeste"
"33",2027-11-01,1005.88105444514,1033.2388868697,977.900371895268,"DF","Região Centro-Oeste"
"34",2027-12-01,1010.22149018902,1038.54154019718,981.280825236631,"DF","Região Centro-Oeste"
"35",2028-01-01,1014.70660712437,1044.00099527363,984.795203452233,"DF","Região Centro-Oeste"
"36",2028-02-01,1019.19172405972,1049.4686455962,988.302858893802,"DF","Região Centro-Oeste"
"37",2028-03-01,1023.38747861214,1054.64630008391,991.523447643182,"DF","Região Centro-Oeste"
"38",2028-04-01,1027.87259554749,1060.13012748479,995.017923864165,"DF","Região Centro-Oeste"
"39",2028-05-01,1032.21303129137,1065.47283604182,998.365766890123,"DF","Região Centro-Oeste"
"40",2028-06-01,1036.69814822672,1070.9730001879,1001.84697910318,"DF","Região Centro-Oeste"
"41",2028-07-01,1041.0385839706,1076.33182182515,1005.18181485018,"DF","Região Centro-Oeste"
"42",2028-08-01,1045.52370090595,1081.84836136963,1008.64979817546,"DF","Região Centro-Oeste"
