"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1788.64671083691,1790.10177514133,1787.11827121428,"ES","Região Sudeste"
"2",2025-04-01,1794.69017243633,1797.61132145301,1791.62427513778,"ES","Região Sudeste"
"3",2025-05-01,1800.53868366157,1804.93647460257,1795.92682209092,"ES","Região Sudeste"
"4",2025-06-01,1806.58214526099,1812.46794166768,1800.41499240263,"ES","Região Sudeste"
"5",2025-07-01,1812.43065648623,1819.81472333003,1804.70006197409,"ES","Região Sudeste"
"6",2025-08-01,1818.47411808565,1827.3681626128,1809.17044645484,"ES","Região Sudeste"
"7",2025-09-01,1824.51757968507,1834.93268702159,1813.63187303451,"ES","Região Sudeste"
"8",2025-10-01,1830.36609091031,1842.31208686348,1817.89073212147,"ES","Região Sudeste"
"9",2025-11-01,1836.40955250973,1849.89866102129,1822.33444447453,"ES","Região Sudeste"
"10",2025-12-01,1842.25806373497,1857.29981721324,1826.57594400854,"ES","Região Sudeste"
"11",2026-01-01,1848.30152533439,1864.90849285857,1831.00198963799,"ES","Região Sudeste"
"12",2026-02-01,1854.34498693381,1872.52831869252,1835.41913716952,"ES","Região Sudeste"
"13",2026-03-01,1859.8035974107,1879.56824132504,1839.24901124211,"ES","Região Sudeste"
"14",2026-04-01,1865.84705901012,1887.20992603573,1843.64889273504,"ES","Região Sudeste"
"15",2026-05-01,1871.69557023536,1894.66545705308,1847.84744516902,"ES","Região Sudeste"
"16",2026-06-01,1877.73903183478,1902.32937268803,1852.22977779033,"ES","Região Sudeste"
"17",2026-07-01,1883.58754306002,1909.80683960081,1856.41113385928,"ES","Região Sudeste"
"18",2026-08-01,1889.63100465944,1917.49303828388,1860.77596472664,"ES","Região Sudeste"
"19",2026-09-01,1895.67446625886,1925.19047853734,1865.13198032898,"ES","Região Sudeste"
"20",2026-10-01,1901.5229774841,1932.70102671458,1869.28754705267,"ES","Região Sudeste"
"21",2026-11-01,1907.56643908352,1940.42082854073,1873.62613151193,"ES","Região Sudeste"
"22",2026-12-01,1913.41495030876,1947.95344209245,1877.76461805892,"ES","Região Sudeste"
"23",2027-01-01,1919.45841190818,1955.69565789276,1882.08581821855,"ES","Região Sudeste"
"24",2027-02-01,1925.5018735076,1963.44918115857,1886.39826208753,"ES","Região Sudeste"
"25",2027-03-01,1930.96048398449,1970.61716278888,1890.12947728645,"ES","Região Sudeste"
"26",2027-04-01,1937.00394558391,1978.39285527297,1894.42493318976,"ES","Região Sudeste"
"27",2027-05-01,1942.85245680915,1985.98061673575,1898.52116570319,"ES","Região Sudeste"
"28",2027-06-01,1948.89591840857,1993.7788542901,1902.79935352049,"ES","Região Sudeste"
"29",2027-07-01,1954.74442963381,2001.38886297956,1906.87866676983,"ES","Região Sudeste"
"30",2027-08-01,1960.78789123323,2009.20969839567,1911.1396329642,"ES","Região Sudeste"
"31",2027-09-01,1966.83135283265,2017.0419338288,1915.39192455116,"ES","Região Sudeste"
"32",2027-10-01,1972.67986405789,2024.68549281309,1919.44586372828,"ES","Região Sudeste"
"33",2027-11-01,1978.72332565731,2032.54040563778,1923.68100332251,"ES","Região Sudeste"
"34",2027-12-01,1984.57183688255,2040.20634298951,1927.71813780472,"ES","Região Sudeste"
"35",2028-01-01,1990.61529848197,2048.0839862782,1931.93617159862,"ES","Região Sudeste"
"36",2028-02-01,1996.65876008139,2055.9730963216,1936.14558894139,"ES","Região Sudeste"
"37",2028-03-01,2002.31232093246,2063.47187650532,1939.96864061868,"ES","Região Sudeste"
"38",2028-04-01,2008.35578253188,2071.38363352928,1944.16118278847,"ES","Região Sudeste"
"39",2028-05-01,2014.20429375712,2079.10566538005,1948.15658536534,"ES","Região Sudeste"
"40",2028-06-01,2020.24775535654,2087.04028590962,1952.33213660694,"ES","Região Sudeste"
"41",2028-07-01,2026.09626658178,2094.78488058102,1956.31089343116,"ES","Região Sudeste"
"42",2028-08-01,2032.1397281812,2102.74241808385,1960.46949956104,"ES","Região Sudeste"
"43",2028-09-01,2038.18318978062,2110.71151621017,1964.61956992568,"ES","Região Sudeste"
"44",2028-10-01,2044.03170100586,2118.49013662451,1968.57336257271,"ES","Região Sudeste"
"45",2028-11-01,2050.07516260528,2126.48223227192,1972.70655648714,"ES","Região Sudeste"
"46",2028-12-01,2055.92367383052,2134.28354833059,1976.64381635132,"ES","Região Sudeste"
"47",2029-01-01,2061.96713542994,2142.29869525108,1980.76017936481,"ES","Região Sudeste"
"48",2029-02-01,2068.01059702936,2150.32547038608,1984.8680639612,"ES","Região Sudeste"
"49",2029-03-01,2073.46920750625,2157.75526216195,1988.4066235991,"ES","Região Sudeste"
"50",2029-04-01,2079.51266910567,2165.80483946824,1992.49806506648,"ES","Região Sudeste"
"51",2029-05-01,2085.36118033091,2173.66288019926,1996.3944288185,"ES","Região Sudeste"
"52",2029-06-01,2091.40464193033,2181.73564325512,2000.46915238391,"ES","Região Sudeste"
"53",2029-07-01,2097.25315315557,2189.61656618205,2004.34913980143,"ES","Região Sudeste"
"54",2029-08-01,2103.29661475499,2197.712569139,2008.40719064353,"ES","Região Sudeste"
"55",2029-09-01,2109.34007635441,2205.82029524483,2012.45684249602,"ES","Região Sudeste"
"56",2029-10-01,2115.18858757965,2213.73572505701,2016.31226949943,"ES","Região Sudeste"
"57",2029-11-01,2121.23204917907,2221.86677264148,2020.34531633464,"ES","Região Sudeste"
"58",2029-12-01,2127.08056040431,2229.8052191755,2024.18447839583,"ES","Região Sudeste"
"59",2030-01-01,2133.12402200373,2237.95964267792,2028.20096512871,"ES","Região Sudeste"
"60",2030-02-01,2139.16748360315,2246.12585778331,2032.20910942299,"ES","Região Sudeste"
"61",2030-03-01,2144.62609408004,2253.68928503625,2035.65378881727,"ES","Região Sudeste"
"62",2030-04-01,2150.66955567946,2261.87862475602,2039.64575656985,"ES","Região Sudeste"
"63",2030-05-01,2156.51806690471,2269.87459921673,2043.44468693209,"ES","Região Sudeste"
"64",2030-06-01,2162.56152850412,2278.08745105134,2047.42020600565,"ES","Região Sudeste"
"65",2030-07-01,2168.41003972937,2286.10663117718,2051.20302568598,"ES","Região Sudeste"
"66",2030-08-01,2174.45350132878,2294.34304997029,2055.16214062968,"ES","Região Sudeste"
"67",2030-09-01,2180.4969629282,2302.59135651345,2059.11299145659,"ES","Região Sudeste"
"68",2030-10-01,2186.34547415345,2310.64553083115,2062.87164884456,"ES","Região Sudeste"
"69",2030-11-01,2192.38893575286,2318.91748695253,2066.80616230449,"ES","Região Sudeste"
"70",2030-12-01,2198.23744697811,2326.99500318412,2070.54881884575,"ES","Região Sudeste"
"71",2031-01-01,2204.28090857752,2335.29066401867,2074.46703922753,"ES","Região Sudeste"
