"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1994.3422517362,1995.96464938674,1992.63804055791,"ES","Região Sudeste"
"2",2025-04-01,2006.72649859261,2009.99277108251,2003.2983763209,"ES","Região Sudeste"
"3",2025-05-01,2018.71125361494,2023.64192805376,2013.54056945399,"ES","Região Sudeste"
"4",2025-06-01,2031.09550047135,2037.71275539644,2024.16192346563,"ES","Região Sudeste"
"5",2025-07-01,2043.08025549368,2051.40401735448,2034.36586691585,"ES","Região Sudeste"
"6",2025-08-01,2055.46450235008,2065.51765220031,2044.94834125191,"ES","Região Sudeste"
"7",2025-09-01,2067.84874920649,2079.65289235012,2055.51124414092,"ES","Região Sudeste"
"8",2025-10-01,2079.83350422882,2093.40766447369,2065.65783231534,"ES","Região Sudeste"
"9",2025-11-01,2092.21775108523,2107.5858655865,2076.18200849206,"ES","Região Sudeste"
"10",2025-12-01,2104.20250610756,2121.38299563195,2086.29059882431,"ES","Região Sudeste"
"11",2026-01-01,2116.58675296396,2135.60426011136,2096.77614977745,"ES","Região Sudeste"
"12",2026-02-01,2128.97099982037,2149.84725869733,2107.24225701413,"ES","Região Sudeste"
"13",2026-03-01,2140.15677117455,2162.90080530913,2116.50371618065,"ES","Região Sudeste"
"14",2026-04-01,2152.54101803095,2177.18636466498,2126.93202548173,"ES","Região Sudeste"
"15",2026-05-01,2164.52577305328,2191.08934076789,2136.94656510624,"ES","Região Sudeste"
"16",2026-06-01,2176.91001990969,2205.4182196589,2147.33650101899,"ES","Região Sudeste"
"17",2026-07-01,2188.89477493202,2219.36390890564,2157.31339167213,"ES","Região Sudeste"
"18",2026-08-01,2201.27902178843,2233.73621050443,2167.6650548709,"ES","Região Sudeste"
"19",2026-09-01,2213.66326864483,2248.13042710516,2177.99745131202,"ES","Região Sudeste"
"20",2026-10-01,2225.64802366716,2262.14054280749,2187.91788688664,"ES","Região Sudeste"
"21",2026-11-01,2238.03227052357,2276.57833755802,2198.21216147762,"ES","Região Sudeste"
"22",2026-12-01,2250.0170255459,2290.6314226151,2208.09519645411,"ES","Região Sudeste"
"23",2027-01-01,2262.40127240231,2305.11289924207,2218.35144928979,"ES","Região Sudeste"
"24",2027-02-01,2274.78551925872,2319.61642133519,2228.58856134714,"ES","Região Sudeste"
"25",2027-03-01,2285.97129061289,2332.91892624799,2237.63342463754,"ES","Região Sudeste"
"26",2027-04-01,2298.3555374693,2347.46562317178,2247.8333332481,"ES","Região Sudeste"
"27",2027-05-01,2310.34029249163,2361.62608378794,2257.62379942942,"ES","Região Sudeste"
"28",2027-06-01,2322.72453934803,2376.21672206816,2267.78593465712,"ES","Região Sudeste"
"29",2027-07-01,2334.70929437036,2390.42051186356,2277.53934430093,"ES","Região Sudeste"
"30",2027-08-01,2347.09354122677,2405.05519600525,2287.66380543667,"ES","Região Sudeste"
