"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,2777.83884896234,2780.09862118458,2775.46512197853,"GO","Região Centro-Oeste"
"2",2025-04-01,2781.63038252009,2786.15793662468,2776.87847982051,"GO","Região Centro-Oeste"
"3",2025-05-01,2785.29960854373,2792.10266448336,2778.16540124013,"GO","Região Centro-Oeste"
"4",2025-06-01,2789.09114210148,2798.17792659405,2779.56998556047,"GO","Região Centro-Oeste"
"5",2025-07-01,2792.76036812512,2804.13841956293,2780.84835488573,"GO","Região Centro-Oeste"
"6",2025-08-01,2796.55190168287,2810.22966420294,2782.24419153566,"GO","Região Centro-Oeste"
"7",2025-09-01,2800.34343524063,2816.32896356982,2783.63561203506,"GO","Região Centro-Oeste"
"8",2025-10-01,2804.01266126426,2822.31322095583,2784.90114899826,"GO","Região Centro-Oeste"
"9",2025-11-01,2807.80419482202,2828.4285568612,2786.28386057534,"GO","Região Centro-Oeste"
"10",2025-12-01,2811.47342084565,2834.42866850587,2787.54090907584,"GO","Região Centro-Oeste"
"11",2026-01-01,2815.26495440341,2840.5600769951,2788.91493742514,"GO","Região Centro-Oeste"
"12",2026-02-01,2819.05648796117,2846.69958551224,2790.28458200832,"GO","Região Centro-Oeste"
"13",2026-03-01,2822.48109891656,2852.47638118868,2791.28698194762,"GO","Região Centro-Oeste"
"14",2026-04-01,2826.27263247431,2858.63181547065,2792.64818853534,"GO","Região Centro-Oeste"
"15",2026-05-01,2829.94185849795,2864.67156840599,2793.88428137634,"GO","Região Centro-Oeste"
"16",2026-06-01,2833.7333920557,2870.8431654675,2795.23686843519,"GO","Região Centro-Oeste"
"17",2026-07-01,2837.40261807934,2876.89889789025,2796.46456085959,"GO","Região Centro-Oeste"
"18",2026-08-01,2841.19415163709,2883.0866940389,2797.80855386685,"GO","Região Centro-Oeste"
"19",2026-09-01,2844.98568519485,2889.28265385215,2799.14820792363,"GO","Região Centro-Oeste"
"20",2026-10-01,2848.65491121848,2895.36247358521,2800.36329533949,"GO","Região Centro-Oeste"
"21",2026-11-01,2852.44644477624,2901.57468717053,2801.69439353251,"GO","Região Centro-Oeste"
"22",2026-12-01,2856.11567079987,2907.67057665721,2802.90114323931,"GO","Região Centro-Oeste"
"23",2027-01-01,2859.90720435763,2913.89908051104,2804.22371089123,"GO","Região Centro-Oeste"
"24",2027-02-01,2863.69873791539,2920.13579389675,2805.54197150954,"GO","Região Centro-Oeste"
"25",2027-03-01,2867.12334887078,2926.00626785424,2806.49676762646,"GO","Região Centro-Oeste"
"26",2027-04-01,2870.91488242853,2932.25912339651,2807.80674026901,"GO","Região Centro-Oeste"
"27",2027-05-01,2874.58410845217,2938.39519339445,2808.99290801194,"GO","Região Centro-Oeste"
"28",2027-06-01,2878.37564200992,2944.66443053014,2810.29441288891,"GO","Região Centro-Oeste"
"29",2027-07-01,2882.04486803356,2950.81669708111,2811.47232968772,"GO","Região Centro-Oeste"
"30",2027-08-01,2885.83640159131,2957.10235257203,2812.76539190741,"GO","Região Centro-Oeste"
"31",2027-09-01,2889.62793514907,2963.3962820272,2814.05419126086,"GO","Região Centro-Oeste"
"32",2027-10-01,2893.2971611727,2969.57296282908,2815.2197271005,"GO","Região Centro-Oeste"
"33",2027-11-01,2897.08869473046,2975.88336600822,2816.50012143162,"GO","Região Centro-Oeste"
"34",2027-12-01,2900.7579207541,2982.07633476046,2817.65746812283,"GO","Região Centro-Oeste"
"35",2028-01-01,2904.54945431185,2988.40324861647,2818.92948238734,"GO","Região Centro-Oeste"
"36",2028-02-01,2908.34098786961,2994.73848287704,2820.19726524108,"GO","Região Centro-Oeste"
"37",2028-03-01,2911.88790635912,3000.82996018815,2821.2238242148,"GO","Região Centro-Oeste"
"38",2028-04-01,2915.67943991688,3007.18165824574,2822.48336566873,"GO","Região Centro-Oeste"
"39",2028-05-01,2919.34866594051,3013.41545611286,2823.62039747261,"GO","Região Centro-Oeste"
"40",2028-06-01,2923.14019949827,3019.78375748181,2824.87162089727,"GO","Região Centro-Oeste"
"41",2028-07-01,2926.8094255219,3026.03397185513,2826.00054922631,"GO","Região Centro-Oeste"
"42",2028-08-01,2930.60095907966,3032.41891375715,2827.24347936555,"GO","Região Centro-Oeste"
"43",2028-09-01,2934.39249263741,3038.81224138499,2828.48222170794,"GO","Região Centro-Oeste"
"44",2028-10-01,2938.06171866105,3045.0872012966,2829.59899012553,"GO","Região Centro-Oeste"
"45",2028-11-01,2941.8532522188,3051.49722551862,2830.82947627147,"GO","Região Centro-Oeste"
"46",2028-12-01,2945.52247824244,3057.78869447904,2831.93820210938,"GO","Região Centro-Oeste"
"47",2029-01-01,2949.31401180019,3064.21545271034,2833.16045665219,"GO","Região Centro-Oeste"
