"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,2956.6673134629,2959.07256266152,2954.14077345618,"GO","Região Centro-Oeste"
"2",2025-04-01,2967.82784036897,2972.6584610024,2962.75785363919,"GO","Região Centro-Oeste"
"3",2025-05-01,2978.62835027808,2985.90360900722,2970.99895483851,"GO","Região Centro-Oeste"
"4",2025-06-01,2989.78887718416,2999.52952954046,2979.58259618654,"GO","Região Centro-Oeste"
"5",2025-07-01,3000.58938709326,3012.81415968018,2987.79091683675,"GO","Região Centro-Oeste"
"6",2025-08-01,3011.74991399934,3026.48019669809,2996.34120845039,"GO","Região Centro-Oeste"
"7",2025-09-01,3022.91044090542,3040.16647453386,3004.87470551049,"GO","Região Centro-Oeste"
"8",2025-10-01,3033.71095081452,3053.5106504055,3013.03386727316,"GO","Região Centro-Oeste"
"9",2025-11-01,3044.8714777206,3067.23718678076,3021.53414812349,"GO","Região Centro-Oeste"
"10",2025-12-01,3055.67198762971,3080.62107899381,3029.66074908609,"GO","Região Centro-Oeste"
"11",2026-01-01,3066.83251453579,3094.38796870433,3038.12790231052,"GO","Região Centro-Oeste"
"12",2026-02-01,3077.99304144186,3108.17521844664,3046.57837249498,"GO","Região Centro-Oeste"
"13",2026-03-01,3088.07351735703,3120.89132324624,3053.94406772277,"GO","Região Centro-Oeste"
"14",2026-04-01,3099.23404426311,3134.71847716404,3062.36215151727,"GO","Região Centro-Oeste"
"15",2026-05-01,3110.03455417221,3148.20162730343,3070.40818854524,"GO","Região Centro-Oeste"
"16",2026-06-01,3121.19508107829,3162.06937170759,3078.79336449486,"GO","Região Centro-Oeste"
"17",2026-07-01,3131.9955909874,3175.59256712324,3086.80714508308,"GO","Região Centro-Oeste"
"18",2026-08-01,3143.15611789347,3189.50099751689,3095.15950105494,"GO","Região Centro-Oeste"
"19",2026-09-01,3154.31664479955,3203.42995537859,3103.49532845176,"GO","Região Centro-Oeste"
"20",2026-10-01,3165.11715470866,3217.01354493808,3111.46073558774,"GO","Região Centro-Oeste"
"21",2026-11-01,3176.27768161474,3230.98333266726,3119.76387468355,"GO","Região Centro-Oeste"
"22",2026-12-01,3187.07819152384,3244.60720472308,3127.69724207755,"GO","Região Centro-Oeste"
