"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,3607.7009245822,3610.63578969814,3604.61806142857,"MA","Região Nordeste"
"2",2025-04-01,3620.11129504197,3626.00361267552,3613.92700228195,"MA","Região Nordeste"
"3",2025-05-01,3632.12133097079,3640.99273730652,3622.81809247986,"MA","Região Nordeste"
"4",2025-06-01,3644.53170143056,3656.4054884314,3632.09031637713,"MA","Região Nordeste"
"5",2025-07-01,3656.54173735938,3671.43894101746,3640.94542122609,"MA","Região Nordeste"
"6",2025-08-01,3668.95210781916,3686.8967258318,3650.18102644888,"MA","Região Nordeste"
"7",2025-09-01,3681.36247827893,3702.37723077177,3659.39818894617,"MA","Região Nordeste"
"8",2025-10-01,3693.37251420775,3717.47753523463,3668.1993275516,"MA","Região Nordeste"
"9",2025-11-01,3705.78288466752,3733.0032328645,3677.38001865901,"MA","Região Nordeste"
"10",2025-12-01,3717.79292059634,3748.14812744586,3686.14541428516,"MA","Região Nordeste"
"11",2026-01-01,3730.20329105611,3763.71912387022,3695.28973171315,"MA","Região Nordeste"
"12",2026-02-01,3742.61366151589,3779.31297385074,3704.4157294252,"MA","Região Nordeste"
"13",2026-03-01,3753.82302838278,3793.71593727743,3712.33570197587,"MA","Região Nordeste"
"14",2026-04-01,3766.23339884256,3809.35458763367,3721.42614906581,"MA","Região Nordeste"
"15",2026-05-01,3778.24343477137,3824.61092393287,3730.10311569578,"MA","Região Nordeste"
"16",2026-06-01,3790.65380523115,3840.29513852986,3739.1574315217,"MA","Região Nordeste"
"17",2026-07-01,3802.66384115997,3855.59643315107,3747.79899084759,"MA","Região Nordeste"
"18",2026-08-01,3815.07421161974,3871.32631888395,3756.81727232765,"MA","Região Nordeste"
"19",2026-09-01,3827.48458207952,3887.07924557853,3765.81740447296,"MA","Região Nordeste"
"20",2026-10-01,3839.49461800833,3902.44834175391,3774.4058638275,"MA","Região Nordeste"
