"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,3139.72909695368,3142.28326693417,3137.04612645592,"MA","Região Nordeste"
"2",2025-04-01,3151.00793861298,3156.13671453365,3145.62502245562,"MA","Região Nordeste"
"3",2025-05-01,3161.92294667037,3169.64589992719,3153.82406434175,"MA","Região Nordeste"
"4",2025-06-01,3173.20178832967,3183.5399950547,3162.36938830271,"MA","Região Nordeste"
"5",2025-07-01,3184.11679638706,3197.08928235714,3170.53552322549,"MA","Região Nordeste"
"6",2025-08-01,3195.39563804637,3211.02412063184,3179.04736481484,"MA","Região Nordeste"
"7",2025-09-01,3206.67447970567,3224.97951511409,3187.54234412168,"MA","Região Nordeste"
"8",2025-10-01,3217.58948776306,3238.58928184287,3195.65912995411,"MA","Região Nordeste"
"9",2025-11-01,3228.86832942236,3252.58556352496,3204.12076126365,"MA","Região Nordeste"
"10",2025-12-01,3239.78333747975,3266.23566967178,3212.20486126831,"MA","Região Nordeste"
"11",2026-01-01,3251.06217913905,3280.272934683,3220.63323372709,"MA","Região Nordeste"
"12",2026-02-01,3262.34102079835,3294.33087679021,3229.04485612859,"MA","Região Nordeste"
"13",2026-03-01,3272.52836165191,3307.30641986069,3236.3603134277,"MA","Região Nordeste"
"14",2026-04-01,3283.80720331122,3321.40489186952,3244.73942550895,"MA","Região Nordeste"
"15",2026-05-01,3294.7222113686,3335.15581472508,3252.7426562502,"MA","Região Nordeste"
"16",2026-06-01,3306.00105302791,3349.29551055203,3261.08873065343,"MA","Região Nordeste"
"17",2026-07-01,3316.9160610853,3363.08710640089,3269.0595818403,"MA","Região Nordeste"
"18",2026-08-01,3328.1949027446,3377.26812289197,3277.37270698995,"MA","Região Nordeste"
"19",2026-09-01,3339.4737444039,3391.46998626816,3285.66923752939,"MA","Região Nordeste"
"20",2026-10-01,3350.38875246129,3405.32292191512,3293.59153001009,"MA","Região Nordeste"
"21",2026-11-01,3361.66759412059,3419.5662518554,3301.85524380858,"MA","Região Nordeste"
"22",2026-12-01,3372.58260217798,3433.46010105837,3309.74537479649,"MA","Região Nordeste"
"23",2027-01-01,3383.86144383728,3447.74499492509,3317.97635976462,"MA","Região Nordeste"
"24",2027-02-01,3395.14028549658,3462.05085811381,3326.19086079473,"MA","Região Nordeste"
"25",2027-03-01,3405.32762635015,3475.26379802323,3333.320479506,"MA","Região Nordeste"
"26",2027-04-01,3416.60646800945,3489.61076770119,3341.50299210845,"MA","Região Nordeste"
"27",2027-05-01,3427.52147606684,3503.60686991833,3349.3135546187,"MA","Região Nordeste"
"28",2027-06-01,3438.80031772614,3517.99564709803,3357.46355649332,"MA","Região Nordeste"
"29",2027-07-01,3449.71532578353,3532.0330007368,3365.24225952027,"MA","Região Nordeste"
"30",2027-08-01,3460.99416744283,3546.46368350601,3373.35983786486,"MA","Região Nordeste"
"31",2027-09-01,3472.27300910213,3560.91550756199,3381.46108556419,"MA","Região Nordeste"
"32",2027-10-01,3483.18801715952,3575.01507242855,3389.19200927603,"MA","Região Nordeste"
"33",2027-11-01,3494.46685881882,3589.50894984368,3397.26096412029,"MA","Região Nordeste"
"34",2027-12-01,3505.38186687621,3603.6500097852,3404.96024337614,"MA","Região Nordeste"
"35",2028-01-01,3516.66070853551,3618.18603916981,3412.99699205589,"MA","Região Nordeste"
"36",2028-02-01,3527.93955019482,3632.74333384528,3421.01751922954,"MA","Região Nordeste"
"37",2028-03-01,3538.49072465029,3646.57202538239,3428.31683607924,"MA","Região Nordeste"
"38",2028-04-01,3549.76956630959,3661.17131556461,3436.30558822734,"MA","Região Nordeste"
"39",2028-05-01,3560.68457436698,3675.41638856739,3443.92628069647,"MA","Região Nordeste"
"40",2028-06-01,3571.96341602628,3690.05807791459,3451.88304226661,"MA","Região Nordeste"
"41",2028-07-01,3582.87842408367,3704.34498869726,3459.47238859464,"MA","Região Nordeste"
"42",2028-08-01,3594.15726574298,3719.02917655479,3467.39724557292,"MA","Região Nordeste"
"43",2028-09-01,3605.43610740228,3733.73480411889,3475.30603246787,"MA","Região Nordeste"
"44",2028-10-01,3616.35111545967,3748.08480949795,3482.84836879035,"MA","Região Nordeste"
"45",2028-11-01,3627.62995711897,3762.83308523557,3490.72537995312,"MA","Região Nordeste"
"46",2028-12-01,3638.54496517636,3777.22517517796,3498.23658216455,"MA","Região Nordeste"
"47",2029-01-01,3649.82380683566,3792.01619896334,3506.08190308055,"MA","Região Nordeste"
"48",2029-02-01,3661.10264849496,3806.82878804653,3513.91126153802,"MA","Região Nordeste"
"49",2029-03-01,3671.28998934852,3820.52709765904,3520.67795631909,"MA","Região Nordeste"
"50",2029-04-01,3682.56883100783,3835.38196922923,3528.47634893846,"MA","Região Nordeste"
"51",2029-05-01,3693.48383906521,3849.87924169469,3535.91053136939,"MA","Região Nordeste"
"52",2029-06-01,3704.76268072452,3864.77711117528,3543.67744582036,"MA","Região Nordeste"
"53",2029-07-01,3715.67768878191,3879.31681481008,3551.08078778361,"MA","Região Nordeste"
"54",2029-08-01,3726.95653044121,3894.25778281844,3558.81630885709,"MA","Região Nordeste"
"55",2029-09-01,3738.23537210051,3909.22049252144,3566.53601653767,"MA","Região Nordeste"
"56",2029-10-01,3749.1503801579,3923.82418470952,3573.89310631677,"MA","Região Nordeste"
"57",2029-11-01,3760.4292218172,3938.8301445187,3581.581547689,"MA","Região Nordeste"
"58",2029-12-01,3771.34422987459,3953.47651782559,3588.90800607418,"MA","Região Nordeste"
"59",2030-01-01,3782.62307153389,3968.52582889361,3596.56526543478,"MA","Região Nordeste"
"60",2030-02-01,3793.90191319319,3983.59700885286,3604.20681753353,"MA","Região Nordeste"
"61",2030-03-01,3804.08925404676,3997.54307514582,3610.79664393486,"MA","Região Nordeste"
"62",2030-04-01,3815.36809570606,4012.65713668744,3618.40773056383,"MA","Região Nordeste"
"63",2030-05-01,3826.28310376345,4027.41018493336,3625.65841625705,"MA","Região Nordeste"
"64",2030-06-01,3837.56194542275,4042.56785079632,3633.23853,"MA","Região Nordeste"
"65",2030-07-01,3848.47695348014,4057.3639312155,3640.45887384218,"MA","Região Nordeste"
"66",2030-08-01,3859.75579513944,4072.56530330457,3648.00809831029,"MA","Região Nordeste"
"67",2030-09-01,3871.03463679874,4087.78872293732,3655.54176251022,"MA","Região Nordeste"
"68",2030-10-01,3881.94964485613,4102.6496973318,3662.71660141753,"MA","Região Nordeste"
"69",2030-11-01,3893.22848651543,4117.91697670749,3670.21950164436,"MA","Região Nordeste"
"70",2030-12-01,3904.14349457282,4132.82123642908,3677.36420485635,"MA","Região Nordeste"
"71",2031-01-01,3915.42233623212,4148.13247799422,3684.83642423342,"MA","Região Nordeste"
