"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,10563.9861585676,10572.5799625192,10554.9589901951,"MG","Região Sudeste"
"2",2025-04-01,10581.8010996271,10599.0246952938,10563.724043262,"MG","Região Sudeste"
"3",2025-05-01,10599.0413651686,10624.9293777518,10571.8932055643,"MG","Região Sudeste"
"4",2025-06-01,10616.8563062282,10651.4457406812,10580.6134064035,"MG","Região Sudeste"
"5",2025-07-01,10634.0965717697,10677.4211975303,10588.7387599797,"MG","Região Sudeste"
"6",2025-08-01,10651.9115128292,10704.0093537345,10597.4142362553,"MG","Região Sudeste"
"7",2025-09-01,10669.7264538888,10730.6337027451,10606.0671537472,"MG","Região Sudeste"
"8",2025-10-01,10686.9667194303,10756.7158596793,10614.126786014,"MG","Região Sudeste"
"9",2025-11-01,10704.7816604898,10783.4122476666,10622.7351702836,"MG","Região Sudeste"
"10",2025-12-01,10722.0219260313,10809.5655844225,10630.7513082697,"MG","Região Sudeste"
"11",2026-01-01,10739.8368670909,10836.3341753612,10639.3152862183,"MG","Região Sudeste"
"12",2026-02-01,10757.6518081504,10863.139165223,10647.8568652611,"MG","Região Sudeste"
"13",2026-03-01,10773.7427226558,10888.2382472556,10654.6711048466,"MG","Região Sudeste"
"14",2026-04-01,10791.5576637154,10915.1147421243,10663.1694390592,"MG","Região Sudeste"
"15",2026-05-01,10808.7979292569,10941.4460313408,10671.0781157718,"MG","Região Sudeste"
"16",2026-06-01,10826.6128703164,10968.3951394463,10679.5323583456,"MG","Região Sudeste"
"17",2026-07-01,10843.8531358579,10994.7981779726,10687.3979760122,"MG","Região Sudeste"
"18",2026-08-01,10861.6680769175,11021.8200644909,10695.8082527912,"MG","Região Sudeste"
"19",2026-09-01,10879.483017977,11048.8786394604,10704.1963519828,"MG","Região Sudeste"
"20",2026-10-01,10896.7232835185,11075.3898465878,10711.9973719751,"MG","Região Sudeste"
"21",2026-11-01,10914.5382245781,11102.5214487682,10720.3416939859,"MG","Região Sudeste"
"22",2026-12-01,10931.7784901196,11129.104815756,10728.0999648778,"MG","Região Sudeste"
"23",2027-01-01,10949.5934311791,11156.3096111886,10736.400634799,"MG","Região Sudeste"
"24",2027-02-01,10967.4083722387,11183.5513037836,10744.6792847348,"MG","Região Sudeste"
"25",2027-03-01,10983.4992867441,11209.0705021963,10751.2483750012,"MG","Região Sudeste"
"26",2027-04-01,11001.3142278036,11236.3846839447,10759.4845217127,"MG","Região Sudeste"
"27",2027-05-01,11018.5544933451,11263.1484555286,10767.1371790249,"MG","Região Sudeste"
