"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,11358.3641468755,11367.6041774117,11348.6581642993,"MG","Região Sudeste"
"2",2025-04-01,11404.8599722094,11423.4232295364,11385.3768714959,"MG","Região Sudeste"
"3",2025-05-01,11449.8559322099,11477.8220476571,11420.5285142308,"MG","Região Sudeste"
"4",2025-06-01,11496.3517575438,11533.8065647012,11457.1065127106,"MG","Região Sudeste"
"5",2025-07-01,11541.3477175444,11588.3685967758,11492.1201904064,"MG","Região Sudeste"
"6",2025-08-01,11587.8435428783,11644.5189695006,11528.5578537613,"MG","Região Sudeste"
"7",2025-09-01,11634.3393682122,11700.7530299158,11564.9248518241,"MG","Região Sudeste"
"8",2025-10-01,11679.3353282128,11755.5612227262,11599.7316361655,"MG","Região Sudeste"
"9",2025-11-01,11725.8311535467,11811.9617275258,11635.958858958,"MG","Região Sudeste"
"10",2025-12-01,11770.8271135472,11866.9341048329,11670.6285997193,"MG","Região Sudeste"
"11",2026-01-01,11817.3229388812,11923.5014468674,11706.7164186706,"MG","Região Sudeste"
"12",2026-02-01,11863.8187642151,11980.1529706519,11742.7340398815,"MG","Região Sudeste"
"13",2026-03-01,11905.8149935489,12032.3413612714,11774.2316905954,"MG","Região Sudeste"
"14",2026-04-01,11952.3108188828,12089.157847925,11810.1129995879,"MG","Região Sudeste"
"15",2026-05-01,11997.3067788834,12144.540540191,11844.4436332565,"MG","Região Sudeste"
"16",2026-06-01,12043.8026042173,12201.5248468644,11880.1864599696,"MG","Região Sudeste"
"17",2026-07-01,12088.7985642179,12257.0730867082,11914.3813263586,"MG","Região Sudeste"
"18",2026-08-01,12135.2943895518,12314.2256091869,11949.9860392212,"MG","Região Sudeste"
"19",2026-09-01,12181.7902148857,12371.4630073172,11985.5212020033,"MG","Região Sudeste"
"20",2026-10-01,12226.7861748862,12427.2609237086,12019.5124685953,"MG","Região Sudeste"
"21",2026-11-01,12273.2820002201,12484.6671339128,12054.9100696464,"MG","Região Sudeste"
"22",2026-12-01,12318.2779602207,12540.6315809289,12088.766477645,"MG","Região Sudeste"
"23",2027-01-01,12364.7737855546,12598.207001107,12124.0268832592,"MG","Região Sudeste"
"24",2027-02-01,12411.2696108885,12655.8677973372,12159.2181998921,"MG","Região Sudeste"
"25",2027-03-01,12453.2658402224,12709.0220649548,12189.936069804,"MG","Região Sudeste"
"26",2027-04-01,12499.7616655563,12766.8501802131,12224.9932490567,"MG","Região Sudeste"
"27",2027-05-01,12544.7576255568,12823.23081132,12258.5159708171,"MG","Região Sudeste"
"28",2027-06-01,12591.2534508908,12881.2291319758,12293.4368634379,"MG","Região Sudeste"
"29",2027-07-01,12636.2494108913,12937.7776743569,12326.825985188,"MG","Região Sudeste"
"30",2027-08-01,12682.7452362252,12995.9466012809,12361.6109545093,"MG","Região Sudeste"
"31",2027-09-01,12729.2410615591,13054.2016070682,12396.3274735584,"MG","Região Sudeste"
"32",2027-10-01,12774.2370215597,13111.0033870903,12429.5162433907,"MG","Região Sudeste"
"33",2027-11-01,12820.7328468936,13169.4296030711,12464.0973836246,"MG","Região Sudeste"
"34",2027-12-01,12865.7288068942,13226.4002900701,12497.1534495248,"MG","Região Sudeste"
"35",2028-01-01,12912.2246322281,13284.998119255,12531.5995721682,"MG","Região Sudeste"
"36",2028-02-01,12958.720457562,13343.682534122,12565.9776992692,"MG","Região Sudeste"
"37",2028-03-01,13002.2165522292,13399.3622809365,12597.3815903561,"MG","Região Sudeste"
"38",2028-04-01,13048.7123775631,13458.217658746,12631.6264829571,"MG","Região Sudeste"
"39",2028-05-01,13093.7083375637,13515.6117330496,12664.3529674421,"MG","Região Sudeste"
"40",2028-06-01,13140.2041628976,13574.6397343254,12698.4637407869,"MG","Região Sudeste"
"41",2028-07-01,13185.2001228981,13632.2041160857,12731.0587645537,"MG","Região Sudeste"
"42",2028-08-01,13231.695948232,13691.4051468486,12765.03577694,"MG","Região Sudeste"
"43",2028-09-01,13278.1917735659,13750.6934761489,12798.9454247151,"MG","Região Sudeste"
"44",2028-10-01,13323.1877335665,13808.5147055536,12831.3433025271,"MG","Região Sudeste"
"45",2028-11-01,13369.6835589004,13867.9766760209,12865.1197262855,"MG","Região Sudeste"
"46",2028-12-01,13414.679518901,13925.969221403,12897.3870270031,"MG","Região Sudeste"
"47",2029-01-01,13461.1753442349,13985.6052412239,12931.0305829624,"MG","Região Sudeste"
"48",2029-02-01,13507.6711695688,14045.3290729009,12964.6072227482,"MG","Região Sudeste"
"49",2029-03-01,13549.6673989026,14100.4583162773,12993.8020328482,"MG","Região Sudeste"
"50",2029-04-01,13596.1632242365,14160.3542727709,13027.2487968395,"MG","Região Sudeste"
"51",2029-05-01,13641.1591842371,14218.7749735325,13059.1930332739,"MG","Região Sudeste"
"52",2029-06-01,13687.655009571,14278.846000551,13092.5078132403,"MG","Região Sudeste"
"53",2029-07-01,13732.6509695716,14337.4394337312,13124.322696399,"MG","Região Sudeste"
"54",2029-08-01,13779.1467949055,14397.6859425044,13157.505845672,"MG","Região Sudeste"
"55",2029-09-01,13825.6426202394,14458.0209840956,13190.6226999171,"MG","Região Sudeste"
"56",2029-10-01,13870.63858024,14516.874918263,13222.2435953724,"MG","Região Sudeste"
"57",2029-11-01,13917.1344055739,14577.3860611323,13255.2293484263,"MG","Região Sudeste"
"58",2029-12-01,13962.1303655744,14636.4137492041,13286.7217619453,"MG","Região Sudeste"
"59",2030-01-01,14008.6261909083,14697.1014067736,13319.5767650859,"MG","Região Sudeste"
"60",2030-02-01,14055.1220162422,14757.8781170544,13352.3659154301,"MG","Região Sudeste"
"61",2030-03-01,14097.1182455761,14814.0155655301,13380.8183380898,"MG","Região Sudeste"
"62",2030-04-01,14143.61407091,14874.9668489555,13413.4796980372,"MG","Região Sudeste"
"63",2030-05-01,14188.6100309106,14934.4287913071,13444.6542449935,"MG","Região Sudeste"
"64",2030-06-01,14235.1058562445,14995.5576237081,13477.1857265326,"MG","Região Sudeste"
"65",2030-07-01,14280.101816245,15055.1947546219,13508.2329983316,"MG","Região Sudeste"
"66",2030-08-01,14326.5976415789,15116.5015525008,13540.6349498919,"MG","Região Sudeste"
"67",2030-09-01,14373.0934669128,15177.8981332905,13572.9716611922,"MG","Região Sudeste"
"68",2030-10-01,14418.0894269134,15237.7994654852,13603.8280596078,"MG","Região Sudeste"
"69",2030-11-01,14464.5852522473,15299.3746392146,13636.0357630875,"MG","Região Sudeste"
"70",2030-12-01,14509.5812122479,15359.4521945797,13666.7657455594,"MG","Região Sudeste"
"71",2031-01-01,14556.0770375818,15421.2063799697,13698.8447876212,"MG","Região Sudeste"
