"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1205.04925365193,1206.02956135799,1204.01951143658,"MS","Região Centro-Oeste"
"2",2025-04-01,1206.12704548332,1208.09021265669,1204.0665997823,"MS","Região Centro-Oeste"
"3",2025-05-01,1207.17006983627,1210.11856610883,1204.07805003973,"MS","Região Centro-Oeste"
"4",2025-06-01,1208.24786166766,1212.18430094956,1204.12325029959,"MS","Região Centro-Oeste"
"5",2025-07-01,1209.29088602061,1214.2176867807,1204.13287489693,"MS","Região Centro-Oeste"
"6",2025-08-01,1210.368677852,1216.28851625279,1204.17619338441,"MS","Região Centro-Oeste"
"7",2025-09-01,1211.44646968338,1218.36191141696,1204.21855856942,"MS","Região Centro-Oeste"
"8",2025-10-01,1212.48949403634,1220.40288068667,1204.22544153836,"MS","Região Centro-Oeste"
"9",2025-11-01,1213.56728586772,1222.48138718177,1204.26593441634,"MS","Região Centro-Oeste"
"10",2025-12-01,1214.61031022068,1224.52741641668,1204.27100723116,"MS","Região Centro-Oeste"
"11",2026-01-01,1215.68810205207,1226.61104538874,1204.30963407545,"MS","Região Centro-Oeste"
"12",2026-02-01,1216.76589388345,1228.69725405487,1204.34731553465,"MS","Região Centro-Oeste"
"13",2026-03-01,1217.73938327954,1230.6806343474,1204.28090351353,"MS","Região Centro-Oeste"
"14",2026-04-01,1218.81717511093,1232.77192510756,1204.31678710678,"MS","Região Centro-Oeste"
"15",2026-05-01,1219.86019946388,1234.83060980236,1204.31740550589,"MS","Região Centro-Oeste"
"16",2026-06-01,1220.93799129527,1236.92705093435,1204.35143860374,"MS","Região Centro-Oeste"
"17",2026-07-01,1221.98101564822,1238.99083435007,1204.35026828044,"MS","Região Centro-Oeste"
"18",2026-08-01,1223.05880747961,1241.09243707959,1204.38245710064,"MS","Região Centro-Oeste"
"19",2026-09-01,1224.136599311,1243.19663917486,1204.41371148074,"MS","Região Centro-Oeste"
"20",2026-10-01,1225.17962366395,1245.26810593583,1204.40985490897,"MS","Região Centro-Oeste"
"21",2026-11-01,1226.25741549534,1247.37748653351,1204.43927433332,"MS","Região Centro-Oeste"
"22",2026-12-01,1227.30043984829,1249.45407994135,1204.43364430877,"MS","Região Centro-Oeste"
"23",2027-01-01,1228.37823167968,1251.5686503245,1204.46123495553,"MS","Região Centro-Oeste"
"24",2027-02-01,1229.45602351107,1253.68583424738,1204.48789895979,"MS","Região Centro-Oeste"
"25",2027-03-01,1230.42951290716,1255.69919003908,1204.41154097056,"MS","Região Centro-Oeste"
"26",2027-04-01,1231.50730473854,1257.82152301024,1204.4364436226,"MS","Região Centro-Oeste"
"27",2027-05-01,1232.5503290915,1259.91093875814,1204.42645007526,"MS","Região Centro-Oeste"
"28",2027-06-01,1233.62812092288,1262.03848975276,1204.44953925172,"MS","Região Centro-Oeste"
