"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1420.64773043118,1421.80342752283,1419.4337543744,"MS","Região Centro-Oeste"
"2",2025-04-01,1426.97611983996,1429.29875466202,1424.53839421016,"MS","Região Centro-Oeste"
"3",2025-05-01,1433.10036765492,1436.60069556879,1429.42965478857,"MS","Região Centro-Oeste"
"4",2025-06-01,1439.42875706371,1444.11837753197,1434.51496048002,"MS","Região Centro-Oeste"
"5",2025-07-01,1445.55300487866,1451.44236675636,1439.38726050299,"MS","Região Centro-Oeste"
"6",2025-08-01,1451.88139428745,1458.98245645848,1444.4532832107,"MS","Região Centro-Oeste"
"7",2025-09-01,1458.20978369624,1466.5338533492,1449.50959679915,"MS","Região Centro-Oeste"
"8",2025-10-01,1464.33403151119,1473.89109689904,1454.35346395123,"MS","Região Centro-Oeste"
"9",2025-11-01,1470.66242091998,1481.46498124894,1459.39057122313,"MS","Região Centro-Oeste"
"10",2025-12-01,1476.78666873494,1488.84440453666,1464.21560401529,"MS","Região Centro-Oeste"
"11",2026-01-01,1483.11505814372,1496.44082954391,1469.2335558355,"MS","Região Centro-Oeste"
"12",2026-02-01,1489.44344755251,1504.04862864531,1474.24186256191,"MS","Região Centro-Oeste"
"13",2026-03-01,1495.1594121798,1511.04888213139,1478.63488076358,"MS","Região Centro-Oeste"
"14",2026-04-01,1501.48780158859,1518.6789663687,1483.62445329393,"MS","Região Centro-Oeste"
"15",2026-05-01,1507.61204940355,1526.11381790187,1488.40287817001,"MS","Região Centro-Oeste"
"16",2026-06-01,1513.94043881233,1533.76657587971,1493.37342145418,"MS","Região Centro-Oeste"
"17",2026-07-01,1520.06468662729,1541.22379172262,1498.1331867681,"MS","Região Centro-Oeste"
"18",2026-08-01,1526.39307603608,1548.8992770371,1503.08475126072,"MS","Região Centro-Oeste"
"19",2026-09-01,1532.72146544486,1556.5862304131,1508.0267593516,"MS","Região Centro-Oeste"
"20",2026-10-01,1538.84571325982,1564.07717665744,1512.75854285911,"MS","Região Centro-Oeste"
"21",2026-11-01,1545.17410266861,1571.78693811598,1517.6816477681,"MS","Região Centro-Oeste"
"22",2026-12-01,1551.29835048356,1579.30038178555,1522.39489616256,"MS","Região Centro-Oeste"
"23",2027-01-01,1557.62673989235,1587.03300520941,1527.2991480524,"MS","Região Centro-Oeste"
"24",2027-02-01,1563.95512930114,1594.7771644601,1532.19390668378,"MS","Região Centro-Oeste"
"25",2027-03-01,1569.67109392843,1601.90787086754,1536.47970990919,"MS","Região Centro-Oeste"
"26",2027-04-01,1575.99948333722,1609.67463430145,1541.35603220374,"MS","Região Centro-Oeste"
"27",2027-05-01,1582.12373115217,1617.24430094205,1546.02341512172,"MS","Região Centro-Oeste"
"28",2027-06-01,1588.45212056096,1625.03406113798,1550.88100885847,"MS","Região Centro-Oeste"
"29",2027-07-01,1594.57636837591,1632.62641215752,1555.53002903861,"MS","Região Centro-Oeste"
"30",2027-08-01,1600.9047577847,1640.43922340103,1560.36894397537,"MS","Região Centro-Oeste"
"31",2027-09-01,1607.23314719349,1648.26366564675,1565.19845312192,"MS","Região Centro-Oeste"
"32",2027-10-01,1613.35739500845,1655.89022928276,1569.81993631456,"MS","Região Centro-Oeste"
"33",2027-11-01,1619.68578441723,1663.73780436007,1574.63084122685,"MS","Região Centro-Oeste"
"34",2027-12-01,1625.81003223219,1671.38718720636,1579.23408440686,"MS","Região Centro-Oeste"
"35",2028-01-01,1632.13842164098,1679.25794969094,1584.02643455452,"MS","Região Centro-Oeste"
"36",2028-02-01,1638.46681104976,1687.1404118132,1588.80944118441,"MS","Região Centro-Oeste"
"37",2028-03-01,1644.38691727089,1694.61383342115,1593.18754581881,"MS","Região Centro-Oeste"
"38",2028-04-01,1650.71530667967,1702.51939402986,1597.95224083034,"MS","Região Centro-Oeste"
"39",2028-05-01,1656.83955449463,1710.22597610991,1602.51018180567,"MS","Região Centro-Oeste"
"40",2028-06-01,1663.16794390342,1718.15486093552,1607.25644508096,"MS","Região Centro-Oeste"
"41",2028-07-01,1669.29219171837,1725.88445186914,1611.79631631606,"MS","Região Centro-Oeste"
"42",2028-08-01,1675.62058112716,1733.83671589546,1616.52419692453,"MS","Região Centro-Oeste"
"43",2028-09-01,1681.94897053595,1741.80077609716,1621.24282041937,"MS","Região Centro-Oeste"
"44",2028-10-01,1688.0732183509,1749.56506849505,1625.75559375263,"MS","Região Centro-Oeste"
"45",2028-11-01,1694.40160775969,1757.55259073284,1630.45590811515,"MS","Região Centro-Oeste"
"46",2028-12-01,1700.52585557465,1765.34002855349,1634.95073273048,"MS","Região Centro-Oeste"
"47",2029-01-01,1706.85424498343,1773.35106810485,1639.63278674567,"MS","Região Centro-Oeste"
"48",2029-02-01,1713.18263439222,1781.37397334837,1644.3056450594,"MS","Região Centro-Oeste"
"49",2029-03-01,1718.89859901951,1788.77143857752,1648.38201947366,"MS","Região Centro-Oeste"
"50",2029-04-01,1725.2269884283,1796.8175987724,1653.03702512292,"MS","Região Centro-Oeste"
"51",2029-05-01,1731.35123624326,1804.66288061039,1657.48743908985,"MS","Região Centro-Oeste"
"52",2029-06-01,1737.67962565204,1812.73269640643,1662.12430543067,"MS","Região Centro-Oeste"
"53",2029-07-01,1743.803873467,1820.6013154734,1666.55693830143,"MS","Região Centro-Oeste"
"54",2029-08-01,1750.13226287579,1828.69484256068,1671.17571372425,"MS","Região Centro-Oeste"
